minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1.1,SCA 2,SCA 2.1,game_id,home_team,away_team
23,Trent Alexander-Arnold,Liverpool,0.27,,Off Target,7.0,Right Foot,Volley,Mohamed Salah,Shot,,,107b2d79,Liverpool,Newcastle Utd
24,Curtis Jones,Liverpool,0.04,0.04,Saved,26.0,Right Foot,,Virgil van Dijk,Pass (Live),Alisson,Pass (Live),107b2d79,Liverpool,Newcastle Utd
26,Curtis Jones,Liverpool,0.07,,Blocked,6.0,Left Foot,,Luis Diaz,Pass (Live),,,107b2d79,Liverpool,Newcastle Utd
26,Virgil van Dijk,Liverpool,0.07,,Blocked,15.0,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Dead),107b2d79,Liverpool,Newcastle Utd
26,Ibrahima Konate,Liverpool,0.05,,Blocked,10.0,Head,,Dominik Szoboszlai,Pass (Live),Wataru Endo,Pass (Live),107b2d79,Liverpool,Newcastle Utd
29,Wataru Endo,Liverpool,0.05,,Blocked,28.0,Right Foot,,Dominik Szoboszlai,Pass (Live),Curtis Jones,Pass (Live),107b2d79,Liverpool,Newcastle Utd
30,Dominik Szoboszlai,Liverpool,0.02,,Blocked,31.0,Right Foot,,Darwin Nunez,Pass (Live),Luis Diaz,Pass (Live),107b2d79,Liverpool,Newcastle Utd
36,Darwin Nunez,Liverpool,0.49,0.83,Saved,17.0,Right Foot,,Curtis Jones,Tackle,,,107b2d79,Liverpool,Newcastle Utd
36,Darwin Nunez,Liverpool,0.07,0.06,Saved,21.0,Right Foot,,Darwin Nunez,Shot,,,107b2d79,Liverpool,Newcastle Utd
39,Trent Alexander-Arnold,Liverpool,0.0,,Woodwork,22.0,Right Foot,Volley,Joe Gomez,Pass (Live),Luis Diaz,Pass (Live),107b2d79,Liverpool,Newcastle Utd
42,Dominik Szoboszlai,Liverpool,0.04,,Blocked,26.0,Right Foot,,Mohamed Salah,Pass (Live),Luis Diaz,Pass (Live),107b2d79,Liverpool,Newcastle Utd
49,Mohamed Salah,Liverpool,0.89,0.67,Goal,6.0,Right Foot,,Darwin Nunez,Pass (Live),Luis Diaz,Pass (Live),107b2d79,Liverpool,Newcastle Utd
52,Darwin Nunez,Liverpool,0.43,0.82,Saved,6.0,Right Foot,,Mohamed Salah,Pass (Live),Luis Diaz,Pass (Live),107b2d79,Liverpool,Newcastle Utd
52,Darwin Nunez,Liverpool,0.07,0.07,Saved,15.0,Right Foot,Volley,Ibrahima Konate,Pass (Live),Alisson,Pass (Live),107b2d79,Liverpool,Newcastle Utd
53,Darwin Nunez,Liverpool,0.02,,Off Target,14.0,Head,,Trent Alexander-Arnold,Pass (Live),Trent Alexander-Arnold,Take-On,107b2d79,Liverpool,Newcastle Utd
54,Alexander Isak,Newcastle Utd,0.25,0.82,Goal,15.0,Right Foot,,Anthony Gordon,Pass (Live),Anthony Gordon,Take-On,107b2d79,Liverpool,Newcastle Utd
62,Luis Diaz,Liverpool,0.09,0.03,Saved,17.0,Right Foot,,Luis Diaz,Take-On,Wataru Endo,Pass (Live),107b2d79,Liverpool,Newcastle Utd
64,Darwin Nunez,Liverpool,0.08,,Off Target,10.0,Head,,Wataru Endo,Pass (Live),Mohamed Salah,Pass (Live),107b2d79,Liverpool,Newcastle Utd
65,Mohamed Salah,Liverpool,0.02,0.22,Saved,21.0,Left Foot,,Diogo Jota,Pass (Live),Trent Alexander-Arnold,Pass (Live),107b2d79,Liverpool,Newcastle Utd
65,Curtis Jones,Liverpool,0.18,,Blocked,13.0,Left Foot,,Mohamed Salah,Shot,,,107b2d79,Liverpool,Newcastle Utd
69,Cody Gakpo,Liverpool,0.2,0.1,Saved,12.0,Right Foot,,,,,,107b2d79,Liverpool,Newcastle Utd
69,Ryan Gravenberch,Liverpool,0.03,,Off Target,20.0,Right Foot,,Cody Gakpo,Shot,,,107b2d79,Liverpool,Newcastle Utd
70,Anthony Gordon,Newcastle Utd,0.02,0.04,Saved,33.0,Right Foot,,,,,,107b2d79,Liverpool,Newcastle Utd
74,Curtis Jones,Liverpool,0.96,0.92,Goal,3.0,Right Foot,,Diogo Jota,Pass (Live),Mohamed Salah,Pass (Live),107b2d79,Liverpool,Newcastle Utd
76,Miguel Almiron,Newcastle Utd,0.07,,Off Target,13.0,Left Foot,,Fabian Schar,Pass (Live),Valentino Livramento,Pass (Live),107b2d79,Liverpool,Newcastle Utd
78,Cody Gakpo,Liverpool,0.55,0.56,Goal,9.0,Right Foot,,Mohamed Salah,Pass (Live),Alexis Mac Allister,Pass (Live),107b2d79,Liverpool,Newcastle Utd
81,Sven Botman,Newcastle Utd,0.18,0.54,Goal,6.0,Head,,Sean Longstaff,Pass (Dead),Valentino Livramento,Pass (Live),107b2d79,Liverpool,Newcastle Utd
86,Mohamed Salah (pen),Liverpool,0.79,0.98,Goal,13.0,Left Foot,,Diogo Jota,Fouled,Alexis Mac Allister,Pass (Live),107b2d79,Liverpool,Newcastle Utd
88,Mohamed Salah,Liverpool,0.03,,Blocked,19.0,Left Foot,,Curtis Jones,Pass (Live),Ryan Gravenberch,Pass (Live),107b2d79,Liverpool,Newcastle Utd
90+5,Mohamed Salah,Liverpool,0.18,,Blocked,13.0,Left Foot,,Ryan Gravenberch,Pass (Live),Virgil van Dijk,Pass (Live),107b2d79,Liverpool,Newcastle Utd
90+5,Diogo Jota,Liverpool,0.1,,Blocked,11.0,Right Foot,,Mohamed Salah,Shot,,,107b2d79,Liverpool,Newcastle Utd
1,Pape Matar Sarr,Tottenham,0.05,0.07,Saved,22.0,Right Foot,Volley,Dejan Kulusevski,Pass (Live),Ben Davies,Pass (Live),849071fe,Tottenham,Everton
4,Vitaliy Mykolenko,Everton,0.05,0.13,Saved,17.0,Right Foot,"Deflected, Volley",,,,,849071fe,Tottenham,Everton
7,Dominic Calvert-Lewin,Everton,0.11,,Blocked,10.0,Left Foot,,Dwight McNeil,Pass (Live),,,849071fe,Tottenham,Everton
9,Richarlison,Tottenham,0.34,0.82,Goal,9.0,Right Foot,,Brennan Johnson,Pass (Live),Pape Matar Sarr,Pass (Live),849071fe,Tottenham,Everton
12,Brennan Johnson,Tottenham,0.37,,Off Target,8.0,Right Foot,,Emerson,Pass (Live),Son Heung-min,Pass (Live),849071fe,Tottenham,Everton
15,Dwight McNeil,Everton,0.03,,Off Target,18.0,Left Foot,,Amadou Onana,Pass (Live),Amadou Onana,Take-On,849071fe,Tottenham,Everton
16,Dominic Calvert-Lewin,Everton,0.17,0.4,Saved,10.0,Head,,Vitaliy Mykolenko,Pass (Live),Jarrad Branthwaite,Pass (Live),849071fe,Tottenham,Everton
18,Brennan Johnson,Tottenham,0.03,0.02,Saved,13.0,Right Foot,,Dejan Kulusevski,Pass (Live),Brennan Johnson,Pass (Live),849071fe,Tottenham,Everton
18,Son Heung-min,Tottenham,0.13,0.27,Goal,14.0,Right Foot,,Brennan Johnson,Shot,,,849071fe,Tottenham,Everton
35,James Garner,Everton,0.02,0.1,Saved,30.0,Right Foot,"Deflected, Volley",Nathan Patterson,Pass (Live),,,849071fe,Tottenham,Everton
39,Dominic Calvert-Lewin,Everton,0.28,,Off Target,15.0,Right Foot,,Dwight McNeil,Pass (Live),Jarrad Branthwaite,Pass (Live),849071fe,Tottenham,Everton
40,Amadou Onana,Everton,0.06,,Off Target,19.0,Right Foot,,Dominic Calvert-Lewin,Pass (Live),Andre Gomes,Pass (Live),849071fe,Tottenham,Everton
42,James Garner,Everton,0.13,0.29,Saved,18.0,Left Foot,,Jack Harrison,Pass (Live),Amadou Onana,Pass (Live),849071fe,Tottenham,Everton
45+1,Jack Harrison,Everton,0.21,0.21,Saved,13.0,Left Foot,,Andre Gomes,Pass (Live),Dwight McNeil,Pass (Live),849071fe,Tottenham,Everton
55,Pedro Porro,Tottenham,0.07,,Blocked,17.0,Right Foot,,Brennan Johnson,Pass (Live),Dejan Kulusevski,Pass (Live),849071fe,Tottenham,Everton
56,Pape Matar Sarr,Tottenham,0.12,0.09,Saved,23.0,Right Foot,,Brennan Johnson,Pass (Live),Pedro Porro,Shot,849071fe,Tottenham,Everton
58,Pedro Porro,Tottenham,0.01,,Off Target,24.0,Left Foot,,Brennan Johnson,Pass (Live),Oliver Skipp,Pass (Live),849071fe,Tottenham,Everton
60,Brennan Johnson,Tottenham,0.11,,Off Target,6.0,Head,,Dejan Kulusevski,Pass (Live),Emerson,Pass (Live),849071fe,Tottenham,Everton
62,James Garner,Everton,0.11,,Woodwork,11.0,Right Foot,,Jack Harrison,Pass (Live),Nathan Patterson,Pass (Live),849071fe,Tottenham,Everton
62,Brennan Johnson,Tottenham,0.02,,Off Target,23.0,Left Foot,,Pedro Porro,Pass (Live),Oliver Skipp,Pass (Live),849071fe,Tottenham,Everton
65,Pape Matar Sarr,Tottenham,0.06,,Blocked,14.0,Right Foot,,Son Heung-min,Pass (Live),Son Heung-min,Take-On,849071fe,Tottenham,Everton
67,Vitaliy Mykolenko,Everton,0.05,,Blocked,16.0,Left Foot,,,,,,849071fe,Tottenham,Everton
75,Dejan Kulusevski,Tottenham,0.06,0.11,Saved,13.0,Left Foot,,Emerson,Pass (Live),,,849071fe,Tottenham,Everton
77,Andre Gomes,Everton,0.05,,Off Target,14.0,Left Foot,,James Garner,Pass (Live),Dwight McNeil,Pass (Live),849071fe,Tottenham,Everton
81,Arnaut Danjuma,Everton,0.07,,Blocked,15.0,Left Foot,,James Garner,Pass (Live),James Garner,Take-On,849071fe,Tottenham,Everton
82,Andre Gomes,Everton,0.02,0.42,Goal,16.0,Right Foot,,Arnaut Danjuma,Shot,,,849071fe,Tottenham,Everton
84,Arnaut Danjuma,Everton,0.09,0.28,Saved,18.0,Left Foot,Deflected,Dwight McNeil,Pass (Live),Dwight McNeil,Interception,849071fe,Tottenham,Everton
86,Jarrad Branthwaite,Everton,0.04,,Blocked,25.0,Left Foot,Volley,James Garner,Pass (Live),Jordan Pickford,Pass (Dead),849071fe,Tottenham,Everton
89,Son Heung-min,Tottenham,0.1,,Off Target,10.0,Left Foot,Volley,Brennan Johnson,Pass (Live),Pierre Hojbjerg,Pass (Live),849071fe,Tottenham,Everton
90+4,Arnaut Danjuma,Everton,0.15,,Off Target,12.0,Left Foot,,Andre Gomes,Pass (Live),Nathan Patterson,Pass (Live),849071fe,Tottenham,Everton
90+6,Arnaut Danjuma,Everton,0.16,0.39,Saved,7.0,Left Foot,Volley,Dwight McNeil,Pass (Live),Dominic Calvert-Lewin,Pass (Live),849071fe,Tottenham,Everton
5,Jeremy Doku,Manchester City,0.02,,Off Target,17.0,Right Foot,,Phil Foden,Pass (Live),Phil Foden,Take-On,b782a834,Manchester City,Brighton
7,Julian Alvarez,Manchester City,0.23,0.56,Goal,12.0,Left Foot,,Jeremy Doku,Pass (Live),Jeremy Doku,Take-On,b782a834,Manchester City,Brighton
12,Josko Gvardiol,Manchester City,0.03,0.03,Saved,26.0,Right Foot,,Josko Gvardiol,Take-On,Bernardo Silva,Pass (Live),b782a834,Manchester City,Brighton
12,Kaoru Mitoma,Brighton,0.05,0.04,Saved,10.0,Left Foot,,Kaoru Mitoma,Take-On,Carlos Baleba,Pass (Live),b782a834,Manchester City,Brighton
19,Erling Haaland,Manchester City,0.07,0.31,Goal,22.0,Left Foot,,,,,,b782a834,Manchester City,Brighton
26,Jeremy Doku,Manchester City,0.06,,Off Target,13.0,Right Foot,,Bernardo Silva,Pass (Live),Phil Foden,Pass (Live),b782a834,Manchester City,Brighton
52,Pascal Gross,Brighton,0.14,,Off Target,11.0,Right Foot,,Simon Adingra,Pass (Live),,,b782a834,Manchester City,Brighton
60,Julian Alvarez,Manchester City,0.05,,Off Target,24.0,Right Foot,Free kick,John Stones,Fouled,Julian Alvarez,Pass (Live),b782a834,Manchester City,Brighton
61,Phil Foden,Manchester City,0.02,,Off Target,13.0,Left Foot,,Jeremy Doku,Pass (Live),Phil Foden,Pass (Live),b782a834,Manchester City,Brighton
67,Erling Haaland,Manchester City,0.2,0.04,Saved,11.0,Left Foot,,Phil Foden,Pass (Live),Bernardo Silva,Pass (Live),b782a834,Manchester City,Brighton
69,Kaoru Mitoma,Brighton,0.31,0.21,Saved,25.0,Left Foot,,Ansu Fati,Pass (Live),Lewis Dunk,Pass (Live),b782a834,Manchester City,Brighton
70,Kaoru Mitoma,Brighton,0.12,,Off Target,3.0,Head,,Solly March,Pass (Dead),Ansu Fati,Pass (Live),b782a834,Manchester City,Brighton
71,Jeremy Doku,Manchester City,0.04,0.03,Saved,14.0,Right Foot,,Phil Foden,Pass (Live),,,b782a834,Manchester City,Brighton
73,Julian Alvarez,Manchester City,0.05,,Blocked,36.0,Right Foot,,Manuel Akanji,Pass (Live),Bernardo Silva,Pass (Live),b782a834,Manchester City,Brighton
73,Ansu Fati,Brighton,0.2,0.71,Goal,11.0,Right Foot,,Kaoru Mitoma,Take-On,Ansu Fati,Pass (Live),b782a834,Manchester City,Brighton
2,Scott McTominay,Manchester Utd,0.06,0.03,Saved,18.0,Left Foot,,Scott McTominay,Take-On,Rasmus Hojlund,Pass (Live),f6bfec82,Manchester Utd,Manchester City
8,Phil Foden,Manchester City,0.25,0.19,Saved,7.0,Head,,Kyle Walker,Pass (Live),Rodri,Pass (Live),f6bfec82,Manchester Utd,Manchester City
16,Rodri,Manchester City,0.03,,Off Target,21.0,Right Foot,Volley,Jack Grealish,Pass (Live),John Stones,Pass (Live),f6bfec82,Manchester Utd,Manchester City
20,Jack Grealish,Manchester City,0.02,,Saved off Target,21.0,Right Foot,,John Stones,Pass (Live),Julian Alvarez,Pass (Dead),f6bfec82,Manchester Utd,Manchester City
26,Erling Haaland (pen),Manchester City,0.79,0.99,Goal,13.0,Left Foot,,Rodri,Fouled,Phil Foden,Fouled,f6bfec82,Manchester Utd,Manchester City
31,Bruno Fernandes,Manchester Utd,0.08,,Off Target,7.0,Right Foot,,Rasmus Hojlund,Pass (Live),Rasmus Hojlund,Take-On,f6bfec82,Manchester Utd,Manchester City
38,Julian Alvarez,Manchester City,0.04,0.15,Saved,26.0,Right Foot,Free kick,Jack Grealish,Fouled,Rodri,Pass (Live),f6bfec82,Manchester Utd,Manchester City
40,Jack Grealish,Manchester City,0.02,,Blocked,21.0,Right Foot,,Julian Alvarez,Pass (Live),Kyle Walker,Pass (Live),f6bfec82,Manchester Utd,Manchester City
45+1,Scott McTominay,Manchester Utd,0.16,0.09,Saved,18.0,Right Foot,Volley,Marcus Rashford,Pass (Live),Harry Maguire,Pass (Live),f6bfec82,Manchester Utd,Manchester City
45+3,Harry Maguire,Manchester Utd,0.03,,Off Target,12.0,Head,,Bruno Fernandes,Pass (Dead),Bruno Fernandes,Pass (Live),f6bfec82,Manchester Utd,Manchester City
45+4,Erling Haaland,Manchester City,0.39,0.66,Saved,6.0,Head,,Bernardo Silva,Pass (Live),Jack Grealish,Pass (Live),f6bfec82,Manchester Utd,Manchester City
48,Bruno Fernandes,Manchester Utd,0.02,0.05,Saved,27.0,Right Foot,,Marcus Rashford,Pass (Dead),,,f6bfec82,Manchester Utd,Manchester City
48,Phil Foden,Manchester City,0.21,,Off Target,5.0,Left Foot,Volley,Bernardo Silva,Pass (Live),Rodri,Pass (Live),f6bfec82,Manchester Utd,Manchester City
49,Erling Haaland,Manchester City,0.29,0.33,Goal,5.0,Head,,Bernardo Silva,Pass (Live),Jack Grealish,Pass (Live),f6bfec82,Manchester Utd,Manchester City
55,Julian Alvarez,Manchester City,0.04,,Blocked,10.0,Right Foot,,,,,,f6bfec82,Manchester Utd,Manchester City
57,Jack Grealish,Manchester City,0.06,0.16,Saved,18.0,Right Foot,,Phil Foden,Pass (Live),Julian Alvarez,Pass (Live),f6bfec82,Manchester Utd,Manchester City
58,Jack Grealish,Manchester City,0.06,,Off Target,12.0,Left Foot,,Julian Alvarez,Pass (Live),John Stones,Pass (Live),f6bfec82,Manchester Utd,Manchester City
63,Julian Alvarez,Manchester City,0.03,,Off Target,24.0,Left Foot,,Kyle Walker,Pass (Live),Rodri,Pass (Live),f6bfec82,Manchester Utd,Manchester City
66,Bernardo Silva,Manchester City,0.05,0.02,Saved,21.0,Left Foot,,John Stones,Pass (Live),Phil Foden,Pass (Live),f6bfec82,Manchester Utd,Manchester City
69,Marcus Rashford,Manchester Utd,0.54,,Off Target,8.0,Right Foot,Volley,Christian Eriksen,Pass (Live),Diogo Dalot,Pass (Live),f6bfec82,Manchester Utd,Manchester City
71,Erling Haaland,Manchester City,0.5,0.44,Saved,10.0,Left Foot,,Jack Grealish,Pass (Live),Josko Gvardiol,Pass (Live),f6bfec82,Manchester Utd,Manchester City
74,Jack Grealish,Manchester City,0.03,,Blocked,27.0,Right Foot,,Josko Gvardiol,Pass (Live),Rodri,Pass (Live),f6bfec82,Manchester Utd,Manchester City
80,Rodri,Manchester City,0.05,0.09,Saved,25.0,Left Foot,Deflected,Josko Gvardiol,Pass (Live),Jack Grealish,Pass (Live),f6bfec82,Manchester Utd,Manchester City
80,Phil Foden,Manchester City,0.97,0.91,Goal,2.0,Left Foot,,Erling Haaland,Pass (Live),Rodri,Shot,f6bfec82,Manchester Utd,Manchester City
82,Phil Foden,Manchester City,0.08,,Off Target,15.0,Left Foot,Volley,Kyle Walker,Pass (Live),Rodri,Pass (Live),f6bfec82,Manchester Utd,Manchester City
85,Christian Eriksen,Manchester Utd,0.05,,Blocked,16.0,Right Foot,Volley,Bruno Fernandes,Pass (Dead),,,f6bfec82,Manchester Utd,Manchester City
90+4,Mateo Kovacic,Manchester City,0.06,,Blocked,23.0,Right Foot,,Kyle Walker,Pass (Live),Jeremy Doku,Pass (Live),f6bfec82,Manchester Utd,Manchester City
90+6,Erling Haaland,Manchester City,0.05,,Blocked,30.0,Left Foot,Free kick,Rodri,Fouled,Mateo Kovacic,Shot,f6bfec82,Manchester Utd,Manchester City
2,Manuel Akanji,Manchester City,0.02,,Off Target,33.0,Right Foot,,Julian Alvarez,Pass (Live),Matheus Nunes,Pass (Live),60ce29cd,Wolves,Manchester City
6,Jeremy Doku,Manchester City,0.01,,Blocked,21.0,Right Foot,,Kyle Walker,Fouled,Ruben Dias,Pass (Live),60ce29cd,Wolves,Manchester City
6,Jeremy Doku,Manchester City,0.02,,Blocked,18.0,Right Foot,Volley,Jeremy Doku,Shot,,,60ce29cd,Wolves,Manchester City
6,Manuel Akanji,Manchester City,0.03,,Blocked,13.0,Left Foot,,Jeremy Doku,Pass (Live),Jeremy Doku,Shot,60ce29cd,Wolves,Manchester City
21,Jeremy Doku,Manchester City,0.04,,Off Target,17.0,Right Foot,,Kyle Walker,Pass (Live),Manuel Akanji,Pass (Live),60ce29cd,Wolves,Manchester City
22,Ruben Dias,Manchester City,0.09,,Blocked,15.0,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live),60ce29cd,Wolves,Manchester City
27,Nathan Ake,Manchester City,0.02,,Blocked,11.0,Head,,Julian Alvarez,Pass (Dead),Matheus Nunes,Fouled,60ce29cd,Wolves,Manchester City
27,Nathan Ake,Manchester City,0.06,0.1,Saved,6.0,Left Foot,Volley,Nathan Ake,Shot,,,60ce29cd,Wolves,Manchester City
31,Mateo Kovacic,Manchester City,0.03,,Blocked,25.0,Right Foot,,Manuel Akanji,Pass (Live),Matheus Nunes,Pass (Live),60ce29cd,Wolves,Manchester City
31,Phil Foden,Manchester City,0.07,,Blocked,16.0,Left Foot,Volley,Mateo Kovacic,Shot,,,60ce29cd,Wolves,Manchester City
40,Jeremy Doku,Manchester City,0.03,,Blocked,18.0,Right Foot,,Julian Alvarez,Pass (Live),Mateo Kovacic,Pass (Live),60ce29cd,Wolves,Manchester City
40,Jeremy Doku,Manchester City,0.04,,Off Target,22.0,Right Foot,,,,,,60ce29cd,Wolves,Manchester City
45+2,Hwang Hee-chan,Wolves,0.11,,Blocked,12.0,Right Foot,,Matheus Cunha,Pass (Live),Joao Gomes,Pass (Live),60ce29cd,Wolves,Manchester City
45+4,Ruben Dias,Manchester City,0.05,0.09,Saved,11.0,Head,,Phil Foden,Pass (Dead),Matheus Nunes,Fouled,60ce29cd,Wolves,Manchester City
49,Ruben Dias,Manchester City,0.02,,Off Target,32.0,Right Foot,,Mateo Kovacic,Pass (Live),Jeremy Doku,Pass (Live),60ce29cd,Wolves,Manchester City
51,Erling Haaland,Manchester City,0.06,0.07,Saved,11.0,Left Foot,,Oscar Bobb,Pass (Live),Phil Foden,Pass (Live),60ce29cd,Wolves,Manchester City
55,Julian Alvarez,Manchester City,0.04,0.2,Saved,20.0,Right Foot,,Jeremy Doku,Pass (Live),Julian Alvarez,Pass (Live),60ce29cd,Wolves,Manchester City
58,Julian Alvarez,Manchester City,0.05,0.56,Goal,22.0,Right Foot,Free kick,Oscar Bobb,Fouled,Nathan Ake,Pass (Live),60ce29cd,Wolves,Manchester City
66,Manuel Akanji,Manchester City,0.03,0.28,Saved,27.0,Right Foot,,Jeremy Doku,Pass (Live),Oscar Bobb,Pass (Live),60ce29cd,Wolves,Manchester City
66,Hwang Hee-chan,Wolves,0.08,,Blocked,15.0,Right Foot,,Max Kilman,Pass (Live),Jose Sa,Pass (Live),60ce29cd,Wolves,Manchester City
66,Hwang Hee-chan,Wolves,0.28,0.79,Goal,8.0,Right Foot,Deflected,Matheus Cunha,Pass (Live),Hwang Hee-chan,Shot,60ce29cd,Wolves,Manchester City
75,Kalvin Phillips,Manchester City,0.03,,Off Target,25.0,Right Foot,,Jeremy Doku,Pass (Live),Julian Alvarez,Pass (Live),60ce29cd,Wolves,Manchester City
79,Nathan Ake,Manchester City,0.03,,Blocked,8.0,Head,,Phil Foden,Pass (Dead),Phil Foden,Fouled,60ce29cd,Wolves,Manchester City
83,Kyle Walker,Manchester City,0.02,0.02,Saved,32.0,Right Foot,,Ruben Dias,Pass (Live),Manuel Akanji,Pass (Live),60ce29cd,Wolves,Manchester City
90+4,Kalvin Phillips,Manchester City,0.05,,Blocked,18.0,Left Foot,,Jack Grealish,Pass (Live),Kyle Walker,Pass (Live),60ce29cd,Wolves,Manchester City
90+4,Jeremy Doku,Manchester City,0.02,0.09,Saved,22.0,Left Foot,Deflected,Phil Foden,Pass (Dead),Kalvin Phillips,Shot,60ce29cd,Wolves,Manchester City
9,Jack Grealish,Manchester City,0.03,,Blocked,16.0,Right Foot,,Julian Alvarez,Pass (Live),Phil Foden,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
14,Manuel Akanji,Manchester City,0.03,,Off Target,27.0,Left Foot,,Phil Foden,Pass (Live),Kyle Walker,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
21,Joelinton,Newcastle Utd,0.04,,Blocked,19.0,Right Foot,,Alexander Isak,Pass (Live),Miguel Almiron,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
29,Jack Grealish,Manchester City,0.02,,Blocked,18.0,Right Foot,,Phil Foden,Pass (Live),Erling Haaland,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
29,Mateo Kovacic,Manchester City,0.07,,Blocked,22.0,Left Foot,,Kyle Walker,Pass (Live),Jack Grealish,Shot,0b8f50a5,Manchester City,Newcastle Utd
30,Phil Foden,Manchester City,0.05,,Blocked,21.0,Left Foot,,Manuel Akanji,Pass (Live),Rodri,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
31,Julian Alvarez,Manchester City,0.11,0.56,Goal,17.0,Right Foot,,Phil Foden,Pass (Live),Mateo Kovacic,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
35,Mateo Kovacic,Manchester City,0.03,,Blocked,29.0,Right Foot,,Julian Alvarez,Take-On,Phil Foden,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
37,Miguel Almiron,Newcastle Utd,0.03,,Blocked,18.0,Left Foot,,Kieran Trippier,Pass (Live),Sven Botman,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
38,Jack Grealish,Manchester City,0.04,,Blocked,16.0,Right Foot,,Phil Foden,Pass (Live),Mateo Kovacic,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
41,Erling Haaland,Manchester City,0.08,,Off Target,16.0,Left Foot,,Phil Foden,Pass (Live),Julian Alvarez,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
48,Anthony Gordon,Newcastle Utd,0.03,,Blocked,19.0,Right Foot,,Joelinton,Pass (Live),Alexander Isak,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
49,Anthony Gordon,Newcastle Utd,0.05,,Off Target,13.0,Left Foot,,Joelinton,Pass (Live),Kieran Trippier,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
50,Erling Haaland,Manchester City,0.07,0.11,Saved,16.0,Left Foot,Volley,Ederson,Pass (Dead),,,0b8f50a5,Manchester City,Newcastle Utd
63,Erling Haaland,Manchester City,0.17,,Off Target,15.0,Left Foot,,Phil Foden,Pass (Live),Jack Grealish,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
65,Erling Haaland,Manchester City,0.1,0.04,Saved,13.0,Right Foot,,Phil Foden,Pass (Live),Ruben Dias,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
66,Bruno Guimaraes,Newcastle Utd,0.07,,Off Target,22.0,Right Foot,,Miguel Almiron,Pass (Live),Bruno Guimaraes,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
70,Harvey Barnes,Newcastle Utd,0.03,0.11,Saved,28.0,Right Foot,,Callum Wilson,Pass (Live),Callum Wilson,Take-On,0b8f50a5,Manchester City,Newcastle Utd
78,Miguel Almiron,Newcastle Utd,0.03,,Blocked,22.0,Left Foot,,Elliot Anderson,Pass (Live),Harvey Barnes,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
88,Phil Foden,Manchester City,0.07,,Blocked,15.0,Left Foot,,Julian Alvarez,Pass (Live),Rodri,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
89,Phil Foden,Manchester City,0.15,0.64,Saved,12.0,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live),0b8f50a5,Manchester City,Newcastle Utd
6,Chris Wood,Nott'ham Forest,0.11,0.19,Saved,9.0,Left Foot,Volley,Harry Toffolo,Pass (Live),Anthony Elanga,Pass (Live),d1671efa,Nott'ham Forest,Luton Town
7,Anthony Elanga,Nott'ham Forest,0.04,,Off Target,13.0,Head,,Serge Aurier,Pass (Live),Orel Mangala,Pass (Live),d1671efa,Nott'ham Forest,Luton Town
14,Willy Boly,Nott'ham Forest,0.05,,Blocked,8.0,Head,,Morgan Gibbs-White,Pass (Live),Anthony Elanga,Pass (Live),d1671efa,Nott'ham Forest,Luton Town
14,Chris Wood,Nott'ham Forest,0.17,0.15,Saved,6.0,Head,,Willy Boly,Shot,,,d1671efa,Nott'ham Forest,Luton Town
16,Jacob Brown,Luton Town,0.09,,Off Target,16.0,Right Foot,,Chiedozie Ogbene,Pass (Live),Alfie Doughty,Pass (Dead),d1671efa,Nott'ham Forest,Luton Town
21,Pelly Ruddock Mpanzu,Luton Town,0.02,,Off Target,27.0,Left Foot,Volley,,,,,d1671efa,Nott'ham Forest,Luton Town
23,Harry Toffolo,Nott'ham Forest,0.34,0.51,Saved,4.0,Left Foot,Deflected,Nicolas Dominguez,Pass (Live),Morgan Gibbs-White,Pass (Live),d1671efa,Nott'ham Forest,Luton Town
24,Chris Wood,Nott'ham Forest,0.27,,Blocked,11.0,Left Foot,,Anthony Elanga,Pass (Live),Orel Mangala,Pass (Live),d1671efa,Nott'ham Forest,Luton Town
25,Serge Aurier,Nott'ham Forest,0.04,,Off Target,7.0,Head,,Morgan Gibbs-White,Pass (Dead),Chris Wood,Shot,d1671efa,Nott'ham Forest,Luton Town
