minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1.1,SCA 2,SCA 2.1,game_id,home_team,away_team
90+1,Harvey Elliott,Liverpool,0.05,,Off Target,21.0,Left Foot,,Mohamed Salah,Pass (Live),Darwin Nunez,Pass (Live),38daebd2,Wolves,Liverpool
90+5,Luis Diaz,Liverpool,0.15,0.09,Saved,10.0,Right Foot,,Ibrahima Konate,Pass (Live),Alisson,Pass (Live),38daebd2,Wolves,Liverpool
1,Andreas Pereira,Fulham,0.03,0.06,Goal,30.0,Right Foot,,,,,,d8f8f8ad,Arsenal,Fulham
11,Kai Havertz,Arsenal,0.28,,Off Target,5.0,Right Foot,Volley,Bukayo Saka,Pass (Live),Leandro Trossard,Pass (Live),d8f8f8ad,Arsenal,Fulham
18,Gabriel Martinelli,Arsenal,0.1,0.03,Saved,16.0,Right Foot,,Leandro Trossard,Pass (Live),Thomas Partey,Pass (Live),d8f8f8ad,Arsenal,Fulham
19,Gabriel Martinelli,Arsenal,0.24,,Blocked,6.0,Left Foot,Volley,Kai Havertz,Pass (Live),Leandro Trossard,Pass (Dead),d8f8f8ad,Arsenal,Fulham
19,William Saliba,Arsenal,0.04,,Blocked,11.0,Right Foot,Volley,Gabriel Martinelli,Shot,,,d8f8f8ad,Arsenal,Fulham
22,Raul Jimenez,Fulham,0.08,,Off Target,15.0,Right Foot,Volley,Harry Wilson,Pass (Live),,,d8f8f8ad,Arsenal,Fulham
23,Raul Jimenez,Fulham,0.06,,Blocked,15.0,Left Foot,,Bobby Reid,Pass (Live),Harry Wilson,Pass (Live),d8f8f8ad,Arsenal,Fulham
24,Sasa Lukic,Fulham,0.02,,Off Target,18.0,Right Foot,,Raul Jimenez,Shot,,,d8f8f8ad,Arsenal,Fulham
24,Joao Palhinha,Fulham,0.04,,Blocked,15.0,Left Foot,,Sasa Lukic,Shot,,,d8f8f8ad,Arsenal,Fulham
26,Harry Wilson,Fulham,0.03,,Off Target,31.0,Left Foot,,Andreas Pereira,Pass (Live),Sasa Lukic,Interception,d8f8f8ad,Arsenal,Fulham
31,Bukayo Saka,Arsenal,0.53,,Off Target,4.0,Head,,Leandro Trossard,Pass (Live),Ben White,Pass (Live),d8f8f8ad,Arsenal,Fulham
32,Gabriel Martinelli,Arsenal,0.04,0.21,Saved,12.0,Left Foot,,Leandro Trossard,Pass (Live),Declan Rice,Pass (Live),d8f8f8ad,Arsenal,Fulham
40,Gabriel Martinelli,Arsenal,0.09,0.06,Saved,14.0,Right Foot,,Kai Havertz,Pass (Live),Leandro Trossard,Pass (Live),d8f8f8ad,Arsenal,Fulham
44,Martin Odegaard,Arsenal,0.03,0.07,Saved,26.0,Left Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live),d8f8f8ad,Arsenal,Fulham
48,Bukayo Saka,Arsenal,0.04,0.02,Saved,14.0,Left Foot,,Martin Odegaard,Pass (Live),Declan Rice,Pass (Live),d8f8f8ad,Arsenal,Fulham
58,Martin Odegaard,Arsenal,0.02,0.02,Saved,27.0,Left Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live),d8f8f8ad,Arsenal,Fulham
61,Martin Odegaard,Arsenal,0.05,,Off Target,13.0,Left Foot,,Martin Odegaard,Take-On,Ben White,Pass (Live),d8f8f8ad,Arsenal,Fulham
70,Bukayo Saka (pen),Arsenal,0.79,0.99,Goal,13.0,Left Foot,,Fabio Vieira,Fouled,Gabriel Martinelli,Pass (Live),d8f8f8ad,Arsenal,Fulham
72,Eddie Nketiah,Arsenal,0.25,0.36,Goal,11.0,Right Foot,,Bukayo Saka,Pass (Live),,,d8f8f8ad,Arsenal,Fulham
87,Joao Palhinha,Fulham,0.11,0.31,Goal,10.0,Right Foot,Volley,Harrison Reed,Pass (Dead),,,d8f8f8ad,Arsenal,Fulham
90+1,Eddie Nketiah,Arsenal,0.02,,Blocked,23.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Fabio Vieira,Pass (Live),d8f8f8ad,Arsenal,Fulham
90+1,Eddie Nketiah,Arsenal,0.07,,Off Target,13.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Gabriel Martinelli,Pass (Live),d8f8f8ad,Arsenal,Fulham
90+5,Eddie Nketiah,Arsenal,0.07,,Off Target,10.0,Head,,Ben White,Pass (Live),Jorginho,Pass (Live),d8f8f8ad,Arsenal,Fulham
90+7,Adama Traore,Fulham,0.21,0.06,Saved,8.0,Right Foot,,Antonee Robinson,Pass (Dead),,Fouled,d8f8f8ad,Arsenal,Fulham
90+10,Fabio Vieira,Arsenal,0.04,0.17,Saved,18.0,Left Foot,,William Saliba,Pass (Live),,,d8f8f8ad,Arsenal,Fulham
90+10,Gabriel Jesus,Arsenal,0.14,0.03,Saved,6.0,Head,,Bukayo Saka,Pass (Dead),Fabio Vieira,Shot,d8f8f8ad,Arsenal,Fulham
90+10,Jakub Kiwior,Arsenal,0.42,,Blocked,5.0,Right Foot,,Gabriel Jesus,Shot,,,d8f8f8ad,Arsenal,Fulham
5,Zeki Amdouni,Burnley,0.22,,Off Target,4.0,Head,,Johann Berg Gudmundsson,Pass (Live),Vitinho,Pass (Live),c4c42d3e,Bournemouth,Burnley
9,Marcus Tavernier,Bournemouth,0.04,0.33,Saved,27.0,Left Foot,Free kick,Ryan Christie,Fouled,Antoine Semenyo,Pass (Live),c4c42d3e,Bournemouth,Burnley
9,Lloyd Kelly,Bournemouth,0.11,,Off Target,8.0,Left Foot,Volley,Ryan Christie,Pass (Live),Alex Scott,Pass (Dead),c4c42d3e,Bournemouth,Burnley
11,Charlie Taylor,Burnley,0.02,,Blocked,29.0,Left Foot,,Vitinho,Pass (Live),Josh Brownhill,Pass (Dead),c4c42d3e,Bournemouth,Burnley
11,Charlie Taylor,Burnley,0.01,0.08,Goal,27.0,Left Foot,Volley,Dara O'Shea,Pass (Live),Charlie Taylor,Shot,c4c42d3e,Bournemouth,Burnley
21,Marcus Tavernier,Bournemouth,0.37,,Off Target,6.0,Left Foot,Volley,Antoine Semenyo,Pass (Live),Ryan Christie,Pass (Live),c4c42d3e,Bournemouth,Burnley
22,Antoine Semenyo,Bournemouth,0.11,0.61,Goal,15.0,Left Foot,,Antoine Semenyo,Tackle,,,c4c42d3e,Bournemouth,Burnley
36,Anass Zaroury,Burnley,0.03,0.07,Saved,28.0,Left Foot,,,,,,c4c42d3e,Bournemouth,Burnley
38,Chris Mepham,Bournemouth,0.09,0.15,Saved,9.0,Head,,Alex Scott,Pass (Dead),Philip Billing,Pass (Live),c4c42d3e,Bournemouth,Burnley
