minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
8,Christian Norgaard,Brentford,0.02,,Blocked,26,Right Foot,,Saman Ghoddos,Pass (Live),Saman Ghoddos,Pass (Live),14
21,Neal Maupay,Brentford,0.28,0.60,Saved,4,Head,,Christian Norgaard,Pass (Dead),,,14
27,Saman Ghoddos,Brentford,0.01,,Blocked,31,Right Foot,Volley,Vitaly Janelt,Pass (Live),Bryan Mbeumo,Pass (Dead),14
29,Bryan Mbeumo,Brentford,0.03,,Off Target,26,Left Foot,,Ben Mee,Pass (Dead),Frank Onyeka,Fouled,14
37,Bryan Mbeumo,Brentford,0.03,,Blocked,29,Left Foot,,Frank Onyeka,Pass (Live),,,14
37,Ben Mee,Brentford,0.03,,Off Target,12,Head,,Neal Maupay,Pass (Live),Vitaly Janelt,Pass (Live),14
39,Bryan Mbeumo,Brentford,0.06,,Blocked,12,Left Foot,Volley,Ethan Pinnock,Pass (Live),Ben Mee,Pass (Live),14
39,Yoane Wissa,Brentford,0.04,0.05,Saved,29,Right Foot,,Ben Mee,Pass (Live),Christian Norgaard,Pass (Live),14
45+1,Neal Maupay,Brentford,0.01,,Off Target,30,Right Foot,Volley,Christian Norgaard,Pass (Live),Vitaly Janelt,Pass (Live),14
45+2,Bryan Mbeumo,Brentford,0.22,,Off Target,13,Left Foot,,Vitaly Janelt,Pass (Live),,Pass (Live),14
49,Ben Mee,Brentford,0.09,,Off Target,11,Left Foot,Volley,Yoane Wissa,Pass (Live),,Pass (Live),14
49,Neal Maupay,Brentford,0.54,0.89,Goal,6,Right Foot,,Ben Mee,Shot,,,14
54,Yoane Wissa,Brentford,0.02,,Blocked,24,Right Foot,,Ben Mee,Pass (Live),Vitaly Janelt,Pass (Live),14
54,Frank Onyeka,Brentford,0.04,,Off Target,21,Right Foot,,,,,,14
56,Neal Maupay,Brentford,0.13,,Blocked,5,Left Foot,Volley,,Pass (Live),,Pass (Live),14
56,Ben Mee,Brentford,0.07,0.06,Goal,8,Head,Deflected,Bryan Mbeumo,Pass (Dead),,,14
59,Saman Ghoddos,Brentford,0.03,,Off Target,18,Right Foot,Volley,Yoane Wissa,Pass (Live),,,14
62,Jacob Brown,Luton Town,0.04,,Off Target,15,Left Foot,Volley,Jordan Clark,Pass (Live),Amari'i Bell,Pass (Live),14
65,Ethan Pinnock,Brentford,0.06,,Blocked,10,Head,,Bryan Mbeumo,Fouled,Neal Maupay,Pass (Live),14
71,Yoane Wissa,Brentford,0.03,,Blocked,16,Right Foot,,Christian Norgaard,Pass (Live),Bryan Mbeumo,Pass (Live),14
76,Jacob Brown,Luton Town,0.09,0.15,Goal,21,Left Foot,,Amari'i Bell,Pass (Live),Gabriel Osho,Pass (Live),14
81,Keane Lewis-Potter,Brentford,0.15,,Blocked,13,Right Foot,,Keane Lewis-Potter,Take-On,Vitaly Janelt,Pass (Live),14
81,Keane Lewis-Potter,Brentford,0.05,,Blocked,13,Right Foot,Volley,Keane Lewis-Potter,Shot,,,14
81,Keane Lewis-Potter,Brentford,0.09,0.12,Saved,9,Right Foot,,Shandon Baptiste,Pass (Live),Shandon Baptiste,Take-On,14
82,Shandon Baptiste,Brentford,0.70,0.97,Goal,4,Right Foot,,Keane Lewis-Potter,Shot,,,14
84,Ross Barkley,Luton Town,0.02,,Blocked,29,Left Foot,,,,,,14
87,Tahith Chong,Luton Town,0.03,,Blocked,29,Left Foot,,Ross Barkley,Pass (Live),Amari'i Bell,Pass (Live),14
