minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent
,,,,,,,,,player,event,player,event,
4,Erling Haaland,Manchester City,0.17,0.62,Goal,8.0,Left Foot,Volley,Rodri,Pass (Live),Kevin De Bruyne,Pass (Live),Burnley
6,Kevin De Bruyne,Manchester City,0.02,,Off Target,32.0,Right Foot,,Phil Foden,Pass (Live),Nathan Aké,Pass (Live),Burnley
11,Erling Haaland,Manchester City,0.21,,Off Target,6.0,Right Foot,Volley,Kevin De Bruyne,Pass (Live),Rodri,Pass (Live),Burnley
15,Luca Koleosho,Burnley,0.08,,Off Target,15.0,Right Foot,,Vitinho,Pass (Live),Lyle Foster,Pass (Live),Manchester City
18,Zeki Amdouni,Burnley,0.03,0.02,Saved,15.0,Left Foot,,Luca Koleosho,Pass (Live),Vitinho,Pass (Live),Manchester City
29,Lyle Foster,Burnley,0.03,,Off Target,16.0,Right Foot,,Lyle Foster,Take-On,,,Manchester City
36,Erling Haaland,Manchester City,0.14,0.5,Goal,13.0,Left Foot,,Julián Álvarez,Pass (Live),Kyle Walker,Pass (Live),Burnley
37,Lyle Foster,Burnley,0.12,,Blocked,16.0,Right Foot,,Luca Koleosho,Pass (Live),Zeki Amdouni,Tackle,Manchester City
45+1,Phil Foden,Manchester City,0.24,0.33,Saved,10.0,Left Foot,,Phil Foden,Take-On,Mateo Kovačić,Pass (Live),Burnley
52,Erling Haaland,Manchester City,0.05,,Blocked,11.0,Left Foot,,Julián Álvarez,Pass (Live),Rodri,Pass (Live),Burnley
53,Phil Foden,Manchester City,0.04,,Blocked,8.0,Left Foot,Volley,,,,,Burnley
55,Rodri,Manchester City,0.02,0.05,Saved,34.0,Right Foot,,,,,,Burnley
55,Rodri,Manchester City,0.01,0.26,Saved,15.0,Head,,Julián Álvarez,Pass (Dead),Rodri,Shot,Burnley
60,Julian Alvarez,Manchester City,0.06,,Off Target,15.0,Right Foot,,Erling Haaland,Pass (Live),Phil Foden,Pass (Live),Burnley
67,Rodri,Manchester City,0.05,,Blocked,16.0,Right Foot,,Julián Álvarez,Pass (Live),Rico Lewis,Pass (Live),Burnley
75,Nathan Ake,Manchester City,0.31,,Blocked,5.0,Left Foot,Volley,Erling Haaland,Fouled,Ederson,Pass (Live),Burnley
75,Rodri,Manchester City,0.42,0.93,Goal,5.0,Right Foot,,Nathan Aké,Shot,,,Burnley
79,Julian Alvarez,Manchester City,0.2,,Blocked,13.0,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live),Burnley
80,Anass Zaroury,Burnley,0.04,,Blocked,21.0,Left Foot,,Lyle Foster,Pass (Live),Jacob Bruun Larsen,Pass (Live),Manchester City
82,Jacob Bruun Larsen,Burnley,0.02,,Off Target,7.0,Head,,Anass Zaroury,Pass (Dead),,,Manchester City
86,Julian Alvarez,Manchester City,0.09,0.02,Saved,14.0,Right Foot,,Phil Foden,Pass (Live),Manuel Akanji,Pass (Live),Burnley
88,Phil Foden,Manchester City,0.02,,Off Target,21.0,Left Foot,,Julián Álvarez,Pass (Dead),Mateo Kovačić,Fouled,Burnley
90+5,Aymeric Laporte,Manchester City,0.04,0.02,Saved,11.0,Head,,Julián Álvarez,Pass (Dead),Kyle Walker,Fouled,Burnley
10,Eddie Nketiah,Arsenal,0.06,,Off Target,6.0,Head,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest
11,Brennan Johnson,Nott'ham Forest,0.28,,Off Target,18.0,Right Foot,,Willy Boly,Pass (Live),,,Arsenal
24,Kai Havertz,Arsenal,0.03,,Blocked,24.0,Left Foot,,Gabriel Martinelli,Pass (Live),William Saliba,Pass (Live),Nott'ham Forest
25,Bukayo Saka,Arsenal,0.02,,Blocked,16.0,Right Foot,,Thomas Partey,Pass (Live),Ben White,Pass (Live),Nott'ham Forest
26,Eddie Nketiah,Arsenal,0.11,0.02,Goal,14.0,Right Foot,Deflected,Gabriel Martinelli,Take-On,Thomas Partey,Pass (Live),Nott'ham Forest
32,Bukayo Saka,Arsenal,0.04,0.6,Goal,23.0,Left Foot,,William Saliba,Pass (Live),Thomas Partey,Pass (Live),Nott'ham Forest
38,Eddie Nketiah,Arsenal,0.04,,Off Target,12.0,Right Foot,,Bukayo Saka,Pass (Live),Ben White,Pass (Live),Nott'ham Forest
44,Declan Rice,Arsenal,0.02,0.14,Saved,32.0,Right Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest
51,Takehiro Tomiyasu,Arsenal,0.03,0.16,Saved,28.0,Right Foot,,Gabriel Martinelli,Pass (Live),Martin Ødegaard,Pass (Live),Nott'ham Forest
