minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek
5,Conor Gallagher,Chelsea,0.12,0.20,Saved,11,Right Foot,,Noni Madueke,Pass (Live),Noni Madueke,Take-On,20
10,Cole Palmer,Chelsea,0.02,0.21,Saved,25,Left Foot,,Malo Gusto,Pass (Live),Noni Madueke,Pass (Live),20
11,Nicolas Jackson,Chelsea,0.05,0.15,Saved,10,Right Foot,,Cole Palmer,Pass (Live),Thiago Silva,Pass (Dead),20
12,Cole Palmer,Chelsea,0.04,0.50,Goal,16,Left Foot,,,,,,20
18,Ross Barkley,Luton Town,0.05,,Off Target,25,Right Foot,Free kick,Jacob Brown,Fouled,,,20
19,Armando Broja,Chelsea,0.02,0.74,Saved,13,Left Foot,,,,,,20
20,Elijah Adebayo,Luton Town,0.10,,Off Target,8,Head,,Andros Townsend,Pass (Live),Andros Townsend,Take-On,20
29,Jacob Brown,Luton Town,0.02,,Blocked,18,Left Foot,,Amari'i Bell,Pass (Live),,,20
34,Ross Barkley,Luton Town,0.02,,Blocked,23,Right Foot,,Ross Barkley,Take-On,Alfie Doughty,Pass (Live),20
37,Noni Madueke,Chelsea,0.03,0.34,Goal,14,Right Foot,,Cole Palmer,Pass (Live),Levi Colwill,Pass (Live),20
42,Jacob Brown,Luton Town,0.11,,Blocked,9,Left Foot,,Teden Mengi,Pass (Live),Andros Townsend,Fouled,20
45+4,Conor Gallagher,Chelsea,0.07,,Blocked,26,Left Foot,,Cole Palmer,Pass (Live),Thiago Silva,Pass (Live),20
48,Chiedozie Ogbene,Luton Town,0.21,,Blocked,5,Right Foot,,Andros Townsend,Pass (Live),Tahith Chong,Pass (Live),20
51,Cole Palmer,Chelsea,0.02,,Off Target,28,Left Foot,,Noni Madueke,Pass (Live),Conor Gallagher,Pass (Dead),20
53,Tahith Chong,Luton Town,0.06,,Blocked,17,Left Foot,,Alfie Doughty,Pass (Live),Andros Townsend,Pass (Live),20
61,Nicolas Jackson,Chelsea,0.06,0.03,Saved,24,Right Foot,,Nicolas Jackson,Take-On,Moises Caicedo,Pass (Live),20
68,Cole Palmer,Chelsea,0.02,,Blocked,24,Left Foot,,Noni Madueke,Pass (Dead),Noni Madueke,Pass (Live),20
70,Cole Palmer,Chelsea,0.96,0.97,Goal,6,Right Foot,,Cole Palmer,Take-On,Nicolas Jackson,Pass (Live),20
77,Noni Madueke,Chelsea,0.09,,Off Target,13,Right Foot,,Nicolas Jackson,Pass (Live),Conor Gallagher,Pass (Live),20
78,Ross Barkley,Luton Town,0.07,0.06,Saved,24,Right Foot,,Chiedozie Ogbene,Pass (Live),Albert Sambi Lokonga,Pass (Live),20
80,Elijah Adebayo,Luton Town,0.56,,Woodwork,5,Head,,Chiedozie Ogbene,Pass (Live),Carlton Morris,Pass (Live),20
80,Ross Barkley,Luton Town,0.19,0.47,Goal,7,Head,,Alfie Doughty,Pass (Dead),Elijah Adebayo,Shot,20
83,Ross Barkley,Luton Town,0.13,,Off Target,6,Right Foot,,Chiedozie Ogbene,Pass (Live),Carlton Morris,Pass (Live),20
83,Carlton Morris,Luton Town,0.21,0.66,Saved,5,Head,,Ross Barkley,Shot,,,20
86,Carlton Morris,Luton Town,0.25,0.39,Saved,8,Head,,Alfie Doughty,Pass (Dead),Tahith Chong,Fouled,20
87,Alfie Doughty,Luton Town,0.13,0.19,Saved,9,Head,,Chiedozie Ogbene,Pass (Live),Carlton Morris,Pass (Live),20
87,Elijah Adebayo,Luton Town,0.47,0.97,Goal,3,Right Foot,Volley,Alfie Doughty,Shot,,,20
3,Moussa Diaby,Aston Villa,0.06,,Off Target,10,Left Foot,Volley,Ezri Konsa,Pass (Live),Moussa Diaby,Pass (Live),20
13,Ollie Watkins,Aston Villa,0.06,0.07,Saved,11,Left Foot,Volley,Alex Moreno,Pass (Live),Leon Bailey,Pass (Live),20
25,Douglas Luiz,Aston Villa,0.07,,Blocked,26,Right Foot,"Free kick, Deflected",Moussa Diaby,Fouled,Clement Lenglet,Pass (Live),20
25,Leon Bailey,Aston Villa,0.01,,Blocked,25,Left Foot,Volley,Douglas Luiz,Shot,,,20
26,Josh Brownhill,Burnley,0.04,,Off Target,17,Right Foot,,Wilson Odobert,Pass (Live),Lyle Foster,Pass (Live),20
27,Dara O'Shea,Burnley,0.04,,Blocked,16,Left Foot,,Vitinho,Pass (Dead),,,20
27,Josh Brownhill,Burnley,0.07,0.16,Saved,22,Right Foot,,Dara O'Shea,Shot,,,20
28,Leon Bailey,Aston Villa,0.12,0.27,Goal,14,Left Foot,Deflected,Ollie Watkins,Pass (Live),Diego Carlos,Pass (Live),20
