Player,Position,Team,GW,FPTS,Ghost Points,Negative Fpts,Ros Rank,RKOV,RKPOS,Ros RankPOS,Started,GP,Home,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN,FP/G,Overperformance
Christian Eriksen,M,MUN,7,4.0,4.0,0.0,200,127,43,51,False,1,True,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,4.0,-8
Cameron Archer,F,SHU,7,4.0,4.0,-1.0,150,226,49,43,True,1,False,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,12,78,4.0,6
Vitaly Janelt,M,BRF,7,4.0,4.0,0.0,200,136,46,51,True,1,False,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,10,88,4.0,-5
Wilson Odobert,F,BUR,7,4.0,4.0,0.0,200,345,67,44,False,1,False,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,22,4.0,23
Andreas Pereira,M,FUL,7,3.5,3.5,-2.0,75,122,41,26,True,1,True,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,89,74,3.5,15
Marcus Tavernier,M,BOU,7,3.5,3.5,-0.5,81,170,57,29,True,1,True,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,54,58,3.5,28
Willian,F,FUL,7,3.5,3.5,-1.5,73,190,41,26,True,1,True,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,54,90,3.5,15
Beto,F,EVE,7,3.5,3.5,-0.5,116,209,47,33,False,1,True,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,41,29,3.5,14
Sofyan Amrabat,M,MUN,7,3.5,3.5,-3.0,200,348,97,51,True,1,True,0,0,0,0,3,2,1,0,0,2,1,0,1,1,0,0,0,1,0,38,90,3.5,46
Jarrad Branthwaite,D,EVE,7,3.5,3.5,-4.0,200,199,48,29,True,1,True,0,0,0,0,1,0,0,0,0,2,2,0,0,4,0,0,0,2,0,15,90,3.5,19
Emile Smith Rowe,M,ARS,7,3.5,3.5,-0.5,200,333,95,51,False,1,False,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3.5,44
Idrissa Gueye,M,EVE,7,3.5,3.5,0.0,200,178,59,51,True,1,True,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,2,0,7,45,3.5,8
Cauley Woodrow,F,LUT,7,3.5,3.5,0.0,200,276,59,44,False,1,False,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,3.5,15
Lucas Paqueta,M,WHU,7,3.0,2.0,-2.0,38,41,18,16,True,1,True,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,1,100,88,3.0,2
Casemiro,M,MUN,7,3.0,3.0,-3.5,72,76,27,24,True,1,True,0,1,0,0,2,3,1,0,0,0,1,2,0,1,0,0,0,1,0,98,90,3.0,3
Sandro Tonali,M,NEW,7,3.0,3.0,0.0,149,148,50,50,False,1,True,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,21,3.0,0
Said Benrahma,M,WHU,7,3.0,3.0,-1.0,108,139,47,41,False,1,True,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,17,3.0,6
Alejandro Garnacho,M,MUN,7,3.0,3.0,-0.5,200,286,84,51,False,1,True,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,52,28,3.0,33
Callum Hudson-Odoi,F,NOT,7,3.0,3.0,-1.0,112,192,42,31,True,1,True,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,43,59,3.0,11
Fabio Vieira,M,ARS,7,3.0,3.0,0.0,200,141,49,51,False,1,False,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,13,3.0,-2
Oliver McBurnie,F,SHU,7,3.0,3.0,-0.5,114,198,46,32,True,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,21,90,3.0,14
Charlie Taylor,D,BUR,7,3.0,3.0,-10.0,200,295,75,29,True,2,False,0,0,0,0,2,0,2,0,0,0,8,1,2,6,0,0,0,3,0,4,180,1.5,46
Divock Origi,F,NOT,7,3.0,3.0,0.0,200,625,73,44,False,1,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,9,3.0,29
Murillo,M,NOT,7,3.0,3.0,-0.5,200,363,100,51,True,1,True,0,0,0,0,0,1,0,0,0,1,11,1,1,1,0,0,0,1,0,1,90,3.0,49
Saman Ghoddos,F,BRF,7,3.0,3.0,0.0,200,335,66,44,False,1,False,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,3.0,22
Ian Maatsen,D,CHE,7,2.75,2.75,-0.5,200,340,84,29,False,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7,45,2.75,55
Mohamed Salah,F,LIV,7,2.5,2.5,-2.5,3,8,6,2,True,1,False,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,100,73,2.5,4
Philip Billing,M,BOU,7,2.5,2.5,0.0,133,111,38,46,True,1,True,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,72,74,2.5,-8
Alex Iwobi,M,FUL,7,2.5,2.5,-0.5,104,214,66,39,False,1,True,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,35,2.5,27
Edson Alvarez,M,WHU,7,2.5,1.5,-3.0,200,246,75,51,True,1,True,0,0,0,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,1,16,71,2.5,24
Joao Gomes,M,WOL,7,2.5,2.5,-0.5,200,154,54,51,True,1,True,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,10,66,2.5,3
Sasa Lukic,M,FUL,7,2.5,2.5,-0.5,200,267,80,51,False,1,True,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,2.5,29
Pelly Ruddock,M,LUT,7,2.5,2.5,-3.0,200,300,88,51,True,2,False,0,1,0,0,0,6,0,0,1,1,2,1,0,1,0,0,0,3,0,1,180,1.25,37
Tom Davies,M,SHU,7,2.5,2.5,-0.5,200,351,98,51,False,1,False,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,2.5,47
Matt Doherty,D,WOL,7,2.25,2.25,0.0,200,376,86,29,False,1,True,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,17,15,2.25,57
Chris Basham,D,SHU,7,2.25,2.25,0.0,200,271,69,29,False,1,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,2.25,40
Luis Diaz,F,LIV,7,2.0,2.0,-2.0,31,92,25,13,True,1,False,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,1,0,100,72,2.0,12
Anthony Elanga,F,NOT,7,2.0,2.0,0.0,147,107,30,42,True,1,True,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,44,60,2.0,-12
Dango Ouattara,F,BOU,7,2.0,2.0,0.0,143,279,60,41,False,1,True,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27,30,2.0,19
Anass Zaroury,F,BUR,7,2.0,2.0,0.0,200,727,77,44,False,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,2.0,33
Facundo Pellistri,M,MUN,7,2.0,2.0,-1.0,200,332,94,51,True,1,True,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,17,60,2.0,43
Harry Maguire,D,MUN,7,2.0,2.0,0.0,200,717,97,29,False,1,True,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,2.0,68
Reiss Nelson,F,ARS,7,2.0,2.0,0.0,200,331,65,44,False,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2.0,21
Neal Maupay,F,BRF,7,2.0,2.0,0.0,200,288,61,44,False,1,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,2.0,17
Will Hughes,M,CRY,7,2.0,1.0,-3.0,200,230,71,51,True,1,False,0,0,0,1,1,2,1,0,0,1,2,0,0,0,0,0,0,0,1,2,90,2.0,20
Keane Lewis-Potter,F,BRF,7,2.0,2.0,-1.0,200,304,62,44,True,1,False,0,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0,0,1,0,2,74,2.0,18
Rhian Brewster,F,SHU,7,2.0,2.0,0.0,200,375,71,44,False,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2.0,27
Jay Rodriguez,F,BUR,7,2.0,2.0,0.0,200,362,68,44,False,2,False,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,40,1.0,24
Donny van de Beek,M,MUN,7,2.0,2.0,0.0,200,378,105,51,False,1,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,54
Michael Olakigbe,F,BRF,7,2.0,2.0,0.0,200,370,70,44,False,1,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,26
Tim Ream,D,FUL,7,1.75,1.75,-4.0,200,163,36,29,True,1,True,0,0,0,0,1,0,0,0,0,1,3,0,0,3,0,0,0,2,0,30,90,1.75,7
Max Kilman,D,WOL,7,1.75,1.75,-2.0,200,166,38,29,True,1,True,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,1,0,23,90,1.75,9
Anel Ahmedhodzic,D,SHU,7,1.75,1.75,-4.5,200,325,83,29,True,1,False,0,0,0,1,1,1,0,0,0,0,1,0,1,2,0,0,0,2,0,12,90,1.75,54
Yves Bissouma,M,TOT,7,1.5,1.5,-2.5,79,79,28,28,True,1,True,0,0,0,0,3,1,1,0,0,1,2,0,0,0,0,0,0,1,0,81,88,1.5,0
Mateo Kovacic,M,MCI,7,1.5,1.5,-2.5,200,211,65,51,True,1,False,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,74,64,1.5,14
Joao Palhinha,M,FUL,7,1.5,1.5,-1.5,200,206,62,51,True,1,True,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,2,0,47,90,1.5,11
Nicolo Zaniolo,M,AVL,7,1.5,1.5,-2.0,200,242,74,51,True,1,True,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,38,56,1.5,23
Raul Jimenez,F,FUL,7,1.5,1.5,0.0,200,222,48,44,True,1,True,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,33,52,1.5,4
Harrison Reed,M,FUL,7,1.5,1.5,-1.5,200,149,51,51,True,1,True,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,8,64,1.5,0
Jean-Philippe Mateta,F,CRY,7,1.5,1.5,-4.0,200,186,40,44,True,1,False,0,2,0,0,1,8,0,0,0,0,1,0,0,1,0,0,0,0,1,8,90,1.5,-4
Nathan Patterson,D,EVE,7,1.5,1.5,-0.5,200,225,57,29,False,1,True,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,11,1.5,28
Anis Ben Slimane,M,SHU,7,1.5,1.5,-0.5,200,720,112,51,False,1,False,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.5,61
Frank Onyeka,M,BRF,7,1.5,1.5,-2.0,200,232,72,51,False,1,False,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1.5,21
Jairo Riedewald,M,CRY,7,1.5,1.5,0.0,200,383,107,51,False,1,False,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,1.5,56
Serge Aurier,D,NOT,7,1.25,1.25,-3.0,200,160,35,29,True,1,True,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,1,0,60,90,1.25,6
Rayan Ait-Nouri,D,WOL,7,1.25,1.25,-2.0,200,255,65,29,True,1,True,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,3,73,1.25,36
Toti,D,WOL,7,1.25,1.25,-2.0,200,347,85,29,True,1,True,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,90,1.25,56
Auston Trusty,D,SHU,7,1.25,1.25,0.0,200,395,91,29,False,1,False,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,1.25,62
Jack Grealish,M,MCI,7,1.0,1.0,-1.0,26,210,64,12,False,1,False,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,99,9,1.0,52
Matheus Nunes,M,MCI,7,1.0,1.0,0.0,200,175,58,51,True,1,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,78,45,1.0,7
Simon Adingra,F,BHA,7,1.0,1.0,-1.0,200,115,32,44,False,1,False,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,36,27,1.0,-12
Justin Kluivert,M,BOU,7,1.0,1.0,0.0,200,234,73,51,True,1,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,25,58,1.0,22
Ben Davies,D,TOT,7,1.0,1.0,0.0,200,290,73,29,False,1,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1.0,44
Kalvin Phillips,M,MCI,7,1.0,1.0,0.0,200,346,96,51,False,1,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,24,1.0,45
Vitinho,D,BUR,7,1.0,1.0,0.0,200,714,96,29,False,1,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.0,67
Boubacar Traore,M,WOL,7,1.0,1.0,0.0,200,373,104,51,False,1,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.0,53
Jonny,D,WOL,7,1.0,1.0,0.0,200,384,87,29,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1.0,58
Trent Alexander-Arnold,D,LIV,7,0.5,0.5,-2.5,8,116,26,2,False,1,False,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,15,0.5,24
Joel Matip,D,LIV,7,0.5,0.5,-9.0,200,197,47,29,True,1,False,0,0,0,0,0,0,0,0,0,1,10,0,1,5,0,0,1,2,0,22,90,0.5,18
Ameen Al Dakhil,D,BUR,7,0.5,0.5,-6.5,200,726,101,29,True,2,False,0,0,0,1,0,1,0,0,0,0,8,0,0,3,0,0,0,3,0,3,180,0.25,72
Cheikhou Kouyate,M,NOT,7,0.5,0.5,-0.5,200,327,93,51,False,1,True,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,12,0.5,42
Lucas Digne,D,AVL,7,0.25,0.25,-5.5,123,36,6,21,True,1,True,0,1,0,0,2,3,1,0,1,0,3,0,0,0,0,0,0,1,0,90,90,0.25,-15
Micky van de Ven,D,TOT,7,0.25,0.25,-2.0,200,168,40,29,True,1,True,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,61,90,0.25,11
Ashley Young,D,EVE,7,0.25,0.25,-4.0,200,250,62,29,True,1,True,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,17,77,0.25,33
Takehiro Tomiyasu,D,ARS,7,0.25,0.25,0.0,200,320,81,29,False,1,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,20,0.25,52
Chris Richards,D,CRY,7,0.25,0.25,0.0,200,711,95,29,False,1,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.25,66
Kyle Walker,D,MCI,7,0.0,0.0,-6.0,200,84,19,29,True,1,False,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,96,90,0.0,-10
Joelinton,M,NEW,7,0.0,0.0,0.0,113,189,60,43,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,0.0,17
Pau Torres,D,AVL,7,0.0,0.0,-2.0,200,216,53,29,True,1,True,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,58,90,0.0,24
Harry Wilson,M,FUL,7,0.0,0.0,-1.0,200,207,63,51,True,1,True,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,48,53,0.0,12
Youri Tielemans,M,AVL,7,0.0,0.0,0.0,200,371,103,51,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0.0,52
Jeffrey Schlupp,M,CRY,7,0.0,-1.0,-1.0,144,123,42,48,True,1,False,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,31,77,0.0,-6
Noni Madueke,F,CHE,7,0.0,0.0,0.0,200,368,69,44,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0.0,25
Aaron Ramsey,M,BUR,7,0.0,0.0,-2.0,200,306,89,51,True,2,False,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,2,0,17,80,0.0,38
Pierre-Emile Hojbjerg,M,TOT,7,0.0,0.0,0.0,200,387,108,51,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.0,57
Antoine Semenyo,F,BOU,7,0.0,0.0,-1.0,200,169,38,44,False,1,True,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,14,6,0.0,-6
Amari'i Bell,D,LUT,7,0.0,0.0,-2.0,200,302,77,29,True,2,False,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,110,0.0,48
Issa Diop,D,FUL,7,0.0,0.0,-4.5,200,228,58,29,True,1,True,0,0,0,0,1,1,0,0,0,1,2,0,0,2,0,0,0,2,0,12,90,0.0,29
Jacob Murphy,M,NEW,7,0.0,0.0,0.0,200,278,82,51,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.0,31
Valentino Livramento,D,NEW,7,0.0,0.0,0.0,200,393,90,29,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.0,61
Jorginho,M,ARS,7,0.0,0.0,0.0,200,352,99,51,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.0,48
Carlos Baleba,M,BHA,7,0.0,0.0,0.0,200,379,106,51,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0.0,55
Pablo Fornals,M,WHU,7,0.0,0.0,0.0,200,257,77,51,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,26
Chris Wood,F,NOT,7,0.0,0.0,0.0,200,241,53,44,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0.0,9
Konstantinos Mavropanos,D,WHU,7,0.0,0.0,0.0,200,587,93,29,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,64
Lesley Ugochukwu,F,CHE,7,0.0,0.0,0.0,200,305,63,44,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0.0,19
Oliver Skipp,M,TOT,7,0.0,0.0,0.0,200,713,111,51,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0,60
Joe Rothwell,M,BOU,7,0.0,0.0,0.0,200,274,81,51,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,0.0,30
Deivid Washington de Souza Eugenio,F,CHE,7,0.0,0.0,0.0,200,709,74,44,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30
Emiliano Marcondes Camargo Hansen,M,BOU,7,0.0,0.0,0.0,200,445,110,51,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59
Gabriel Osho,D,LUT,7,0.0,0.0,0.0,200,628,94,29,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65
Marc Jurado Gomez,D,MUN,7,0.0,0.0,0.0,200,558,92,29,True,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63
Jose Mateo Mejia Piedrahita,F,MUN,7,0.0,0.0,0.0,200,597,72,44,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28
Evan Ferguson,F,BHA,7,-0.5,-0.5,-0.5,66,53,17,22,True,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,99,45,-0.5,-5
Alexis Mac Allister,M,LIV,7,-0.5,-0.5,-2.5,106,196,61,40,True,1,False,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,95,79,-0.5,21
Ryan Gravenberch,M,LIV,7,-0.5,-0.5,-0.5,200,366,102,51,False,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,37,9,-0.5,51
Arnaut Danjuma Groeneveld,F,EVE,7,-0.5,-0.5,-0.5,105,153,35,29,False,1,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,-0.5,6
Tariq Lamptey,D,BHA,7,-0.5,-0.5,-6.5,200,266,67,29,False,1,False,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,3,0,15,45,-0.5,38
Wataru Endo,M,LIV,7,-0.5,-0.5,-0.5,200,365,101,51,False,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,16,-0.5,50
Alex Matos,F,CHE,7,-0.5,-0.5,-0.5,200,712,75,44,False,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,31
Ezri Konsa,D,AVL,7,-0.75,-0.75,-4.0,200,200,49,29,True,1,True,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,1,0,19,90,-0.75,20
Raheem Sterling,F,CHE,7,-1.0,-1.0,-2.0,36,57,19,14,False,1,False,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,99,24,-1.0,5
Nathan Ake,D,MCI,7,-1.0,-1.0,-4.0,200,138,32,29,True,1,False,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,94,79,-1.0,3
Ibrahima Konate,D,LIV,7,-1.0,-1.0,-2.0,130,265,66,23,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,68,15,-1.0,43
Mario Lemina,M,WOL,7,-1.0,-1.0,-2.0,200,150,52,51,True,1,True,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,12,90,-1.0,1
Ruben Dias,D,MCI,7,-1.25,-1.25,-9.0,200,183,44,29,True,1,False,0,1,0,1,0,0,0,0,0,2,3,0,1,0,0,0,1,2,0,96,90,-1.25,15
Danny Welbeck,F,BHA,7,-1.5,-1.5,-2.5,200,193,43,44,True,1,False,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,37,45,-1.5,-1
James Mcatee,M,SHU,7,-1.5,-1.5,-3.5,200,299,87,51,True,1,False,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,2,0,6,69,-1.5,36
Jhon Duran,F,AVL,7,-1.5,-1.5,-2.0,200,195,45,44,False,1,True,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,10,-1.5,1
Joel Veltman,D,BHA,7,-2.0,-2.0,-12.0,200,224,56,29,True,1,False,0,1,0,0,5,0,0,0,0,1,4,0,1,0,0,0,0,6,0,25,90,-2.0,27
Victor Lindelof,D,MUN,7,-2.0,-2.0,-2.5,200,270,68,29,True,1,True,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,11,87,-2.0,39
Fabio Silva,F,WOL,7,-2.0,-2.0,-2.0,200,237,52,44,False,1,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,-2.0,8
Alejo Veliz,F,TOT,7,-2.0,-2.0,-2.0,200,724,76,44,False,1,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2.0,32
Adam Smith,D,BOU,7,-2.0,-2.0,-2.0,200,723,99,29,False,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-2.0,70
Illia Zabarnyi,D,BOU,7,-2.25,-2.25,-8.0,200,219,54,29,True,1,True,0,0,0,0,2,0,0,0,0,0,3,1,2,0,0,0,0,4,0,7,90,-2.25,25
Jayden Bogle,D,SHU,7,-2.25,-2.25,-4.5,200,240,59,29,True,1,False,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,6,78,-2.25,30
John Egan,D,SHU,7,-2.25,-2.25,-4.0,200,309,79,29,True,1,False,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,6,55,-2.25,50
Timothy Castagne,D,FUL,7,-2.5,-2.5,-4.5,145,205,52,28,True,1,True,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,42,90,-2.5,24
Moussa Niakhate,D,NOT,7,-2.5,-2.5,-7.0,200,725,100,29,True,1,True,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,55,-2.5,71
Milos Kerkez,D,BOU,7,-3.0,-3.0,-6.5,200,252,63,29,True,1,True,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,3,0,27,82,-3.0,34
Marcos Senesi,D,BOU,7,-3.75,-3.75,-8.0,200,289,72,29,True,1,True,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,4,0,2,90,-3.75,43
Aaron Hickey,D,BRF,7,-4.25,-4.25,-4.5,200,386,88,29,True,1,False,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,10,68,-4.25,59
Diogo Jota,F,LIV,7,-5.5,-5.5,-7.5,45,96,27,15,False,1,False,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,98,23,-5.5,12
Max Aarons,D,BOU,7,-5.5,-5.5,-8.5,200,296,76,29,True,1,True,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,90,-5.5,47
Adam Webster,D,BHA,7,-5.5,-5.5,-12.0,200,391,89,29,True,1,False,0,0,0,0,1,0,0,0,0,1,2,0,2,2,0,0,0,6,0,6,90,-5.5,60
Pervis Estupinan,D,BHA,7,-6.75,-6.75,-11.0,33,54,11,3,True,1,False,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,3,0,100,45,-6.75,8
Curtis Jones,M,LIV,7,-7.0,-7.0,-7.0,200,388,109,51,True,1,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,25,-7.0,58
Lewis Dunk,D,BHA,7,-7.5,-7.5,-14.0,200,313,80,29,True,1,False,0,0,0,0,0,0,1,0,0,1,2,1,2,2,0,0,0,6,0,49,90,-7.5,51
