Player,Position,Team,GW,FPTS,Ghost Points,Negative Fpts,Ros Rank,RKOV,RKPOS,Ros RankPOS,Started,GP,Home,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN,FP/G,Overperformance
Jarrod Bowen,M,WHU,7,18.5,8.5,0.0,11,11,3,6,True,1,True,1,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,100,88,18.5,-3
Sander Berge,M,BUR,7,18.5,12.5,-0.5,200,165,56,51,True,2,False,0,3,1,0,1,1,0,0,0,2,5,0,1,6,0,0,0,3,0,6,177,9.25,5
Julian Alvarez,F,MCI,7,17.5,8.5,-2.5,9,6,3,3,True,1,False,1,3,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,100,90,17.5,0
Oleksandr Zinchenko,D,ARS,7,17.5,11.5,0.0,127,164,37,22,True,1,False,0,2,0,1,1,0,0,0,0,2,2,1,0,1,0,0,0,0,1,95,68,17.5,15
Richarlison,F,TOT,7,17.5,11.5,0.0,63,97,28,21,True,1,True,0,2,1,2,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,86,90,17.5,7
Tomas Soucek,M,WHU,7,17.0,7.0,-1.0,84,40,17,31,True,1,True,1,0,0,2,1,2,0,0,0,0,3,0,0,6,0,0,0,0,1,85,90,17.0,-14
Tom Lockyer,D,LUT,7,17.0,7.0,-6.0,200,184,45,29,True,2,False,1,0,0,1,1,0,0,0,0,2,8,0,1,5,0,0,0,3,0,19,145,8.5,16
Cody Gakpo,F,LIV,7,16.5,7.5,0.0,69,106,29,23,True,1,False,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,95,45,16.5,6
Nicolas Dominguez,M,NOT,7,16.5,7.5,0.0,200,229,70,51,True,1,True,1,0,0,1,4,0,0,0,0,0,3,0,0,3,0,0,0,1,0,3,79,16.5,19
Bukayo Saka,M,ARS,7,16.0,6.0,-0.5,4,1,1,2,True,1,False,1,0,0,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,100,75,16.0,-1
Eberechi Eze,M,CRY,7,16.0,9.0,0.0,20,12,4,10,True,1,False,0,2,1,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,1,100,87,16.0,-6
Miguel Almiron,M,NEW,7,16.0,6.0,0.0,64,99,34,22,True,1,True,1,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,1,95,88,16.0,12
Abdoulaye Doucoure,M,EVE,7,16.0,10.0,0.0,41,23,13,17,True,1,True,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,91,59,16.0,-4
Gabriel Jesus,F,ARS,7,15.5,9.5,-2.0,17,133,34,6,True,1,False,0,3,1,0,1,4,0,0,0,1,0,3,0,1,0,0,0,0,1,100,90,15.5,28
Jeremy Doku,F,MCI,7,15.5,15.5,-2.5,49,85,23,16,True,1,False,0,4,0,1,0,1,1,0,1,1,0,6,0,0,0,0,0,2,0,82,90,15.5,7
Dominic Calvert-Lewin,F,EVE,7,15.5,6.5,-2.0,71,161,37,25,True,1,True,1,0,0,2,0,4,0,0,0,0,1,0,0,9,0,0,0,2,0,72,90,15.5,12
John McGinn,M,AVL,7,15.5,9.5,-0.5,200,93,33,51,True,1,True,0,3,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,64,90,15.5,-18
Dan Burn,D,NEW,7,15.25,9.25,0.0,88,66,15,15,True,1,True,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,1,95,90,15.25,0
Emerson,D,WHU,7,15.0,9.0,0.0,200,124,28,29,True,1,False,0,1,0,0,2,0,0,0,1,2,4,1,0,0,0,0,0,0,1,52,90,15.0,-1
Emerson,D,WHU,7,15.0,9.0,0.0,200,124,28,29,True,1,True,0,1,0,0,2,0,0,0,1,2,4,1,0,0,0,0,0,0,1,52,90,15.0,-1
Son Heung-Min,F,TOT,7,14.5,5.5,-0.5,12,10,7,4,True,1,True,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,68,14.5,3
Eddie Nketiah,F,ARS,7,14.5,8.5,0.0,200,56,18,44,True,1,False,0,0,1,0,0,0,0,0,0,1,1,4,0,3,0,1,0,0,1,84,68,14.5,-26
Matheus Cunha,F,WOL,7,14.5,8.5,-1.0,124,68,21,35,True,1,True,0,2,1,0,1,2,0,0,0,0,2,3,1,1,0,0,0,1,0,57,85,14.5,-14
Joel Ward,D,CRY,7,14.25,8.25,-2.0,200,157,33,29,True,1,False,0,0,0,0,2,0,1,0,0,2,5,0,1,4,0,0,0,0,1,10,90,14.25,4
Virgil van Dijk,D,LIV,7,14.0,7.0,-6.0,40,89,20,6,True,1,False,0,1,1,0,0,0,1,0,0,2,8,0,6,1,0,0,0,2,0,100,90,14.0,14
Marc Guehi,D,CRY,7,14.0,8.0,0.0,200,102,23,29,True,1,False,0,0,0,0,1,0,0,0,0,2,8,0,2,1,0,0,0,0,1,50,90,14.0,-6
Dejan Kulusevski,M,TOT,7,13.5,13.5,-0.5,27,19,11,13,True,1,True,0,5,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,100,90,13.5,-2
Matty Cash,D,AVL,7,13.5,6.5,-2.0,67,71,17,13,True,1,True,0,1,1,0,4,0,0,0,0,1,2,0,1,0,0,0,0,1,0,96,90,13.5,4
Kurt Zouma,D,WHU,7,13.5,7.5,0.0,134,95,21,24,True,1,True,0,1,0,0,0,0,0,0,0,1,6,0,1,2,0,0,0,0,1,65,90,13.5,-3
Hwang Hee-Chan,F,WOL,7,13.5,4.5,-2.5,200,77,22,44,True,1,True,1,0,0,1,0,1,1,0,0,1,0,4,0,0,0,0,0,1,0,28,85,13.5,-22
Anthony Gordon,M,NEW,7,13.0,6.0,-3.0,61,16,8,20,True,1,True,0,0,1,1,2,2,1,0,0,0,0,2,0,2,0,1,0,0,1,96,90,13.0,-12
Josh Brownhill,M,BUR,7,13.0,13.0,-1.0,135,135,45,47,True,2,False,0,4,0,0,2,2,0,0,0,2,3,0,1,2,0,0,0,3,0,57,180,6.5,-2
Armando Broja,F,CHE,7,13.0,4.0,-0.5,138,269,57,40,True,1,False,1,0,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,12,64,13.0,17
Tyrick Mitchell,D,CRY,7,12.75,6.75,0.0,200,126,30,29,True,1,False,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,1,32,90,12.75,1
Douglas Luiz,M,AVL,7,12.5,3.5,-2.5,68,49,21,23,True,1,True,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,97,90,12.5,-2
Joao Pedro,F,BHA,7,12.5,6.5,-1.0,51,44,16,17,False,1,False,0,2,1,0,0,2,0,0,0,0,0,3,0,1,0,0,0,3,0,95,45,12.5,-1
Issa Kabore,D,LUT,7,12.5,12.5,-6.0,200,158,34,29,True,2,False,0,1,0,0,5,0,1,0,2,2,6,0,1,5,0,0,0,2,0,39,151,6.25,5
Elijah Adebayo,F,LUT,7,12.5,3.5,-0.5,200,194,44,44,False,2,False,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,7,38,6.25,0
Jamaal Lascelles,D,NEW,7,12.25,6.25,0.0,200,273,70,29,True,1,True,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,7,90,12.25,41
James Maddison,M,TOT,7,12.0,12.0,0.0,5,4,2,3,True,1,True,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,88,12.0,-1
Jacob Ramsey,M,AVL,7,12.0,3.0,-0.5,83,253,76,30,False,1,True,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,64,32,12.0,46
Amadou Onana,M,EVE,7,12.0,12.0,0.0,200,108,37,51,True,1,True,0,1,0,1,2,0,0,0,0,1,1,2,0,6,0,0,0,2,0,28,90,12.0,-14
Jordan Beyer,D,BUR,7,11.75,11.75,-8.0,200,248,61,29,True,2,False,0,0,0,0,2,0,1,0,0,3,11,0,4,8,0,0,0,3,0,11,180,5.88,32
Harry Toffolo,D,NOT,7,11.75,4.75,0.0,200,281,71,29,False,1,True,0,1,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,29,11.75,42
Bryan Mbeumo,F,BRF,7,11.5,11.5,-1.0,25,22,9,10,True,1,False,0,4,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,1,0,100,90,11.5,-1
Jacob Bruun Larsen,F,BUR,7,11.5,2.5,-0.5,200,227,50,44,False,2,False,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,45,5.75,6
Bruno Fernandes,M,MUN,7,11.0,11.0,0.0,2,14,6,1,True,1,True,0,3,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,100,90,11.0,5
Mykhailo Mudryk,M,CHE,7,11.0,2.0,0.0,94,155,55,35,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,45,11.0,20
Ansu Fati,F,BHA,7,11.0,2.0,-2.5,110,251,54,30,False,1,False,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,70,45,11.0,24
Cole Palmer,M,CHE,7,11.0,4.0,-3.0,87,218,67,33,True,1,False,0,1,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,1,46,77,11.0,34
Josh Cullen,M,BUR,7,11.0,11.0,0.0,200,140,48,51,True,2,False,0,0,0,0,4,0,0,0,0,3,4,1,2,2,0,0,0,3,0,14,180,5.5,-3
Connor Roberts,D,BUR,7,10.75,3.75,-8.0,200,729,102,29,True,2,False,0,2,1,0,1,0,1,0,0,0,11,0,2,2,0,0,0,3,0,8,177,5.38,73
Mathias Jensen,M,BRF,7,10.5,4.5,-1.5,46,21,12,19,True,1,False,0,2,1,0,1,3,0,0,0,1,2,0,0,0,0,0,0,1,0,97,68,10.5,-7
Fabian Schar,D,NEW,7,10.5,4.5,0.0,52,132,31,9,True,1,True,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,1,93,90,10.5,22
