Player,Team,Position,Gw,Fpts,Started,Opponent,Home,Fp/g,Ros rank,Rkov,G,Kp,At,Sot,Tkw,Dis,Yc,Rc,Acnc,Int,Clr,Cos,Bs,Aer,Pkm,Pkd,Og,Gao,Cs,Team_long,Ros %,Gp,Min
Mohamed Salah,LIV,F,5,26.5,1.0,,False,26.5,,8,0,5,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,100%,1,88
Bernardo Silva,MCI,M,5,26.5,1.0,,False,26.5,,129,1,4,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,,98%,1,88
Dejan Kulusevski,TOT,M,5,25.5,1.0,,True,25.5,,19,1,5,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,100%,1,90
Jeremy Doku,MCI,F,5,24.5,1.0,,False,24.5,,80,1,3,0,2,2,0,0,0,0,0,0,3,0,1,0,0,0,1,0,,82%,1,88
Erling Haaland,MCI,F,5,23.5,1.0,,False,23.5,,2,1,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,100%,1,88
Callum Hudson-Odoi,NOT,F,5,22.0,1.0,,True,22.0,,181,1,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,,43%,1,70
Julian Alvarez,MCI,F,5,21.0,1.0,,False,21.0,,6,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,100%,1,90
Andrew Robertson,LIV,D,5,21.0,1.0,,False,21.0,,30,1,2,0,1,2,1,0,0,2,2,2,0,0,1,0,0,0,1,0,,100%,1,90
Leandro Trossard,ARS,M,5,21.0,0.0,,False,21.0,,153,1,2,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,,90%,1,65
Pedro Neto,WOL,F,5,20.5,1.0,,True,20.5,,7,0,4,1,0,1,1,0,0,0,1,0,4,1,0,0,0,0,3,0,,96%,1,90
Pedro Neto,WOL,F,5,20.5,1.0,,True,20.5,,7,0,4,1,0,1,1,0,0,0,1,0,4,1,0,0,0,0,3,0,,96%,1,90
Douglas Luiz,AVL,M,5,19.5,1.0,,True,19.5,,48,1,1,0,1,4,1,0,0,1,1,1,1,0,0,0,0,0,1,0,,97%,1,90
James Ward-Prowse,WHU,M,5,19.5,1.0,,True,19.5,,13,1,2,0,2,0,1,0,0,0,2,2,0,1,0,0,0,0,3,0,,85%,1,90
