Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min
Zeki Amdouni,BUR,F,1,14.0,,MCI,True,14.0,200,139,9,0,0,4,0,-0.0,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,Burnley,35%,1,63
Lloyd Kelly,BOU,D,1,14.0,,,,14.0,200,243,0,2,0,0,1,-0.0,0,0,0,1,1.0,0,1,2.0,0,0,0,0,6,,1%,1,90
Rodri,MCI,M,1,13.5,,BUR,False,13.5,36,54,0,8,0,4,0,-0.0,-2,0,0,1,0.0,2,0,0.5,0,0,0,0,0,Manchester City,99%,1,90
Issa Kabore,LUT,D,1,13.5,,BHA,False,13.5,200,197,0,6,0,0,0,-0.0,0,0,4,1,0.5,1,1,2.0,0,0,0,-2,0,Luton Town,39%,1,90
Vladimir Coufal,WHU,D,1,13.25,,BOU,False,13.25,137,32,0,2,7,0,4,-0.0,0,0,1,2,0.25,0,1,2.0,0,0,0,-6,0,West Ham,74%,1,86
Sven Botman,NEW,D,1,13.0,,AVL,True,13.0,103,68,0,2,0,0,0,-0.0,0,0,0,0,1.0,0,1,3.0,0,0,0,0,6,Newcastle Utd,97%,1,90
Leon Bailey,AVL,F,1,13.0,,NEW,False,13.0,200,117,9,0,0,2,0,-0.5,-2,0,1,1,0.0,2,0,0.5,0,0,0,0,0,Aston Villa,56%,1,32
Ryan Christie,BOU,M,1,13.0,,WHU,True,13.0,133,76,0,6,0,0,0,-0.0,0,0,3,1,0.0,2,0,0.0,0,0,0,0,1,Bournemouth,34%,1,88
Kenny Tete,FUL,D,1,12.75,,EVE,False,12.75,200,208,0,0,0,0,0,-0.5,0,0,3,2,0.25,1,0,1.0,0,0,0,0,6,Fulham,69%,1,90
Ollie Watkins,AVL,F,1,12.5,,NEW,False,12.5,21,3,0,2,6,2,0,-0.0,0,0,0,0,0.0,0,0,0.5,0,2,0,0,0,Aston Villa,100%,1,88
Mathias Jensen,BRF,M,1,12.5,,TOT,True,12.5,54,21,0,6,0,0,2,-0.5,0,0,1,3,0.0,0,1,0.0,0,0,0,0,0,Brentford,97%,1,90
Manor Solomon,TOT,F,1,12.5,,,,12.5,70,81,0,8,0,2,0,-0.5,-2,0,1,0,0.0,4,0,0.0,0,0,0,0,0,,62%,1,79
Jhon Duran,AVL,F,1,12.5,,,,12.5,200,187,9,0,0,4,1,-0.0,-2,0,0,0,0.0,0,0,0.5,0,0,0,0,0,,5%,1,18
Levi Colwill,CHE,D,1,12.25,,LIV,True,12.25,200,114,0,0,0,4,1,-0.0,0,0,0,0,0.25,0,1,0.0,0,0,0,0,6,Chelsea,89%,1,79
Max Aarons,BOU,D,1,12.25,,WHU,True,12.25,200,292,0,2,0,0,1,-1.5,0,0,1,3,0.75,0,0,0.0,0,0,0,0,6,Bournemouth,7%,1,90
Bukayo Saka,ARS,M,1,12.0,,NOT,True,12.0,4,1,0,2,6,0,1,-1.0,0,0,1,0,0.0,2,0,0.0,0,0,0,0,1,Arsenal,100%,1,90
Morgan Gibbs-White,NOT,M,1,12.0,,ARS,False,12.0,19,46,0,4,0,2,1,-0.0,0,0,0,0,0.0,4,0,1.0,0,0,0,0,0,Nott'ham Forest,99%,1,90
Taiwo Awoniyi,NOT,F,1,12.0,,ARS,False,12.0,60,31,0,4,6,0,1,-0.0,0,0,0,0,0.0,0,0,1.0,0,0,0,0,0,Nott'ham Forest,95%,1,87
Cody Gakpo,LIV,F,1,11.5,,CHE,False,11.5,59,102,9,0,0,2,0,-0.5,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,Liverpool,95%,1,55
Gabriel Magalhaes,ARS,D,1,11.5,,,,11.5,121,148,0,0,0,0,0,-0.0,-2,0,0,0,0.5,0,2,5.0,0,0,0,0,6,,87%,1,90
Joao Gomes,WOL,M,1,11.5,,MUN,False,11.5,200,151,0,4,0,0,5,-0.5,0,0,0,2,0.0,1,0,0.0,0,0,0,0,0,Wolves,10%,1,90
Yoane Wissa,BRF,F,1,11.0,,TOT,True,11.0,53,37,0,2,0,2,1,-1.0,-2,0,1,0,0.0,4,1,3.0,0,0,0,0,0,Brentford,93%,1,90
Cheick Doucoure,CRY,M,1,11.0,,SHU,False,11.0,200,101,0,2,0,0,2,-0.0,0,0,0,4,0.0,3,0,0.0,0,0,0,0,0,Crystal Palace,33%,1,88
Hwang Hee-Chan,WOL,F,1,11.0,,,,11.0,200,72,9,0,0,2,0,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,28%,1,59
Jacob Brown,LUT,F,1,11.0,,BHA,False,11.0,200,205,0,4,0,0,3,-1.0,0,0,1,2,0.0,1,0,1.0,0,0,0,0,0,Luton Town,12%,1,73
Hannibal Mejbri,MUN,M,1,11.0,,,,11.0,200,230,9,0,0,2,1,-0.0,-2,0,0,0,0.0,1,0,0.0,0,0,0,0,0,,11%,1,25
Tim Ream,FUL,D,1,10.75,,EVE,False,10.75,200,168,0,0,0,0,2,-0.0,0,0,0,0,0.75,0,0,2.0,0,0,0,0,6,Fulham,29%,1,90
Martin Odegaard,ARS,M,1,10.5,,NOT,True,10.5,15,18,0,6,0,4,0,-1.5,0,0,0,0,0.0,1,0,0.0,0,0,0,0,1,Arsenal,100%,1,90
Moussa Diaby,AVL,F,1,10.5,,NEW,False,10.5,31,20,0,4,6,0,0,-0.5,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,Aston Villa,97%,1,90
Anthony Gordon,NEW,M,1,10.5,,AVL,True,10.5,63,16,0,0,6,0,2,-1.5,-2,0,1,0,0.0,2,0,0.0,0,2,0,0,1,Newcastle Utd,96%,1,90
Malo Gusto,CHE,D,1,10.5,,LIV,True,10.5,200,124,0,0,0,0,2,-0.0,0,0,0,0,0.5,2,0,0.0,0,0,0,0,6,Chelsea,55%,1,90
Carlos Vinicius,FUL,F,1,10.5,,,,10.5,200,289,9,0,0,2,0,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,9%,1,27
Marcus Rashford,MUN,F,1,10.0,,WOL,True,10.0,22,41,0,2,0,4,0,-1.0,0,0,0,0,0.0,5,0,0.0,0,0,0,0,0,Manchester Utd,100%,1,90
Yves Bissouma,TOT,M,1,10.0,,BRF,False,10.0,68,74,0,6,0,2,1,-2.5,-2,0,0,1,0.0,4,0,0.5,0,0,0,0,0,Tottenham,81%,1,90
Jack Robinson,SHU,D,1,9.75,,CRY,True,9.75,200,288,0,2,7,0,1,-0.0,-2,0,0,0,0.75,1,3,1.0,0,0,0,-4,0,Sheffield Utd,2%,1,90
William Saliba,ARS,D,1,9.5,,NOT,True,9.5,108,98,0,0,0,0,0,-0.0,0,0,0,0,0.5,0,2,1.0,0,0,0,0,6,Arsenal,98%,1,90
Oleksandr Zinchenko,ARS,D,1,9.5,,,,9.5,130,158,0,2,0,0,2,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,6,,95%,1,79
Pape Sarr,TOT,M,1,9.5,,,,9.5,115,65,0,4,0,4,0,-0.5,0,0,0,1,0.0,1,0,0.0,0,0,0,0,0,,76%,1,79
Marcus Tavernier,BOU,M,1,9.5,,,,9.5,82,162,0,2,0,2,1,-0.0,0,0,0,0,0.0,3,0,0.5,0,0,0,0,1,,54%,1,72
Scott McKenna,NOT,D,1,9.25,,ARS,False,9.25,200,138,0,2,0,0,0,-0.0,0,0,0,1,1.25,0,1,6.0,0,0,0,-2,0,Nott'ham Forest,13%,1,90
Jayden Bogle,SHU,D,1,9.25,,,,9.25,200,234,0,2,0,0,0,-0.5,0,0,0,1,0.75,0,0,0.0,0,0,0,0,6,,6%,1,85
Declan Rice,ARS,M,1,9.0,,NOT,True,9.0,66,67,0,2,0,0,0,-0.0,0,0,0,3,0.0,3,0,0.0,0,0,0,0,1,Arsenal,98%,1,90
Callum Wilson,NEW,F,1,9.0,,AVL,True,9.0,55,61,9,0,0,2,0,-3.5,-2,0,0,0,0.0,3,0,0.5,0,0,0,0,0,Newcastle Utd,97%,1,90
Abdoulaye Doucoure,EVE,M,1,9.0,,FUL,True,9.0,46,23,0,4,0,0,4,-0.0,0,0,0,0,0.0,1,0,0.0,0,0,0,0,0,Everton,91%,1,79
Andreas Pereira,FUL,M,1,9.0,,EVE,False,9.0,67,132,0,8,0,0,0,-1.5,0,0,1,0,0.0,0,0,0.5,0,0,0,0,1,Fulham,89%,1,80
Axel Disasi,CHE,D,1,9.0,,LIV,True,9.0,128,94,0,0,0,0,0,-0.0,-2,0,0,0,1.0,0,4,0.0,0,0,0,0,6,Chelsea,79%,1,90
Eberechi Eze,CRY,M,1,8.5,,SHU,False,8.5,6,12,0,0,0,4,1,-2.0,-2,0,0,0,0.0,7,0,0.5,0,0,0,0,0,Crystal Palace,100%,1,90
Marvelous Nakamba,LUT,M,1,8.5,,BHA,False,8.5,200,122,0,0,0,0,5,-0.0,0,0,0,1,0.0,0,2,0.5,0,0,0,0,0,Luton Town,29%,1,90
Milos Kerkez,BOU,D,1,8.5,,WHU,True,8.5,200,247,0,0,0,0,1,-0.0,-2,0,1,2,0.5,0,0,0.0,0,0,0,0,6,Bournemouth,27%,1,72
Ibrahim Sangare,NOT,M,1,8.5,,,,8.5,200,274,0,0,0,0,4,-0.0,0,0,0,3,0.0,0,1,0.5,0,0,0,0,0,,10%,1,90
Illia Zabarnyi,BOU,D,1,8.5,,WHU,True,8.5,200,213,0,0,0,0,0,-0.0,0,0,0,1,0.5,1,0,0.0,0,0,0,0,6,Bournemouth,7%,1,90
Pedro Porro,TOT,D,1,8.0,,,,8.0,38,50,0,8,0,0,0,-0.0,0,0,1,0,0.0,1,0,0.0,0,0,0,-2,0,,99%,1,88
Vinicius de Souza Costa,SHU,M,1,8.0,,,,8.0,200,157,0,0,0,0,1,-0.0,0,0,0,4,0.0,1,1,1.0,0,0,0,0,0,,3%,1,90
Kyle Walker,MCI,D,1,7.5,,BUR,False,7.5,200,79,0,4,0,0,2,-1.0,0,0,1,1,0.5,0,0,2.0,0,0,0,-2,0,Manchester City,96%,1,90
Conor Gallagher,CHE,M,1,7.5,,LIV,True,7.5,150,108,0,2,0,2,0,-1.0,0,0,0,2,0.0,0,1,0.5,0,0,0,0,1,Chelsea,77%,1,90
Vitaly Janelt,BRF,M,1,7.5,,TOT,True,7.5,200,130,0,4,0,0,2,-0.0,0,0,0,0,0.0,1,0,0.5,0,0,0,0,0,Brentford,10%,1,71
Thiago Silva,CHE,D,1,7.25,,LIV,True,7.25,95,90,0,0,0,0,0,-0.0,0,0,0,1,0.25,0,0,0.0,0,0,0,0,6,Chelsea,91%,1,90
Joel Veltman,BHA,D,1,7.25,,LUT,True,7.25,200,217,0,0,0,0,3,-0.0,0,0,0,1,1.25,1,2,1.0,0,0,0,-2,0,Brighton,25%,1,90
Reece Burke,LUT,D,1,7.25,,,,7.25,200,241,0,0,0,0,2,-0.5,0,0,0,0,0.75,0,2,5.0,0,0,0,-2,0,,3%,1,80
Luis Diaz,LIV,F,1,7.0,,CHE,False,7.0,30,86,0,4,0,2,1,-0.5,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,Liverpool,100%,1,45
Elliot Anderson,NEW,M,1,7.0,,AVL,True,7.0,200,110,0,0,0,0,2,-0.5,0,0,0,0,0.0,3,0,1.5,0,0,0,0,1,Newcastle Utd,28%,1,90
Ivan Perisic,TOT,M,1,7.0,,BRF,False,7.0,200,194,0,2,6,0,0,-0.0,-2,0,0,0,0.0,0,0,1.0,0,0,0,0,0,Tottenham,23%,1,9
Jean-Philippe Mateta,CRY,F,1,7.0,,,,7.0,200,179,0,2,6,0,1,-2.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,8%,1,64
Idrissa Gueye,EVE,M,1,7.0,,,,7.0,200,171,0,2,0,2,1,-1.0,0,0,1,2,0.0,0,0,0.0,0,0,0,0,0,,7%,1,90
James Tarkowski,EVE,D,1,6.75,,FUL,True,6.75,62,57,0,0,0,0,1,-0.0,0,0,0,1,0.75,0,3,3.0,0,0,0,-2,0,Everton,93%,1,90
Mads Roerslev,BRF,D,1,6.75,,TOT,True,6.75,200,249,0,4,0,0,1,-0.0,0,0,1,1,0.75,1,0,0.0,0,0,0,-2,0,Brentford,4%,1,47
Bruno Fernandes,MUN,M,1,6.5,,WOL,True,6.5,2,14,0,4,0,2,0,-0.5,-2,0,1,0,0.0,2,0,0.0,0,0,0,0,0,Manchester Utd,100%,1,90
Phil Foden,MCI,M,1,6.5,,BUR,False,6.5,9,17,0,4,0,2,1,-0.5,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,Manchester City,100%,1,66
Raheem Sterling,CHE,F,1,6.5,,LIV,True,6.5,34,52,0,6,0,0,0,-0.5,-2,0,0,0,0.0,3,0,0.0,0,0,0,0,0,Chelsea,100%,1,90
Ruben Dias,MCI,D,1,6.5,,,,6.5,200,176,0,0,0,4,0,-0.0,0,0,0,2,0.5,0,0,2.0,0,0,0,-2,0,,96%,1,90
Philip Billing,BOU,M,1,6.5,,WHU,True,6.5,139,107,0,2,0,0,1,-0.0,0,0,0,1,0.0,1,0,0.5,0,0,0,0,1,Bournemouth,72%,1,90
Luca Koleosho,BUR,F,1,6.5,,MCI,True,6.5,200,136,0,4,0,0,0,-1.5,0,0,0,0,0.0,4,0,0.0,0,0,0,0,0,Burnley,26%,1,75
Mario Lemina,WOL,M,1,6.5,,MUN,False,6.5,200,147,0,0,0,0,4,-0.0,0,0,0,2,0.0,0,0,0.5,0,0,0,0,0,Wolves,12%,1,77
Harvey Elliott,LIV,M,1,6.5,,CHE,False,6.5,200,291,0,2,6,0,0,-0.0,-2,0,0,0,0.0,0,0,0.5,0,0,0,0,0,Liverpool,7%,1,33
James Mcatee,SHU,M,1,6.5,,BUR,False,6.5,200,295,0,0,0,4,1,-0.5,0,0,0,0,0.0,1,0,0.0,0,0,0,0,1,Manchester City,6%,1,69
Will Hughes,CRY,M,1,6.5,,,,6.5,200,222,0,0,0,0,2,-0.5,-2,0,0,1,0.0,2,4,0.0,0,0,0,0,0,,2%,1,90
Ethan Pinnock,BRF,D,1,6.25,,TOT,True,6.25,40,58,0,2,0,0,0,-0.0,0,0,0,1,2.25,0,0,3.0,0,0,0,-2,0,Brentford,97%,1,90
Jarell Quansah,LIV,D,1,6.25,,,,6.25,200,311,0,0,0,0,3,-0.0,0,0,0,2,1.25,0,0,2.0,0,0,0,-2,0,,2%,1,82
Dominik Szoboszlai,LIV,M,1,6.0,,CHE,False,6.0,27,26,0,2,0,2,2,-0.5,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,Liverpool,100%,1,90
Bruno Guimaraes,NEW,M,1,6.0,,AVL,True,6.0,114,34,0,2,0,2,0,-0.5,-2,0,0,0,0.0,2,1,0.5,0,0,0,0,1,Newcastle Utd,98%,1,90
Tomas Soucek,WHU,M,1,6.0,,BOU,False,6.0,104,39,0,2,0,0,0,-0.0,-2,0,0,0,0.0,0,3,3.0,0,0,0,0,0,West Ham,85%,1,86
Matheus Cunha,WOL,F,1,6.0,,MUN,False,6.0,131,64,0,0,0,2,1,-0.5,0,0,0,0,0.0,3,0,0.5,0,0,0,0,0,Wolves,57%,1,60
Sean Longstaff,NEW,M,1,6.0,,AVL,True,6.0,200,82,0,2,0,0,2,-1.0,0,0,1,0,0.0,0,1,0.0,0,0,0,0,1,Newcastle Utd,42%,1,90
Fabio Vieira,ARS,M,1,6.0,,,,6.0,147,137,0,0,0,0,1,-0.0,0,0,2,1,0.0,1,0,0.0,0,0,0,0,1,,41%,1,79
