Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min
Kieran Trippier,NEW,D,6,44.5,,,,44.5,7,5,0,10,21,0,2,-0.5,0,0,2,0,0.0,1,1,2.0,0,0,0,0,6,,100%,1,69
James Tarkowski,EVE,D,6,34.0,,BRF,False,34.0,62,57,10,8,7,2,0,-0.0,0,0,0,0,1.0,0,0,8.0,0,0,0,-2,0,EVE,93%,1,90
Bukayo Saka,ARS,M,6,33.0,,,,33.0,4,1,9,8,6,4,3,-1.5,0,0,1,1,0.0,2,0,0.5,0,0,0,0,0,,100%,1,88
Anthony Gordon,NEW,M,6,32.5,,,,32.5,63,16,9,6,6,6,2,-1.0,0,0,0,1,0.0,2,0,0.5,0,0,0,0,1,,96%,1,77
Bruno Guimaraes,NEW,M,6,32.0,,,,32.0,114,34,9,8,6,2,2,-0.0,0,0,0,1,0.0,2,0,1.0,0,0,0,0,1,,98%,1,80
Virgil van Dijk,LIV,D,6,27.25,,,,27.25,44,84,0,4,7,0,1,-0.0,0,0,0,3,1.25,0,1,12.0,0,0,0,-2,0,,100%,1,90
Son Heung-Min,TOT,F,6,26.0,,,,26.0,11,10,18,4,0,4,0,-0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,100%,1,78
Dan Burn,NEW,D,6,25.5,,,,25.5,93,62,10,0,0,2,2,-0.5,0,0,1,1,1.0,1,0,2.0,0,0,0,0,6,,95%,1,90
Kaoru Mitoma,BHA,M,6,23.0,,,,23.0,10,15,18,0,0,4,1,-0.5,0,0,0,0,0.0,0,0,0.5,0,0,0,0,0,,100%,1,45
Bruno Fernandes,MUN,M,6,22.5,,BUR,False,22.5,2,14,9,4,0,6,0,-0.0,0,0,0,2,0.0,0,0,0.5,0,0,0,0,1,MUN,100%,1,90
Sven Botman,NEW,D,6,22.5,,,,22.5,103,68,10,0,0,2,0,-0.0,0,0,0,1,0.5,0,0,3.0,0,0,0,0,6,,97%,1,90
Mohamed Salah,LIV,F,6,22.0,,,,22.0,3,8,9,4,0,4,1,-0.0,0,0,0,0,0.0,2,0,0.0,0,2,0,0,0,,100%,1,90
Jonny Evans,MUN,D,6,21.0,,BUR,False,21.0,200,233,0,2,7,0,0,-0.0,0,0,0,1,2.0,0,0,3.0,0,0,0,0,6,MUN,5%,1,88
James Maddison,TOT,M,6,20.5,,,,20.5,5,4,0,6,12,0,1,-0.5,0,0,0,0,0.0,2,0,0.0,0,0,0,0,0,,100%,1,77
Antonee Robinson,FUL,D,6,20.5,,CRY,False,20.5,200,211,0,4,0,0,2,-0.0,0,0,1,4,0.5,1,0,2.0,0,0,0,0,6,FUL,54%,1,90
Phil Foden,MCI,M,6,20.0,,NOT,True,20.0,9,17,9,2,0,2,2,-0.0,0,0,0,1,0.0,3,0,0.0,0,0,0,0,1,MCI,100%,1,86
James Garner,EVE,M,6,19.0,,BRF,False,19.0,141,75,0,8,6,0,3,-0.5,0,0,1,0,0.0,0,1,0.5,0,0,0,0,0,EVE,37%,1,90
Elliot Anderson,NEW,M,6,19.0,,,,19.0,200,110,0,6,6,2,3,-1.5,0,0,0,0,0.0,0,2,0.5,0,0,0,0,1,,28%,1,90
Sean Longstaff,NEW,M,6,18.5,,,,18.5,200,82,9,0,6,2,0,-0.5,0,0,0,1,0.0,0,0,0.0,0,0,0,0,1,,42%,1,90
Callum Wilson,NEW,F,6,18.0,,,,18.0,55,61,9,0,0,10,0,-1.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,97%,1,69
Carlton Morris,LUT,F,6,17.0,,WOL,True,17.0,85,44,9,2,0,4,0,-1.5,0,0,0,0,0.0,2,0,1.5,0,0,0,0,0,LUT,95%,1,90
