Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Vladimir Coufal,WHU,D,1,13.25,1.0,BOU,False,13.25,137,32,0,1,1,0,4,0,0,0,1,2,1,0,1,2,0,0,0,3,0,West Ham,74%,1,86,7.2
Sven Botman,NEW,D,1,13.0,1.0,AVL,True,13.0,103,68,0,1,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,1,Newcastle Utd,97%,1,90,9.1
Leon Bailey,AVL,F,1,13.0,1.0,NEW,False,13.0,200,117,1,0,0,1,0,1,1,0,1,1,0,2,0,1,0,0,0,0,0,Aston Villa,56%,1,32,6.8
Ryan Christie,BOU,M,1,13.0,1.0,WHU,True,13.0,133,76,0,3,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,1,Bournemouth,34%,1,88,7.6
Kenny Tete,FUL,D,1,12.75,1.0,EVE,False,12.75,200,208,0,0,0,0,0,1,0,0,3,2,1,1,0,1,0,0,0,0,1,Fulham,69%,1,90,3.8
Ollie Watkins,AVL,F,1,12.5,1.0,NEW,False,12.5,21,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Aston Villa,100%,1,88,11.4
Mathias Jensen,BRF,M,1,12.5,1.0,TOT,True,12.5,54,21,0,3,0,0,2,1,0,0,1,3,1,0,1,0,0,0,0,1,0,Brentford,97%,1,90,12.7
Manor Solomon,TOT,F,1,12.5,,,,12.5,70,81,0,4,0,1,0,1,1,0,1,0,0,4,0,0,0,0,0,1,0,,62%,1,79,inf
Jhon Duran,AVL,F,1,12.5,,,,12.5,200,187,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,5%,1,18,inf
Levi Colwill,CHE,D,1,12.25,1.0,LIV,True,12.25,200,114,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Chelsea,89%,1,79,6.9
Max Aarons,BOU,D,1,12.25,1.0,WHU,True,12.25,200,292,0,1,0,0,1,3,0,0,1,3,3,0,0,0,0,0,0,0,1,Bournemouth,7%,1,90,2.6
Bukayo Saka,ARS,M,1,12.0,1.0,NOT,True,12.0,4,1,0,1,1,0,1,2,0,0,1,0,2,2,0,0,0,0,0,0,1,Arsenal,100%,1,90,20.4
Morgan Gibbs-White,NOT,M,1,12.0,1.0,ARS,False,12.0,19,46,0,2,0,1,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,Nott'ham Forest,99%,1,90,10.2
Taiwo Awoniyi,NOT,F,1,12.0,0.0,ARS,False,12.0,60,31,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,Nott'ham Forest,95%,1,87,inf
Cody Gakpo,LIV,F,1,11.5,1.0,CHE,False,11.5,59,102,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Liverpool,95%,1,55,4.8
Gabriel Magalhaes,ARS,D,1,11.5,,,,11.5,121,148,0,0,0,0,0,0,1,0,0,0,2,0,2,5,0,0,0,0,1,,87%,1,90,inf
Joao Gomes,WOL,M,1,11.5,1.0,MUN,False,11.5,200,151,0,2,0,0,5,1,0,0,0,2,2,1,0,0,0,0,0,3,0,Wolves,10%,1,90,5.0
Yoane Wissa,BRF,F,1,11.0,1.0,TOT,True,11.0,53,37,0,1,0,1,1,2,1,0,1,0,0,4,1,6,0,0,0,1,0,Brentford,93%,1,90,10.2
Cheick Doucoure,CRY,M,1,11.0,1.0,SHU,False,11.0,200,101,0,1,0,0,2,0,0,0,0,4,1,3,0,0,0,0,0,2,0,Crystal Palace,33%,1,88,6.5
