"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*052ca*","Ezri Konsa","AVL","D","153","W (Thu)","WHU 1<br/>@AVL 4 F","14.25","14.25","11%","299.02","23%","+0.2%","1","90","0","0","1","1","1","0","0","0","0","1","1","2","1","0","0","1","0","1","0"
"*05uel*","Kristoffer Ajer","BRF","D","186","W (Thu)","BUR 0<br/>@BRF 3 F","14.25","14.25","0%","1146.92","5%","+3.5%","1","75","0","1","0","0","1","0","1","0","1","1","1","1","0","4","0","0","0","0","1"
"*05l8q*","Cole Palmer","CHE","M","109","Kish123","ARS 2<br/>@CHE 2 F","13.5","13.5","16%","248","69%","+10.4%","1","83","1","1","0","2","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0"
"*04civ*","Scott McTominay","MUN","M","126","XXX","MUN 2<br/>@SHU 1 F","13.5","13.5","4%","373.13","25%","+23.4%","1","62","1","0","0","1","2","0","0","0","0","0","2","0","0","1","0","0","0","1","0"
"*06c6c*","Elijah Adebayo","LUT","F","155","W (Thu)","LUT 2<br/>@NOT 2 F","13.5","13.5","18%","227.35","6%","-0.4%","1","17","1","1","0","1","0","1","0","0","0","0","1","0","0","2","0","0","0","1","0"
"*061vq*","Erling Haaland","MCI","F","6","dsb_ff","BHA 1<br/>@MCI 2 F","13","13","100%","1.12","100%","0%","1","90","1","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0"
"*05n07*","Pedro Porro","TOT","D","35","dsb_ff","FUL 0<br/>@TOT 2 F","13","13","100%","52.16","100%","0%","1","90","0","0","0","0","4","0","0","0","0","0","0","1","0","2","0","0","0","0","1"
"*04mdn*","Anthony Gordon","NEW","M","20","4b. DcbB","CRY 0<br/>@NEW 4 F","13","13","71%","128.44","96%","+0.5%","1","69","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"*04qr0*","Willy Boly","NOT","D","29","Pancake","LUT 2<br/>@NOT 2 F","13","13","0%","1157.4","80%","+6.8%","1","77","0","0","0","0","1","1","0","0","0","2","2","0","0","4","0","0","0","0","1"
"*06fx1*","Ansu Fati","BHA","F","222","4b. DcbB","BHA 1<br/>@MCI 2 F","13","13","0%","-","62%","-6.7%","1","23","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uns*","Leon Bailey","AVL","F","104","W (Thu)","WHU 1<br/>@AVL 4 F","13","13","43%","143.89","55%","-2.3%","1","13","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"*05u1m*","Nathan Collins","BRF","D","97","W (Thu)","BUR 0<br/>@BRF 3 F","12.75","12.75","5%","349.21","45%","+8%","1","90","0","0","0","0","0","0","0","0","0","1","3","0","1","4","0","0","0","0","1"
"*05tr1*","Ethan Pinnock","BRF","D","43","4b. DcbB","BUR 0<br/>@BRF 3 F","12.5","12.5","99%","71.39","97%","+0.7%","1","90","0","0","0","0","1","0","0","0","0","1","2","1","0","3","0","0","0","0","1"
"*05uoc*","Cristian Romero","TOT","D","28","Adam","FUL 0<br/>@TOT 2 F","12.5","12.5","51%","138.14","91%","0%","1","90","0","1","0","0","1","0","0","0","0","1","2","1","0","1","0","0","0","0","1"
"*05yld*","Luis Diaz","LIV","F","74","Adam","EVE 0<br/>@LIV 2 F","12","12","100%","25.29","100%","+0.1%","1","80","0","0","1","0","2","0","0","0","0","0","0","3","0","2","0","0","0","0","1"
"*03r8x*","Callum Wilson","NEW","F","69","dsb_ff","CRY 0<br/>@NEW 4 F","12","12","100%","49.17","97%","+0.6%","1","69","1","0","0","1","0","2","0","0","0","0","0","1","0","2","0","0","0","0","1"
"*061va*","Boubacar Kamara","AVL","M","102","Pancake","WHU 1<br/>@AVL 4 F","12","12","3%","390.31","21%","+1%","1","90","0","3","0","0","2","0","0","0","0","1","1","1","1","2","0","0","0","1","0"
"*06c5x*","Tom Lockyer","LUT","D","154","W (Thu)","LUT 2<br/>@NOT 2 F","12","12","38%","147.4","17%","+0.6%","1","90","0","1","1","0","0","0","0","0","0","0","4","1","1","4","0","0","0","2","0"
"*056mf*","Neal Maupay","BRF","F","252","W (Thu)","BUR 0<br/>@BRF 3 F","11.5","11.5","1%","1151.53","5%","+3%","1","87","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"*06492*","Sasa Kalajdzic","WOL","F","230","W (Thu)","WOL 2<br/>@BOU 1 F","11.5","11.5","5%","373.03","2%","-0.1%","1","7","1","0","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0"
"*061x2*","Darwin Nunez","LIV","F","51","Pancake","EVE 0<br/>@LIV 2 F","11","11","100%","22.89","100%","-0.1%","1","27","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0522h*","Alexis Mac Allister","LIV","M","146","avitek","EVE 0<br/>@LIV 2 F","11","11","100%","40.24","93%","+0.3%","1","90","0","3","0","1","2","2","0","0","0","1","0","0","0","0","0","0","0","0","1"
"*02oq8*","James Ward-Prowse","WHU","M","14","Pancake","WHU 1<br/>@AVL 4 F","11","11","2%","292.18","85%","+0.1%","1","90","0","4","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","4","0"
"*051k0*","John McGinn","AVL","M","64","Kish123","WHU 1<br/>@AVL 4 F","11","11","64%","130.58","78%","+4.3%","1","90","0","2","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","117","XXX","EVE 0<br/>@LIV 2 F","10.5","10.5","100%","7.78","100%","0%","1","90","0","0","0","0","1","1","0","0","1","1","0","2","0","0","0","0","0","0","1"
"*02lsa*","Dan Burn","NEW","D","63","dsb_ff","CRY 0<br/>@NEW 4 F","10.5","10.5","96%","103.56","99%","+1%","1","90","0","0","0","0","2","0","0","0","0","1","2","0","0","1","0","0","0","0","1"
"*03fgo*","Dominic Solanke","BOU","F","46","4b. DcbB","WOL 2<br/>@BOU 1 F","10.5","10.5","88%","107.93","95%","-1.5%","1","84","1","0","0","1","0","6","0","0","0","0","3","2","0","1","0","0","0","1","0"
"*0520r*","Leandro Trossard","ARS","M","148","W (Thu)","ARS 2<br/>@CHE 2 F","10.5","10.5","100%","57.05","86%","-7.4%","1","11","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04ug0*","Sean Longstaff","NEW","M","93","dsb_ff","CRY 0<br/>@NEW 4 F","10.5","10.5","1%","1131.26","52%","-4.2%","1","90","1","0","0","1","0","4","1","0","0","1","1","1","0","1","0","0","0","0","1"
"*062dt*","Joao Palhinha","FUL","M","160","W (Thu)","FUL 0<br/>@TOT 2 F","10.5","10.5","29%","144.84","44%","-1.9%","1","81","0","0","0","1","6","0","0","0","0","1","1","0","1","1","0","0","0","2","0"
"*06f81*","Edson Alvarez","WHU","M","211","W (Thu)","WHU 1<br/>@AVL 4 F","10.5","10.5","7%","327.48","13%","-1.2%","1","90","0","1","1","0","0","1","0","0","0","1","1","1","0","2","0","0","0","4","0"
"*06cmm*","Dominik Szoboszlai","LIV","M","22","Kish123","EVE 0<br/>@LIV 2 F","10","10","100%","33.73","100%","0%","1","90","0","4","0","0","1","2","0","0","0","0","1","1","0","0","0","0","0","0","1"
"*06dq8*","Moussa Diaby","AVL","F","26","Vroom","WHU 1<br/>@AVL 4 F","10","10","98%","49.16","97%","0%","1","84","0","4","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"*062ot*","Cheick Doucoure","CRY","M","108","W (Thu)","CRY 0<br/>@NEW 4 F","10","10","23%","179.67","32%","-3.5%","1","90","0","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"*05u7f*","Ibrahima Konate","LIV","D","253","Pancake","EVE 0<br/>@LIV 2 F","9.75","9.75","94%","105.15","69%","+4.9%","1","65","0","0","0","0","0","0","1","0","0","1","3","0","1","3","0","0","0","0","1"
"*05tr8*","Christian Norgaard","BRF","M","57","deceptiv","BUR 0<br/>@BRF 3 F","9.5","9.5","19%","219.5","71%","+3.9%","1","90","0","2","0","0","2","0","0","0","0","1","4","1","0","1","0","0","0","0","1"
"*02lnn*","Oliver Norwood","SHU","M","132","W (Thu)","MUN 2<br/>@SHU 1 F","9.5","9.5","13%","279.8","14%","+0.4%","1","90","0","1","0","1","1","0","0","0","0","4","3","0","0","1","0","0","0","2","0"
"*05n3v*","Konstantinos Tsimikas","LIV","D","314","Adam","EVE 0<br/>@LIV 2 F","9.25","9.25","9%","316.79","64%","+61.6%","1","61","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1"
"*04qr8*","Diogo Jota","LIV","F","103","Adam","EVE 0<br/>@LIV 2 F","9","9","100%","52.5","97%","+1.7%","1","90","0","3","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1"
"*03yu2*","Abdoulaye Doucoure","EVE","M","15","XXX","EVE 0<br/>@LIV 2 F","9","9","38%","145.49","92%","+1%","1","90","0","0","0","0","1","1","0","0","0","4","4","4","0","1","0","0","0","2","0"
