"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","+/-","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05os8*","Joachim Andersen","CRY","D","9","deceptiv","CRY 1<br/>@BRF 1 F","34.75","34.75","47%","142.48","92%","-0.6%","1","90","1","4","0","1","3","0","0","0","2","1","7","1","1","7","0","0","0","1","0"
"*02lkp*","Raheem Sterling","CHE","F","52","4b. DcbB","LUT 0<br/>@CHE 3 F","33","33","100%","57.78","100%","-0.2%","1","88","2","2","1","3","0","6","0","0","0","0","0","2","0","0","0","0","0","0","1"
"*04fk1*","Pascal Gross","BHA","M","24","deceptiv","WHU 3<br/>@BHA 1 F","33","33","100%","36.26","100%","-0.3%","1","90","1","6","0","4","1","0","0","0","2","0","0","1","0","0","0","0","0","3","0"
"*05o4b*","Matty Cash","AVL","D","66","deceptiv","AVL 3<br/>@BUR 1 F","30","30","93%","106.8","96%","+1%","1","90","2","0","0","3","3","1","0","0","0","0","2","2","0","1","0","0","0","1","0"
"*04y92*","Bukayo Saka","ARS","M","1","Adam","FUL 2<br/>@ARS 2 F","28","28","100%","4.26","100%","0%","1","90","1","4","0","2","0","0","0","0","1","0","0","6","0","0","0","0","0","2","0"
"*05gcr*","Bruno Fernandes","MUN","M","14","4b. DcbB","NOT 2<br/>@MUN 3 F","27.5","27.5","100%","3.52","100%","0%","1","90","1","3","1","3","2","2","1","0","0","0","2","1","0","1","0","0","0","2","0"
"*06clz*","Malo Gusto","CHE","D","124","Maddihat","LUT 0<br/>@CHE 3 F","27.5","27.5","10%","306.5","55%","-28.8%","1","90","0","2","2","0","1","1","0","0","0","1","0","2","0","0","0","0","0","0","1"
"*046c5*","Jarrod Bowen","WHU","M","11","dsb_ff","WHU 3<br/>@BHA 1 F","26.5","26.5","100%","32.52","100%","0%","1","90","1","1","1","2","2","1","0","0","0","2","1","1","0","2","0","0","0","1","0"
"*04mdn*","Anthony Gordon","NEW","M","16","4b. DcbB","LIV 2<br/>@NEW 1 F","24.5","24.5","71%","128.43","96%","+3.4%","1","71","1","2","0","3","1","1","0","0","1","0","0","3","0","0","0","0","0","0","1"
"*06dq8*","Moussa Diaby","AVL","F","20","Vroom","AVL 3<br/>@BUR 1 F","22","22","98%","49.18","97%","-0.1%","1","72","1","2","1","1","0","2","0","0","1","0","1","1","0","0","0","0","0","1","0"
"*06cm1*","Nicolas Jackson","CHE","F","125","Adam","LUT 0<br/>@CHE 3 F","22","22","99%","48.98","94%","-4%","1","82","1","2","0","3","1","2","0","0","0","1","0","2","0","0","0","0","0","0","1"
"*0524k*","Rodri","MCI","M","54","Vroom","MCI 2<br/>@SHU 1 F","21.5","21.5","99%","54.39","99%","-0.5%","1","90","1","1","0","2","3","1","0","0","0","1","1","2","0","2","0","0","0","1","0"
"*04qr9*","Morgan Gibbs-White","NOT","M","46","XXX","NOT 2<br/>@MUN 3 F","21","21","100%","43.34","99%","-0.1%","1","90","0","3","2","0","0","1","1","0","1","3","0","1","0","1","0","0","0","3","0"
"*02lm7*","Jack Grealish","MCI","M","201","Pancake","MCI 2<br/>@SHU 1 F","20.5","20.5","100%","15.01","99%","-0.1%","1","90","0","6","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0"
"*061x2*","Darwin Nunez","LIV","F","70","Pancake","LIV 2<br/>@NEW 1 F","19.5","19.5","100%","22.89","100%","+0.1%","1","12","2","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ylx*","Dejan Kulusevski","TOT","M","19","Vroom","TOT 2<br/>@BOU 0 F","19","19","100%","44.11","100%","0%","1","90","1","2","0","1","0","2","0","0","0","2","0","2","0","0","0","0","0","0","1"
"*056iy*","Pedro Neto","WOL","F","7","Kish123","WOL 1<br/>@EVE 0 F","19","19","55%","135.99","96%","+0.1%","1","90","0","4","1","0","0","1","0","0","4","0","0","1","0","1","0","0","0","0","1"
