"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*0639x*","Marcus Tavernier","BOU","M","63","xxx","BOU 3<br/>@SHU 1 F","34.25","34.25","34%","147.52","81%","-0.1%","1","1","81","2","3","0","5","1","0","0","0","1","0","1","0","3","4","0","0","0","0","0","1"
"*04qr9*","Morgan Gibbs-White","NOT","M","34","Bfred","BHA 3<br/>@NOT 2 F","31","31","100%","43.35","99%","-0.3%","1","1","90","1","4","1","1","1","0","0","0","3","1","2","0","10","5","1","0","0","0","3","0"
"*05g2o*","Joao Pedro","BHA","F","40","KFC","BHA 3<br/>@NOT 2 F","30","30","99%","71.68","96%","+0.3%","1","0","68","2","0","0","2","2","0","0","0","0","0","4","0","11","7","1","0","1","0","1","0"
"*037mo*","Willian","FUL","F","92","xxx","WOL 2<br/>@FUL 3 F","25.75","25.75","85%","107.67","80%","+1%","1","1","88","2","2","0","2","0","0","0","0","0","0","0","0","3","2","3","0","0","0","2","0"
"*04qfz*","Diogo Dalot","MUN","D","50","xxx","MUN 3<br/>@EVE 0 F","25.25","25.25","99%","79.85","98%","+0.5%","1","1","90","0","3","1","0","2","0","0","0","2","3","2","1","3","2","3","0","0","0","0","1"
"*04fk1*","Pascal Gross","BHA","M","13","Catts4En","BHA 3<br/>@NOT 2 F","24.75","24.75","100%","36.27","100%","0%","1","1","90","0","6","2","0","2","0","0","0","1","0","2","0","4","3","4","0","0","0","2","0"
"*05u94*","Michael Olise","CRY","M","239","Badger12","CRY 1<br/>@LUT 2 F","23.75","23.75","100%","56.27","97%","0%","1","1","90","1","3","0","1","4","0","0","0","4","1","0","0","8","6","1","0","0","0","2","0"
"*06fv8*","Mohammed Kudus","WHU","M","84","KFC","WHU 2<br/>@BUR 1 F","23","23","0%","-","79%","+0.1%","1","1","90","0","2","2","0","4","0","0","1","2","0","0","0","13","11","1","0","0","0","1","0"
"*03vlm*","Anthony Martial","MUN","F","278","W (Tue)","MUN 3<br/>@EVE 0 F","21.75","21.75","17%","244.12","23%","+8.5%","1","1","83","1","0","1","1","0","0","0","0","0","0","1","0","6","6","0","0","1","0","0","1"
"*04mdn*","Anthony Gordon","NEW","M","9","Bfred","CHE 1<br/>@NEW 4 F","21.25","21.25","71%","128.43","96%","0%","1","1","88","1","1","1","1","0","0","0","0","1","1","0","0","5","9","0","0","0","0","1","0"
