"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*03v9d*","Son Heung-Min","TOT","F","5","Catts4En","NEW 1<br/>@TOT 4 F","37.5","37.5","100%","11.7","100%","0%","1","1","88","1","4","2","2","1","0","0","0","0","2","0","0","7","6","0","0","1","0","0","1"
"*04io4*","Richarlison","TOT","F","119","Badger12","NEW 1<br/>@TOT 4 F","27","27","98%","80.14","72%","+2.3%","1","1","72","2","0","0","3","1","0","0","0","0","1","1","0","4","4","1","0","0","0","0","1"
"*063e7*","Marcos Senesi","BOU","D","116","Badger12","BOU 3<br/>@MUN 0 F","25.75","25.75","3%","398.41","4%","+2%","1","1","90","1","1","0","1","1","0","0","0","0","1","8","3","2","3","4","0","0","0","0","1"
"*04fk1*","Pascal Gross","BHA","M","15","Catts4En","BUR 1<br/>@BHA 1 F","24.75","24.75","100%","36.27","100%","0%","1","1","90","0","6","1","2","1","0","0","0","4","2","0","0","3","1","0","0","0","0","1","0"
"*03rxs*","Harry Wilson","FUL","M","89","chukdave","WHU 0<br/>@FUL 5 F","23.5","23.5","90%","100.69","42%","+1.3%","1","0","45","1","1","1","2","0","0","0","0","0","0","0","0","4","1","3","0","0","0","0","0"
"*03yeg*","Tosin Adarabioyo","FUL","D","278","W (Thu)","WHU 0<br/>@FUL 5 F","23","23","2%","388.11","4%","+1.8%","1","1","90","1","0","0","1","0","0","0","0","0","2","5","0","4","1","4","0","0","0","0","1"
"*0639x*","Marcus Tavernier","BOU","M","73","xxx","BOU 3<br/>@MUN 0 F","21.5","21.5","34%","147.52","81%","-0.1%","1","1","87","0","3","2","1","0","1","0","0","1","0","1","0","5","5","0","0","0","0","0","1"
"*067yz*","Matheus Cunha","WOL","F","21","chukdave","NOT 1<br/>@WOL 1 F","21.25","21.25","34%","147.15","86%","+0.9%","1","1","88","1","0","0","4","1","0","0","0","0","2","1","0","6","7","1","0","0","0","1","0"
"*043qy*","Lewis Cook","BOU","M","131","W (Thu)","BOU 3<br/>@MUN 0 F","21.25","21.25","0%","-","14%","-1.9%","1","1","87","0","3","1","0","2","0","0","0","1","6","3","1","4","8","2","0","0","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","2","tottiand","LIV 2<br/>@CRY 1 F","19.75","19.75","100%","2.86","100%","0%","1","1","90","1","1","1","1","0","0","0","0","0","1","0","0","1","3","0","0","0","0","1","0"
"*05a6e*","Neco Williams","NOT","D","267","W (Thu)","NOT 1<br/>@WOL 1 F","19.75","19.75","18%","229.1","7%","+1.8%","1","1","90","0","2","1","0","3","0","0","0","2","2","2","1","10","7","2","0","0","0","1","0"
"*051k0*","John McGinn","AVL","M","27","KFC","ARS 0<br/>@AVL 1 F","18.75","18.75","64%","130.59","91%","+1.1%","1","1","90","1","1","0","1","4","1","0","0","0","2","1","0","10","12","2","0","0","0","0","1"
"*05n07*","Pedro Porro","TOT","D","22","Bfred","NEW 1<br/>@TOT 4 F","18.5","18.5","100%","52.16","100%","0%","1","1","90","0","3","1","1","3","0","0","0","1","1","1","0","5","2","3","0","0","0","1","0"
"*04fk6*","Bernardo Silva","MCI","M","34","Boss","MCI 2<br/>@LUT 1 F","18.5","18.5","100%","58.45","100%","0%","1","1","90","1","3","0","1","1","0","0","0","0","1","0","0","8","5","1","0","0","0","1","0"
"*0626q*","Simon Adingra","BHA","F","63","chukdave","BUR 1<br/>@BHA 1 F","17.5","17.5","9%","315.9","73%","+2.4%","1","1","90","1","4","0","2","1","0","0","0","1","0","0","0","2","8","0","0","0","0","1","0"
