"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*03dx3*","Kieran Trippier","NEW","D","5","Badger12","MUN 0<br/>@NEW 1 F","27.25","27.25","100%","11.57","100%","0%","1","1","90","0","6","1","0","2","0","0","0","0","4","4","0","6","6","3","0","0","0","0","1"
"*068ym*","Enzo Fernandez","CHE","M","57","draft","BHA 2<br/>@CHE 3 F","27","27","99%","73.22","94%","0%","1","1","90","2","0","0","3","0","1","0","0","0","1","0","0","6","4","4","0","0","0","2","0"
"*03dx7*","Ben Mee","BRF","D","234","tottiand","LUT 1<br/>@BRF 3 F","25.25","25.25","99%","81.6","78%","+3.1%","1","1","90","1","2","1","1","0","0","0","0","0","1","2","2","4","8","7","0","0","0","1","0"
"*06dn2*","Zeki Amdouni","BUR","F","115","Catts4En","SHU 0<br/>@BUR 5 F","25","25","8%","324.92","22%","-1.2%","1","1","76","1","2","1","2","1","0","0","0","0","0","0","0","8","6","0","0","0","0","0","1"
"*04y92*","Bukayo Saka","ARS","M","3","chukdave","WOL 1<br/>@ARS 2 F","23.5","23.5","100%","4.26","100%","0%","1","1","88","1","4","0","2","1","0","0","0","2","1","1","0","8","8","3","0","0","0","1","0"
"*03rzp*","Antonee Robinson","FUL","D","68","TranzOTF","FUL 3<br/>@LIV 4 F","22.75","22.75","83%","116.11","87%","+1.8%","1","1","90","0","1","1","1","3","0","0","0","0","13","4","0","7","3","2","0","0","0","4","0"
"*061ve*","Ryan Christie","BOU","M","49","chukdave","AVL 2<br/>@BOU 2 F","22.75","22.75","8%","336.41","58%","+6.1%","1","1","90","0","3","1","1","6","1","0","0","0","2","3","0","11","5","7","0","0","0","2","0"
"*05ocl*","Ollie Watkins","AVL","F","4","xxx","AVL 2<br/>@BOU 2 F","22.5","22.5","100%","19.8","100%","0%","1","1","90","1","2","1","1","1","0","0","0","1","0","0","0","6","8","0","0","0","0","2","0"
"*06fv8*","Mohammed Kudus","WHU","M","84","KFC","CRY 1<br/>@WHU 1 F","21.5","21.5","0%","-","79%","+0.1%","1","1","90","1","1","0","1","2","0","0","0","2","1","0","0","16","10","0","0","0","0","1","0"
"*05ylx*","Dejan Kulusevski","TOT","M","43","ZB","TOT 3<br/>@MCI 3 F","20.5","20.5","100%","44.1","100%","0%","1","1","90","1","1","1","1","1","1","0","0","1","0","0","0","4","5","1","0","0","0","3","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","17","draft","FUL 3<br/>@LIV 4 F","20","20","100%","7.78","100%","0%","1","1","90","1","2","1","1","1","0","0","0","0","0","1","0","4","3","8","0","0","0","3","0"
"*04mdn*","Anthony Gordon","NEW","M","9","Bfred","MUN 0<br/>@NEW 1 F","19.75","19.75","71%","128.43","96%","0%","1","1","88","1","2","0","2","2","0","0","0","1","0","0","0","5","3","0","0","0","0","0","1"
"*05gcx*","Josh Brownhill","BUR","M","67","tottiand","SHU 0<br/>@BUR 5 F","19.75","19.75","85%","111.15","66%","+1%","1","1","90","1","0","0","2","1","0","0","0","0","1","1","0","8","1","1","0","0","0","0","1"
"*04gpx*","Dara O'Shea","BUR","D","160","W (Tue)","SHU 0<br/>@BUR 5 F","19.5","19.5","1%","1148.64","9%","-1.7%","1","1","82","0","1","1","0","0","1","0","0","0","0","3","0","9","2","7","0","0","0","0","1"
"*05w9r*","Takehiro Tomiyasu","ARS","D","205","W (Tue)","WOL 1<br/>@ARS 2 F","18.75","18.75","3%","376.98","21%","-20.4%","1","1","78","0","1","1","0","1","0","0","0","1","1","0","0","6","4","1","0","0","0","0","1"
"*0554i*","Joelinton","NEW","M","123","TranzOTF","MUN 0<br/>@NEW 1 F","18.25","18.25","100%","65.59","95%","-0.3%","1","1","90","0","3","0","1","3","1","0","0","0","3","1","2","15","5","1","0","0","0","0","1"
"*056mf*","Neal Maupay","BRF","F","161","tottiand","LUT 1<br/>@BRF 3 F","17.75","17.75","1%","1151.52","38%","+8.1%","1","1","88","1","2","0","2","1","0","0","0","1","0","0","0","7","9","0","0","0","0","1","0"
