"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*061vq*","Erling Haaland","MCI","F","1","TranzOTF","MCI 4<br/>@CHE 4 F","37.25","37.25","100%","1.12","100%","0%","1","1","90","2","3","1","3","0","0","0","0","0","0","0","0","3","2","1","0","1","0","4","0"
"*03fgo*","Dominic Solanke","BOU","F","37","Bfred","NEW 0<br/>@BOU 2 F","29","29","88%","107.93","93%","-0.8%","1","1","90","2","3","0","2","2","0","0","0","2","0","3","0","6","11","0","0","0","0","0","1"
"*05n3v*","Konstantinos Tsimikas","LIV","D","179","Sean","BRF 0<br/>@LIV 3 F","27","27","9%","316.79","62%","+1%","1","1","90","0","3","2","0","1","0","0","0","2","0","1","0","5","6","1","0","0","0","0","1"
"*043c1*","Oleksandr Zinchenko","ARS","D","82","draft","BUR 1<br/>@ARS 3 F","24","24","99%","76.57","97%","+3.3%","1","1","90","1","1","0","1","3","0","0","0","2","0","1","0","14","2","7","0","0","0","1","0"
"*03aqp*","Mohamed Salah","LIV","F","2","tottiand","BRF 0<br/>@LIV 3 F","23.75","23.75","100%","2.86","100%","0%","1","1","90","2","1","0","2","0","0","0","0","0","0","0","0","1","2","3","0","0","0","0","1"
"*02oq8*","James Ward-Prowse","WHU","M","13","xxx","NOT 2<br/>@WHU 3 F","23.75","23.75","2%","292.09","85%","-0.1%","1","1","90","0","5","2","0","1","0","0","0","2","0","1","0","4","1","1","0","0","0","2","0"
"*051k8*","Conor Gallagher","CHE","M","18","Boss","MCI 4<br/>@CHE 4 F","23.25","23.25","59%","137.82","93%","+1.5%","1","1","90","0","2","2","2","2","0","0","0","0","0","0","0","6","6","3","0","0","0","4","0"
"*04tzt*","Jefferson Lerma","CRY","M","117","draft","EVE 3<br/>@CRY 2 F","23.25","23.25","13%","287.95","39%","-5.8%","1","1","90","0","4","1","0","0","0","0","0","0","5","2","0","13","3","4","0","0","0","3","0"
"*0520r*","Leandro Trossard","ARS","M","133","TranzOTF","BUR 1<br/>@ARS 3 F","22.75","22.75","100%","57.06","93%","+7.1%","1","1","80","1","2","1","2","0","0","0","0","0","0","0","0","4","5","0","0","0","0","1","0"
"*04fk8*","Victor Lindelof","MUN","D","175","TranzOTF","LUT 0<br/>@MUN 1 F","22.25","22.25","1%","1111.92","14%","+7.9%","1","1","90","1","0","0","1","1","0","0","0","0","1","3","1","4","2","2","0","0","0","0","1"
"*05nt6*","Eberechi Eze","CRY","M","33","Bfred","EVE 3<br/>@CRY 2 F","21","21","100%","27.73","100%","+0.6%","1","1","90","1","2","0","2","2","1","0","0","0","0","0","0","12","9","1","0","1","0","3","0"
"*05gcp*","Tomas Soucek","WHU","M","42","Bfred","NOT 2<br/>@WHU 3 F","21","21","59%","136.65","85%","-2.8%","1","1","90","1","0","0","3","1","0","0","0","0","1","6","0","7","2","0","0","0","0","2","0"
"*05ybq*","Vitalii Mykolenko","EVE","D","49","chukdave","EVE 3<br/>@CRY 2 F","21","21","4%","386.04","69%","+20.7%","1","1","90","1","0","1","1","2","1","0","0","0","2","5","0","5","4","1","0","0","0","2","0"
"*068a7*","Pablo Sarabia","WOL","M","208","W (Thu)","TOT 1<br/>@WOL 2 F","20.5","20.5","8%","332.79","7%","-0.7%","1","0","2","1","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*04io3*","Mario Lemina","WOL","M","88","W (Thu)","TOT 1<br/>@WOL 2 F","20.25","20.25","0%","1184.06","15%","-4.2%","1","1","90","1","0","0","2","3","0","0","0","0","2","0","0","7","3","4","0","0","0","1","0"
"*051k0*","John McGinn","AVL","M","36","KFC","FUL 1<br/>@AVL 3 F","20","20","64%","130.58","89%","+0.5%","1","1","90","1","1","0","1","1","0","0","0","0","1","0","0","15","7","3","0","0","0","1","0"
"*03vlj*","Virgil van Dijk","LIV","D","27","draft","BRF 0<br/>@LIV 3 F","18.5","18.5","100%","43.73","100%","0%","1","1","90","0","0","0","1","1","0","0","0","0","0","4","2","10","2","10","0","0","0","0","1"
"*0524k*","Rodri","MCI","M","19","TranzOTF","MCI 4<br/>@CHE 4 F","18.25","18.25","99%","54.38","100%","+0.1%","1","1","90","1","3","0","1","0","1","0","0","0","2","0","1","4","7","8","0","0","0","4","0"
"*0626q*","Simon Adingra","BHA","F","86","chukdave","SHU 1<br/>@BHA 1 F","18","18","9%","316","65%","+0.8%","1","1","90","1","1","0","1","0","1","0","0","0","2","3","0","11","6","1","0","0","0","1","0"
"*0647t*","Lucas Paqueta","WHU","M","43","Boss","NOT 2<br/>@WHU 3 F","17.5","17.5","100%","51.96","99%","+0.6%","1","1","88","1","1","0","2","1","0","0","0","0","1","2","0","7","9","1","0","0","0","2","0"
"*061x2*","Darwin Nunez","LIV","F","20","Sean","BRF 0<br/>@LIV 3 F","17.25","17.25","100%","22.9","100%","0%","1","1","90","0","2","1","3","1","0","0","0","0","0","1","1","4","6","0","0","0","0","0","1"
"*03yu2*","Abdoulaye Doucoure","EVE","M","29","KFC","EVE 3<br/>@CRY 2 F","16.25","16.25","38%","145.49","93%","-0.4%","1","1","90","1","0","1","1","1","1","0","0","0","0","2","0","1","10","1","0","0","0","2","0"
"*04qr8*","Diogo Jota","LIV","F","76","Bfred","BRF 0<br/>@LIV 3 F","15.5","15.5","100%","52.5","98%","-0.2%","1","1","83","1","2","0","1","0","0","0","0","0","1","1","0","6","7","0","0","0","0","0","1"
"*04qrc*","Raul Jimenez","FUL","F","231","W (Thu)","FUL 1<br/>@AVL 3 F","15.5","15.5","64%","131.86","24%","-0.8%","1","1","73","1","1","0","3","1","0","0","0","0","0","1","0","1","7","0","0","0","0","3","0"
"*0558w*","William Saliba","ARS","D","80","Catts4En","BUR 1<br/>@ARS 3 F","15.25","15.25","99%","65.12","98%","+0.6%","1","1","90","1","0","0","1","1","0","0","0","0","0","3","0","6","2","2","0","0","0","1","0"
"*05l8q*","Cole Palmer","CHE","M","40","Boss","MCI 4<br/>@CHE 4 F","14.75","14.75","16%","248.11","83%","+2.4%","1","1","90","1","1","0","2","1","1","0","0","0","0","1","0","3","4","2","0","0","0","4","0"
"*04y92*","Bukayo Saka","ARS","M","4","chukdave","BUR 1<br/>@ARS 3 F","14.5","14.5","100%","4.26","100%","0%","1","1","80","0","3","1","1","0","0","0","0","0","0","0","0","6","2","0","0","0","0","1","0"
"*04qr9*","Morgan Gibbs-White","NOT","M","54","Bfred","NOT 2<br/>@WHU 3 F","14.5","14.5","100%","43.35","98%","-0.3%","1","1","90","0","1","1","1","0","0","0","0","3","0","3","0","5","8","1","0","0","0","3","0"
