"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*06fup*","Jeremy Doku","MCI","F","21","ZB","BOU 1<br/>@MCI 6 F","49.5","49.5","0%","1026.6","83%","+0.2%","1","1","90","1","5","4","1","2","0","0","0","1","0","0","0","7","2","2","0","0","0","1","0"
"*06cm1*","Nicolas Jackson","CHE","F","45","Sean","CHE 4<br/>@TOT 1 F","36","36","99%","48.96","90%","-3.2%","1","1","90","3","0","0","5","0","1","0","0","0","0","0","0","3","7","1","0","0","0","1","0"
"*04fk6*","Bernardo Silva","MCI","M","60","Boss","BOU 1<br/>@MCI 6 F","27","27","100%","58.45","99%","+0.9%","1","1","84","2","3","0","2","0","0","0","0","0","1","0","0","1","0","2","0","0","0","1","0"
"*03rvw*","Harry Toffolo","NOT","D","134","W (Thu)","AVL 0<br/>@NOT 2 F","25.75","25.75","0%","-","15%","-4.1%","1","1","70","0","2","2","0","2","0","0","0","0","0","2","1","3","3","2","0","0","0","0","1"
"*06fv8*","Mohammed Kudus","WHU","M","170","KFC","WHU 2<br/>@BRF 3 F","24.75","24.75","0%","-","67%","+2.1%","1","1","90","1","2","1","1","2","0","0","0","0","0","1","0","9","6","2","0","0","0","3","0"
"*05l8q*","Cole Palmer","CHE","M","54","Boss","CHE 4<br/>@TOT 1 F","24.5","24.5","16%","248.11","81%","+1.9%","1","1","90","1","1","1","1","1","0","0","0","0","2","0","0","6","3","3","0","0","0","1","0"
"*03frx*","Ola Aina","NOT","D","197","W (Thu)","AVL 0<br/>@NOT 2 F","22.5","22.5","1%","1114.71","2%","+0.2%","1","1","85","1","1","0","1","2","0","0","0","0","0","4","0","7","4","0","0","0","0","0","1"
"*05gcr*","Bruno Fernandes","MUN","M","8","ZB","MUN 1<br/>@FUL 0 F","20.75","20.75","100%","3.52","100%","0%","1","1","90","1","1","0","3","1","0","0","0","0","0","0","0","8","6","3","0","0","0","0","1"
"*05akv*","Tyrick Mitchell","CRY","D","66","W (Thu)","CRY 2<br/>@BUR 0 F","20","20","4%","376.31","48%","-1.9%","1","1","90","1","0","0","1","1","0","0","0","0","0","5","1","1","2","1","0","0","0","0","1"
"*05ybq*","Vitalii Mykolenko","EVE","D","78","chukdave","BHA 1<br/>@EVE 1 F","18.25","18.25","4%","386.04","48%","+18.5%","1","1","90","1","0","0","2","1","0","0","0","1","2","3","0","3","3","1","0","0","0","1","0"
"*051k8*","Conor Gallagher","CHE","M","30","Boss","CHE 4<br/>@TOT 1 F","17.5","17.5","59%","137.82","92%","+0.7%","1","1","90","0","5","1","0","2","0","0","0","0","2","0","0","6","5","3","0","0","0","1","0"
"*05os8*","Joachim Andersen","CRY","D","7","TranzOTF","CRY 2<br/>@BUR 0 F","16.25","16.25","47%","142.46","94%","+0.2%","1","1","90","0","0","0","1","2","1","0","0","0","3","8","1","4","4","5","0","0","0","0","1"
"*03gu4*","Harry Maguire","MUN","D","196","KFC","MUN 1<br/>@FUL 0 F","16","16","27%","140.92","21%","+1.9%","1","1","90","0","0","0","0","0","0","0","0","0","0","9","2","10","3","6","0","0","0","0","1"
