"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","YC","RC","Pen","ACNC","Int","CLR","BS","DW","DL","LBA","PKM","PKD","OG","GAO","CS"
"*04fk6*","Bernardo Silva","MCI","M","116","Boss","MCI 3<br/>@WHU 1 F","23.5","23.5","100%","58.45","98%","-0.5%","1","1","88","1","4","1","1","0","0","0","0","1","0","0","0","2","5","3","0","0","0","1","0"
"*03aqp*","Mohamed Salah","LIV","F","3","tottiand","LIV 3<br/>@WOL 1 F","23.25","23.25","100%","2.86","100%","0%","1","1","88","0","5","2","1","1","0","0","0","1","0","0","0","3","3","0","0","0","0","1","0"
"*061vq*","Erling Haaland","MCI","F","1","TranzOTF","MCI 3<br/>@WHU 1 F","22.5","22.5","100%","1.12","100%","0%","1","1","88","1","1","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"*04spp*","Douglas Luiz","AVL","M","13","draft","CRY 1<br/>@AVL 3 F","20.75","20.75","97%","92.32","99%","+1.2%","1","1","90","1","1","0","1","4","0","0","0","1","1","1","0","10","6","4","0","0","0","1","0"
"*05ylx*","Dejan Kulusevski","TOT","M","68","ZB","SHU 1<br/>@TOT 2 F","19.75","19.75","100%","44.11","100%","+0.1%","1","1","90","1","5","0","2","0","0","0","0","2","0","0","0","2","5","0","0","0","0","1","0"
"*03gu5*","Andrew Robertson","LIV","D","71","Badger12","LIV 3<br/>@WOL 1 F","19.75","19.75","100%","30.96","88%","-5.2%","1","1","90","1","2","0","1","2","0","0","0","2","2","2","0","3","3","2","0","0","0","1","0"
"*0520r*","Leandro Trossard","ARS","M","191","TranzOTF","ARS 1<br/>@EVE 0 F","19.5","19.5","100%","57.05","89%","+3%","1","0","65","1","2","0","1","2","0","0","0","0","2","1","0","4","0","1","0","0","0","0","1"
"*06fup*","Jeremy Doku","MCI","F","94","ZB","MCI 3<br/>@WHU 1 F","19.5","19.5","0%","1026.6","83%","+0.4%","1","1","88","1","3","0","2","2","0","0","0","0","0","0","0","8","6","0","0","0","0","1","0"
"*062cn*","Julian Alvarez","MCI","F","10","Boss","MCI 3<br/>@WHU 1 F","19","19","100%","58.11","100%","0%","1","1","90","0","4","2","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","1","0"
"*04io4*","Richarlison","TOT","F","98","Sean","SHU 1<br/>@TOT 2 F","19","19","98%","80.14","96%","+0.1%","1","0","9","1","1","1","1","0","1","0","0","0","0","0","0","4","4","0","0","0","0","0","0"
"*02oq8*","James Ward-Prowse","WHU","M","16","xxx","MCI 3<br/>@WHU 1 F","18.75","18.75","2%","292.08","85%","+0.1%","1","1","90","1","2","0","2","0","0","0","0","0","2","2","1","1","3","2","0","0","0","3","0"
"*04mi4*","Callum Hudson-Odoi","NOT","F","265","FA","BUR 1<br/>@NOT 1 F","18.75","18.75","4%","375.49","16%","-14.7%","1","1","70","1","3","0","2","1","0","0","0","0","0","0","0","4","2","3","0","0","0","1","0"
"*04tm0*","Lucas Digne","AVL","D","37","tottiand","CRY 1<br/>@AVL 3 F","17.5","17.5","45%","140.33","90%","+0.2%","1","1","90","0","2","1","0","1","0","0","0","4","1","2","0","7","6","2","0","0","0","1","0"
"*05w9q*","Odsonne Edouard","CRY","F","64","draft","CRY 1<br/>@AVL 3 F","16.5","16.5","18%","223.09","79%","-1.5%","1","1","88","1","2","0","1","2","0","0","0","0","1","1","0","7","9","0","0","0","0","1","0"
"*05g2o*","Joao Pedro","BHA","F","82","KFC","BHA 3<br/>@MUN 1 F","16.25","16.25","99%","71.69","95%","-1.4%","1","0","25","1","3","0","1","1","0","0","0","0","1","1","0","2","2","0","0","0","0","1","0"
"*06fg0*","Gustavo Hamer","SHU","M","105","KFC","SHU 1<br/>@TOT 2 F","16","16","0%","1152.23","49%","-7.3%","1","1","80","1","3","0","1","0","0","0","0","1","0","2","0","3","8","0","0","0","0","0","1"
"*05a6d*","Tariq Lamptey","BHA","D","291","FA","BHA 3<br/>@MUN 1 F","16","16","11%","290.62","10%","-3.3%","1","1","76","0","2","2","0","1","1","0","0","0","0","0","0","2","3","1","0","0","0","1","0"
"*02lnx*","Danny Welbeck","BHA","F","244","FA","BHA 3<br/>@MUN 1 F","15.5","15.5","34%","150.19","22%","-4.1%","1","1","63","1","1","0","1","2","0","0","0","0","1","2","0","3","2","0","0","0","0","0","1"
