,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
80,4,18.38,0.0,5.25,0.0,1.75,1.0,1.0,0.25,0.0,1.5,0.5,0.25,1.25,0.25,0.75,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,17.88,-1.0,0.5
19,6,14.83,0.5,1.17,0.67,0.67,0.5,0.83,0.17,0.0,0.5,0.17,0.17,1.0,0.0,0.5,0.0,0.33,0.0,0.5,0.83,0.67,0.0,0.17,6.0,-0.75,0.83
83,5,12.05,0.2,1.2,0.6,0.6,1.0,1.6,0.0,0.0,0.2,0.8,0.4,0.8,0.6,0.8,0.0,0.0,0.0,0.8,0.6,0.4,0.2,0.0,6.45,-1.2,0.6
92,8,11.75,0.25,2.38,0.12,0.88,0.25,0.5,0.12,0.0,0.62,0.38,0.38,0.88,0.38,0.5,0.0,0.0,0.0,1.25,0.38,0.88,0.0,0.0,8.75,-0.5,0.62
14,6,11.5,0.17,1.83,0.5,0.33,0.5,1.33,0.17,0.0,0.33,0.83,0.5,1.5,0.0,0.33,0.0,0.17,0.0,2.17,0.5,0.83,0.0,0.0,7.0,-1.0,0.33
55,7,11.07,0.43,1.14,0.43,0.71,1.43,1.86,0.0,0.14,0.0,0.14,0.43,0.43,0.14,0.29,0.0,0.14,0.0,0.29,0.71,2.0,0.14,0.14,4.36,-1.93,0.43
32,7,10.86,0.0,1.57,0.29,0.14,1.43,0.29,0.14,0.0,0.0,2.29,2.29,0.71,0.57,1.14,0.0,0.0,0.0,0.29,0.29,2.0,0.0,0.0,8.57,-0.43,0.71
35,2,10.75,0.0,2.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,7.75,-0.25,1.0
95,4,10.25,0.25,1.5,0.5,0.75,0.25,0.5,0.75,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,2.5,0.5,0.0,5.0,-1.75,0.25
25,9,10.06,0.22,1.44,0.11,0.89,0.67,0.89,0.22,0.0,0.56,0.22,0.22,1.44,0.22,0.78,0.0,0.0,0.0,0.89,0.33,1.78,0.33,0.0,7.28,-0.89,0.44
70,8,10.0,0.5,1.38,0.0,0.62,0.38,1.5,0.12,0.0,0.12,0.62,0.38,0.88,0.25,0.5,0.0,0.0,0.0,2.5,0.5,2.0,0.0,0.0,5.5,-1.0,0.75
69,6,9.83,0.17,1.17,0.17,0.83,0.67,0.33,0.17,0.0,0.83,0.17,0.33,1.5,0.17,0.67,0.0,0.0,0.0,0.5,0.17,0.83,0.0,0.0,7.17,-0.5,0.67
29,3,9.83,0.0,1.33,0.33,0.33,1.33,1.67,0.0,0.0,0.67,1.33,0.33,0.33,0.67,0.67,0.0,0.0,0.0,0.33,0.33,1.0,0.0,0.0,7.17,-0.83,0.33
44,5,9.8,0.2,1.6,0.2,0.6,0.4,1.0,0.0,0.0,1.0,0.4,0.2,0.4,0.2,0.2,0.0,0.0,0.0,0.6,0.4,0.6,0.0,0.0,6.4,-0.5,0.2
82,10,9.5,0.2,1.2,0.0,1.0,1.2,1.6,0.2,0.0,0.0,0.6,0.8,1.1,0.0,2.4,0.0,0.0,0.0,0.4,0.2,1.4,0.2,0.0,7.3,-1.2,0.6
81,7,9.21,0.14,1.14,0.14,0.14,2.0,0.29,0.14,0.0,0.14,1.29,0.57,0.43,0.14,1.57,0.0,0.0,0.0,1.0,0.29,1.14,0.0,0.0,6.93,-0.43,0.43
99,7,8.86,0.14,1.43,0.29,0.86,0.86,0.86,0.29,0.0,0.29,0.57,0.57,0.71,0.0,0.43,0.0,0.0,0.0,0.71,0.14,1.71,0.14,0.0,5.71,-1.57,0.71
10,5,8.7,0.2,0.8,0.6,0.8,0.2,1.2,0.6,0.0,0.2,0.0,0.4,1.4,0.0,0.2,0.0,0.0,0.0,1.6,0.6,3.2,0.0,0.0,3.3,-1.8,0.8
75,10,8.7,0.3,1.0,0.1,1.0,0.5,1.0,0.2,0.0,0.1,0.3,0.4,1.0,0.1,0.6,0.0,0.0,0.0,0.9,0.4,1.4,0.1,0.1,5.4,-0.9,0.5
48,8,8.69,0.0,1.38,0.25,0.75,0.62,0.5,0.0,0.0,0.38,0.62,0.75,0.88,0.12,0.12,0.0,0.12,0.0,0.38,0.12,0.62,0.62,0.0,6.94,-0.25,0.5
85,3,8.33,0.0,2.67,0.0,0.67,0.33,0.33,0.33,0.0,0.33,0.67,0.33,0.33,0.0,1.67,0.0,0.0,0.0,1.67,0.0,2.0,0.33,0.0,8.33,-0.83,0.67
30,7,8.29,0.29,1.0,0.0,0.71,0.43,1.57,0.14,0.0,0.43,0.71,0.57,1.14,0.14,0.43,0.0,0.0,0.0,0.14,0.29,0.57,0.43,0.14,5.43,-1.07,0.43
60,2,8.25,0.5,1.0,0.0,1.0,0.0,1.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.5,2.5,0.0,0.0,3.75,-1.75,0.5
0,5,8.2,0.0,1.6,0.4,0.2,0.4,1.0,0.0,0.0,0.2,0.6,0.6,1.2,0.0,0.6,0.0,0.0,0.0,2.0,0.4,0.8,0.0,0.0,5.8,-0.5,0.6
17,12,8.0,0.0,1.08,0.33,0.33,1.92,0.42,0.25,0.0,0.0,0.42,1.42,0.58,0.17,1.17,0.0,0.0,0.0,0.33,0.25,1.83,0.0,0.0,5.83,-0.71,0.25
67,6,7.75,0.33,0.5,0.0,0.67,1.0,0.5,0.0,0.0,0.0,0.17,0.83,0.5,0.5,0.33,0.0,0.0,0.0,0.33,0.33,0.5,0.0,0.0,4.42,-0.25,0.5
24,5,7.5,0.0,1.6,0.2,0.0,1.6,1.0,0.4,0.0,0.4,0.2,1.2,0.4,1.0,1.2,0.0,0.0,0.0,0.8,0.2,1.8,0.0,0.0,6.1,-1.3,0.8
38,7,7.43,0.0,1.0,0.29,0.57,0.86,0.57,0.14,0.0,0.57,0.71,1.14,0.14,0.14,1.14,0.0,0.0,0.0,0.71,0.29,1.71,0.14,0.0,5.43,-0.86,0.29
59,5,7.4,0.2,0.8,0.2,0.2,0.4,0.4,0.0,0.0,0.6,0.4,1.2,0.6,0.0,0.8,0.0,0.0,0.0,0.4,0.4,0.8,0.2,0.0,4.2,-0.2,0.6
45,4,7.38,0.25,0.25,0.5,0.25,0.25,1.75,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.25,0.0,0.25,0.25,1.25,0.0,0.0,1.88,-0.88,0.75
20,7,7.36,0.0,1.57,0.29,0.43,0.29,1.14,0.14,0.0,0.43,0.43,0.57,1.0,0.0,0.71,0.0,0.0,0.0,0.86,0.29,1.43,0.14,0.0,5.64,-0.86,0.43
23,6,7.33,0.17,0.5,0.17,0.33,1.0,0.67,0.0,0.0,0.33,0.33,1.33,0.83,0.17,1.33,0.0,0.0,0.0,0.83,0.33,0.5,0.0,0.0,4.67,-0.33,0.83
84,7,7.32,0.14,0.71,0.43,0.14,0.57,0.57,0.14,0.0,0.29,0.29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.57,0.43,0.86,0.0,0.0,3.04,-0.86,0.57
90,8,7.31,0.12,1.25,0.25,0.25,0.5,1.25,0.12,0.0,0.5,0.0,0.12,1.0,0.0,0.62,0.0,0.12,0.0,1.12,0.38,0.88,0.12,0.0,4.69,-0.88,0.5
65,6,7.25,0.0,1.17,0.33,0.5,0.5,0.83,0.33,0.0,0.17,0.67,0.0,1.0,0.17,0.33,0.0,0.0,0.0,1.17,0.17,1.0,0.0,0.0,4.92,-1.08,0.17
