position,player (nunique),fpts (mean),team (nunique),opponent (nunique),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
RW,67,7.61,20,20,0.2,1.02,0.12,0.56,0.64,0.99,0.11,0.0,0.27,0.38,0.31,1.02,0.01,0.38,0.01,0.01,0.0,0.83,0.3,1.09,0.23,0.04,4.93,-0.77,0.53
FW,84,6.74,20,20,0.27,0.68,0.12,0.69,0.24,1.08,0.11,0.01,0.04,0.14,0.41,0.7,0.1,1.03,0.0,0.02,0.0,0.97,0.35,1.14,0.38,0.02,3.65,-0.84,0.48
LW,71,6.68,20,20,0.13,0.93,0.14,0.44,0.45,0.92,0.12,0.0,0.16,0.32,0.32,1.27,0.03,0.49,0.0,0.02,0.0,0.78,0.23,1.09,0.2,0.0,4.55,-0.7,0.52
