Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
vsARS,CB,0.0,0.05,0.25,0.05,1.1,0.65,1.25,0.25,0.05,3.4,0.1,0.0,0.05,1.2
vsARS,LB,0.0,0.0,0.12,0.0,3.0,0.62,1.0,0.12,0.38,3.5,1.38,0.0,0.0,0.88
vsARS,RB,0.0,0.0,0.22,0.0,2.11,0.89,0.33,0.44,0.33,2.33,0.33,0.0,0.0,0.56
vsAVL,CB,0.0,0.05,0.21,0.0,0.63,1.26,1.11,0.26,0.63,3.74,0.0,0.0,0.0,1.42
vsAVL,LB,0.0,0.25,0.12,0.0,1.88,0.75,0.62,0.62,0.38,2.12,0.12,0.0,0.12,0.75
vsAVL,RB,0.0,0.0,0.29,0.14,2.43,1.0,1.0,0.14,1.71,1.71,0.29,0.0,0.0,0.14
vsAVL,WB,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.5
vsBHA,CB,0.0,0.08,0.38,0.0,1.12,0.75,1.58,0.21,0.25,2.75,0.12,0.0,0.0,0.67
vsBHA,LB,0.0,0.0,0.25,0.0,2.5,0.5,0.38,0.75,1.0,1.88,1.0,0.0,0.12,0.25
vsBHA,RB,0.0,0.0,0.12,0.0,3.62,0.5,1.0,0.75,0.5,1.88,0.25,0.0,0.0,0.25
vsBHA,WB,0.0,0.0,0.33,0.0,1.0,0.67,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.67
vsBOU,CB,0.0,0.06,0.12,0.0,1.65,1.0,1.71,0.18,0.29,4.06,0.24,0.0,0.0,2.18
vsBOU,LB,0.0,0.27,0.18,0.0,1.55,0.82,0.91,0.36,0.91,1.45,0.09,0.0,0.0,1.18
vsBOU,RB,0.1,0.4,0.2,0.0,2.7,1.0,0.9,0.9,0.5,2.1,0.3,0.0,0.0,0.8
vsBRF,CB,0.16,0.16,0.21,0.05,0.89,0.53,1.32,0.26,0.63,4.0,0.11,0.0,0.0,2.37
vsBRF,LB,0.0,0.11,0.22,0.11,1.89,1.0,1.0,0.33,0.56,2.56,0.56,0.0,0.0,1.11
vsBRF,RB,0.11,0.22,0.22,0.0,2.11,0.56,0.89,0.89,0.67,2.22,0.56,0.0,0.0,1.56
vsBUR,CB,0.05,0.14,0.1,0.0,1.14,0.71,0.67,0.33,0.19,2.81,0.14,0.0,0.0,2.33
vsBUR,LB,0.0,0.0,0.11,0.0,1.78,0.56,0.78,0.44,0.22,1.56,0.33,0.0,0.0,1.11
vsBUR,RB,0.0,0.0,0.43,0.0,2.0,0.86,0.71,0.14,1.43,1.14,0.0,0.0,0.0,0.57
vsBUR,WB,0.5,0.67,0.0,0.0,0.83,0.5,0.33,0.67,1.67,1.0,0.17,0.0,0.0,1.5
vsCHE,CB,0.05,0.05,0.14,0.05,1.45,0.77,1.45,0.09,0.23,3.73,0.18,0.0,0.05,1.27
vsCHE,LB,0.0,0.29,0.43,0.0,2.71,2.29,1.14,0.43,0.71,2.71,0.43,0.14,0.0,0.14
vsCHE,RB,0.0,0.25,0.12,0.0,1.0,0.75,0.5,0.5,0.5,2.75,0.88,0.0,0.0,0.25
vsCHE,WB,0.0,0.0,0.5,0.0,1.75,0.0,0.25,0.0,0.0,1.75,0.5,0.0,0.0,0.75
vsCRY,CB,0.0,0.1,0.1,0.0,1.38,0.71,1.0,0.19,0.24,3.67,0.24,0.0,0.0,1.9
vsCRY,LB,0.0,0.1,0.4,0.1,2.2,1.1,0.9,0.6,0.6,1.3,1.1,0.0,0.0,1.2
vsCRY,RB,0.0,0.38,0.25,0.0,2.5,0.88,0.88,0.75,0.62,1.75,0.5,0.0,0.0,0.5
vsEVE,CB,0.04,0.09,0.13,0.0,1.26,0.74,1.13,0.13,0.09,4.35,0.13,0.0,0.0,2.09
vsEVE,LB,0.0,0.0,0.12,0.0,1.25,0.25,0.38,0.25,0.38,1.5,0.5,0.0,0.0,1.0
vsEVE,RB,0.0,0.14,0.29,0.0,0.71,0.43,1.0,0.71,0.71,2.57,0.71,0.0,0.0,0.57
vsEVE,WB,0.0,0.29,0.29,0.0,1.71,0.86,0.71,0.86,1.29,2.71,0.57,0.0,0.0,0.71
vsFUL,CB,0.0,0.11,0.0,0.0,1.37,1.21,1.05,0.37,0.32,4.16,0.16,0.0,0.0,1.84
vsFUL,LB,0.11,0.22,0.22,0.0,1.67,0.67,1.56,0.22,0.33,2.22,0.22,0.0,0.0,1.0
vsFUL,RB,0.0,0.0,0.25,0.0,1.12,0.62,0.5,0.88,0.5,2.0,0.25,0.0,0.0,0.62
vsFUL,WB,0.0,0.0,0.0,0.0,0.67,1.0,1.67,0.33,0.0,1.67,1.33,0.0,0.0,0.33
vsLIV,CB,0.1,0.15,0.1,0.0,1.0,1.05,1.5,0.3,0.4,2.9,0.15,0.0,0.0,1.05
vsLIV,LB,0.0,0.0,0.1,0.0,2.4,2.0,0.7,0.6,0.9,2.3,0.5,0.0,0.1,0.4
vsLIV,RB,0.0,0.14,0.43,0.0,2.71,0.71,2.0,1.29,1.29,2.71,0.57,0.0,0.14,1.14
vsLIV,WB,0.0,0.33,0.0,0.0,0.67,0.0,0.0,0.67,1.0,0.33,1.0,0.0,0.0,1.33
vsLUT,CB,0.11,0.28,0.06,0.0,1.61,0.78,1.0,0.17,0.22,4.44,0.06,0.0,0.0,3.22
vsLUT,LB,0.0,0.18,0.36,0.0,2.18,0.27,1.64,0.55,1.0,3.09,0.27,0.0,0.0,1.55
vsLUT,RB,0.0,0.0,0.1,0.0,1.2,0.6,1.4,0.4,0.6,2.5,0.3,0.0,0.0,0.5
vsLUT,WB,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
vsMCI,CB,0.05,0.15,0.1,0.0,1.1,1.35,1.55,0.05,0.05,3.6,0.2,0.0,0.0,1.0
vsMCI,LB,0.0,0.0,0.29,0.0,1.14,0.57,0.86,0.29,0.43,0.57,0.0,0.0,0.0,0.14
vsMCI,RB,0.0,0.0,0.11,0.0,1.67,0.78,1.33,0.44,0.67,1.22,0.0,0.0,0.0,0.78
vsMCI,WB,0.17,0.5,0.17,0.0,0.5,0.0,0.83,0.5,0.17,1.17,0.17,0.0,0.0,0.17
vsMUN,CB,0.11,0.21,0.16,0.05,1.42,1.32,1.89,0.37,0.26,4.95,0.11,0.0,0.0,2.05
vsMUN,LB,0.0,0.1,0.3,0.0,1.1,0.6,1.4,0.7,0.6,1.4,0.2,0.0,0.0,0.4
vsMUN,RB,0.0,0.0,0.14,0.0,2.14,1.0,1.43,0.43,0.57,3.29,0.14,0.0,0.0,0.86
vsMUN,WB,0.0,0.0,0.75,0.0,2.0,0.75,0.5,0.75,0.5,3.25,0.75,0.0,0.0,1.0
vsNEW,CB,0.0,0.09,0.23,0.05,1.23,0.95,0.95,0.27,0.23,3.09,0.14,0.0,0.0,1.23
vsNEW,LB,0.0,0.0,0.33,0.0,1.0,0.67,1.0,0.67,0.89,1.44,0.22,0.0,0.0,0.89
vsNEW,RB,0.0,0.2,0.3,0.0,1.4,0.3,0.5,0.9,0.6,1.6,0.4,0.0,0.0,0.1
vsNEW,WB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vsNOT,CB,0.0,0.09,0.09,0.0,0.55,1.09,0.73,0.18,0.41,2.73,0.23,0.0,0.0,2.09
vsNOT,LB,0.0,0.12,0.25,0.0,1.25,0.88,0.38,0.25,0.38,2.88,0.25,0.0,0.0,1.38
vsNOT,RB,0.0,0.0,0.33,0.0,1.5,1.17,1.17,0.33,0.5,1.83,0.67,0.0,0.0,1.0
vsNOT,WB,0.0,0.0,0.33,0.0,1.33,0.5,0.83,0.67,0.33,0.83,0.67,0.0,0.0,1.17
vsSHU,CB,0.05,0.23,0.14,0.0,1.68,0.91,1.0,0.27,0.32,2.45,0.14,0.0,0.0,2.45
vsSHU,LB,0.12,0.25,0.0,0.0,2.0,1.12,1.0,0.88,0.75,2.5,0.62,0.0,0.12,1.25
vsSHU,RB,0.0,0.0,0.0,0.0,1.56,0.44,1.33,0.78,2.11,0.78,0.44,0.0,0.0,0.78
vsTOT,CB,0.0,0.08,0.29,0.0,1.75,1.04,1.5,0.42,0.17,3.62,0.12,0.0,0.08,1.58
vsTOT,LB,0.0,0.14,0.14,0.0,2.14,0.43,2.0,1.0,2.14,2.0,0.43,0.0,0.0,0.71
vsTOT,RB,0.0,0.0,0.22,0.0,1.67,0.89,1.11,0.67,0.56,1.78,0.67,0.0,0.0,0.33
vsTOT,WB,0.0,0.0,0.0,0.0,1.0,0.33,0.33,0.0,0.67,4.0,1.0,0.0,0.0,0.33
vsWHU,CB,0.05,0.23,0.09,0.0,1.18,0.73,0.86,0.09,0.45,3.32,0.23,0.0,0.0,3.05
