team,age,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,started,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,gameweek,nation_ar ARG,nation_at AUT,nation_ba BIH,nation_be BEL,nation_bf BFA,nation_br BRA,nation_cd COD,nation_ch SUI,nation_ci CIV,nation_cm CMR,nation_co COL,nation_cz CZE,nation_de GER,nation_dk DEN,nation_dz ALG,nation_ec ECU,nation_eg EGY,nation_eng ENG,nation_es ESP,nation_fr FRA,nation_ga GAB,nation_gd GRN,nation_gh GHA,nation_gr GRE,nation_gw GNB,nation_hr CRO,nation_hu HUN,nation_ie IRL,nation_il ISR,nation_ir IRN,nation_is ISL,nation_it ITA,nation_jm JAM,nation_jp JPN,nation_kr KOR,nation_ma MAR,nation_ml MLI,nation_mx MEX,nation_ng NGA,nation_nir NIR,nation_nl NED,nation_no NOR,nation_nz NZL,nation_pl POL,nation_pt POR,nation_py PAR,nation_rs SRB,nation_sct SCO,nation_se SWE,nation_sn SEN,nation_tn TUN,nation_ua UKR,nation_us USA,nation_uy URU,nation_wls WAL,nation_za RSA,nation_zw ZIM,position_1_CB,position_1_CM,position_1_DM,position_1_FW,position_1_LB,position_1_LM,position_1_LW,position_1_RB,position_1_RM,position_1_RW,position_1_WB
vsLiverpool,25.336633663366335,6,5,0,0,100,34,15,0,4261,134,67,98,9.0,9.0,6.6,181,9,2887,3482,7928.3,303,2625,143,164,84,70.0,45622,14478,1526,1677,8673.6,1075,1255,7925.3,188,333,4557.0,5.7,76,213,61,15,3194,275,78,12,25,120,135,33,14,8,0,13,77,90,71,48,15,74,137,3008.3,63,32,66,201,138,1,278,1223,1981,1101,189,4261,3241.6,57,1990.4,13737,7203,97,49,98,59,2928,301,0,75,77,13,0,2,2,362,55,86,2185.0,59,403.0,4,0,0,1,0,9,0,1,1,0,1,2,0,2,1,0,0,28,4,8,1,0,2,0,0,0,1,1,1,0,0,4,2,0,2,1,2,1,0,0,4,0,0,1,3,1,0,3,2,2,0,2,0,0,3,0,0,17,7,13,13,9,3,9,6,4,7,3
vsLuton Town,26.141414141414142,14,8,1,1,107,35,11,1,4918,114,45,93,13.5,12.8,8.9,194,23,3402,4068,7788.1,311,2960,135,134,51,70.0,56059,17173,1681,1848,8556.4,1374,1566,7316.7,246,422,4261.2,9.1,80,256,71,16,3789,265,69,18,29,128,143,34,12,12,1,14,55,64,60,35,19,55,98,3058.4,43,30,63,159,159,1,264,1208,2419,1323,197,4917,2605.1,65,2546.8,14286,7038,100,40,130,62,3426,311,0,76,76,14,1,2,0,388,129,144,3070.6,57,397.0,1,0,0,4,0,8,0,1,1,0,0,1,3,1,2,2,0,27,2,6,1,0,1,0,1,0,0,3,0,0,0,2,2,1,1,1,2,2,2,0,5,1,0,0,4,1,0,3,0,2,0,1,1,0,2,1,0,15,10,7,15,9,6,9,9,5,7,1
vsManchester City,26.264705882352942,4,2,0,0,44,14,27,1,3033,88,58,91,5.7,5.7,3.7,74,6,1905,2360,7621.3,132,1734,90,86,34,70.0,32511,10842,927,1059,8096.3,750,874,7622.1,183,296,3839.7,2.7,33,115,25,3,2163,187,51,3,19,61,88,22,7,11,0,10,43,55,50,30,8,40,105,1861.6,65,43,48,146,143,1,312,1168,1299,601,94,3033,1563.2,43,2308.4,9275,4338,77,28,94,48,1955,133,0,87,61,12,0,2,0,295,53,53,2490.1,57,405.0,2,0,1,5,0,10,0,2,4,0,0,2,2,2,2,0,0,21,2,3,1,0,1,1,0,0,0,4,0,0,0,3,2,0,1,2,1,2,2,1,3,1,1,0,5,1,0,3,2,1,0,0,2,0,3,1,0,18,14,2,16,5,10,7,8,7,7,6
vsManchester Utd,25.75,10,7,0,0,96,35,15,1,4115,126,79,104,11.1,11.1,9.3,173,20,2690,3274,7817.1,221,2376,161,174,84,70.0,45312,14446,1253,1398,8582.5,1157,1343,7550.0,197,335,4303.3,6.3,80,176,59,12,3033,232,70,17,17,115,100,41,19,10,0,9,73,65,86,29,11,55,124,2984.8,69,48,56,205,152,0,347,1465,1666,1033,183,4115,3142.0,70,2592.7,13077,7044,98,34,109,61,2714,214,0,61,71,10,0,1,0,385,82,63,3517.1,45,395.0,1,1,0,3,0,9,0,1,3,0,0,0,4,3,1,0,0,24,4,2,1,0,3,0,0,1,0,2,1,0,1,3,0,2,2,0,2,0,2,0,4,2,1,0,5,0,0,2,2,3,0,1,1,0,3,0,0,16,8,6,14,10,6,9,7,6,10,2
vsNewcastle Utd,25.767676767676768,7,5,0,0,82,25,21,1,3982,106,54,78,7.2,7.2,4.9,148,12,2723,3277,7909.3,221,2234,113,136,73,70.0,43445,12378,1410,1553,8506.7,1083,1261,7877.9,163,299,4030.8,4.0,67,161,43,4,2998,266,74,19,13,76,129,30,18,6,1,13,55,58,53,40,13,39,107,2128.5,68,25,53,160,122,7,289,1224,1943,874,137,3982,3413.6,52,2186.4,11170,5623,78,38,87,63,2711,220,0,91,77,14,0,1,0,358,63,77,2871.7,39,404.0,2,0,1,2,0,6,1,2,2,2,1,0,5,4,0,1,1,29,2,5,0,0,1,0,0,2,1,4,0,0,0,1,2,2,0,1,0,0,1,1,5,2,0,1,2,0,0,4,0,0,1,0,0,1,1,0,0,20,14,9,15,8,2,6,9,2,7,1
vsNott'ham Forest,25.03125,10,8,1,1,95,30,17,2,5013,100,60,62,10.0,9.2,6.7,172,19,3580,4279,7635.1,345,3421,163,128,50,70.0,56377,16201,1885,2069,8329.4,1394,1595,7500.5,209,398,3869.3,7.3,65,341,65,8,3981,286,72,16,20,153,142,54,28,17,1,12,62,65,41,43,16,53,104,2382.2,51,17,45,160,123,1,219,1102,2466,1489,191,5012,1895.6,61,2716.1,17228,9146,124,43,106,66,3603,345,0,69,75,12,1,0,0,351,110,123,3254.8,53,389.0,3,0,1,5,0,6,1,2,1,1,0,0,3,5,0,1,0,27,1,7,0,0,1,0,0,1,0,3,0,1,1,1,1,1,0,1,0,0,1,1,4,4,0,0,4,0,0,2,1,1,0,1,0,0,1,1,0,20,11,7,10,7,4,7,5,3,6,6
vsSheffield Utd,26.236559139784948,19,16,0,1,155,60,11,0,4865,128,49,97,18.0,17.2,13.9,281,35,3375,4055,7397.5,377,3163,197,137,72,70.0,56912,18357,1621,1807,7919.6,1419,1628,7220.8,264,417,4884.1,12.0,128,246,96,18,3750,293,73,18,30,164,152,56,19,23,1,12,85,77,59,49,20,57,98,3256.6,41,19,78,177,95,1,176,1081,2392,1431,276,4864,3289.7,52,2090.3,17389,8855,147,59,115,74,3396,373,0,58,78,14,0,0,0,377,132,101,3629.1,44,385.0,2,0,0,2,0,5,0,1,2,0,1,2,0,2,1,0,0,28,3,2,0,0,3,1,1,3,0,0,1,0,0,3,1,0,1,1,3,1,1,0,4,1,1,0,2,1,0,3,3,4,0,0,0,0,3,0,0,19,6,10,11,7,3,10,8,5,10,0
vsTottenham,25.333333333333332,7,5,2,2,90,31,24,3,3380,144,59,116,10.1,8.5,7.0,163,13,2008,2556,7756.1,213,1840,103,137,58,70.0,34683,11452,949,1083,8588.5,810,966,7827.8,196,333,4878.3,5.2,69,142,56,10,2269,274,69,17,28,98,134,40,22,10,3,13,66,73,67,51,26,77,164,3392.5,87,42,74,203,147,4,343,1173,1296,944,171,3378,2677.2,67,3130.5,9130,4572,82,35,84,73,2050,213,2,95,79,16,1,0,2,342,88,62,3545.9,59,404.0,3,0,1,2,0,5,1,1,1,2,1,0,4,8,0,0,1,31,0,4,0,1,1,0,0,0,2,3,0,0,1,2,1,1,0,0,0,0,0,1,5,3,0,0,4,0,0,4,0,0,0,2,1,1,3,1,0,20,20,6,14,6,6,7,8,4,5,3
vsWest Ham,25.38235294117647,10,7,1,2,137,40,9,0,5017,101,40,85,14.600000000000001,13.0,9.9,252,19,3587,4260,8194.0,436,3275,200,143,62,70.0,57433,16534,1887,2075,8980.5,1375,1557,7857.3,243,413,4737.8,11.0,107,324,102,24,3969,283,64,18,20,191,126,67,24,22,3,8,81,63,42,37,22,40,98,2103.3,58,19,66,141,109,3,210,925,2344,1785,285,5015,2552.4,65,3004.1,17326,9486,146,62,99,70,3612,434,0,68,69,8,2,1,0,352,116,109,3469.2,58,409.0,4,0,1,1,1,3,1,1,1,1,1,0,1,2,0,2,1,38,2,2,0,0,1,0,0,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,8,2,0,0,4,0,0,5,0,1,1,2,1,1,3,0,1,20,15,8,13,6,2,7,9,1,7,6
vsWolves,26.04123711340206,12,10,1,1,120,43,19,0,4425,152,59,70,13.9,13.200000000000001,11.0,211,23,3005,3650,7554.0,358,2650,169,131,62,70.0,47919,14533,1547,1720,8342.6,1155,1339,7264.2,207,383,4321.2,10.4,93,279,81,14,3343,297,91,13,20,153,139,42,18,17,0,10,62,88,69,58,25,71,166,3104.3,95,24,46,211,101,0,198,966,2086,1411,239,4424,2193.9,56,2485.2,14035,8310,132,56,98,79,3007,353,0,76,90,11,0,0,1,389,68,76,3264.3,54,382.0,4,0,0,3,1,3,1,1,0,1,2,0,2,2,0,1,1,36,0,4,0,0,2,0,0,1,1,3,0,0,0,0,1,1,0,0,2,0,0,0,5,2,0,0,5,1,0,5,1,1,0,0,0,2,1,0,1,17,11,10,13,6,7,9,7,6,7,0
