Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
vsARS,AM,0.0,0.2,0.0,0.0,1.6,0.6,0.6,1.2,1.6,0.6,1.0,0.0,0.0,0.6
vsARS,CM,0.1,0.2,0.2,0.0,1.9,0.4,0.9,0.1,0.4,0.7,0.8,0.0,0.0,0.4
vsARS,DM,0.0,0.11,0.33,0.0,1.56,0.89,1.89,0.67,0.56,1.11,0.78,0.0,0.0,1.11
vsARS,LM,0.14,0.14,0.29,0.0,1.14,0.29,0.29,0.57,0.14,0.57,1.0,0.0,0.0,0.29
vsARS,RM,0.0,0.0,0.25,0.0,1.25,0.5,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.5
vsAVL,AM,0.25,0.25,0.25,0.0,2.5,0.25,0.75,0.0,0.5,0.75,1.0,0.0,0.0,0.5
vsAVL,CM,0.0,0.13,0.33,0.07,0.93,0.33,0.67,0.47,0.47,0.53,0.47,0.0,0.0,0.47
vsAVL,DM,0.0,0.12,0.25,0.0,2.25,1.25,1.75,1.0,0.5,1.5,0.25,0.0,0.0,0.5
vsAVL,LM,0.0,0.12,0.12,0.0,1.25,0.0,0.38,1.12,0.5,1.0,0.75,0.0,0.0,0.25
vsAVL,RM,0.22,0.56,0.22,0.0,0.67,0.33,0.67,1.0,0.44,0.67,0.67,0.0,0.0,0.33
vsBHA,AM,0.2,0.8,0.6,0.0,0.4,0.0,0.6,1.4,0.8,0.4,1.2,0.0,0.0,0.2
vsBHA,CM,0.08,0.23,0.08,0.0,1.46,1.54,0.85,0.38,0.46,0.62,0.92,0.0,0.0,0.54
vsBHA,DM,0.12,0.12,0.25,0.0,1.88,0.5,1.38,0.38,0.5,0.88,0.5,0.0,0.0,0.38
vsBHA,LM,0.12,0.25,0.38,0.12,0.5,0.25,0.5,1.75,1.0,0.38,0.88,0.0,0.0,0.12
vsBHA,RM,0.17,0.33,0.17,0.0,1.17,0.83,0.0,1.5,1.83,0.5,1.33,0.17,0.0,0.33
vsBOU,AM,0.11,0.33,0.0,0.0,0.78,0.33,0.33,0.78,0.56,0.56,1.0,0.0,0.0,0.22
vsBOU,CM,0.12,0.62,0.0,0.12,3.0,0.62,1.12,0.25,0.88,0.75,0.38,0.0,0.0,0.62
vsBOU,DM,0.0,0.25,0.25,0.0,2.42,0.42,0.42,0.58,1.08,1.5,0.42,0.0,0.0,1.17
vsBOU,LM,0.14,0.57,0.14,0.0,1.14,0.0,1.43,0.57,1.0,0.57,0.86,0.0,0.0,0.43
vsBOU,RM,0.5,0.5,0.17,0.0,1.5,0.17,0.83,1.0,1.17,0.17,0.83,0.33,0.0,0.33
vsBRF,AM,0.0,0.43,0.14,0.0,1.14,0.43,0.14,1.0,1.57,0.57,1.14,0.0,0.0,0.71
vsBRF,CM,0.0,0.17,0.33,0.0,1.5,0.83,0.5,1.33,0.83,0.5,0.67,0.0,0.0,1.0
vsBRF,DM,0.0,0.4,0.1,0.0,1.3,0.9,1.2,1.1,0.8,1.4,0.4,0.0,0.0,0.8
vsBRF,LM,0.17,0.33,0.0,0.0,1.33,0.33,1.33,0.83,0.5,1.5,0.67,0.0,0.0,1.33
