position_1,player (nunique),fpts (mean),team (nunique),opponent (nunique),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
RB,45,5.51,20,20,0.01,0.82,0.14,0.11,1.18,0.39,0.22,0.01,0.44,0.73,1.74,0.62,0.34,0.66,0.0,0.01,0.01,1.16,0.13,1.57,0.06,0.0,3.31,-2.94,0.52
LB,53,5.14,20,20,0.03,0.76,0.1,0.15,0.99,0.48,0.19,0.01,0.37,0.82,1.8,0.48,0.27,0.87,0.0,0.01,0.02,1.15,0.11,1.55,0.07,0.0,3.02,-3.02,0.49
CB,92,4.69,20,20,0.04,0.29,0.03,0.14,0.76,0.16,0.14,0.01,0.04,0.93,3.37,0.23,0.78,1.82,0.0,0.0,0.01,1.34,0.07,1.14,0.04,0.0,3.05,-3.18,0.49
WB,32,4.67,8,14,0.07,0.82,0.09,0.22,0.71,0.51,0.2,0.0,0.47,0.47,1.31,0.51,0.18,0.78,0.0,0.0,0.0,1.2,0.15,1.38,0.16,0.0,2.93,-2.44,0.36
