team,position,player (nunique),fpts (mean),team (nunique),opponent (nunique),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
BRF,LW,2,6.25,1,5,0.17,0.5,0.17,0.33,0.17,0.83,0.0,0.0,0.33,0.33,0.83,0.67,0.0,1.67,0.0,0.0,0.0,1.0,0.17,1.33,0.33,0.0,3.58,-0.42,0.67
AVL,RW,3,6.21,1,6,0.14,0.86,0.29,0.14,0.29,1.14,0.14,0.0,0.29,0.43,0.0,0.86,0.0,0.14,0.0,0.0,0.0,0.71,0.43,1.43,0.0,0.0,3.07,-0.86,0.43
BRF,FW,7,5.97,1,8,0.17,0.44,0.11,0.61,0.39,0.56,0.11,0.0,0.06,0.39,0.33,0.5,0.11,1.28,0.0,0.06,0.0,1.0,0.22,1.22,0.33,0.06,3.81,-0.5,0.44
AVL,LW,3,5.93,1,6,0.29,0.57,0.0,0.57,0.14,1.86,0.14,0.0,0.14,0.14,0.43,1.29,0.0,0.57,0.0,0.0,0.0,0.71,0.29,1.57,0.0,0.0,3.07,-1.21,0.57
MUN,RW,5,5.73,1,7,0.09,0.91,0.0,0.64,0.36,0.45,0.09,0.0,0.09,0.91,0.36,0.64,0.0,0.27,0.0,0.0,0.0,0.73,0.09,0.73,0.36,0.0,4.82,-0.41,0.55
BOU,RW,5,5.72,1,8,0.12,0.69,0.06,0.5,0.38,0.88,0.12,0.0,0.19,0.19,0.25,1.5,0.06,0.31,0.0,0.0,0.0,1.12,0.12,1.19,0.0,0.0,4.16,-0.69,0.5
NOT,FW,4,5.38,1,8,0.24,0.76,0.12,0.24,0.18,0.82,0.06,0.0,0.0,0.06,0.47,0.35,0.0,1.0,0.0,0.0,0.0,0.59,0.35,0.71,0.35,0.0,2.56,-0.53,0.35
WOL,FW,5,5.36,1,8,0.09,0.77,0.09,0.45,0.55,1.14,0.09,0.0,0.05,0.18,0.23,1.05,0.18,0.5,0.0,0.0,0.0,0.91,0.18,0.95,0.32,0.0,3.95,-0.75,0.41
CRY,LW,5,5.36,1,7,0.0,0.91,0.0,0.55,0.55,1.27,0.09,0.0,0.09,0.36,0.27,1.55,0.0,0.91,0.0,0.0,0.0,0.73,0.0,1.18,0.0,0.0,5.09,-0.82,0.45
NEW,RW,4,5.31,1,8,0.15,0.46,0.15,0.31,0.62,0.69,0.15,0.0,0.08,0.38,0.31,0.62,0.0,0.08,0.0,0.08,0.0,0.54,0.23,0.92,0.15,0.0,2.77,-0.65,0.54
