Team,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
Arsenal,0.14,0.37,0.12,0.01,1.19,0.55,0.9,0.65,0.79,0.8,0.72,0.04,0.0,0.78
Aston Villa,0.17,0.41,0.18,0.0,1.2,0.44,0.79,0.68,0.75,1.01,0.66,0.02,0.01,0.47
Bournemouth,0.05,0.25,0.09,0.0,1.25,0.64,0.93,0.84,0.56,1.22,0.7,0.0,0.01,0.64
Brentford,0.1,0.27,0.12,0.0,1.21,0.54,0.84,0.43,0.68,1.32,0.57,0.02,0.0,1.27
Brighton,0.17,0.48,0.21,0.0,1.15,0.57,0.76,0.56,0.98,0.99,0.58,0.01,0.01,0.62
Burnley,0.06,0.19,0.14,0.02,0.97,0.5,0.83,0.52,0.52,1.41,0.46,0.0,0.0,0.8
Chelsea,0.07,0.32,0.22,0.01,1.14,0.43,0.78,0.74,0.71,1.25,0.73,0.01,0.0,0.95
Crystal Palace,0.08,0.39,0.13,0.0,1.69,0.7,0.98,0.99,0.83,2.12,1.11,0.0,0.0,1.26
Everton,0.07,0.38,0.12,0.0,1.47,0.64,1.07,0.54,0.85,1.13,0.62,0.0,0.0,1.3
Fulham,0.05,0.21,0.2,0.02,1.1,0.49,0.65,0.33,0.48,1.38,0.77,0.0,0.0,0.82
Liverpool,0.14,0.32,0.14,0.04,1.13,0.59,0.88,0.61,0.83,1.42,0.58,0.02,0.01,0.83
Luton Town,0.06,0.13,0.12,0.0,1.26,0.57,0.72,0.43,0.68,1.38,0.58,0.0,0.0,1.42
Manchester City,0.18,0.54,0.12,0.01,0.99,0.4,0.59,0.71,1.11,0.78,0.52,0.01,0.01,0.57
Manchester Utd,0.07,0.29,0.17,0.0,1.32,0.46,0.94,0.7,0.91,1.35,0.72,0.01,0.01,0.61
Newcastle Utd,0.18,0.45,0.18,0.0,1.15,0.39,0.82,0.68,0.82,0.87,0.67,0.02,0.0,0.76
Nott'ham Forest,0.08,0.2,0.22,0.02,1.23,0.63,0.83,0.5,0.51,1.81,0.46,0.0,0.0,1.19
Sheffield Utd,0.04,0.2,0.22,0.01,1.28,0.68,1.18,0.41,0.43,2.06,0.72,0.0,0.0,1.03
Tottenham,0.15,0.51,0.25,0.0,1.39,0.62,0.82,0.86,1.05,1.24,0.66,0.0,0.01,0.56
West Ham,0.14,0.34,0.19,0.01,1.44,0.86,1.2,0.63,0.7,2.29,0.65,0.01,0.0,1.15
Wolves,0.07,0.23,0.22,0.02,1.35,0.64,0.91,0.95,0.6,1.48,0.81,0.0,0.01,0.72
