,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
50,2,16.03,0.0,3.0,0.56,0.0,1.0,0.33,0.11,0.0,1.56,0.67,0.78,0.78,0.56,1.78,0.0,0.0,0.0,1.0,0.56,1.22,0.11,0.0,10.14,-2.39,0.44
6,3,14.17,0.67,0.67,0.33,1.0,1.0,0.33,0.0,0.0,0.0,0.67,1.33,0.67,0.0,0.67,0.0,0.0,0.0,0.67,1.0,1.0,0.0,0.0,5.17,-1.5,0.0
2,2,12.59,0.12,1.0,0.12,0.5,1.75,0.62,0.0,0.0,0.62,1.0,1.88,1.0,0.75,0.75,0.0,0.0,0.0,0.62,0.12,0.5,0.12,0.0,8.09,-1.06,0.62
25,4,10.85,0.12,0.65,0.0,0.24,0.88,0.12,0.0,0.0,0.29,0.71,5.06,0.59,1.06,2.0,0.0,0.0,0.0,0.82,0.12,0.71,0.0,0.0,6.85,-1.71,0.47
35,1,9.91,0.12,2.38,0.0,0.25,1.38,0.12,0.12,0.0,0.75,1.0,2.38,0.12,0.38,1.0,0.0,0.0,0.0,1.12,0.12,1.12,0.25,0.0,7.91,-2.56,0.38
8,4,9.62,0.1,1.6,0.6,0.4,1.1,0.5,0.3,0.0,0.7,1.2,1.0,0.8,0.1,0.6,0.0,0.0,0.1,1.6,0.7,2.2,0.1,0.0,4.53,-4.15,0.5
23,2,9.55,0.0,0.8,0.4,0.0,1.4,0.2,0.4,0.2,0.0,1.0,1.8,0.8,0.0,0.6,0.0,0.0,0.0,0.2,0.4,4.0,0.2,0.0,3.15,-2.7,0.4
4,1,9.04,0.0,1.86,0.29,0.14,1.0,1.0,0.57,0.0,1.43,1.86,1.57,0.14,0.0,1.29,0.0,0.0,0.0,1.57,0.14,3.14,0.0,0.0,5.32,-4.79,0.43
41,5,8.83,0.11,1.89,0.11,0.11,1.22,0.0,0.22,0.0,0.78,0.67,1.67,0.33,0.11,1.44,0.0,0.0,0.0,1.56,0.22,1.56,0.22,0.0,7.17,-1.11,0.33
64,2,8.69,0.0,1.22,0.44,0.0,1.78,0.33,0.0,0.0,0.67,1.0,2.11,0.11,0.33,0.89,0.0,0.0,0.0,1.33,0.44,0.44,0.11,0.0,4.92,-2.83,0.56
22,2,8.04,0.0,0.29,0.14,0.43,1.29,0.0,0.29,0.0,0.29,0.57,1.86,0.14,0.57,1.14,0.0,0.0,0.0,0.43,0.14,1.71,0.14,0.0,4.46,-1.43,0.43
47,2,8.0,0.0,1.44,0.11,0.11,1.44,0.56,0.33,0.0,0.89,1.11,2.0,1.44,0.33,0.67,0.0,0.0,0.0,1.33,0.11,2.0,0.0,0.0,5.89,-3.61,0.56
59,5,7.44,0.15,0.2,0.05,0.15,1.2,0.1,0.25,0.0,0.0,0.85,3.15,0.3,0.6,1.95,0.0,0.0,0.05,0.9,0.2,1.3,0.0,0.0,3.79,-2.6,0.35
20,2,7.25,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,4.25,0.0,1.0
28,4,7.16,0.06,0.47,0.06,0.24,0.88,0.24,0.24,0.0,0.12,1.53,3.47,0.18,1.06,2.82,0.0,0.0,0.0,1.41,0.12,1.94,0.06,0.0,5.46,-3.41,0.59
26,1,7.16,0.0,0.62,0.12,0.0,1.0,0.75,0.12,0.0,0.75,0.62,2.62,0.5,0.5,0.38,0.0,0.0,0.0,0.88,0.12,1.0,0.0,0.0,3.28,-2.38,0.5
61,2,7.08,0.07,0.93,0.2,0.07,1.33,0.2,0.27,0.0,0.27,0.73,2.07,0.53,0.47,0.47,0.0,0.07,0.0,1.0,0.13,1.67,0.0,0.0,3.82,-2.63,0.47
44,1,6.84,0.0,1.12,0.12,0.12,0.5,0.38,0.12,0.0,0.5,0.38,1.12,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.12,1.0,0.12,0.0,3.72,-1.94,0.38
51,6,6.84,0.05,0.41,0.0,0.32,0.91,0.09,0.05,0.05,0.0,0.86,4.73,0.18,1.05,2.64,0.0,0.0,0.0,1.23,0.05,1.23,0.05,0.0,5.25,-2.82,0.32
21,3,6.72,0.05,0.42,0.0,0.16,0.37,0.21,0.16,0.0,0.0,0.74,3.53,0.32,0.68,2.58,0.0,0.0,0.0,1.0,0.05,1.16,0.21,0.0,4.3,-2.42,0.53
