,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
66,vsTOT,WB,3,2.92,0.0,0.67,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.33,3.0,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0,0.33,0.0,0.92,-2.5,0.0
36,vsLIV,CB,20,2.88,0.1,0.4,0.0,0.15,0.7,0.15,0.1,0.0,0.05,1.05,2.8,0.3,0.8,1.15,0.0,0.0,0.0,1.85,0.1,0.8,0.0,0.0,1.88,-3.98,0.6
47,vsMCI,WB,6,2.83,0.17,0.17,0.0,0.5,0.33,0.17,0.17,0.0,0.0,0.0,1.17,0.5,0.33,0.17,0.0,0.0,0.0,0.67,0.17,0.83,0.17,0.0,1.17,-1.75,0.67
5,vsAVL,RB,7,2.71,0.0,1.71,0.14,0.0,1.57,0.29,0.29,0.14,0.43,1.0,1.14,0.14,0.43,0.14,0.0,0.0,0.0,2.43,0.14,2.57,0.14,0.0,0.86,-6.57,0.57
23,vsCHE,RB,8,2.59,0.0,0.5,0.0,0.25,0.38,0.88,0.12,0.0,0.38,0.75,2.12,0.5,0.0,0.25,0.0,0.0,0.0,1.25,0.0,1.12,0.0,0.0,1.09,-3.19,0.62
3,vsAVL,CB,19,2.45,0.0,0.63,0.05,0.05,0.26,0.0,0.21,0.0,0.05,1.26,3.47,0.26,0.79,1.42,0.0,0.0,0.0,2.21,0.05,1.16,0.26,0.0,1.45,-4.84,0.68
54,vsNEW,RB,10,2.4,0.0,0.6,0.1,0.2,0.9,0.4,0.3,0.0,0.1,0.3,1.6,0.9,0.2,0.1,0.0,0.0,0.0,1.3,0.1,2.0,0.3,0.0,1.1,-3.4,0.4
63,vsTOT,CB,24,2.21,0.0,0.17,0.08,0.08,1.08,0.12,0.29,0.0,0.04,1.04,3.5,0.42,0.96,1.62,0.0,0.0,0.08,1.92,0.08,1.54,0.04,0.0,1.62,-4.9,0.62
44,vsMCI,CB,20,2.21,0.05,0.05,0.0,0.15,0.75,0.2,0.1,0.0,0.0,1.35,3.45,0.05,1.1,1.0,0.0,0.0,0.0,2.05,0.05,0.95,0.1,0.0,1.11,-4.4,0.65
53,vsNEW,LB,9,2.1,0.0,0.8,0.1,0.0,0.7,0.2,0.3,0.0,0.2,0.6,1.6,0.6,0.3,0.9,0.0,0.0,0.0,1.9,0.1,1.3,0.1,0.0,0.8,-4.5,0.5
59,vsNOT,WB,6,2.04,0.0,0.33,0.0,0.17,0.5,0.67,0.33,0.0,0.5,0.5,0.83,0.67,0.17,1.17,0.0,0.0,0.0,1.0,0.0,1.83,0.0,0.0,2.04,-2.33,0.33
9,vsBHA,RB,8,1.97,0.0,0.5,0.12,0.0,2.25,0.25,0.12,0.0,0.12,0.5,1.88,0.75,0.38,0.25,0.0,0.0,0.0,2.12,0.12,1.38,0.12,0.0,1.09,-4.62,0.38
65,vsTOT,RB,9,1.67,0.0,0.56,0.11,0.11,0.78,0.67,0.22,0.0,0.22,0.89,1.78,0.67,0.33,0.33,0.0,0.0,0.0,1.67,0.0,1.56,0.0,0.0,0.89,-4.11,0.67
4,vsAVL,LB,8,1.5,0.0,0.38,0.0,0.25,1.25,0.12,0.12,0.0,0.25,0.75,1.75,0.62,0.38,0.75,0.0,0.0,0.12,2.0,0.0,1.0,0.25,0.0,0.75,-4.94,0.5
1,vsARS,LB,8,1.34,0.0,0.38,0.0,0.12,1.75,1.38,0.12,0.0,0.25,0.62,3.12,0.12,0.38,0.88,0.0,0.0,0.0,1.75,0.0,2.0,0.0,0.0,1.34,-4.44,0.5
0,vsARS,CB,20,0.54,0.0,0.05,0.0,0.05,0.7,0.1,0.15,0.05,0.05,0.65,3.35,0.25,1.0,1.2,0.0,0.0,0.05,1.7,0.0,1.45,0.0,0.0,0.54,-4.35,0.3
7,vsBHA,CB,24,0.53,0.0,0.25,0.04,0.08,0.83,0.12,0.38,0.0,0.0,0.75,2.71,0.21,1.0,0.67,0.0,0.0,0.0,1.96,0.04,2.54,0.0,0.0,0.24,-4.56,0.33
2,vsARS,RB,9,0.5,0.0,0.33,0.0,0.0,1.11,0.33,0.22,0.0,0.0,0.89,2.0,0.44,0.11,0.56,0.0,0.0,0.0,1.56,0.0,1.33,0.11,0.0,0.5,-3.72,0.56
35,vsFUL,WB,3,0.33,0.0,0.0,0.33,0.0,0.33,1.33,0.0,0.0,0.0,1.0,1.33,0.33,0.33,0.33,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-2.0,-4.67,0.0
52,vsNEW,CB,22,-0.03,0.0,0.23,0.0,0.09,0.59,0.14,0.23,0.05,0.0,0.95,3.05,0.27,0.45,1.23,0.0,0.0,0.0,2.32,0.0,1.59,0.0,0.0,-0.58,-5.48,0.41
8,vsBHA,LB,8,-0.06,0.0,1.0,0.0,0.0,1.5,1.0,0.25,0.0,0.38,0.5,1.75,0.75,0.0,0.25,0.0,0.0,0.12,2.12,0.0,1.38,0.12,0.0,-0.06,-5.88,0.5
45,vsMCI,LB,7,-0.56,0.0,0.38,0.0,0.0,0.62,0.0,0.25,0.0,0.12,0.5,0.25,0.25,0.25,0.12,0.0,0.0,0.0,1.75,0.0,1.25,0.12,0.0,-1.31,-4.0,0.62
55,vsNEW,WB,1,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.0,-6.0,1.0
51,vsMUN,WB,4,-1.12,0.0,0.5,0.0,0.0,1.25,0.75,0.75,0.0,0.25,0.75,3.0,0.75,0.0,1.0,0.0,0.0,0.0,2.5,0.0,3.5,0.0,0.0,-1.12,-6.88,0.0
