Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
vsArsenal,D,0.0,0.03,0.24,0.03,1.76,0.7,0.97,0.27,0.21,3.3,0.42,0.0,0.03,1.0
vsArsenal,F,0.12,0.29,0.06,0.0,0.71,0.26,0.65,0.59,0.65,0.32,0.53,0.0,0.0,0.85
vsArsenal,M,0.07,0.17,0.2,0.0,1.5,0.63,0.93,0.53,0.63,0.83,0.83,0.0,0.0,0.7
vsAston Villa,D,0.0,0.09,0.18,0.03,1.27,1.12,0.88,0.36,0.85,2.55,0.09,0.0,0.03,0.91
vsAston Villa,F,0.23,0.63,0.13,0.0,0.87,0.1,0.33,0.67,0.67,0.43,1.17,0.0,0.0,0.4
vsAston Villa,M,0.08,0.21,0.21,0.0,1.34,0.42,0.89,0.71,0.53,0.74,0.61,0.0,0.0,0.37
vsBournemouth,D,0.03,0.24,0.15,0.0,1.82,0.97,1.15,0.38,0.53,2.68,0.15,0.0,0.0,1.38
vsBournemouth,F,0.3,0.63,0.23,0.0,0.9,0.43,0.47,1.23,1.17,0.3,1.13,0.03,0.0,1.03
vsBournemouth,M,0.11,0.35,0.14,0.03,1.65,0.35,0.73,0.59,0.84,0.89,0.59,0.05,0.0,0.62
vsBrentford,D,0.12,0.15,0.24,0.06,1.58,0.52,1.18,0.45,0.48,3.48,0.3,0.0,0.0,1.88
vsBrentford,F,0.17,0.45,0.07,0.0,0.55,0.1,0.38,0.97,0.59,0.79,1.28,0.03,0.0,0.9
vsBrentford,M,0.03,0.28,0.21,0.0,1.55,0.66,1.0,1.14,1.0,1.1,0.69,0.0,0.0,1.0
vsBrighton,D,0.0,0.05,0.32,0.0,1.81,0.68,1.19,0.46,0.49,2.35,0.32,0.0,0.03,0.51
vsBrighton,F,0.29,0.68,0.07,0.0,0.79,0.25,0.43,1.5,0.79,0.36,0.96,0.0,0.0,0.68
vsBrighton,M,0.14,0.31,0.25,0.03,1.14,0.64,0.69,0.97,0.78,0.56,0.89,0.0,0.0,0.36
vsBurnley,D,0.1,0.18,0.1,0.0,1.23,0.64,0.67,0.38,0.64,2.05,0.13,0.0,0.0,1.72
vsBurnley,F,0.41,0.82,0.09,0.0,0.59,0.32,0.41,0.82,1.27,0.68,0.73,0.05,0.0,1.27
vsBurnley,M,0.08,0.44,0.17,0.0,1.42,0.44,1.17,0.64,1.11,0.5,0.86,0.0,0.0,0.47
vsChelsea,D,0.03,0.14,0.26,0.03,1.69,1.06,1.14,0.23,0.29,3.51,0.37,0.03,0.0,0.83
vsChelsea,F,0.1,0.4,0.07,0.0,0.47,0.2,0.53,0.73,0.47,0.4,0.97,0.0,0.0,0.47
vsChelsea,M,0.06,0.2,0.17,0.0,1.49,1.09,1.2,0.57,0.94,1.09,0.77,0.0,0.0,0.4
vsCrystal Palace,D,0.0,0.06,0.24,0.03,1.82,0.79,1.03,0.38,0.38,2.5,0.56,0.0,0.0,1.44
vsCrystal Palace,F,0.1,0.33,0.13,0.0,0.7,0.2,0.83,0.67,0.67,0.33,1.03,0.07,0.0,0.73
vsCrystal Palace,M,0.12,0.24,0.21,0.0,2.21,0.61,1.03,0.42,0.97,0.76,1.03,0.0,0.0,0.7
vsEverton,D,0.02,0.12,0.2,0.0,1.2,0.65,0.95,0.35,0.45,3.28,0.32,0.0,0.0,1.42
vsEverton,F,0.3,0.48,0.07,0.0,0.7,0.15,0.59,0.81,0.56,0.52,1.04,0.04,0.0,0.7
vsEverton,M,0.07,0.23,0.13,0.0,1.3,0.53,0.97,0.57,0.7,0.63,0.9,0.0,0.0,0.67
vsFulham,D,0.03,0.12,0.12,0.0,1.31,0.94,0.91,0.5,0.38,2.91,0.19,0.0,0.0,1.38
vsFulham,F,0.33,0.7,0.1,0.0,0.63,0.27,0.5,0.93,0.83,0.47,0.93,0.03,0.0,0.73
vsFulham,M,0.03,0.35,0.11,0.0,1.46,0.59,0.78,0.68,0.59,0.62,0.62,0.05,0.0,0.27
vsLiverpool,D,0.03,0.11,0.17,0.0,1.63,1.14,1.34,0.57,0.71,2.63,0.34,0.0,0.06,1.0
vsLiverpool,F,0.17,0.69,0.1,0.0,0.59,0.31,0.66,1.28,0.93,0.41,0.86,0.0,0.0,0.31
vsLiverpool,M,0.0,0.27,0.16,0.0,1.62,0.49,0.86,0.73,0.65,0.92,0.59,0.0,0.0,0.3
vsLuton Town,D,0.03,0.18,0.18,0.0,1.62,0.59,1.21,0.35,0.71,3.29,0.21,0.0,0.0,2.0
vsLuton Town,F,0.29,0.61,0.03,0.0,0.45,0.19,0.52,0.77,0.71,0.39,0.94,0.0,0.0,0.68
vsLuton Town,M,0.12,0.29,0.12,0.03,1.32,0.56,1.06,0.44,1.0,1.03,0.76,0.03,0.0,1.18
vsManchester City,D,0.05,0.16,0.16,0.0,1.08,0.92,1.32,0.24,0.22,2.43,0.14,0.0,0.0,0.73
