,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),dis (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),cos (mean),bs (mean),aer (mean),pkm (mean),pkd (mean),og (mean),gao (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean)
0,63,7.76,0.17,1.24,0.17,0.58,0.54,1.12,0.19,0.01,0.28,0.33,0.43,0.88,0.11,0.5,0.0,0.02,0.0,0.98,0.3,1.33,0.15,0.02,5.1,-0.99,0.53
4,63,6.45,0.12,0.96,0.17,0.32,0.69,0.85,0.17,0.01,0.33,0.42,0.53,0.62,0.12,0.43,0.0,0.03,0.0,0.84,0.23,1.3,0.1,0.02,4.11,-0.96,0.55
2,58,6.21,0.07,0.81,0.09,0.33,1.07,0.61,0.21,0.01,0.11,0.76,1.1,0.68,0.36,0.8,0.0,0.0,0.0,1.01,0.14,1.79,0.04,0.01,4.86,-0.81,0.51
3,67,5.21,0.04,0.87,0.12,0.31,0.69,0.8,0.12,0.02,0.23,0.43,0.59,0.72,0.12,0.52,0.0,0.01,0.0,0.84,0.12,1.23,0.16,0.01,4.04,-0.84,0.54
1,87,4.29,0.04,0.62,0.02,0.2,1.03,0.62,0.2,0.01,0.12,0.74,0.71,0.4,0.25,0.67,0.0,0.0,0.0,1.23,0.05,1.68,0.03,0.0,3.7,-0.82,0.47
