Player,Team,Position,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
Justin Kluivert,BOU,M,19.0,331,4,235.0,0,0,0,4,1,9,9,0,0,9,3,0,0,3.68,5.16
Kai Havertz,ARS,F,37.5,459,5,175.38,1,1,2,9,1,11,9,3,0,20,2,1,2,5.1,7.35
Kalvin Phillips,MCI,M,4.0,67,0,346.0,0,0,0,2,0,2,1,0,0,2,0,0,0,0.74,5.41
Kaoru Mitoma,BHA,M,103.0,665,7,15.25,3,3,6,14,5,8,12,3,0,17,4,0,0,7.39,13.94
Keane Lewis-Potter,BRF,F,9.5,214,2,304.0,0,0,0,6,1,1,5,0,0,1,1,0,0,2.38,3.99
Kenny Tete,FUL,D,22.5,427,5,215.0,0,0,0,1,0,7,6,2,0,13,0,0,2,4.74,4.75
Kevin De Bruyne,MCI,M,4.0,22,1,342.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.24,16.67
Kevin Schade,BRF,M,35.0,253,3,143.0,1,0,1,5,2,7,5,0,0,7,1,0,1,2.81,12.46
Kieffer Moore,BOU,F,5.5,74,0,377.25,0,0,0,4,1,2,1,0,0,2,0,0,0,0.82,6.71
Kieran Trippier,NEW,D,143.75,699,8,4.5,0,5,5,2,0,8,10,1,0,11,1,0,3,7.77,18.5
Konstantinos Mavropanos,WHU,D,0.0,1,0,587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0
Konstantinos Tsimikas,LIV,D,1.0,3,0,390.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03,33.33
Kristoffer Ajer,BRF,D,20.75,298,3,243.67,0,1,1,4,1,5,0,0,0,5,0,0,0,3.31,6.27
Kurt Zouma,WHU,D,53.0,720,8,95.0,1,0,1,2,2,4,2,1,0,7,0,0,1,8.0,6.62
Kyle Walker,MCI,D,54.75,718,8,85.0,0,1,1,3,1,5,10,1,0,8,1,0,3,7.98,6.86
Leander Dendoncker,AVL,M,1.0,2,0,385.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,50.0
Leandro Trossard,ARS,M,34.0,171,2,160.75,1,0,1,1,1,0,1,0,0,0,2,0,1,1.9,17.89
Leon Bailey,AVL,F,43.5,205,2,121.0,2,1,3,4,2,4,2,1,0,7,0,0,1,2.28,19.08
Lesley Ugochukwu,CHE,F,9.5,129,1,305.0,0,0,0,0,0,2,0,0,0,2,0,0,1,1.43,6.64
Levi Colwill,CHE,D,66.0,709,8,52.0,0,1,1,6,2,8,5,0,0,8,2,0,3,7.88,8.38
Lewis Cook,BOU,M,38.0,470,5,151.83,0,0,0,2,1,7,4,0,0,7,0,0,1,5.22,7.28
Lewis Dobbin,EVE,F,11.5,116,1,282.0,0,0,0,1,1,1,4,0,0,1,0,0,0,1.29,8.91
Lewis Dunk,BHA,D,23.5,720,8,302.5,1,0,1,12,2,4,2,2,0,10,0,0,0,8.0,2.94
Lewis Hall,NEW,D,-1.0,8,0,715.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,-11.11
Lisandro Martinez,MUN,D,2.5,375,5,369.0,0,1,1,0,0,2,2,2,0,8,0,0,0,4.17,0.6
Lloyd Kelly,BOU,D,16.25,275,3,247.0,0,0,0,0,0,1,1,1,0,4,0,0,1,3.06,5.31
Luca Koleosho,BUR,F,47.0,499,7,119.71,0,1,1,11,2,7,5,0,0,7,6,0,0,5.54,8.48
Lucas Digne,AVL,D,75.75,710,8,36.88,0,2,2,5,1,12,11,4,0,24,0,0,2,7.89,9.6
Lucas Paqueta,WHU,M,69.5,704,8,42.38,1,1,2,8,3,18,20,4,0,30,1,1,1,7.82,8.89
Luis Diaz,LIV,F,55.0,544,7,91.5,2,0,2,17,4,15,11,0,0,15,5,0,1,6.04,9.11
Luis Sinisterra,BOU,F,12.5,78,0,315.67,0,0,0,0,0,3,2,0,0,3,0,0,0,0.87,14.37
Luke Berry,LUT,M,0.0,24,0,433.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.0
Luke Harris,FUL,M,3.0,73,0,360.0,0,0,0,1,1,2,2,0,0,2,0,0,0,0.81,3.7
Luke Shaw,MUN,D,22.75,180,2,212.0,0,0,0,0,0,2,0,1,0,5,0,0,1,2.0,11.38
Luke Thomas,SHU,D,-1.75,356,4,722.2,0,0,0,4,1,1,4,0,0,1,0,0,0,3.96,-0.44
Lyle Foster,BUR,F,58.0,515,6,94.33,3,2,5,10,5,8,5,0,1,14,5,0,0,5.72,10.14
Mads Andersen,LUT,D,32.0,370,4,179.67,1,0,1,3,1,5,2,1,0,8,0,0,0,4.11,7.79
Mads Roerslev,BRF,D,17.75,226,2,253.83,0,0,0,1,0,1,1,0,0,1,0,0,0,2.51,7.07
Mahmoud Dahoud,BHA,M,18.5,242,3,238.0,0,1,1,3,0,4,1,1,0,7,0,0,0,2.69,6.88
Malo Gusto,CHE,D,38.5,408,5,128.0,0,2,2,3,0,8,5,0,1,14,1,0,2,4.53,8.5
Manor Solomon,TOT,F,52.0,193,2,86.0,0,2,2,7,1,2,1,1,0,5,1,0,0,2.14,24.3
Manuel Akanji,MCI,D,43.75,540,6,110.0,0,0,0,4,1,3,5,1,0,6,0,0,3,6.0,7.29
Marc Cucurella,CHE,D,13.75,180,2,294.0,0,0,0,0,0,2,1,2,0,8,0,0,1,2.0,6.88
Marc Guehi,CRY,D,60.0,628,7,98.29,0,0,0,2,0,4,9,0,0,4,0,0,4,6.98,8.6
Marcos Senesi,BOU,D,9.75,434,5,292.14,0,1,1,0,0,10,2,1,0,13,0,0,0,4.82,2.02
Marcus Rashford,MUN,F,73.0,669,8,42.38,1,1,2,31,7,3,5,1,0,6,2,0,2,7.43,9.83
Marcus Tavernier,BOU,M,39.5,300,4,164.4,0,1,1,5,2,1,3,0,0,1,0,0,1,3.33,11.86
Mario Lemina,WOL,M,36.5,705,8,150.88,0,0,0,11,2,12,2,4,1,30,0,0,1,7.83,4.66
Martin Odegaard,ARS,M,97.5,709,8,18.0,3,1,4,21,10,5,7,1,0,8,1,2,4,7.88,12.37
Marvelous Nakamba,LUT,M,43.0,720,8,130.71,0,0,0,4,0,17,6,3,0,26,0,0,0,8.0,5.38
Mason Burstow,CHE,F,0.0,7,0,443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0
Mason Mount,MUN,M,16.5,289,4,260.25,0,0,0,3,0,5,4,1,0,8,0,0,1,3.21,5.14
Mateo Kovacic,MCI,M,22.0,455,5,215.5,0,0,0,5,1,7,5,2,0,13,0,0,2,5.06,4.35
Matheus Cunha,WOL,F,59.0,630,8,69.38,1,1,2,12,4,6,8,0,0,6,2,0,1,7.0,8.43
Matheus Nunes,MCI,M,31.5,356,4,178.0,0,1,1,1,0,3,11,0,1,9,3,0,1,3.96,7.95
Mathias Jensen,BRF,M,105.5,618,8,20.12,3,1,4,5,4,8,8,1,0,11,0,0,1,6.87,15.36
Matt Doherty,WOL,D,2.25,134,0,377.0,0,0,0,1,0,4,1,0,0,4,0,0,0,1.49,1.51
Matt Targett,NEW,D,-7.5,76,1,731.0,0,0,0,0,0,0,2,1,0,3,0,0,0,0.84,-8.93
Matty Cash,AVL,D,60.25,707,8,71.25,2,1,3,16,8,10,9,2,0,16,0,0,2,7.86,7.67
Max Aarons,BOU,D,10.0,617,7,297.25,0,0,0,1,0,8,16,1,0,11,2,0,1,6.86,1.46
Max Kilman,WOL,D,36.25,720,8,165.88,0,0,0,3,2,8,3,1,0,11,0,0,1,8.0,4.53
Max Lowe,SHU,D,8.0,124,2,311.0,0,0,0,0,0,4,1,0,0,4,0,0,0,1.38,5.8
Maxwel Cornet,WHU,M,0.0,1,0,466.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0.0
Michael Keane,EVE,D,3.25,181,2,356.0,0,0,0,2,2,1,0,1,0,4,0,0,0,2.01,1.62
Michael Olakigbe,BRF,F,2.5,9,0,370.0,0,0,0,2,1,0,0,0,0,0,1,0,0,0.1,25.0
Michail Antonio,WHU,F,49.5,593,8,95.12,2,1,3,7,3,9,12,2,0,15,5,0,1,6.59,7.51
Micky van de Ven,TOT,D,53.0,718,8,159.0,1,0,1,4,1,2,4,1,0,5,0,0,3,7.98,6.64
Miguel Almiron,NEW,M,44.5,561,7,102.5,2,0,2,14,4,4,5,1,0,7,2,0,2,6.23,7.14
Mike Tresor,BUR,F,6.0,142,1,339.0,0,0,0,2,0,0,0,0,0,0,1,0,0,1.58,3.8
Mikkel Damsgaard,BRF,M,3.0,50,0,358.0,0,0,0,1,1,3,1,0,0,3,0,0,0,0.56,5.36
Milos Kerkez,BOU,D,13.75,670,8,254.88,0,0,0,2,0,13,10,1,0,16,0,0,1,7.44,1.85
Mohamed Salah,LIV,F,136.0,682,8,7.75,5,4,9,26,12,4,9,1,0,7,2,2,1,7.58,17.94
Mohammed Kudus,WHU,M,24.5,68,0,274.8,1,0,1,1,1,1,3,0,0,1,0,0,0,0.76,32.24
Moises Caicedo,CHE,M,28.0,450,5,217.5,0,0,0,3,1,8,7,1,0,11,0,0,2,5.0,5.6
Morgan Gibbs-White,NOT,M,79.0,658,7,46.62,0,1,1,14,2,6,13,2,0,12,0,0,2,7.31,10.81
Moussa Diaby,AVL,F,89.5,620,8,20.88,2,3,5,18,8,1,5,0,0,1,2,0,2,6.89,12.99
Moussa Niakhate,NOT,D,-2.25,178,2,725.0,0,0,0,0,0,3,0,0,1,9,0,0,0,1.98,-1.14
Murillo,NOT,M,17.5,180,2,311.5,0,0,0,3,2,0,0,0,0,0,0,0,1,2.0,8.75
Mykhailo Mudryk,CHE,M,32.0,238,3,159.43,1,0,1,4,1,2,3,1,0,5,0,0,1,2.64,12.12
Naouirou Ahamada,CRY,M,4.0,34,0,341.0,0,0,0,0,0,2,1,0,0,2,0,0,0,0.38,10.53
Nathan Ake,MCI,D,36.75,460,5,139.29,1,0,1,7,2,3,5,0,0,3,0,0,1,5.11,7.19
Nathan Collins,BRF,D,45.25,638,7,118.62,0,1,1,3,0,3,2,2,0,9,0,0,1,7.09,6.38
Nathan Patterson,EVE,D,20.75,384,4,228.43,0,1,1,4,0,3,1,1,0,6,0,0,0,4.27,4.86
Nathan Redmond,BUR,M,3.5,51,0,354.0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.57,6.14
Nathaniel Clyne,CRY,D,7.75,90,1,324.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1.0,7.75
Nayef Aguerd,WHU,D,40.75,606,7,112.57,1,0,1,6,2,6,3,0,1,12,0,0,1,6.73,6.05
Neal Maupay,BRF,F,10.5,160,1,291.0,0,0,0,10,6,2,1,1,0,5,2,0,0,1.78,5.9
Neco Williams,NOT,D,11.25,107,1,285.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.19,9.45
Nelson Semedo,WOL,D,26.75,713,8,205.5,0,0,0,4,1,15,6,4,0,27,0,0,1,7.92,3.38
Nicolas Dominguez,NOT,M,25.0,259,3,227.0,1,0,1,3,2,2,1,0,0,2,0,0,1,2.88,8.68
Nicolas Jackson,CHE,F,56.0,554,6,123.0,2,0,2,20,8,6,8,5,0,21,7,0,2,6.16,9.09
Nicolo Zaniolo,AVL,M,17.0,253,3,245.33,0,0,0,8,2,10,6,1,0,13,0,0,1,2.81,6.05
Noni Madueke,CHE,F,2.5,42,0,368.0,0,0,0,2,1,0,1,0,0,0,0,0,0,0.47,5.32
Nuno Tavares,NOT,D,-3.25,91,1,728.0,0,0,0,0,0,2,0,2,0,8,0,0,0,1.01,-3.22
Odsonne Edouard,CRY,F,78.5,604,7,27.71,4,0,4,20,9,7,6,0,0,7,4,0,3,6.71,11.7
Ola Aina,NOT,D,10.0,397,5,297.0,0,0,0,2,0,6,5,3,0,15,1,0,1,4.41,2.27
Oleksandr Zinchenko,ARS,D,41.25,420,5,165.29,0,0,0,8,1,0,3,0,0,0,1,0,3,4.67,8.83
Oliver McBurnie,SHU,F,30.5,376,4,195.8,0,1,1,9,5,6,8,1,1,15,3,0,0,4.18,7.3
Oliver Norwood,SHU,M,37.5,519,6,170.57,0,0,0,5,2,2,1,2,0,8,0,0,0,5.77,6.5
Oliver Skipp,TOT,M,-1.0,112,1,714.4,0,0,0,0,0,3,2,1,0,6,0,0,0,1.24,-0.81
Ollie Watkins,AVL,F,138.0,676,8,3.12,4,4,8,25,10,1,9,0,0,1,2,0,2,7.51,18.38
Orel Mangala,NOT,M,19.5,559,7,259.0,0,0,0,6,0,10,4,3,0,19,0,0,2,6.21,3.14
Oscar Bobb,MCI,M,10.5,47,0,293.0,0,0,0,0,0,1,2,0,0,1,0,0,0,0.52,20.19
Pablo Fornals,WHU,M,15.0,136,1,257.0,0,0,0,5,2,1,0,0,0,1,0,0,0,1.51,9.93
Pablo Sarabia,WOL,M,28.0,169,2,182.0,0,1,1,5,2,2,2,0,0,2,3,0,0,1.88,14.89
Pape Sarr,TOT,M,72.0,555,7,66.25,1,1,2,17,8,9,3,2,0,15,0,0,2,6.17,11.67
Pascal Gross,BHA,M,81.0,528,6,25.33,2,0,2,12,7,4,2,1,0,7,0,0,0,5.87,13.8
Pau Torres,AVL,D,36.75,688,7,208.75,1,0,1,3,2,6,1,0,0,6,1,0,2,7.64,4.81
Pedro Neto,WOL,F,124.0,720,8,7.12,1,5,6,12,5,9,9,2,0,15,1,0,1,8.0,15.5
Pedro Porro,TOT,D,76.75,625,7,50.57,0,1,1,11,0,5,5,1,0,8,0,0,3,6.94,11.06
Pelly Ruddock,LUT,M,18.0,410,4,293.57,0,0,0,7,0,5,4,0,0,5,0,0,0,4.56,3.95
Pervis Estupinan,BHA,D,62.75,495,6,54.0,1,3,4,8,4,9,4,2,0,15,1,0,0,5.5,11.41
Phil Foden,MCI,M,100.5,603,7,17.25,1,3,4,14,4,5,13,0,0,5,0,0,3,6.7,15.0
Philip Billing,BOU,M,48.5,690,8,111.5,0,0,0,15,1,7,10,0,0,7,0,0,1,7.67,6.32
Philippe Coutinho,AVL,M,6.0,22,0,326.0,0,0,0,3,1,0,1,0,0,0,0,0,0,0.24,25.0
Pierre-Emile Hojbjerg,TOT,M,2.0,121,0,386.57,0,0,0,2,0,2,1,2,0,8,0,0,0,1.34,1.49
Raheem Sterling,CHE,F,94.5,634,7,52.5,3,0,3,17,6,5,17,2,0,11,4,0,2,7.04,13.42
Raphael Varane,MUN,D,30.25,321,4,172.0,1,0,1,5,2,2,0,0,0,2,1,0,1,3.57,8.47
Rasmus Hojlund,MUN,F,14.0,355,4,272.8,0,0,0,9,2,4,3,0,0,4,3,0,1,3.94,3.55
Raul Jimenez,FUL,F,21.0,503,7,222.0,0,0,0,11,2,3,6,1,0,6,7,0,2,5.59,3.76
Rayan Ait-Nouri,WOL,D,17.75,514,7,254.38,0,0,0,2,0,10,11,2,0,16,0,0,0,5.71,3.11
Reece Burke,LUT,D,35.5,539,6,175.0,0,1,1,5,1,4,5,1,0,7,0,0,0,5.99,5.93
Reece James,CHE,D,8.0,75,1,310.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.83,9.64
Reiss Nelson,ARS,F,5.5,33,0,331.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.37,14.86
Rhian Brewster,SHU,F,2.0,20,0,378.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.22,9.09
Richarlison,TOT,F,53.5,389,5,97.38,1,2,3,18,7,8,8,2,0,14,3,0,1,4.32,12.38
Rico Henry,BRF,D,34.75,401,5,145.0,0,1,1,2,0,4,6,1,0,7,2,0,1,4.46,7.79
Rico Lewis,MCI,D,13.0,147,2,321.5,0,0,0,0,0,0,3,0,0,0,0,0,1,1.63,7.98
Rodri,MCI,M,62.5,480,6,55.0,2,1,3,14,7,12,4,2,1,24,2,0,2,5.33,11.73
Rodrigo Muniz,FUL,F,1.0,22,0,609.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0.24,4.17
Ross Barkley,LUT,M,13.5,154,2,269.67,0,0,0,4,0,2,5,0,0,2,0,0,0,1.71,7.89
Ruben Dias,MCI,D,27.0,630,7,185.71,0,0,0,6,3,4,4,0,0,4,0,0,2,7.0,3.86
Ryan Christie,BOU,M,53.0,569,8,82.62,0,1,1,8,4,10,7,0,0,10,1,0,1,6.32,8.39
Ryan Giles,LUT,M,22.5,267,3,213.0,0,0,0,1,1,0,2,0,0,0,0,0,0,2.97,7.58
Ryan Gravenberch,LIV,M,7.0,67,0,357.0,0,0,0,2,1,3,2,0,0,3,0,0,0,0.74,9.46
Ryan Yates,NOT,M,14.0,321,3,253.33,0,0,0,1,0,12,8,2,0,18,1,0,1,3.57,3.92
Said Benrahma,WHU,M,35.5,331,3,141.86,0,1,1,11,3,3,3,0,0,3,1,0,0,3.68,9.65
Saman Ghoddos,BRF,F,7.0,42,0,333.0,0,0,0,0,0,3,0,1,0,6,1,0,0,0.47,14.89
Sander Berge,BUR,M,32.0,508,6,155.86,0,1,1,3,0,7,2,1,0,10,1,0,0,5.64,5.67
Sandro Tonali,NEW,M,37.5,412,5,148.57,1,0,1,3,2,9,6,2,0,15,0,0,0,4.58,8.19
Sasa Kalajdzic,WOL,F,15.5,26,0,259.75,1,0,1,2,1,1,0,1,0,4,0,0,0,0.29,53.45
Sasa Lukic,FUL,M,13.5,263,3,267.0,0,0,0,3,1,4,4,1,0,7,0,0,1,2.92,4.62
Scott McKenna,NOT,D,35.25,416,5,142.0,0,0,0,2,0,3,2,0,0,3,0,0,1,4.62,7.63
Scott McTominay,MUN,M,35.5,181,2,246.8,2,0,2,3,3,4,1,0,0,4,0,0,1,2.01,17.66
Sean Longstaff,NEW,M,48.5,444,4,89.88,1,1,2,6,3,4,9,1,0,7,1,0,3,4.93,9.84
Serge Aurier,NOT,D,36.75,531,7,160.0,0,2,2,3,1,5,7,2,0,11,0,0,1,5.9,6.23
Sergio Gomez,MCI,D,12.0,14,0,277.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.16,75.0
Sergio Reguilon,MUN,D,5.25,162,2,334.0,0,0,0,0,0,1,4,1,0,4,1,0,1,1.8,2.92
Shandon Baptiste,BRF,M,0.0,17,0,421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.0
Simon Adingra,BHA,F,62.5,320,3,108.71,2,1,3,5,4,8,3,0,0,8,3,0,0,3.56,17.56
Sofyan Amrabat,MUN,M,9.0,177,2,337.67,0,0,0,0,0,7,2,1,0,10,0,0,0,1.97,4.57
Solly March,BHA,M,91.0,465,6,29.33,3,1,4,14,6,10,8,0,0,10,7,0,0,5.17,17.6
Son Heung-Min,TOT,F,111.5,625,8,10.12,6,0,6,23,11,3,9,0,0,3,3,0,3,6.94,16.07
Sven Botman,NEW,D,54.75,446,5,73.0,1,1,2,5,1,2,2,1,0,5,1,0,2,4.96,11.04
Tahith Chong,LUT,M,8.5,361,4,344.67,0,0,0,5,1,5,10,2,0,11,0,0,0,4.01,2.12
Taiwo Awoniyi,NOT,F,72.5,486,6,32.0,3,2,5,9,3,5,6,1,0,8,6,0,1,5.4,13.43
Takehiro Tomiyasu,ARS,D,6.75,161,1,323.33,0,0,0,1,1,3,0,0,1,9,0,0,1,1.79,3.77
Tariq Lamptey,BHA,D,13.5,135,1,266.0,0,2,2,1,0,3,3,2,0,9,0,0,0,1.5,9.0
Teden Mengi,LUT,D,9.25,153,1,318.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1.7,5.44
Thiago Silva,CHE,D,58.0,720,8,65.5,0,0,0,2,1,4,3,1,0,7,0,0,3,8.0,7.25
Thilo Kehrer,WHU,D,-1.0,15,0,716.0,0,0,0,0,0,1,0,1,0,4,0,0,0,0.17,-5.88
Thomas Cannon,EVE,F,0.0,1,0,447.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0
Thomas Partey,ARS,M,26.5,249,3,193.25,0,0,0,2,1,0,2,0,0,0,0,0,1,2.77,9.57
Tim Ream,FUL,D,36.75,603,7,162.71,1,0,1,1,1,5,2,1,1,14,0,0,3,6.7,5.49
Timothy Castagne,FUL,D,30.5,376,4,201.0,0,0,0,4,1,4,3,1,0,7,0,0,2,4.18,7.3
Tom Cairney,FUL,M,12.5,148,2,316.33,0,0,0,2,0,1,1,0,0,1,0,0,0,1.64,7.62
Tom Davies,SHU,M,3.5,54,0,351.0,0,0,0,2,0,4,0,1,0,7,0,0,0,0.6,5.83
Tom Lockyer,LUT,D,31.75,585,7,181.0,1,0,1,5,1,6,6,2,0,12,0,0,0,6.5,4.88
Tomas Soucek,WHU,M,80.5,542,7,39.0,2,1,3,12,4,7,5,1,0,10,2,0,1,6.02,13.37
Tommy Doyle,WOL,M,0.0,13,0,486.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.0
Tosin Adarabioyo,FUL,D,2.0,1,0,374.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,200.0
Toti,WOL,D,4.25,247,2,348.2,0,0,0,0,0,2,0,0,0,2,1,0,0,2.74,1.55
Trent Alexander-Arnold,LIV,D,42.25,419,5,118.5,0,1,1,5,2,2,2,2,0,8,0,0,1,4.66,9.07
Tyler Onyango,EVE,M,0.0,1,0,624.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0
Tyrick Mitchell,CRY,D,57.25,720,8,120.88,0,1,1,1,0,5,3,1,0,8,0,0,4,8.0,7.16
Tyrone Mings,AVL,D,0.25,30,1,396.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.33,0.76
Valentino Livramento,NEW,D,0.5,23,0,393.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,1.92
Victor Lindelof,MUN,D,14.75,510,5,270.71,0,0,0,1,0,4,1,1,0,7,0,0,1,5.67,2.6
Vinicius de Souza Costa,SHU,M,35.5,606,7,163.12,0,0,0,4,2,9,5,1,0,12,0,0,0,6.73,5.27
Virgil van Dijk,LIV,D,52.75,477,6,90.33,0,2,2,8,1,3,1,1,1,12,0,0,0,5.3,9.95
Vitalii Mykolenko,EVE,D,33.0,360,4,209.0,0,0,0,3,1,5,0,0,0,5,0,0,1,4.0,8.25
Vitaly Janelt,BRF,M,43.0,628,8,135.0,0,1,1,6,2,5,5,1,0,8,1,0,1,6.98,6.16
Vitinho,BUR,D,-3.75,151,2,719.0,0,0,0,1,0,2,3,0,0,2,0,0,0,1.68,-2.23
Vladimir Coufal,WHU,D,78.25,716,8,33.75,0,4,4,0,0,4,7,0,0,4,1,0,1,7.96,9.83
Wataru Endo,LIV,M,2.5,102,1,365.0,0,0,0,0,0,3,3,0,0,3,0,0,0,1.13,2.21
Will Hughes,CRY,M,21.0,361,4,232.8,0,0,0,2,2,6,4,2,0,12,0,0,3,4.01,5.24
William Osula,SHU,F,-1.5,233,3,721.0,0,0,0,3,0,5,5,2,0,11,3,0,0,2.59,-0.58
William Saliba,ARS,D,54.75,720,8,101.75,0,1,1,1,0,2,2,0,0,2,0,0,4,8.0,6.84
Willian,FUL,F,52.0,440,5,176.86,1,0,1,11,6,4,7,1,0,7,0,0,2,4.89,10.63
Willy Boly,NOT,D,83.0,608,7,41.0,1,0,1,9,5,10,1,1,0,13,1,0,2,6.76,12.28
Wilson Odobert,BUR,F,22.0,100,1,292.0,1,0,1,4,2,1,2,1,0,4,0,0,0,1.11,19.82
Yasser Larouci,SHU,D,0.0,216,1,385.8,0,0,0,3,1,3,2,0,0,3,0,0,0,2.4,0.0
Yoane Wissa,BRF,F,80.5,668,8,37.5,2,1,3,25,7,9,15,1,0,12,5,0,1,7.42,10.85
Youri Tielemans,AVL,M,2.5,138,0,371.75,0,0,0,1,0,1,3,0,0,1,0,0,0,1.53,1.63
Youssef Ramalho Chermiti,EVE,F,-1.0,25,0,718.67,0,0,0,1,0,1,1,1,0,4,0,0,0,0.28,-3.57
Yves Bissouma,TOT,M,48.5,656,8,82.75,0,0,0,13,3,11,14,4,1,29,0,0,2,7.29,6.65
Zanka,BRF,D,4.0,5,0,343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,66.67
Zeki Amdouni,BUR,F,43.5,464,7,111.0,1,0,1,13,6,7,13,1,0,10,1,0,0,5.16,8.43
