Player,Team,Position,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
Anthony Gordon,NEW,M,91.0,540,6,16.0,2,2,4,15,7,9,18,5,0,24,0,0,3,6.0,15.17
Anthony Martial,MUN,F,16.5,184,2,258.83,0,0,0,3,2,0,2,0,0,0,2,0,0,2.04,8.09
Antoine Semenyo,BOU,F,30.5,251,3,169.0,1,0,1,12,5,9,3,1,0,12,0,0,0,2.79,10.93
Antonee Robinson,FUL,D,37.5,630,7,164.71,0,0,0,1,0,9,6,1,0,12,0,0,2,7.0,5.36
Antony,MUN,F,30.5,334,4,174.6,0,0,0,14,3,4,9,1,0,7,0,0,1,3.71,8.22
Antwoine Hackford,SHU,F,0.0,9,0,531.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
Armando Broja,CHE,F,13.5,119,2,274.0,1,0,1,4,1,1,2,0,0,1,4,0,1,1.32,10.23
Arnaut Danjuma Groeneveld,EVE,F,32.5,353,3,154.0,1,0,1,16,6,2,5,0,0,2,2,0,0,3.92,8.29
Ashley Young,EVE,D,25.75,703,8,245.0,0,0,0,4,1,7,8,3,0,16,0,0,1,7.81,3.3
Auston Trusty,SHU,D,5.25,103,1,379.33,0,0,0,0,0,1,0,0,0,1,1,0,0,1.14,4.61
Axel Disasi,CHE,D,58.5,720,8,71.25,1,0,1,7,2,5,4,2,0,11,3,0,3,8.0,7.31
Aymeric Laporte,MCI,D,3.25,10,0,357.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.11,29.55
Ben Chilwell,CHE,D,40.75,331,4,118.0,0,1,1,7,2,6,7,3,0,15,1,0,1,3.68,11.07
Ben Davies,TOT,D,12.0,39,0,290.25,0,0,0,3,0,0,1,0,0,0,0,0,0,0.43,27.91
Ben Doak,LIV,F,0.0,12,0,482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.0
Ben Godfrey,EVE,D,0.0,1,0,518.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.01,0.0
Ben Mee,BRF,D,4.0,151,2,344.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.68,2.38
Ben Osborn,SHU,M,0.0,192,3,627.0,0,0,0,1,0,0,0,1,0,3,0,0,0,2.13,0.0
Ben White,ARS,D,88.0,720,8,28.88,1,0,1,3,3,4,2,1,0,7,1,0,4,8.0,11.0
Benie Traore,SHU,F,14.0,316,3,262.0,0,0,0,1,1,9,3,0,0,9,1,0,0,3.51,3.99
