Team,Position,Player,FPTS,MIN,GS,LiveRkOv,G,A,PTS,S,SOT,FC,FS,YC,RC,DPT,OFF,PKG,CS,90s,FPts/90
CRY,M,40,269.0,2730,31,166.0,1,0,1,46,16,36,32,5,0,51,1,0,15,30.33,8.87
EVE,D,37,201.75,2887,32,204.73,1,2,3,21,6,36,13,8,0,60,1,0,4,32.08,6.29
EVE,F,24,105.0,1005,10,266.04,3,0,3,42,11,11,13,1,0,14,3,0,1,11.17,9.4
EVE,M,39,322.0,3020,35,129.44,5,3,8,61,21,44,52,3,0,53,7,0,5,33.56,9.59
FUL,D,37,149.75,2860,32,256.27,1,0,1,10,3,34,21,7,2,67,0,0,12,31.78,4.71
FUL,F,32,149.5,1609,18,257.44,4,0,4,42,16,14,21,3,0,23,10,0,5,17.88,8.36
FUL,M,47,197.5,2771,32,205.49,2,2,4,38,10,32,39,7,0,53,4,0,10,30.79,6.41
LIV,D,42,259.25,2877,32,152.88,1,3,4,21,5,23,15,5,1,44,3,0,4,31.97,8.11
LIV,F,38,350.0,2140,26,84.21,14,6,20,81,29,41,38,3,1,56,8,2,3,23.78,14.72
LIV,M,36,148.0,1935,22,242.17,1,1,2,27,6,34,32,6,2,64,4,0,3,21.5,6.88
LUT,D,32,150.25,2682,31,206.75,2,1,3,19,4,28,23,6,0,46,0,0,0,29.8,5.04
LUT,F,34,187.5,1914,21,172.88,4,1,5,53,11,30,24,3,0,39,14,2,0,21.27,8.82
LUT,M,38,183.5,2534,28,226.37,0,1,1,30,3,40,29,5,0,55,1,0,0,28.16,6.52
MCI,D,42,228.75,2998,33,174.81,1,2,3,24,10,20,32,3,0,29,1,0,12,33.31,6.87
MCI,F,21,314.5,1692,20,24.24,12,4,16,65,31,15,21,3,0,24,2,1,5,18.8,16.73
MCI,M,42,297.0,2592,29,157.4,4,7,11,43,13,35,45,7,2,68,5,0,10,28.8,10.31
MUN,D,39,187.25,2747,31,261.95,1,4,5,10,3,27,18,8,0,51,3,0,7,30.52,6.14
MUN,F,24,134.0,1542,18,172.04,1,1,2,57,14,11,19,2,0,17,7,0,4,17.13,7.82
MUN,M,51,326.0,2850,31,191.41,7,2,9,63,23,45,38,7,0,66,12,1,8,31.67,10.29
NEW,D,39,308.5,2887,32,176.79,2,6,8,21,4,30,23,5,0,45,3,0,12,32.08,9.62
NEW,F,14,151.5,722,8,52.0,10,0,10,33,22,11,6,1,0,14,3,2,3,8.02,18.89
NEW,M,60,399.5,3530,40,114.82,8,7,15,62,26,56,71,15,0,101,3,0,15,39.22,10.19
NOT,D,44,222.0,3035,35,279.89,1,3,4,22,7,37,17,10,2,79,3,0,7,33.72,6.58
NOT,F,31,165.0,1191,12,206.19,6,3,9,25,12,14,18,2,0,20,12,0,3,13.23,12.47
NOT,M,40,196.5,2611,30,226.18,1,1,2,34,7,36,30,10,0,66,2,0,8,29.01,6.77
SHU,D,53,83.0,3551,39,347.19,1,1,2,27,5,43,23,9,0,70,7,0,0,39.46,2.1
SHU,F,23,70.5,1368,15,331.48,1,1,2,17,7,24,22,5,1,45,9,0,0,15.2,4.64
SHU,M,38,151.5,2224,26,270.87,2,0,2,27,12,27,14,9,0,54,0,0,0,24.71,6.13
TOT,D,41,306.25,2881,32,137.78,4,3,7,28,5,34,34,8,0,58,2,0,12,32.01,9.57
TOT,F,28,228.5,1516,19,144.93,7,4,11,54,21,16,27,4,0,28,11,0,4,16.84,13.57
TOT,M,50,383.5,2929,32,180.8,5,7,12,74,30,43,51,14,1,91,3,0,10,32.54,11.79
WHU,D,37,222.25,2888,32,167.81,2,5,7,11,4,24,23,6,1,48,1,0,4,32.09,6.93
WHU,F,13,51.0,621,8,205.08,2,1,3,8,3,11,12,2,0,17,6,0,1,6.9,7.39
WHU,M,56,461.0,3619,40,122.98,11,7,18,72,31,50,49,11,0,83,12,1,5,40.21,11.46
WOL,D,48,124.0,3166,34,251.25,0,0,0,18,4,47,26,10,0,77,2,0,4,35.18,3.52
WOL,F,35,290.0,2030,24,111.77,8,6,14,45,18,25,28,6,0,43,9,0,3,22.56,12.85
WOL,M,29,100.5,1711,20,236.9,0,1,1,23,4,41,17,7,2,74,3,0,2,19.01,5.29
