Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
ARS,FW,0.25,0.33,0.17,0.0,0.42,0.25,0.5,0.92,0.83,0.08,1.08,0.17,0.0,1.0
ARS,LW,0.14,0.5,0.0,0.0,0.71,0.43,0.57,1.29,0.93,0.29,1.43,0.0,0.0,0.43
ARS,RW,0.44,0.78,0.22,0.0,2.67,0.44,1.78,1.78,2.22,0.67,1.22,0.0,0.0,0.33
AVL,FW,0.33,0.72,0.06,0.0,0.33,0.06,0.67,0.39,1.06,0.33,0.78,0.11,0.0,0.44
AVL,LW,0.29,0.57,0.14,0.0,0.29,0.14,0.57,1.29,0.57,0.43,1.86,0.0,0.0,0.57
AVL,RW,0.14,0.14,0.14,0.0,1.0,0.43,0.43,0.86,0.86,0.14,1.14,0.0,0.0,0.14
BHA,FW,0.5,1.07,0.14,0.0,0.64,0.14,0.57,0.5,0.79,0.64,1.21,0.0,0.0,0.36
BHA,LW,0.33,0.56,0.22,0.0,0.56,0.67,0.22,1.67,1.89,0.11,0.56,0.0,0.0,0.33
BHA,RW,0.38,0.85,0.08,0.0,1.77,1.08,0.54,0.92,0.54,0.46,0.92,0.0,0.0,0.46
BOU,FW,0.27,0.73,0.09,0.0,0.27,0.18,0.36,0.64,0.91,0.73,2.0,0.0,0.0,0.91
BOU,LW,0.0,0.33,0.07,0.0,0.93,0.4,0.67,0.87,0.4,0.53,1.0,0.0,0.0,0.27
BOU,RW,0.12,0.5,0.12,0.0,0.69,0.19,0.5,1.5,0.69,0.25,0.88,0.0,0.0,0.31
BRF,FW,0.17,0.5,0.11,0.0,0.39,0.39,0.67,0.5,0.44,0.44,0.56,0.06,0.0,1.28
BRF,LW,0.17,0.33,0.0,0.0,0.67,0.33,0.0,0.67,0.5,0.83,0.83,0.0,0.0,1.67
BRF,RW,0.6,0.8,0.2,0.0,1.4,0.0,1.0,1.0,2.0,0.8,1.6,0.0,0.0,1.0
BUR,FW,0.18,0.47,0.06,0.12,0.76,0.12,0.59,0.59,0.35,0.59,0.59,0.0,0.0,0.71
BUR,LW,0.1,0.3,0.1,0.0,0.9,0.0,0.7,1.4,0.8,0.5,1.2,0.0,0.0,0.2
BUR,RW,0.09,0.36,0.0,0.0,0.36,0.09,0.55,1.09,0.27,0.18,0.55,0.0,0.0,0.0
CHE,FW,0.23,0.69,0.46,0.0,0.54,0.15,0.46,1.31,0.46,0.46,1.0,0.0,0.0,0.62
CHE,LW,0.29,0.43,0.14,0.0,1.14,0.0,0.43,0.86,0.71,0.43,0.43,0.14,0.0,0.14
CHE,RW,0.14,0.43,0.29,0.0,0.57,0.29,0.43,0.71,1.29,0.14,1.71,0.0,0.0,0.14
CRY,FW,0.25,0.83,0.0,0.0,0.75,0.17,0.25,0.58,0.75,0.67,2.0,0.0,0.0,1.08
CRY,LW,0.0,0.55,0.09,0.0,1.09,0.36,0.27,1.55,0.91,0.55,1.27,0.0,0.0,0.91
CRY,RW,0.0,0.38,0.25,0.0,2.5,0.5,1.12,1.75,1.12,0.88,2.5,0.0,0.0,1.62
EVE,FW,0.22,0.87,0.09,0.0,0.3,0.13,0.7,0.7,0.78,0.35,1.04,0.0,0.0,1.83
EVE,LW,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5
EVE,RW,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUL,FW,0.07,0.4,0.07,0.0,0.4,0.07,0.47,0.47,0.6,0.47,1.6,0.0,0.0,1.47
FUL,LW,0.18,0.73,0.18,0.0,0.55,0.27,1.0,0.64,0.82,0.45,0.55,0.0,0.0,0.55
FUL,RW,0.07,0.36,0.0,0.0,0.79,0.14,0.64,0.43,0.5,0.14,0.79,0.0,0.0,0.21
LIV,FW,0.38,0.81,0.19,0.0,0.44,0.25,0.62,0.75,0.75,0.25,0.81,0.0,0.0,0.69
LIV,LW,0.3,0.5,0.0,0.0,1.1,0.1,0.3,1.2,0.7,0.0,1.2,0.0,0.0,0.3
LIV,RW,0.62,0.88,0.0,0.0,1.0,0.12,0.38,0.62,1.62,0.0,1.0,0.12,0.0,0.25
LUT,FW,0.16,0.32,0.05,0.0,0.53,0.26,0.53,0.68,0.68,1.05,1.11,0.0,0.0,2.79
LUT,LW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.0,0.33,0.0,0.0,0.33
LUT,RW,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.67,0.33,1.33,0.0,0.0,1.33
MCI,FW,1.0,1.88,0.0,0.0,0.0,0.12,0.62,0.38,1.25,0.62,0.62,0.0,0.0,1.12
MCI,LW,0.09,0.27,0.09,0.0,1.27,0.45,0.64,2.09,1.73,0.36,0.73,0.0,0.0,0.36
MCI,RW,0.1,0.3,0.0,0.0,1.0,0.3,0.3,1.3,1.9,0.6,0.8,0.0,0.0,0.0
MUN,FW,0.13,0.53,0.0,0.0,0.33,0.0,0.27,1.0,0.67,0.33,1.2,0.0,0.0,0.47
MUN,LW,0.1,0.5,0.1,0.0,0.4,0.1,0.4,1.7,0.9,0.4,1.2,0.1,0.0,0.7
MUN,RW,0.09,0.64,0.09,0.0,0.82,0.91,0.55,0.64,0.91,0.36,0.45,0.0,0.0,0.27
NEW,FW,0.67,1.33,0.07,0.0,0.07,0.0,0.33,1.13,0.27,0.13,0.93,0.0,0.0,0.2
NEW,LW,0.21,0.64,0.36,0.0,1.0,0.21,0.36,1.07,0.79,0.14,0.93,0.07,0.0,0.43
NEW,RW,0.15,0.31,0.15,0.0,0.85,0.38,0.77,0.62,0.46,0.31,0.69,0.08,0.0,0.08
NOT,FW,0.24,0.24,0.06,0.0,0.29,0.06,0.29,0.35,0.76,0.47,0.82,0.0,0.0,1.0
NOT,LW,0.12,0.38,0.0,0.0,0.62,0.12,0.38,1.75,1.12,0.38,0.25,0.0,0.0,0.5
NOT,RW,0.0,0.14,0.0,0.0,1.14,0.0,0.57,1.0,1.0,0.29,0.57,0.0,0.0,0.57
SHU,FW,0.05,0.32,0.32,0.05,0.58,0.16,0.95,0.53,0.53,0.53,1.63,0.0,0.0,1.84
SHU,LW,0.0,0.0,0.0,0.0,1.0,0.0,3.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0
SHU,RW,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0
TOT,FW,0.58,1.17,0.17,0.0,0.08,0.0,0.33,0.42,0.67,0.08,0.92,0.0,0.0,0.5
TOT,LW,0.0,0.47,0.2,0.0,0.8,0.73,0.6,1.33,1.8,0.4,0.53,0.0,0.0,0.67
TOT,RW,0.2,0.6,0.1,0.0,1.1,0.6,0.3,1.4,2.2,0.2,1.5,0.0,0.0,0.1
WHU,FW,0.15,0.23,0.15,0.0,0.46,0.08,0.62,1.08,0.31,0.23,0.92,0.0,0.0,0.62
WHU,LW,0.0,0.33,0.17,0.0,0.83,0.42,0.58,1.17,0.42,0.42,1.17,0.0,0.0,0.5
WHU,RW,0.4,1.0,0.1,0.0,1.4,0.5,1.0,1.4,0.5,0.5,0.9,0.0,0.0,1.2
WOL,FW,0.09,0.45,0.05,0.0,1.0,0.18,0.59,1.05,0.77,0.27,1.14,0.0,0.0,0.5
WOL,LW,0.33,0.33,0.17,0.0,0.83,0.5,0.67,2.0,0.83,0.17,0.5,0.0,0.0,0.0
WOL,RW,0.25,0.25,0.25,0.0,0.0,0.0,0.5,1.0,0.75,0.75,0.5,0.0,0.0,0.0
