Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
ARS,CB,0.0,0.0,0.11,0.0,0.68,0.89,1.21,0.05,0.21,1.74,0.05,0.0,0.0,1.47
ARS,LB,0.0,0.13,0.2,0.07,1.13,0.4,0.47,0.2,0.47,0.8,0.13,0.0,0.0,0.53
ARS,RB,0.12,0.38,0.0,0.0,1.88,1.0,1.5,1.0,1.0,2.0,0.62,0.0,0.0,0.75
AVL,CB,0.05,0.14,0.05,0.0,1.29,0.52,0.95,0.48,0.19,2.38,0.0,0.0,0.0,0.86
AVL,LB,0.0,0.14,0.57,0.0,2.14,1.86,1.14,0.14,1.86,2.0,1.0,0.0,0.0,1.29
AVL,RB,0.0,0.71,0.29,0.0,2.29,0.71,2.14,0.29,0.43,2.0,0.14,0.0,0.14,0.29
AVL,WB,0.67,1.0,0.0,0.0,1.0,0.67,0.0,0.67,0.67,1.33,0.33,0.0,0.0,0.67
BHA,CB,0.06,0.18,0.24,0.0,1.06,0.88,1.41,0.18,0.29,2.71,0.06,0.0,0.0,1.88
BHA,LB,0.1,0.4,0.3,0.0,1.6,1.2,0.7,0.8,1.6,1.0,0.5,0.0,0.1,0.6
BHA,RB,0.0,0.09,0.18,0.0,2.27,0.73,0.82,0.09,0.27,2.0,0.27,0.0,0.0,0.45
BOU,CB,0.0,0.0,0.19,0.0,1.48,0.76,1.33,0.57,0.29,3.14,0.1,0.0,0.0,1.14
BOU,LB,0.0,0.0,0.11,0.0,2.56,0.89,1.0,0.78,0.22,2.44,0.78,0.0,0.11,1.22
BOU,RB,0.0,0.0,0.1,0.0,1.6,0.3,0.9,0.6,0.5,1.6,0.7,0.0,0.0,0.3
BRF,CB,0.0,0.04,0.09,0.0,1.3,1.26,1.09,0.39,0.39,4.74,0.26,0.0,0.0,2.83
BRF,LB,0.0,0.0,0.22,0.0,1.11,0.56,1.0,0.89,0.56,0.78,0.89,0.0,0.0,0.44
BRF,RB,0.0,0.18,0.27,0.0,1.64,0.36,0.36,0.64,0.45,1.09,0.55,0.0,0.0,0.55
BRF,WB,0.0,0.0,0.5,0.0,1.25,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.25
BUR,CB,0.0,0.14,0.19,0.0,1.43,1.19,1.14,0.14,0.19,2.9,0.19,0.0,0.05,1.57
BUR,LB,0.0,0.0,0.29,0.0,1.14,0.57,1.71,0.29,0.43,3.14,0.14,0.0,0.0,1.43
BUR,RB,0.0,0.0,0.2,0.0,1.1,0.7,0.7,0.1,0.5,2.2,0.4,0.0,0.0,0.2
BUR,WB,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.5
CHE,CB,0.05,0.16,0.16,0.0,0.95,0.74,0.95,0.32,0.42,3.63,0.21,0.0,0.0,2.53
CHE,LB,0.0,0.43,0.29,0.0,1.86,0.57,1.29,0.14,0.29,2.0,0.0,0.0,0.0,1.0
CHE,RB,0.0,0.0,0.4,0.2,2.6,1.0,1.0,0.8,0.8,2.4,0.2,0.0,0.0,0.6
CHE,WB,0.0,0.2,0.1,0.0,1.1,0.3,0.5,0.7,1.3,0.4,0.6,0.0,0.0,1.0
CRY,CB,0.12,0.24,0.0,0.0,1.35,0.71,1.35,0.59,0.65,5.18,0.12,0.0,0.0,1.94
CRY,LB,0.0,0.0,0.12,0.0,1.75,0.62,1.25,0.5,0.62,3.38,0.75,0.0,0.0,0.38
CRY,RB,0.0,0.0,0.33,0.0,1.89,0.44,0.89,0.33,0.11,3.0,0.11,0.0,0.0,1.44
EVE,CB,0.06,0.24,0.24,0.0,1.53,1.53,1.47,0.18,0.47,3.59,0.24,0.0,0.0,2.82
EVE,LB,0.0,0.25,0.0,0.0,3.25,0.62,1.25,0.62,1.25,2.62,0.5,0.0,0.0,0.88
EVE,RB,0.0,0.0,0.4,0.0,2.0,0.8,1.1,0.4,0.6,1.2,0.4,0.0,0.0,0.3
FUL,CB,0.05,0.11,0.37,0.11,1.42,0.79,0.74,0.11,0.0,3.63,0.32,0.0,0.0,1.37
FUL,LB,0.0,0.0,0.25,0.0,2.5,1.88,1.0,0.88,0.75,2.62,0.75,0.0,0.12,1.75
FUL,RB,0.0,0.1,0.2,0.0,1.5,0.9,0.5,0.8,0.3,2.2,0.4,0.0,0.0,0.8
LIV,CB,0.0,0.05,0.05,0.05,1.09,1.23,1.14,0.14,0.32,4.05,0.14,0.0,0.05,2.32
LIV,LB,0.12,0.25,0.12,0.0,1.88,1.0,0.75,0.12,2.38,2.62,0.12,0.0,0.0,1.0
LIV,RB,0.0,0.2,0.3,0.0,1.8,0.8,0.4,0.8,1.2,2.2,0.3,0.0,0.0,0.4
LIV,WB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
LUT,CB,0.07,0.1,0.13,0.0,1.57,1.07,1.03,0.2,0.17,3.0,0.17,0.0,0.0,1.7
LUT,LB,0.0,0.5,0.0,0.0,2.0,0.5,2.25,0.5,1.0,2.0,0.0,0.0,0.0,0.5
LUT,RB,0.0,0.0,0.0,0.0,1.83,0.5,0.83,1.0,1.0,1.5,0.5,0.0,0.0,0.67
LUT,WB,0.11,0.11,0.22,0.0,1.44,0.67,0.67,0.33,1.89,2.11,0.0,0.0,0.0,1.44
MCI,CB,0.0,0.29,0.06,0.0,1.59,1.0,0.88,0.06,0.29,2.0,0.18,0.0,0.06,0.94
MCI,LB,0.09,0.27,0.09,0.0,1.0,0.55,0.64,0.36,0.45,1.0,0.55,0.0,0.0,1.36
MCI,RB,0.0,0.12,0.12,0.0,1.0,0.38,0.5,0.75,1.12,1.25,0.38,0.0,0.0,0.75
MUN,CB,0.04,0.08,0.12,0.0,0.83,0.33,0.58,0.17,0.5,2.0,0.21,0.0,0.04,0.92
MUN,LB,0.0,0.0,0.33,0.0,1.56,1.22,1.44,0.33,1.0,3.44,0.56,0.0,0.0,0.78
MUN,RB,0.0,0.11,0.33,0.0,2.56,1.11,1.11,1.44,1.33,2.22,0.56,0.0,0.0,0.67
NEW,CB,0.06,0.12,0.18,0.0,1.06,0.59,0.94,0.18,0.18,2.94,0.12,0.0,0.0,2.12
NEW,LB,0.1,0.2,0.1,0.0,1.5,0.7,1.3,0.1,0.4,2.2,0.5,0.0,0.0,1.6
NEW,RB,0.0,0.0,0.11,0.0,1.67,0.67,1.56,0.78,3.0,0.89,0.33,0.0,0.0,1.78
NOT,CB,0.05,0.32,0.05,0.05,1.45,0.86,1.32,0.18,0.41,5.05,0.09,0.0,0.0,2.64
NOT,LB,0.0,0.17,0.5,0.17,1.67,0.33,0.83,0.33,0.5,2.0,0.0,0.0,0.0,0.5
NOT,RB,0.0,0.17,0.33,0.0,1.33,0.83,0.83,0.33,0.33,1.83,0.5,0.0,0.0,0.83
NOT,WB,0.0,0.25,0.5,0.0,1.38,0.38,0.5,0.5,0.25,2.0,0.38,0.0,0.0,0.75
SHU,CB,0.0,0.07,0.28,0.0,1.41,1.24,1.66,0.21,0.17,4.55,0.28,0.0,0.0,1.52
