Team,Position,G,SOT,YC,RC,TKW,INT,BS,COS,KP,CLR,DIS,PKD,OG,AER
Nott'ham Forest,M,0.05,0.15,0.31,0.0,1.56,1.03,0.9,0.51,0.41,1.1,0.64,0.0,0.0,0.92
Sheffield Utd,D,0.02,0.12,0.23,0.0,1.12,1.0,1.28,0.47,0.23,3.44,0.42,0.0,0.0,1.14
Sheffield Utd,F,0.05,0.2,0.25,0.05,0.6,0.1,1.15,0.35,0.55,0.5,1.3,0.0,0.0,1.4
Sheffield Utd,M,0.06,0.31,0.2,0.0,1.86,0.63,1.09,0.37,0.6,1.26,0.77,0.0,0.0,0.69
Tottenham,D,0.08,0.11,0.22,0.0,2.0,0.81,1.17,0.5,0.53,2.53,0.33,0.0,0.03,0.89
Tottenham,F,0.27,0.73,0.18,0.0,0.64,0.48,0.48,1.09,1.64,0.27,0.76,0.0,0.0,0.42
Tottenham,M,0.09,0.75,0.34,0.0,1.47,0.56,0.78,1.03,1.03,0.78,0.94,0.0,0.0,0.34
West Ham,D,0.06,0.09,0.22,0.03,1.62,1.25,1.69,0.19,0.56,4.19,0.16,0.03,0.0,1.44
West Ham,F,0.19,0.52,0.1,0.0,0.84,0.32,0.68,1.32,0.45,0.39,1.03,0.0,0.0,0.52
West Ham,M,0.16,0.42,0.26,0.0,1.84,1.0,1.23,0.39,1.1,2.23,0.77,0.0,0.0,1.48
Wolves,D,0.0,0.08,0.22,0.0,1.61,0.72,1.28,0.61,0.31,2.81,0.53,0.0,0.03,1.22
Wolves,F,0.15,0.44,0.11,0.0,0.85,0.22,0.56,1.33,0.78,0.37,1.07,0.0,0.0,0.41
Wolves,M,0.08,0.22,0.3,0.05,1.46,0.86,0.81,1.0,0.76,1.0,0.89,0.0,0.0,0.46
