Player,Team,Position,GW,FPTS,Ghost Points,Overperformance,HeatStreak,Negative Fpts,Ros Rank,LiveRkOv,LiveRkOvByPos,Ros RankByPos,GS,GP,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,ROS %,MIN
Raheem Sterling,CHE,F,8,32.0,11.0,-6,35.5,0.0,200,21,7,1,1,1,1,1,2,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,100%,82
Mohamed Salah,LIV,F,8,27.0,9.0,-2,51.5,-1.0,200,6,3,1,1,1,2,1,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,100%,90
Alexander Isak,NEW,F,8,26.5,8.5,-7,59.0,0.0,200,22,8,1,1,1,2,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,100%,85
Willian,FUL,F,8,26.0,17.0,-28,35.0,-0.5,200,98,29,1,1,1,1,3,0,3,0,1,0,0,0,1,0,3,0,3,0,0,0,1,0,58%,90
Jack Harrison,EVE,M,8,23.5,7.5,-62,0.0,-0.5,200,186,63,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,38%,77
Abdoulaye Doucoure,EVE,M,8,23.0,13.0,-5,53.0,-1.5,200,16,6,1,1,1,1,2,0,3,2,3,0,0,0,0,0,2,0,1,0,0,0,0,1,91%,88
Micky van de Ven,TOT,D,8,22.25,6.25,-21,22.5,0.0,200,96,22,1,1,1,1,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,67%,90
Scott McTominay,MUN,M,8,22.0,4.0,-53,31.0,0.0,200,162,54,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2%,2
James Tarkowski,EVE,D,8,21.0,15.0,-4,63.25,-1.0,200,31,5,1,1,1,0,1,0,0,3,2,0,0,0,1,8,0,2,6,0,0,0,0,1,93%,90
Cristian Romero,TOT,D,8,21.0,15.0,-2,27.75,0.0,200,28,3,1,1,1,0,1,0,0,2,0,0,0,0,3,12,0,0,5,0,0,0,0,1,91%,90
Simon Adingra,BHA,F,8,21.0,12.0,-20,31.0,0.0,200,71,21,1,1,1,1,0,0,2,3,0,0,0,0,2,0,3,0,0,0,0,0,2,0,33%,90
Kieran Trippier,NEW,D,8,20.0,13.0,0,93.5,-4.0,200,1,1,1,1,1,0,5,1,0,1,0,0,0,3,0,0,0,0,3,0,0,0,2,0,100%,90
Cole Palmer,CHE,M,8,19.5,4.5,-42,32.5,-1.5,200,133,43,1,1,1,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,58%,85
Mathias Jensen,BRF,M,8,19.0,9.0,-4,42.0,0.0,200,14,5,1,1,1,1,2,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,97%,82
Dwight McNeil,EVE,M,8,18.5,17.5,-44,41.0,-1.5,200,141,45,1,1,1,0,6,0,1,1,3,0,0,1,0,0,2,1,0,0,0,0,0,1,82%,90
Hwang Hee-Chan,WOL,F,8,18.5,9.5,-14,33.0,-0.5,200,49,15,1,1,1,1,1,0,1,2,1,0,0,1,1,0,1,1,0,0,0,0,1,0,51%,85
Solly March,BHA,M,8,18.0,12.0,-11,28.5,-1.0,200,26,12,1,1,1,0,1,1,0,5,2,0,0,1,3,2,2,0,0,0,0,0,2,0,100%,90
Wilson Odobert,BUR,F,8,18.0,9.0,-50,0.0,-2.0,200,239,51,1,1,1,1,1,0,2,2,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0%,78
