,team,position,player,fpts,g,kp,at,sot,tkw,dis,yc,rc,acnc,int,clr,cos,bs,aer,pkm,pkd,og,gao,pts,dpt,off,pkg,ghost points,negative fpts,home
0,ARS,CB,4,8.09,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.38,2.38,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,3.59,-0.25,0
1,ARS,CM,2,4.7,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.1,0.0,0
2,ARS,FW,2,6.62,0.0,0.5,0.5,0.0,0.0,1.75,0.0,0.0,0.0,0.25,0.25,1.75,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.75,0.5,0.0,3.62,-0.88,0
3,ARS,LB,2,4.83,0.0,0.5,0.0,0.17,0.5,0.33,0.0,0.17,0.0,0.33,0.67,0.5,0.0,0.33,0.0,0.0,0.0,0.0,0.0,1.5,0.17,0.0,1.83,-1.33,0
4,ARS,LM,3,4.4,0.2,0.2,0.0,0.6,0.6,0.8,0.4,0.0,0.4,0.4,0.2,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.2,2.4,0.0,0.2,2.4,-1.2,0
5,ARS,LW,4,8.5,0.2,1.2,0.2,0.2,0.8,1.2,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,5.1,-0.6,0
6,ARS,RB,2,18.25,0.33,0.67,0.0,1.0,2.67,0.67,0.0,0.0,1.33,1.0,2.0,0.67,0.33,1.33,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,10.58,-0.33,0
7,ARS,RM,1,20.67,0.67,2.33,0.67,1.67,0.33,2.0,0.0,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.33,0.67,9.67,-1.0,0
8,ARS,RW,2,9.5,0.25,1.0,0.25,0.5,0.5,1.0,0.0,0.0,0.25,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,5.0,-0.5,0
9,AVL,AM,3,10.5,0.4,1.6,0.2,0.8,0.4,1.4,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.8,0.2,0.0,5.7,-0.7,0
10,AVL,CB,4,3.14,0.07,0.29,0.0,0.21,0.86,0.0,0.0,0.0,0.0,0.64,2.29,0.64,0.43,0.86,0.0,0.0,0.0,1.71,0.07,0.5,0.07,0.0,1.57,-3.43,0
