Player,Team,Position,LiveRkOv,Opponent,FPTS,FP/G,ROS %,GP,MIN,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GW,ros,GS,PTS,DPT,OFF,PKG,Ghost Points,Negative Fpts
Bukayo Saka,ARS,M,1,NOT,23.5,23.5,100%,1,90,1,3,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,1,1,2,0,0,14.5,-0.5
Gabriel Martinelli,ARS,M,120,NOT,14.5,14.5,100%,1,85,0,3,1,0,1,4,0,0,1,0,0,2,0,1,0,0,0,1,0,1,,1,1,2,0,0,8.5,-2.0
Eddie Nketiah,ARS,F,55,NOT,12.5,12.5,84%,1,72,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,,1,1,0,1,0,3.5,-0.5
Declan Rice,ARS,M,67,NOT,11.5,11.5,98%,1,90,0,0,0,3,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,,1,0,2,0,0,11.5,0.0
Thomas Partey,ARS,M,182,NOT,8.5,8.5,33%,1,90,0,2,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,1,0,1,,1,0,0,0,0,8.5,-0.5
William Saliba,ARS,D,98,NOT,8.25,8.25,98%,1,90,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,,1,1,1,0,0,1.25,-2.0
Kai Havertz,ARS,F,165,NOT,7.0,7.0,82%,1,90,0,2,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0,1,0,1,,1,0,2,0,0,7.0,-0.5
Leandro Trossard,ARS,M,153,NOT,4.0,4.0,90%,1,16,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,0,0,4.0,0.0
Takehiro Tomiyasu,ARS,D,316,NOT,3.75,3.75,5%,1,39,0,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,1,0,1,,0,0,0,0,0,3.75,-2.0
Martin Odegaard,ARS,M,18,NOT,2.5,2.5,100%,1,90,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,,1,0,0,0,0,2.5,-0.5
Gabriel Magalhaes,ARS,D,148,NOT,0.25,0.25,87%,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0.25,0.0
Jurrien Timber,ARS,D,395,NOT,0.25,0.25,25%,1,49,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,,1,0,5,1,0,0.25,-2.0
Ben White,ARS,D,27,NOT,-1.0,-1.0,98%,1,90,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,,1,0,3,0,0,-1.0,-4.0
Martin Odegaard,ARS,M,18,CRY,17.5,17.5,100%,1,88,1,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,,1,1,0,1,1,7.5,-0.5
William Saliba,ARS,D,98,CRY,13.0,13.0,98%,1,90,0,0,0,0,0,0,0,0,0,2,8,0,1,2,0,0,0,0,1,2,,1,0,1,0,0,7.0,0.0
Eddie Nketiah,ARS,F,55,CRY,12.5,12.5,84%,1,78,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,1,2,,1,0,2,0,0,6.5,-1.5
Thomas Partey,ARS,M,182,CRY,12.0,12.0,33%,1,90,0,1,0,1,3,1,0,0,2,1,1,1,0,1,0,0,0,0,1,2,,1,0,0,0,0,11.0,-0.5
Ben White,ARS,D,27,CRY,11.0,11.0,98%,1,90,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,1,2,,1,0,0,0,0,5.0,0.0
Bukayo Saka,ARS,M,1,CRY,7.0,7.0,100%,1,88,0,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2,,1,0,0,0,0,6.0,-0.5
Declan Rice,ARS,M,67,CRY,6.5,6.5,98%,1,90,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,2,,1,0,0,0,0,5.5,0.0
Gabriel Martinelli,ARS,M,120,CRY,4.5,4.5,100%,1,69,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,2,,1,0,1,0,0,3.5,-0.5
Gabriel Magalhaes,ARS,D,148,CRY,3.25,3.25,87%,1,19,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,,0,0,1,0,0,3.25,0.0
Kai Havertz,ARS,F,165,CRY,3.0,3.0,82%,1,90,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,2,,1,0,6,0,0,3.0,-2.0
Jorginho,ARS,M,347,CRY,1.0,1.0,4%,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,1.0,0.0
Takehiro Tomiyasu,ARS,D,316,CRY,0.5,0.5,5%,1,66,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,2,,1,0,8,0,0,-5.5,-7.5
Oleksandr Zinchenko,ARS,D,158,CRY,0.0,0.0,95%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,1,0,0.0,0.0
Jakub Kiwior,ARS,D,361,CRY,0.0,0.0,2%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0.0,0.0
Bukayo Saka,ARS,M,1,FUL,28.0,28.0,100%,1,90,1,4,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,3,,1,1,0,0,1,19.0,0.0
Fabio Vieira,ARS,M,137,FUL,18.5,18.5,41%,1,33,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,3,,0,1,1,1,0,6.5,-0.5
Eddie Nketiah,ARS,F,55,FUL,12.0,12.0,84%,1,45,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,,0,1,1,0,0,3.0,0.0
Leandro Trossard,ARS,M,153,FUL,7.5,7.5,90%,1,45,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,,1,0,0,0,0,7.5,-0.5
Gabriel Martinelli,ARS,M,120,FUL,7.0,7.0,100%,1,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,,1,0,0,0,0,7.0,0.0
Martin Odegaard,ARS,M,18,FUL,6.5,6.5,100%,1,83,0,0,0,2,1,3,0,0,0,0,0,3,0,0,0,0,0,1,0,3,,1,0,2,0,0,6.5,-1.5
Thomas Partey,ARS,M,182,FUL,6.0,6.0,33%,1,55,0,0,0,0,1,1,0,0,0,1,1,4,0,1,0,0,0,1,0,3,,1,0,0,0,0,6.0,-0.5
Declan Rice,ARS,M,67,FUL,5.5,5.5,98%,1,88,0,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,2,0,3,,1,0,0,0,0,5.5,-0.5
Kai Havertz,ARS,F,165,FUL,4.5,4.5,82%,1,55,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,,1,0,1,2,0,4.5,0.0
Ben White,ARS,D,27,FUL,3.75,3.75,98%,1,90,0,2,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,2,0,3,,1,0,0,0,0,3.75,-4.0
Oleksandr Zinchenko,ARS,D,158,FUL,3.0,3.0,95%,1,33,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,,0,0,0,0,0,3.0,-2.0
Gabriel Jesus,ARS,F,128,FUL,2.5,2.5,100%,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,,0,0,0,1,0,2.5,0.0
Jakub Kiwior,ARS,D,361,FUL,2.5,2.5,2%,1,90,0,0,0,1,2,0,0,0,0,0,2,0,1,1,0,0,0,2,0,3,,1,0,1,0,0,2.5,-4.0
William Saliba,ARS,D,98,FUL,1.75,1.75,98%,1,90,0,1,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,2,0,3,,1,0,0,0,0,1.75,-4.5
Jorginho,ARS,M,347,FUL,1.0,1.0,4%,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,,0,0,0,0,0,1.0,0.0
Bukayo Saka,ARS,M,1,MUN,19.0,19.0,100%,1,90,0,5,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,,1,1,4,1,0,13.0,-2.0
Declan Rice,ARS,M,67,MUN,14.5,14.5,98%,1,90,1,0,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,4,,1,1,0,0,0,5.5,0.0
Martin Odegaard,ARS,M,18,MUN,14.0,14.0,100%,1,88,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,4,,1,1,1,0,0,5.0,-1.0
