,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
8,LUT,RM,3,9.33,0.33,0.67,0.33,0.33,1.0,0.0,0.0,0.0,0.33,1.33,0.0,0.0,0.0,0.0,1.33,0.0,0.33,1.33,0.33,0.0,5.0,-1.0,0.67,1.0,17.08,47.0,23.0,-8.0,9.0,7.0,2.0
0,BUR,AM,2,7.5,0.33,0.33,0.0,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.0,0.0,1.67,0.0,0.33,1.67,0.0,0.0,6.17,-1.67,0.0,1.0,16.17,49.0,33.0,-2.0,-4.0,4.0,-8.0
12,SHU,RM,2,7.35,0.0,1.8,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.8,0.0,0.0,6.05,-1.5,0.8,1.0,10.35,40.5,37.5,-9.0,-3.75,-7.25,1.5
7,LUT,LM,3,6.33,0.0,2.0,0.0,0.33,0.67,0.0,0.0,1.67,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,7.67,-1.33,0.67,1.0,13.75,52.0,56.0,-4.0,-14.0,-10.0,-4.0
10,SHU,CM,5,6.04,0.04,0.75,0.0,0.42,1.38,0.23,0.0,0.21,0.92,1.75,0.38,0.0,0.0,0.0,2.21,0.08,0.04,1.62,0.0,0.0,6.89,-1.31,0.5,1.0,13.42,284.0,305.5,-43.5,6.0,25.25,-19.25
11,SHU,LM,3,5.1,0.0,0.4,0.0,0.0,2.2,0.0,0.0,0.0,0.8,2.4,0.4,0.0,0.0,0.0,1.8,0.0,0.0,1.8,0.4,0.0,6.2,-1.1,0.8,1.0,4.3,21.0,25.0,-4.0,4.5,6.0,-1.5
2,BUR,DM,3,5.08,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,2.5,0.67,0.0,0.0,0.0,1.83,0.0,0.0,2.67,0.0,0.0,6.46,-1.38,0.0,1.0,15.5,40.0,57.0,-17.0,21.0,20.5,0.5
3,BUR,LM,3,5.01,0.0,1.41,0.12,0.0,1.29,0.0,0.0,0.12,0.41,1.71,0.06,0.0,0.0,0.0,2.82,0.0,0.12,0.65,0.47,0.0,5.65,-1.46,0.82,1.0,8.13,115.0,112.0,-9.0,-29.75,-16.0,-15.75
9,SHU,AM,3,4.81,0.25,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0,3.75,0.0,0.25,2.0,0.25,0.0,4.56,-2.0,0.5,1.0,8.38,49.0,40.0,-9.0,-10.5,-3.5,-7.0
4,BUR,RM,4,4.17,0.0,1.31,0.15,0.15,0.69,0.0,0.0,0.08,0.31,0.69,0.0,0.0,0.0,0.0,2.0,0.0,0.15,0.92,0.15,0.0,4.33,-1.23,0.77,1.0,3.6,69.5,63.5,-6.0,-15.25,-7.25,-10.0
6,LUT,CM,6,4.0,0.0,0.66,0.0,0.11,1.15,0.17,0.0,0.13,0.7,0.64,0.23,0.0,0.0,0.0,1.85,0.0,0.0,1.94,0.0,0.0,5.26,-1.26,0.38,1.0,8.21,177.0,213.5,-36.5,11.0,33.5,-22.5
5,LUT,AM,2,3.81,0.0,0.75,0.0,0.25,0.75,0.25,0.0,0.5,0.5,0.75,0.25,0.0,0.0,0.0,1.25,0.0,0.0,1.5,0.75,0.0,6.12,-2.31,0.5,1.0,5.56,36.0,49.0,-13.0,-5.5,0.0,-5.5
1,BUR,CM,2,3.27,0.0,0.48,0.08,0.0,0.52,0.28,0.0,0.24,0.32,0.24,0.6,0.0,0.0,0.0,2.68,0.0,0.08,2.0,0.0,0.0,3.77,-1.06,0.88,1.0,7.16,70.0,77.0,-19.0,11.75,17.25,-7.5
