,opponent,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
25,vsMUN,100,8.23,0.12,0.95,0.12,0.4,0.85,0.22,0.01,0.2,1.13,2.09,0.54,0.0,0.01,0.0,1.02,0.33,0.21,1.56,0.14,0.02,7.17,-1.3,0.42,1.0,14.13,1593.25,1441.25,-349.0,-29.25,-78.75,102.5
19,vsFulham Player Stats,109,8.21,0.13,0.75,0.1,0.48,0.96,0.14,0.0,0.25,0.76,1.77,0.28,0.0,0.02,0.0,0.75,0.45,0.18,1.43,0.22,0.03,6.58,-1.21,0.55,1.0,15.85,920.25,744.25,-153.0,-25.75,-27.25,21.5
37,vsWOL,97,7.87,0.16,1.07,0.12,0.59,1.05,0.22,0.01,0.31,0.88,1.35,0.28,0.0,0.01,0.01,1.14,0.11,0.27,1.73,0.11,0.02,7.15,-1.57,0.53,1.0,15.31,1447.25,1361.25,-383.0,1.5,-46.5,94.0
39,vsWolves Player Stats,106,7.7,0.17,1.0,0.12,0.56,1.07,0.23,0.01,0.31,0.86,1.39,0.27,0.0,0.02,0.01,1.17,0.09,0.26,1.78,0.09,0.03,6.99,-1.6,0.55,1.0,15.23,807.75,760.75,-225.0,8.75,-19.5,55.25
38,vsWest Ham Player Stats,109,7.69,0.15,1.22,0.13,0.5,0.79,0.1,0.0,0.37,0.57,1.67,0.24,0.01,0.03,0.0,1.51,0.09,0.26,1.22,0.15,0.02,7.02,-1.28,0.55,1.0,21.14,905.75,849.25,-205.5,-67.25,-84.25,66.0
16,vsEVE,96,7.67,0.11,0.84,0.11,0.3,0.77,0.16,0.0,0.34,0.6,1.9,0.31,0.0,0.01,0.0,0.95,0.51,0.18,1.29,0.18,0.02,6.22,-1.39,0.49,1.0,13.31,1452.0,1174.5,-298.5,-56.75,-43.0,46.25
13,vsCRY,98,7.59,0.09,0.81,0.11,0.3,0.99,0.17,0.01,0.31,0.64,1.5,0.36,0.0,0.02,0.0,0.7,0.45,0.18,1.61,0.13,0.02,6.59,-1.5,0.53,1.0,15.86,1395.25,1213.25,-298.0,24.25,18.25,17.0
31,vsNott'ham Forest Player Stats,106,7.47,0.13,0.83,0.12,0.42,0.77,0.17,0.01,0.25,0.73,1.57,0.2,0.0,0.01,0.0,0.99,0.25,0.24,1.39,0.1,0.01,6.29,-1.38,0.55,1.0,17.89,808.75,694.75,-172.0,-17.0,-28.5,25.5
29,vsNOT,97,7.45,0.14,0.76,0.12,0.42,0.82,0.17,0.01,0.2,0.73,1.64,0.21,0.0,0.01,0.0,0.95,0.24,0.24,1.43,0.11,0.01,6.23,-1.43,0.58,1.0,16.41,1392.25,1181.75,-290.5,-22.25,-35.25,28.0
36,vsWHU,99,7.4,0.14,1.28,0.11,0.52,0.81,0.11,0.0,0.37,0.53,1.51,0.27,0.01,0.03,0.0,1.54,0.05,0.24,1.21,0.13,0.02,7.01,-1.29,0.53,1.0,19.72,1519.5,1486.0,-372.5,-128.75,-168.25,130.5
15,vsCrystal Palace Player Stats,108,7.34,0.08,0.84,0.1,0.31,0.96,0.15,0.01,0.31,0.66,1.44,0.34,0.0,0.02,0.0,0.78,0.41,0.16,1.52,0.14,0.02,6.58,-1.44,0.56,1.0,15.99,781.25,703.75,-171.5,11.0,6.5,15.5
17,vsEverton Player Stats,105,7.23,0.1,0.8,0.1,0.29,0.73,0.17,0.0,0.32,0.59,1.82,0.3,0.0,0.01,0.0,0.95,0.44,0.15,1.29,0.19,0.02,6.08,-1.38,0.48,1.0,13.16,783.0,662.0,-173.0,-24.25,-23.25,28.0
14,vsChelsea Player Stats,104,6.57,0.1,0.66,0.08,0.28,0.94,0.17,0.02,0.19,0.9,1.84,0.33,0.0,0.0,0.0,1.32,0.38,0.17,1.68,0.18,0.01,5.97,-1.42,0.44,1.0,15.07,673.0,606.5,-195.5,10.0,14.25,47.75
12,vsCHE,97,6.56,0.09,0.69,0.08,0.25,0.89,0.17,0.01,0.17,0.92,1.82,0.34,0.0,0.01,0.0,1.26,0.37,0.16,1.64,0.17,0.01,5.92,-1.38,0.42,1.0,14.26,1182.5,1058.0,-318.5,18.25,25.5,66.75
20,vsLIV,96,6.22,0.09,0.86,0.08,0.36,1.19,0.19,0.0,0.29,0.99,1.92,0.49,0.0,0.0,0.01,1.98,0.04,0.15,1.54,0.15,0.0,7.13,-1.39,0.55,1.0,16.72,1137.25,1346.75,-451.5,-11.75,-55.75,200.0
35,vsTottenham Player Stats,100,6.19,0.1,0.92,0.13,0.39,0.99,0.2,0.01,0.16,0.83,1.78,0.49,0.0,0.02,0.03,1.87,0.03,0.19,1.95,0.27,0.03,6.84,-1.6,0.55,1.0,14.29,592.25,698.75,-287.5,26.75,-15.0,127.75
4,vsBHA,99,6.19,0.14,0.81,0.14,0.39,1.05,0.19,0.02,0.12,0.82,1.38,0.37,0.0,0.01,0.01,2.14,0.01,0.25,1.79,0.11,0.02,6.31,-1.41,0.43,1.0,15.58,1104.5,1221.0,-519.5,52.75,-40.75,255.5
22,vsLiverpool Player Stats,105,6.15,0.08,0.79,0.08,0.35,1.15,0.19,0.0,0.28,0.97,2.18,0.49,0.0,0.0,0.01,1.89,0.07,0.14,1.5,0.14,0.0,7.06,-1.36,0.57,1.0,16.41,650.0,770.5,-249.5,-4.5,-29.0,106.5
10,vsBrighton Player Stats,108,6.04,0.14,0.74,0.12,0.39,1.05,0.2,0.02,0.13,0.84,1.44,0.34,0.0,0.01,0.02,1.99,0.01,0.23,1.82,0.09,0.02,6.24,-1.44,0.46,1.0,15.96,616.0,688.0,-288.0,36.25,-14.0,132.25
6,vsBRF,98,5.96,0.08,0.87,0.1,0.31,0.81,0.15,0.03,0.24,0.64,1.96,0.37,0.0,0.01,0.0,1.39,0.11,0.16,1.7,0.13,0.01,6.33,-1.58,0.47,1.0,13.0,1190.5,1279.5,-393.0,-81.5,-102.25,98.75
9,vsBrentford Player Stats,107,5.93,0.07,0.92,0.1,0.29,0.79,0.16,0.03,0.24,0.69,1.93,0.37,0.0,0.01,0.01,1.5,0.09,0.16,1.75,0.11,0.01,6.38,-1.61,0.46,1.0,13.4,679.5,743.0,-235.5,-45.5,-60.5,63.0
34,vsTOT,91,5.5,0.06,0.88,0.1,0.35,1.01,0.21,0.01,0.17,0.83,1.93,0.52,0.0,0.01,0.03,1.96,0.03,0.13,1.93,0.26,0.02,6.8,-1.61,0.58,1.0,13.3,894.75,1190.75,-522.0,51.0,-21.25,244.25
3,vsAston Villa Player Stats,103,5.45,0.11,0.72,0.1,0.3,0.87,0.17,0.02,0.13,0.7,1.62,0.45,0.0,0.0,0.01,2.04,0.22,0.19,1.66,0.37,0.0,5.77,-1.32,0.56,1.0,13.6,539.25,594.25,-271.0,22.25,0.25,135.0
1,vsAVL,94,5.05,0.1,0.77,0.09,0.31,0.8,0.2,0.02,0.15,0.71,1.52,0.44,0.0,0.0,0.01,2.24,0.15,0.18,1.8,0.33,0.0,5.82,-1.36,0.54,1.0,13.29,862.5,1054.5,-512.0,31.25,-24.0,271.25
30,vsNewcastle Utd Player Stats,106,5.03,0.08,0.78,0.08,0.3,0.87,0.21,0.0,0.13,0.78,1.62,0.31,0.0,0.0,0.0,2.18,0.14,0.15,1.8,0.15,0.0,6.02,-1.32,0.45,1.0,15.29,528.75,660.75,-291.0,4.75,-23.0,150.75
28,vsNEW,97,4.85,0.08,0.77,0.09,0.31,0.83,0.23,0.0,0.1,0.79,1.66,0.29,0.0,0.0,0.0,2.32,0.16,0.16,1.89,0.15,0.0,5.89,-1.34,0.48,1.0,14.21,875.0,1115.0,-534.0,13.0,-36.25,288.25
2,vsArsenal Player Stats,108,4.45,0.07,0.58,0.06,0.18,1.0,0.23,0.01,0.07,0.64,1.78,0.45,0.0,0.0,0.01,1.79,0.14,0.12,1.76,0.1,0.01,5.38,-1.42,0.45,1.0,14.74,444.5,581.0,-276.5,40.75,5.25,121.5
0,vsARS,99,4.23,0.07,0.57,0.05,0.19,0.98,0.21,0.01,0.07,0.65,1.74,0.44,0.0,0.0,0.01,1.84,0.06,0.12,1.68,0.1,0.01,5.36,-1.43,0.42,1.0,13.96,722.5,1005.5,-487.0,81.75,12.75,215.0
24,vsMCI,97,3.22,0.03,0.43,0.04,0.15,0.75,0.25,0.0,0.06,0.78,1.65,0.49,0.0,0.0,0.0,2.11,0.08,0.04,1.69,0.12,0.0,4.77,-1.17,0.65,1.0,10.2,568.25,1017.75,-609.5,152.5,51.5,347.0
26,vsManchester City Player Stats,104,3.11,0.03,0.44,0.05,0.15,0.69,0.28,0.0,0.05,0.78,1.77,0.5,0.0,0.0,0.0,2.27,0.09,0.06,1.78,0.17,0.0,4.73,-1.19,0.55,1.0,12.56,246.25,463.75,-304.5,77.0,27.75,181.25
