Team,Player,FPTS,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,PKM,PKD,OG,GAO,CS,MIN,Ghost Points,Negative Fpts,Default FPTS,Default Ghosts,Default Negative FPTS,Delta,Delta Ghosts,Delta Negative FPTS
MCI,9,15.61,5,18,5,7,3,0,0,0,3,3,8,1,0,0,0,6,3,744,6.33,-0.39,147.75,71.75,-8.0,-7.25,-14.75,4.5
CHE,9,13.31,4,12,4,7,5,1,0,0,0,7,6,2,0,1,0,9,0,761,7.5,-1.31,120.0,72.0,-12.0,-0.25,-4.5,0.25
NOT,10,10.52,2,4,2,3,17,0,0,0,0,6,30,4,0,0,0,0,10,862,5.88,-0.85,101.5,49.0,-3.5,3.75,9.75,-5.0
MUN,10,9.5,1,7,0,4,7,2,0,0,4,6,27,8,0,0,0,0,10,846,7.22,-1.42,105.25,75.25,-7.0,-10.25,-3.0,-7.25
CRY,10,9.07,2,3,1,3,10,5,0,0,1,6,37,2,0,0,0,0,9,820,5.55,-1.68,89.75,50.75,-13.0,1.0,4.75,-3.75
NEW,9,8.83,1,8,1,2,9,4,0,0,1,4,19,5,0,0,0,0,9,753,5.94,-1.44,83.75,57.75,-12.0,-4.25,-4.25,-1.0
BRF,10,8.6,2,9,3,4,3,1,0,0,3,5,27,0,0,0,0,20,0,871,6.45,-1.15,86.0,66.0,-17.0,0.0,-1.5,5.5
LUT,10,6.58,0,4,1,4,9,1,0,0,3,8,42,5,0,0,0,7,3,842,6.92,-1.15,66.25,71.25,-13.0,-0.5,-2.0,1.5
SHU,9,6.56,2,4,1,2,10,2,0,0,3,5,13,2,0,1,0,9,0,808,5.36,-1.58,52.75,44.75,-17.0,6.25,3.5,2.75
LIV,10,6.4,0,17,0,5,5,1,0,0,2,6,15,1,0,0,0,7,3,818,7.02,-1.32,77.25,81.75,-11.5,-13.25,-11.5,-1.75
WHU,10,6.28,2,10,2,2,7,3,0,0,3,11,24,4,0,0,1,28,0,846,6.72,-2.05,61.5,68.5,-37.0,1.25,-1.25,16.5
FUL,10,5.55,0,12,0,3,6,4,0,0,1,8,19,2,0,0,0,5,5,856,6.72,-1.48,58.5,74.5,-19.0,-3.0,-7.25,4.25
BUR,10,5.25,0,13,0,4,7,0,0,0,4,8,7,1,0,0,0,16,0,867,6.92,-1.08,59.75,76.75,-17.0,-7.25,-7.5,6.25
TOT,7,4.79,1,4,1,4,12,1,1,0,2,5,8,1,0,0,0,19,0,499,6.5,-2.29,30.25,43.75,-28.5,3.25,1.75,12.5
ARS,10,4.62,0,10,0,1,8,1,0,0,4,6,13,4,0,0,0,10,0,858,5.85,-1.23,47.25,61.25,-14.0,-1.0,-2.75,1.75
AVL,9,4.5,0,12,0,2,5,1,0,0,7,8,10,0,0,0,0,18,0,760,6.33,-0.94,43.0,64.5,-21.5,-2.5,-7.5,13.0
WOL,10,4.47,0,7,1,2,6,2,0,0,0,5,24,2,0,0,0,15,2,839,5.6,-1.12,41.0,61.0,-27.0,3.75,-5.0,15.75
EVE,10,4.3,1,3,0,4,8,4,0,0,2,6,23,1,0,0,1,10,0,896,5.35,-1.95,37.75,49.75,-22.0,5.25,3.75,2.5
BHA,9,4.03,0,4,1,2,3,2,0,0,1,3,12,2,0,0,0,9,0,750,4.47,-1.22,33.75,39.75,-12.0,2.5,0.5,1.0
BOU,8,-1.22,0,3,1,0,2,1,0,0,0,5,17,5,0,0,0,43,0,675,3.56,-0.66,-20.0,23.5,-50.5,10.25,5.0,45.25
