,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
55,vsLUT,AM,4,20.88,0.75,2.0,0.75,1.25,1.75,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.25,0.75,1.25,1.75,0.25,0.25,10.19,-1.81,0.5,1.0,32.31,324.0,160.0,-24.0,10.0,3.0,-5.0
19,vsBOU,RM,6,18.45,0.52,1.87,0.7,0.7,0.83,0.17,0.0,0.83,0.61,0.48,0.0,0.0,0.35,0.0,0.96,0.35,0.87,0.7,0.0,0.17,9.71,-1.17,0.52,1.0,18.49,433.5,250.5,-29.0,-9.25,-27.25,2.0
95,vsWOL,AM,4,16.11,0.29,2.14,0.86,1.14,0.57,0.71,0.0,0.0,1.0,1.14,0.29,0.0,0.0,0.0,1.57,0.0,1.14,3.43,0.29,0.0,9.39,-1.86,0.43,1.0,21.07,234.0,152.0,-26.0,-8.5,-20.5,0.0
45,vsFUL,AM,6,16.06,0.5,1.7,0.55,0.9,1.15,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.2,0.0,0.35,0.5,0.65,1.55,0.0,0.0,8.39,-1.18,0.9,1.0,30.88,325.5,174.0,-14.5,-4.25,-6.25,-9.0
80,vsSHU,AM,5,14.1,0.0,5.2,0.2,1.4,0.8,0.2,0.0,1.2,0.4,0.8,0.2,0.0,0.0,0.0,0.6,0.4,0.2,0.8,0.0,0.0,13.45,-1.15,0.4,1.0,36.1,368.0,352.0,-16.0,-86.0,-83.0,-7.0
69,vsMUN,RM,5,13.2,0.2,2.2,0.4,1.0,1.4,0.2,0.0,1.0,0.2,0.4,0.2,0.0,0.0,0.0,1.0,0.2,0.2,1.0,0.0,0.0,9.55,-1.15,0.6,1.0,18.75,302.0,232.0,-18.0,-38.0,-41.0,-5.0
92,vsWHU,DM,6,13.0,0.33,3.0,0.17,1.17,0.33,0.17,0.0,0.83,0.5,0.5,0.5,0.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,10.08,-1.25,0.67,1.0,20.21,368.0,288.0,-16.0,-56.0,-46.0,-14.0
67,vsMUN,DM,8,12.62,0.31,0.88,0.23,0.92,1.54,0.15,0.0,0.12,0.42,1.12,0.31,0.0,0.12,0.0,0.38,0.62,0.42,1.15,0.0,0.0,8.69,-1.07,0.46,1.0,18.13,303.0,200.0,-21.0,25.25,26.0,-6.75
79,vsNOT,RM,5,12.38,0.21,1.68,0.53,0.37,1.05,0.0,0.0,0.32,0.79,1.68,0.0,0.0,0.0,0.0,0.84,0.37,0.74,0.0,0.0,0.0,7.33,-0.89,0.58,1.0,21.61,237.5,148.0,-13.5,-2.25,-8.75,-3.5
83,vsSHU,LM,6,11.93,0.19,1.38,0.52,0.71,1.24,0.0,0.0,0.19,1.1,0.19,0.71,0.0,0.0,0.0,0.95,0.33,0.71,0.52,0.19,0.0,8.35,-1.94,0.52,1.0,16.99,265.0,194.0,-38.0,-14.5,-18.75,-2.75
