,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
7,CRY,CB,3,10.24,0.11,0.61,0.03,0.21,0.87,0.03,0.0,0.26,0.82,5.26,1.05,0.0,0.0,0.0,1.26,0.42,0.13,0.79,0.03,0.0,8.59,-0.63,0.47,1.0,24.44,364.0,321.0,-100.0,25.25,5.25,76.0
10,EVE,CB,3,8.27,0.05,0.47,0.05,0.21,0.95,0.26,0.0,0.11,1.66,3.95,1.24,0.0,0.0,0.0,1.47,0.16,0.11,2.0,0.05,0.0,8.88,-1.13,0.53,1.0,18.91,291.5,357.5,-136.0,22.75,-20.25,93.0
3,BRF,CB,4,7.36,0.02,0.31,0.0,0.07,0.89,0.09,0.0,0.0,1.44,5.18,0.58,0.0,0.0,0.0,1.29,0.24,0.02,0.58,0.0,0.0,7.54,-0.78,0.49,1.0,14.91,337.75,392.25,-130.5,-6.5,-53.0,95.5
11,EVE,LB,2,7.05,0.0,1.21,0.0,0.21,2.42,0.0,0.0,0.47,1.05,2.53,0.32,0.0,0.0,0.0,1.37,0.16,0.0,1.0,0.0,0.0,8.3,-1.14,0.53,1.0,12.32,132.5,172.0,-57.5,1.5,-14.25,35.75
16,NOT,CB,6,7.05,0.04,0.39,0.0,0.29,0.94,0.08,0.04,0.0,1.0,4.8,0.96,0.0,0.0,0.0,1.31,0.24,0.04,1.43,0.04,0.0,7.49,-1.14,0.37,1.0,14.7,341.75,395.75,-136.0,3.5,-28.75,80.25
14,FUL,LB,2,6.74,0.0,0.68,0.0,0.0,1.63,0.26,0.0,0.58,2.26,2.11,0.16,0.0,0.0,0.11,1.63,0.32,0.0,2.05,0.11,0.0,8.75,-2.01,0.42,1.0,11.11,120.5,173.0,-88.5,7.5,-6.75,50.25
8,CRY,LB,1,6.43,0.0,0.63,0.11,0.0,1.11,0.21,0.0,0.63,0.74,2.74,0.42,0.0,0.0,0.0,1.26,0.42,0.11,1.32,0.0,0.0,5.45,-0.91,0.47,1.0,15.84,107.0,107.0,-62.0,15.25,-3.5,44.75
21,WOL,LB,3,5.89,0.0,0.64,0.09,0.0,1.73,0.36,0.0,0.18,0.82,1.64,0.91,0.0,0.0,0.0,1.64,0.18,0.09,1.91,0.0,0.0,7.2,-1.41,0.45,1.0,7.0,51.0,83.5,-51.5,13.75,-4.25,36.0
20,WOL,CB,3,5.71,0.0,0.41,0.0,0.23,0.8,0.23,0.0,0.05,0.89,4.2,1.07,0.0,0.0,0.0,1.59,0.09,0.0,1.52,0.09,0.0,7.31,-0.78,0.5,1.0,12.63,188.75,331.25,-166.5,62.5,-9.75,132.25
15,FUL,RB,2,5.55,0.0,0.42,0.0,0.11,0.79,0.21,0.0,0.63,1.32,2.21,0.21,0.0,0.0,0.0,1.42,0.32,0.0,2.21,0.0,0.0,6.41,-1.28,0.42,1.0,13.08,90.5,120.5,-66.0,15.0,1.25,41.75
17,NOT,LB,3,5.25,0.0,0.67,0.0,0.44,0.78,0.0,0.22,0.44,1.33,2.89,0.56,0.0,0.0,0.0,0.89,0.22,0.0,2.67,0.11,0.0,7.06,-2.47,0.67,1.0,10.58,46.5,64.5,-30.0,0.75,-1.0,7.75
5,BRF,RB,3,5.19,0.0,0.56,0.0,0.11,1.44,0.44,0.0,0.22,0.56,1.33,0.11,0.0,0.0,0.0,1.0,0.22,0.0,2.56,0.11,0.0,5.78,-1.47,0.56,1.0,9.67,77.0,110.0,-57.0,16.5,-6.0,30.5
