Position,Player,FPTS,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,PKM,PKD,OG,GAO,CS,MIN,Ghost Points,Negative Fpts,Default FPTS,Default Ghosts,Default Negative FPTS,Delta,Delta Ghosts,Delta Negative FPTS
F,37,9.37,16,36,5,41,14,6,0,0,3,9,31,1,0,1,0,59,11,3041,6.2,-1.67,380.5,241.0,-34.5,-33.75,-11.5,-27.25
M,75,8.02,11,84,11,42,70,14,1,0,29,59,93,5,0,1,0,126,13,6263,7.09,-1.59,628.5,523.0,-72.5,-26.75,9.0,-46.75
D,81,6.38,6,45,8,16,99,17,0,3,21,80,240,45,0,0,2,146,12,7120,7.24,-1.2,430.0,598.0,-356.0,87.0,-11.75,258.75
