Team,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,FPts/90,Ghosts/90,GPR,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN
MUN,7.51,7.97,-0.46,6.61,7.05,-0.45,-1.32,-1.62,0.3,8.08,7.11,0.0,0.1,1.08,0.1,0.43,0.85,0.16,0.0,0.26,0.64,1.78,0.4,3.98,4.37,1.83,0.01,0.01,0.02,0.01,1.09,0.33,0.19,1.44,0.22,0.01,83.71
CRY,7.37,7.47,-0.1,7.19,7.36,-0.16,-1.43,-2.05,0.62,7.76,7.57,0.82,0.09,0.83,0.06,0.39,1.06,0.16,0.0,0.26,0.8,2.15,0.33,5.44,4.93,1.51,0.01,0.0,0.01,0.01,1.27,0.33,0.15,1.52,0.09,0.01,85.6
BHA,7.37,7.42,-0.06,6.62,6.95,-0.33,-1.39,-2.04,0.64,8.1,7.27,0.0,0.16,1.04,0.16,0.49,0.8,0.21,0.01,0.22,0.76,1.35,0.34,4.13,4.09,1.86,0.03,0.0,0.01,0.01,1.51,0.1,0.3,1.58,0.19,0.01,81.61
WOL,6.77,6.66,0.11,6.75,7.18,-0.44,-1.39,-2.51,1.12,7.2,7.18,0.79,0.09,0.77,0.12,0.35,1.06,0.26,0.01,0.24,0.76,1.85,0.42,4.95,4.2,1.57,0.03,0.0,0.01,0.0,1.51,0.15,0.2,1.96,0.14,0.01,84.25
FUL,6.69,6.34,0.35,6.44,6.28,0.15,-1.34,-2.23,0.89,7.35,7.08,0.0,0.11,0.71,0.07,0.34,0.94,0.16,0.01,0.21,1.1,1.55,0.21,4.24,3.95,2.1,0.03,0.0,0.01,0.01,1.54,0.29,0.16,1.47,0.16,0.01,82.22
NOT,6.57,6.55,0.03,6.54,6.55,-0.01,-1.37,-2.02,0.65,7.22,7.19,0.0,0.09,0.68,0.09,0.29,1.04,0.19,0.01,0.24,0.85,2.25,0.43,4.65,4.27,1.44,0.01,0.0,0.0,0.0,1.6,0.23,0.17,1.65,0.21,0.01,82.33
BOU,6.05,6.22,-0.17,6.57,6.71,-0.15,-1.56,-2.46,0.89,6.65,7.22,0.0,0.1,0.75,0.07,0.41,1.01,0.14,0.01,0.24,0.75,1.66,0.39,4.67,5.28,1.46,0.02,0.0,0.0,0.01,1.74,0.23,0.17,1.57,0.12,0.0,82.08
LUT,5.53,5.48,0.04,6.31,6.45,-0.13,-1.33,-2.13,0.8,6.08,6.93,0.93,0.07,0.7,0.08,0.22,0.95,0.16,0.0,0.26,0.8,2.22,0.41,4.7,4.55,1.28,0.01,0.0,0.0,0.01,1.73,0.04,0.14,1.49,0.13,0.01,81.46
BUR,4.89,4.77,0.12,5.78,5.82,-0.04,-1.5,-2.59,1.09,5.32,6.28,1.28,0.09,0.67,0.08,0.31,0.75,0.18,0.01,0.11,0.68,1.83,0.39,4.1,4.69,1.69,0.01,0.0,0.01,0.01,1.91,0.11,0.17,1.62,0.15,0.01,83.01
SHU,3.75,3.43,0.32,5.96,5.91,0.05,-1.61,-3.3,1.69,4.03,6.41,0.0,0.04,0.48,0.06,0.21,1.04,0.25,0.01,0.15,0.84,2.4,0.43,4.37,5.21,1.25,0.01,0.0,0.01,0.0,2.36,0.02,0.06,1.84,0.17,0.01,83.89
