,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
2,RB,42,6.57,0.02,0.86,0.12,0.1,1.28,0.24,0.01,0.51,0.83,1.91,0.35,0.0,0.0,0.01,1.34,0.25,0.13,1.77,0.05,0.0,6.61,-1.3,0.51,1.0,15.47,3135.75,3635.25,-1800.5,328.25,-152.75,1114.0
1,LB,52,6.53,0.03,0.88,0.1,0.17,1.12,0.23,0.01,0.44,1.05,2.11,0.34,0.0,0.0,0.01,1.38,0.26,0.12,1.85,0.09,0.0,6.64,-1.35,0.53,1.0,13.9,3005.25,3483.25,-1722.0,222.5,-202.75,1053.25
3,WB,21,6.41,0.06,1.07,0.15,0.17,0.92,0.26,0.0,0.67,0.62,2.03,0.29,0.0,0.0,0.0,1.46,0.14,0.19,1.74,0.16,0.0,6.18,-1.36,0.38,1.0,10.57,719.5,797.5,-355.0,-1.5,-105.0,202.5
0,CB,83,6.16,0.04,0.29,0.04,0.14,0.85,0.15,0.01,0.03,1.07,3.79,0.84,0.0,0.0,0.01,1.5,0.21,0.07,1.25,0.04,0.0,6.71,-1.0,0.49,1.0,13.05,6981.75,9111.25,-4624.5,1095.0,-302.25,3316.25
