,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
59,vsEVE,WB,4,8.69,0.0,2.0,0.25,0.25,1.25,0.25,0.0,0.5,1.5,3.75,0.5,0.0,0.0,0.0,1.5,0.0,0.25,2.25,0.25,0.0,9.38,-1.44,0.5,1.0,18.81,73.5,89.5,-28.0,-4.0,-14.5,16.5
144,vsWolves Player Stats,LB,9,8.58,0.22,1.11,0.22,0.44,0.56,0.33,0.0,0.67,1.11,2.11,0.33,0.0,0.0,0.0,1.22,0.11,0.44,2.44,0.0,0.0,6.42,-1.39,0.44,1.0,11.22,69.75,61.75,-32.0,7.5,-4.0,19.5
45,vsCHE,WB,4,8.58,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.17,0.17,2.17,0.67,0.0,0.0,0.0,0.0,1.0,0.0,1.67,0.33,0.0,4.25,-1.67,0.0,1.0,17.21,48.75,19.25,-6.5,2.75,6.25,-3.5
39,vsBurnley Player Stats,LB,9,8.56,0.11,0.44,0.11,0.11,1.44,0.22,0.0,0.11,0.67,2.0,0.33,0.0,0.0,0.0,0.56,0.56,0.22,1.44,0.0,0.0,5.47,-1.25,0.44,1.0,19.58,76.5,50.5,-16.0,0.5,-1.25,4.75
58,vsEVE,RB,8,8.45,0.0,0.73,0.0,0.13,0.93,0.27,0.0,1.0,0.67,1.87,0.53,0.0,0.0,0.0,0.6,0.67,0.0,1.87,0.0,0.0,6.58,-1.6,0.47,1.0,9.57,131.0,103.0,-32.0,-4.25,-4.25,8.0
65,vsFUL,LB,8,8.38,0.12,0.12,0.12,0.38,1.12,0.25,0.0,0.25,0.62,2.38,0.38,0.0,0.0,0.0,0.62,0.38,0.25,2.25,0.25,0.0,5.5,-1.12,0.62,1.0,14.38,128.5,89.5,-31.0,5.5,-1.5,13.0
38,vsBurnley Player Stats,CB,24,8.35,0.04,0.17,0.08,0.17,0.79,0.17,0.0,0.0,0.92,3.38,0.42,0.0,0.0,0.0,0.79,0.42,0.12,1.17,0.0,0.0,6.12,-0.81,0.46,1.0,13.35,196.75,160.25,-47.5,3.75,-13.25,28.0
48,vsCRY,RB,8,8.28,0.0,0.93,0.13,0.27,1.6,0.4,0.0,0.8,0.67,1.13,0.4,0.0,0.0,0.0,0.87,0.4,0.13,1.8,0.0,0.0,7.63,-1.48,0.53,1.0,23.05,104.75,106.75,-42.0,19.5,7.75,19.75
94,vsMUN,RB,8,8.2,0.0,0.67,0.0,0.0,1.27,0.13,0.0,0.27,1.13,3.13,1.27,0.0,0.0,0.0,0.8,0.33,0.0,1.53,0.0,0.0,7.55,-1.08,0.53,1.0,10.47,123.75,121.75,-28.0,-0.75,-8.5,11.75
100,vsManchester Utd Player Stats,CB,24,8.17,0.08,0.33,0.0,0.21,0.75,0.17,0.04,0.04,1.5,4.62,1.17,0.0,0.0,0.0,1.12,0.25,0.08,1.42,0.0,0.0,7.75,-1.08,0.42,1.0,13.49,178.75,193.75,-71.0,17.25,-7.75,45.0
92,vsMUN,CB,22,8.11,0.1,0.31,0.0,0.19,0.81,0.19,0.05,0.05,1.43,4.64,1.29,0.0,0.0,0.0,1.19,0.24,0.1,1.5,0.0,0.0,7.85,-1.17,0.38,1.0,12.96,307.75,340.75,-133.0,32.75,-11.25,84.0
134,vsWHU,RB,8,8.1,0.0,1.33,0.13,0.0,1.47,0.0,0.0,0.73,0.93,1.6,0.2,0.0,0.0,0.0,1.33,0.07,0.13,1.07,0.0,0.0,7.98,-0.95,0.67,1.0,25.58,116.0,123.0,-27.0,5.5,-3.25,12.75
68,vsFulham Player Stats,CB,25,8.01,0.0,0.32,0.0,0.12,0.8,0.0,0.0,0.04,1.16,4.04,0.56,0.0,0.0,0.0,0.92,0.4,0.0,0.56,0.12,0.0,6.83,-0.58,0.52,1.0,15.0,188.25,176.25,-48.0,12.0,-5.5,33.5
10,vsAston Villa Player Stats,LB,6,7.92,0.0,0.83,0.33,0.0,1.33,0.0,0.0,0.17,0.5,2.17,0.67,0.0,0.0,0.0,1.5,0.33,0.33,0.17,0.33,0.0,5.67,-0.42,0.67,1.0,15.38,45.25,37.25,-18.0,2.25,-3.25,15.5
62,vsEverton Player Stats,RB,9,7.81,0.0,0.67,0.0,0.11,1.0,0.22,0.0,0.89,0.67,1.89,0.44,0.0,0.0,0.0,0.67,0.56,0.0,1.67,0.0,0.0,6.47,-1.56,0.44,1.0,9.86,70.25,59.25,-19.0,0.0,-1.0,5.0
93,vsMUN,LB,8,7.72,0.0,0.8,0.27,0.13,0.27,0.53,0.0,0.13,1.4,1.8,0.8,0.0,0.0,0.0,0.8,0.33,0.27,2.93,0.13,0.0,5.55,-1.43,0.53,1.0,8.4,107.75,90.75,-41.0,8.0,-7.5,19.5
64,vsFUL,CB,23,7.68,0.0,0.35,0.0,0.12,0.86,0.0,0.0,0.05,1.23,3.95,0.49,0.0,0.0,0.0,1.0,0.37,0.0,0.49,0.09,0.0,6.73,-0.54,0.53,1.0,14.89,299.5,293.5,-90.0,30.75,-4.0,66.75
69,vsFulham Player Stats,LB,10,7.65,0.1,0.3,0.1,0.3,1.2,0.4,0.0,0.5,0.5,2.6,0.4,0.0,0.0,0.0,0.9,0.4,0.2,2.7,0.2,0.0,5.7,-1.25,0.6,1.0,16.48,71.0,58.5,-28.5,5.5,-1.5,16.0
46,vsCRY,CB,21,7.64,0.0,0.25,0.0,0.1,0.7,0.1,0.0,0.0,0.88,4.05,0.82,0.0,0.0,0.0,0.8,0.4,0.0,1.0,0.0,0.0,6.65,-0.76,0.55,1.0,13.51,276.0,268.0,-78.0,29.75,-2.0,47.75
56,vsEVE,CB,21,7.61,0.05,0.15,0.0,0.18,0.78,0.2,0.0,0.0,0.78,4.65,0.65,0.0,0.0,0.0,1.05,0.5,0.05,1.1,0.05,0.0,6.51,-1.26,0.5,1.0,12.76,313.5,276.5,-103.0,-9.25,-16.0,52.75
49,vsChelsea Player Stats,CB,23,7.59,0.09,0.3,0.0,0.09,0.96,0.04,0.04,0.0,0.96,4.26,0.91,0.0,0.0,0.0,1.26,0.43,0.09,0.87,0.09,0.0,6.51,-0.92,0.35,1.0,15.17,162.0,151.5,-69.5,12.5,-1.75,48.25
101,vsManchester Utd Player Stats,LB,9,7.56,0.0,0.78,0.22,0.11,0.33,0.56,0.0,0.22,1.44,1.78,0.67,0.0,0.0,0.0,0.78,0.33,0.22,2.89,0.11,0.0,5.69,-1.47,0.56,1.0,10.83,63.0,56.0,-25.0,5.0,-4.75,11.75
20,vsBRF,CB,20,7.52,0.11,0.63,0.16,0.11,0.68,0.11,0.05,0.21,0.68,4.47,1.03,0.0,0.0,0.0,1.47,0.11,0.26,1.74,0.11,0.0,7.26,-1.27,0.47,1.0,15.8,284.0,312.0,-134.0,1.75,-36.0,85.75
43,vsCHE,LB,7,7.48,0.0,0.69,0.08,0.31,1.38,0.38,0.0,0.31,2.23,2.15,0.23,0.0,0.08,0.0,1.62,0.31,0.0,3.0,0.0,0.0,7.58,-1.25,0.54,1.0,12.35,83.5,95.5,-43.0,13.75,3.0,26.75
141,vsWest Ham Player Stats,RB,9,7.47,0.0,1.11,0.11,0.0,1.33,0.11,0.0,0.78,0.89,1.67,0.22,0.0,0.0,0.0,1.33,0.11,0.11,1.67,0.0,0.0,7.58,-1.11,0.67,1.0,24.83,63.75,70.25,-19.5,3.5,-2.0,9.5
115,vsNott'ham Forest Player Stats,LB,9,7.47,0.0,0.78,0.0,0.0,1.22,0.22,0.0,1.0,0.89,2.22,0.11,0.0,0.0,0.0,0.89,0.33,0.0,2.0,0.11,0.0,7.11,-1.19,0.56,1.0,15.0,68.25,68.25,-18.0,-1.0,-4.25,7.25
60,vsEverton Player Stats,CB,23,7.4,0.04,0.13,0.0,0.22,0.74,0.22,0.0,0.0,0.83,4.48,0.65,0.0,0.0,0.0,1.04,0.43,0.04,1.17,0.09,0.0,6.61,-1.25,0.48,1.0,12.46,170.25,159.75,-59.5,0.0,-7.75,30.75
70,vsFulham Player Stats,RB,9,7.39,0.0,0.33,0.0,0.0,1.0,0.22,0.0,0.44,0.67,1.78,0.33,0.0,0.0,0.0,0.44,0.56,0.0,1.67,0.0,0.0,5.17,-1.11,0.56,1.0,13.72,67.25,48.25,-11.0,-0.75,-1.75,1.0
53,vsCrystal Palace Player Stats,CB,23,7.38,0.0,0.26,0.0,0.13,0.65,0.09,0.0,0.04,0.91,3.91,0.74,0.0,0.0,0.0,0.87,0.35,0.0,0.91,0.0,0.0,6.66,-0.72,0.57,1.0,14.9,148.25,152.25,-47.0,21.5,1.0,30.5
42,vsCHE,CB,22,7.37,0.07,0.29,0.0,0.07,0.98,0.05,0.05,0.0,0.95,4.22,0.98,0.0,0.0,0.0,1.22,0.41,0.07,0.98,0.0,0.0,6.49,-1.0,0.34,1.0,14.42,274.75,265.25,-122.5,27.5,1.0,81.5
81,vsLiverpool Player Stats,LB,8,7.31,0.0,1.12,0.12,0.0,2.0,0.12,0.0,0.62,2.38,3.0,0.62,0.0,0.0,0.0,1.88,0.0,0.12,1.75,0.25,0.0,9.16,-1.22,0.5,1.0,17.16,53.5,77.5,-30.0,5.0,-4.25,20.25
73,vsLIV,LB,9,7.31,0.0,1.12,0.12,0.0,2.0,0.12,0.0,0.62,2.56,3.0,0.56,0.0,0.0,0.0,1.94,0.0,0.12,1.81,0.19,0.0,9.36,-1.3,0.5,1.0,16.94,107.5,158.0,-62.5,9.5,-8.25,41.75
24,vsBUR,LB,8,7.3,0.0,0.42,0.11,0.0,1.05,0.21,0.0,0.11,0.79,1.21,0.21,0.0,0.0,0.0,0.47,0.63,0.11,1.26,0.0,0.0,4.68,-1.17,0.37,1.0,15.91,136.25,91.75,-31.5,2.5,-2.75,9.25
55,vsCrystal Palace Player Stats,RB,9,7.28,0.0,0.78,0.11,0.22,1.78,0.33,0.0,0.67,0.56,1.11,0.33,0.0,0.0,0.0,1.0,0.33,0.11,1.67,0.0,0.0,7.19,-1.47,0.56,1.0,20.92,53.75,60.75,-27.0,11.75,4.0,13.75
57,vsEVE,LB,8,7.12,0.0,0.6,0.13,0.0,0.4,0.13,0.0,0.53,0.27,1.6,0.27,0.0,0.0,0.0,0.87,0.67,0.0,1.47,0.0,0.0,4.3,-1.05,0.47,1.0,4.0,105.0,65.0,-34.0,1.75,-0.5,18.25
107,vsNOT,CB,21,7.05,0.0,0.4,0.1,0.1,0.62,0.1,0.0,0.05,1.23,3.35,0.62,0.0,0.0,0.0,1.05,0.25,0.1,1.18,0.1,0.0,6.42,-0.97,0.55,1.0,15.0,285.5,294.5,-97.0,-3.5,-37.75,58.25
114,vsNott'ham Forest Player Stats,CB,23,6.88,0.0,0.39,0.09,0.09,0.61,0.09,0.0,0.04,1.17,3.3,0.61,0.0,0.0,0.0,1.09,0.26,0.09,1.04,0.09,0.0,6.28,-0.88,0.52,1.0,15.57,157.5,164.0,-56.5,0.75,-19.5,36.25
66,vsFUL,RB,8,6.88,0.0,0.38,0.0,0.0,0.88,0.25,0.0,0.5,0.62,1.75,0.12,0.0,0.0,0.0,0.5,0.5,0.0,1.88,0.0,0.0,5.0,-1.12,0.62,1.0,13.25,110.5,83.5,-21.0,-0.5,-3.5,3.0
108,vsNOT,LB,8,6.77,0.0,0.33,0.0,0.0,1.2,0.27,0.0,0.6,0.93,2.53,0.13,0.0,0.0,0.0,0.8,0.33,0.0,2.2,0.13,0.0,6.13,-1.1,0.6,1.0,13.52,90.5,87.0,-26.5,11.0,5.0,10.0
31,vsBrentford Player Stats,CB,22,6.72,0.09,0.55,0.14,0.09,0.64,0.14,0.05,0.18,0.73,4.5,1.05,0.0,0.0,0.05,1.64,0.09,0.23,1.77,0.09,0.0,7.31,-1.45,0.45,1.0,14.77,142.5,179.5,-90.0,5.25,-18.75,58.0
109,vsNOT,RB,8,6.68,0.0,0.6,0.13,0.0,0.93,0.33,0.0,0.13,1.27,2.07,0.27,0.0,0.0,0.0,0.8,0.33,0.13,1.87,0.0,0.0,5.38,-1.37,0.6,1.0,12.25,101.75,91.75,-34.0,-1.5,-11.0,13.5
140,vsWest Ham Player Stats,LB,9,6.64,0.0,1.67,0.0,0.22,0.44,0.11,0.0,1.22,1.0,2.89,0.11,0.0,0.0,0.0,1.33,0.11,0.0,1.11,0.11,0.0,8.0,-1.36,0.67,1.0,24.39,65.25,82.75,-23.5,-5.5,-10.75,11.25
143,vsWolves Player Stats,CB,23,6.5,0.09,0.22,0.09,0.22,1.22,0.22,0.0,0.09,1.26,2.91,0.65,0.0,0.09,0.04,1.3,0.04,0.09,1.52,0.04,0.0,6.8,-1.26,0.57,1.0,13.54,112.75,151.75,-79.0,36.75,4.75,50.0
138,vsWOL,RB,9,6.43,0.0,1.06,0.12,0.24,1.35,0.41,0.0,0.76,0.71,2.06,0.47,0.0,0.0,0.0,1.18,0.12,0.12,2.29,0.0,0.0,7.06,-1.34,0.47,1.0,12.76,85.25,118.25,-59.0,24.0,1.75,36.25
136,vsWOL,CB,20,6.43,0.11,0.26,0.03,0.26,1.21,0.18,0.0,0.05,1.29,2.97,0.66,0.0,0.03,0.05,1.32,0.05,0.11,1.34,0.05,0.0,6.91,-1.2,0.53,1.0,13.84,184.75,256.25,-130.5,59.5,6.5,85.0
61,vsEverton Player Stats,LB,9,6.36,0.0,0.67,0.11,0.0,0.33,0.11,0.0,0.56,0.22,1.44,0.22,0.0,0.0,0.0,0.89,0.56,0.0,1.22,0.0,0.0,4.11,-0.97,0.44,1.0,5.14,56.75,37.75,-18.0,0.5,-0.75,9.25
74,vsLIV,RB,8,6.35,0.0,1.2,0.27,0.13,1.67,0.4,0.0,1.07,0.8,2.93,0.73,0.0,0.0,0.13,2.47,0.0,0.13,2.07,0.0,0.0,9.63,-2.22,0.53,1.0,21.65,86.0,158.0,-100.0,9.25,-13.5,66.75
82,vsLiverpool Player Stats,RB,8,6.22,0.0,1.12,0.25,0.12,1.62,0.38,0.0,1.0,0.88,3.12,0.75,0.0,0.0,0.12,2.5,0.0,0.12,2.0,0.0,0.0,9.62,-2.16,0.5,1.0,21.28,46.25,85.25,-53.0,3.5,-8.25,35.75
145,vsWolves Player Stats,RB,9,6.19,0.0,1.11,0.11,0.22,1.33,0.44,0.0,0.89,0.67,2.0,0.44,0.0,0.0,0.0,1.22,0.11,0.11,2.44,0.0,0.0,7.08,-1.44,0.44,1.0,14.17,43.75,63.75,-33.0,12.0,0.0,20.0
139,vsWest Ham Player Stats,CB,25,6.14,0.08,0.32,0.08,0.28,0.76,0.04,0.0,0.0,0.8,3.88,0.52,0.0,0.04,0.0,1.72,0.08,0.12,0.64,0.0,0.0,6.82,-0.84,0.52,1.0,14.85,152.25,197.25,-91.0,1.25,-26.75,70.0
116,vsNott'ham Forest Player Stats,RB,9,6.14,0.0,0.67,0.11,0.0,0.78,0.33,0.0,0.22,1.22,1.78,0.22,0.0,0.0,0.0,0.89,0.33,0.11,1.78,0.0,0.0,5.08,-1.28,0.56,1.0,13.11,55.0,52.0,-22.0,0.25,-6.25,10.5
133,vsWHU,LB,8,6.03,0.0,1.67,0.0,0.27,0.4,0.13,0.0,1.27,0.8,2.8,0.13,0.0,0.0,0.0,1.33,0.07,0.0,1.13,0.13,0.0,7.88,-1.45,0.67,1.0,25.03,102.0,141.5,-45.5,-11.5,-23.25,23.75
37,vsBrighton Player Stats,WB,2,5.88,0.0,1.5,0.0,0.0,1.5,0.5,0.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,6.88,-1.0,0.0,1.0,0.0,10.5,14.5,-4.0,1.25,-0.75,2.0
16,vsBHA,WB,2,5.88,0.0,1.5,0.0,0.0,1.5,0.5,0.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,6.88,-1.0,0.0,1.0,0.0,21.0,29.0,-8.0,2.5,-1.5,4.0
22,vsBRF,RB,10,5.66,0.11,0.63,0.0,0.21,1.47,0.21,0.11,0.63,0.63,2.11,0.32,0.0,0.0,0.0,1.32,0.11,0.11,2.21,0.0,0.0,7.03,-2.11,0.47,1.0,11.82,100.0,145.0,-77.0,7.5,-11.5,37.0
132,vsWHU,CB,23,5.54,0.05,0.36,0.09,0.27,0.86,0.05,0.0,0.0,0.8,3.36,0.57,0.0,0.05,0.0,1.77,0.05,0.09,0.68,0.0,0.0,6.71,-0.85,0.5,1.0,11.66,236.0,341.0,-165.0,7.75,-45.75,127.5
125,vsTOT,LB,9,5.28,0.0,1.88,0.12,0.12,1.0,0.12,0.0,0.35,1.06,1.65,0.24,0.0,0.0,0.0,2.24,0.0,0.12,1.0,0.12,0.0,7.82,-0.9,0.65,1.0,16.59,83.0,148.0,-79.0,6.75,-15.0,63.75
33,vsBrentford Player Stats,RB,11,5.07,0.0,0.82,0.0,0.09,1.45,0.27,0.09,0.64,0.91,2.09,0.45,0.0,0.0,0.0,1.36,0.09,0.0,2.45,0.0,0.0,7.43,-2.0,0.45,1.0,11.5,50.25,89.75,-45.5,5.5,-8.0,23.5
129,vsTottenham Player Stats,LB,9,5.06,0.0,1.78,0.11,0.11,1.0,0.11,0.0,0.33,1.11,1.56,0.22,0.0,0.0,0.0,2.22,0.0,0.11,1.0,0.11,0.0,7.58,-0.86,0.67,1.0,16.58,41.5,76.0,-41.5,4.0,-7.75,33.75
80,vsLiverpool Player Stats,CB,25,4.99,0.08,0.44,0.0,0.12,0.84,0.12,0.0,0.04,1.44,4.24,0.96,0.0,0.0,0.0,2.04,0.0,0.08,0.92,0.0,0.0,6.96,-0.77,0.56,1.0,11.95,97.0,181.0,-104.0,27.75,-7.0,84.75
