,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
7,vsArsenal Player Stats,LB,10,3.5,0.0,0.4,0.0,0.1,1.7,0.2,0.0,0.3,0.8,3.3,0.5,0.0,0.0,0.0,2.0,0.1,0.0,2.6,0.0,0.0,6.75,-1.65,0.5,1.0,12.35,19.25,63.25,-50.0,15.75,4.25,33.5
90,vsMCI,RB,8,3.5,0.0,0.63,0.11,0.0,1.53,0.11,0.0,0.37,0.79,1.42,0.32,0.0,0.0,0.0,2.16,0.11,0.11,1.37,0.42,0.0,5.49,-0.62,0.58,1.0,11.93,54.75,114.75,-86.0,11.75,-10.5,74.25
4,vsAVL,LB,7,3.46,0.0,0.67,0.0,0.0,1.17,0.17,0.0,0.25,0.5,2.0,0.5,0.0,0.0,0.0,2.08,0.17,0.0,0.67,0.33,0.0,5.25,-0.62,0.5,1.0,12.92,32.0,69.0,-49.0,9.5,-6.0,41.5
130,vsTottenham Player Stats,RB,10,3.42,0.0,0.8,0.1,0.1,1.2,0.2,0.0,0.3,1.2,2.0,0.4,0.0,0.0,0.1,1.9,0.0,0.0,2.2,0.1,0.0,6.25,-1.72,0.6,1.0,10.62,22.0,65.0,-50.0,12.25,-2.5,32.75
126,vsTOT,RB,9,3.41,0.0,0.71,0.12,0.12,0.94,0.24,0.0,0.35,1.29,2.06,0.35,0.0,0.0,0.06,2.0,0.0,0.0,2.41,0.0,0.0,6.16,-1.57,0.65,1.0,10.79,33.75,106.75,-87.0,24.25,-2.0,60.25
9,vsAston Villa Player Stats,CB,25,3.32,0.0,0.48,0.04,0.04,0.52,0.16,0.0,0.04,1.2,3.56,0.84,0.0,0.0,0.04,2.32,0.16,0.04,0.92,0.24,0.0,6.02,-0.78,0.56,1.0,9.54,45.5,149.0,-129.5,37.5,1.5,110.0
110,vsNOT,WB,3,3.17,0.0,0.67,0.0,0.0,1.0,0.67,0.0,1.0,0.33,1.33,0.0,0.0,0.0,0.0,1.33,0.0,0.0,3.0,0.0,0.0,5.58,-2.42,0.67,1.0,16.83,18.0,38.0,-20.0,1.0,-4.5,5.5
117,vsNott'ham Forest Player Stats,WB,3,3.17,0.0,0.67,0.0,0.0,1.0,0.67,0.0,1.0,0.33,1.33,0.0,0.0,0.0,0.0,1.33,0.0,0.0,3.0,0.0,0.0,5.58,-2.42,0.67,1.0,16.83,9.0,19.0,-10.0,0.5,-2.25,2.75
6,vsArsenal Player Stats,CB,23,3.13,0.0,0.04,0.0,0.04,0.87,0.22,0.04,0.04,0.78,3.78,1.17,0.0,0.0,0.04,1.91,0.09,0.0,1.7,0.04,0.0,6.02,-1.41,0.43,1.0,10.47,35.25,134.75,-111.5,36.75,3.75,79.0
36,vsBrighton Player Stats,RB,10,3.12,0.0,0.3,0.1,0.0,1.8,0.0,0.0,0.2,0.7,1.9,0.3,0.0,0.0,0.1,2.0,0.0,0.1,0.7,0.1,0.0,5.62,-1.2,0.5,1.0,15.32,10.75,49.75,-46.0,20.5,6.5,34.0
