Player,Team,Position,LiveRkOv,Status (Pilot),Opponent,FPTS,FP/G,GP,GS,MIN,G,KP,AT,SOT,TKW,YC,RC,PEN,ACNC,INT,CLR,BS,DW,DL,LBA,PKM,PKD,OG,GAO,CS,GW,Ghost Points,Negative Fpts,PTS,DPT,OFF,PKG,GPR,Default FPTS,Default Ghosts,Default Negative FPTS,Status (Default),Delta,Delta Ghosts,Delta Negative FPTS
Solly March,BHA,M,40,Catts4En,BHA 4<br/>@WOL 1 F,35.0,35.0,1,1,90,2,1,0,4,3,0,0,0,0,4,3,0,7,7,0,0,0,0,1,0,2,18.75,-1.75,2,1,2,0,0.54,36.5,19.0,-0.5,Maddihat,-1.5,-0.25,-1.25
Bryan Mbeumo,BRF,F,8,tottiand,BRF 3<br/>@FUL 0 F,26.75,26.75,1,1,90,2,1,0,3,0,0,0,0,1,0,0,0,3,6,3,0,0,0,0,1,2,10.25,-1.5,2,0,0,1,0.38,26.5,9.5,-1.0,XXX,0.25,0.75,-0.5
Yoane Wissa,BRF,F,29,ZB,BRF 3<br/>@FUL 0 F,26.25,26.25,1,1,78,1,0,1,3,0,0,0,0,0,0,1,0,5,2,0,0,1,0,0,1,2,10.75,-0.5,1,1,1,0,0.41,24.5,9.5,0.0,Adam,1.75,1.25,-0.5
Kaoru Mitoma,BHA,M,28,tottiand,BHA 4<br/>@WOL 1 F,25.5,25.5,1,1,80,1,4,1,1,1,0,0,0,0,1,1,0,5,4,1,0,0,0,1,0,2,10.5,-1.0,2,0,1,0,0.41,29.0,14.0,0.0,Kish123,-3.5,-3.5,-1.0
Diogo Jota,LIV,F,95,Bfred,BOU 1<br/>@LIV 3 F,25.5,25.5,1,1,75,1,2,1,2,0,0,0,0,0,1,0,0,8,7,1,0,0,0,1,0,2,11.25,-1.75,1,2,0,0,0.44,27.0,12.5,-0.5,Adam,-1.5,-1.25,-1.25
Serge Aurier,NOT,D,141,KFC,SHU 1<br/>@NOT 2 F,22.25,22.25,1,1,90,0,2,2,0,1,1,0,0,2,0,5,0,8,3,1,0,0,0,1,0,2,10.0,-1.75,2,3,0,0,0.45,23.25,13.25,-4.0,Pancake,-1.0,-3.25,2.25
Julio Enciso,BHA,F,274,xxx,BHA 4<br/>@WOL 1 F,21.25,21.25,1,1,66,0,2,2,1,0,1,0,0,0,0,0,0,9,2,1,0,0,0,1,0,2,8.75,-1.5,2,3,1,0,0.41,22.0,12.0,-2.0,W (Thu),-0.75,-3.25,0.5
Pervis Estupinan,BHA,D,115,xxx,BHA 4<br/>@WOL 1 F,21.0,21.0,1,1,90,1,2,1,1,1,1,0,0,0,1,1,0,3,8,3,0,0,0,1,0,2,8.0,-3.0,2,5,0,0,0.38,20.75,8.25,-4.5,Maddihat,0.25,-0.25,1.5
Leon Bailey,AVL,F,108,ZB,EVE 0<br/>@AVL 4 F,20.25,20.25,1,1,62,1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,2,4.5,-0.25,2,1,0,0,0.22,21.0,6.0,0.0,W (Thu),-0.75,-1.5,-0.25
Phil Foden,MCI,M,20,Boss,NEW 0<br/>@MCI 1 F,19.75,19.75,1,1,90,0,7,1,1,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,1,2,12.75,-1.0,1,1,0,0,0.65,25.5,19.0,-0.5,XXX,-5.75,-6.25,-0.5
