,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
14,CHE,WB,3,6.54,0.0,1.57,0.14,0.14,0.86,0.14,0.0,1.14,0.43,0.43,0.14,0.0,0.0,0.0,1.14,0.14,0.14,1.29,0.14,0.0,6.43,-1.18,0.71,1.0,11.18,103.5,119.5,-42.0,-12.0,-29.5,25.5
5,AVL,RB,2,6.46,0.0,0.47,0.12,0.59,1.12,0.29,0.0,0.24,0.71,2.06,0.71,0.0,0.0,0.12,1.29,0.29,0.12,1.88,0.0,0.0,6.88,-1.84,0.53,1.0,19.93,79.25,100.75,-65.5,30.5,16.25,34.25
31,WHU,LB,3,6.32,0.09,0.73,0.18,0.09,1.18,0.45,0.0,0.45,1.09,2.64,0.18,0.0,0.09,0.0,1.73,0.09,0.18,2.36,0.0,0.0,6.55,-1.23,0.45,1.0,11.27,53.25,73.25,-50.0,16.25,-1.25,36.5
30,WHU,CB,3,6.01,0.11,0.11,0.0,0.24,0.39,0.05,0.05,0.0,1.34,5.11,1.21,0.0,0.0,0.0,1.74,0.11,0.11,1.05,0.0,0.0,7.14,-1.03,0.47,1.0,14.59,191.5,278.5,-151.0,36.75,-7.0,111.75
21,MUN,CB,5,5.93,0.06,0.59,0.18,0.12,0.76,0.18,0.0,0.06,0.59,2.88,0.53,0.0,0.0,0.06,1.35,0.18,0.24,1.24,0.12,0.0,5.29,-1.12,0.53,1.0,9.18,173.5,194.5,-119.0,28.25,-14.75,81.0
1,ARS,LB,4,5.91,0.0,0.65,0.0,0.24,1.29,0.12,0.12,0.0,0.53,0.71,0.12,0.0,0.0,0.0,0.59,0.53,0.0,1.71,0.12,0.0,4.68,-1.47,0.65,1.0,12.74,92.5,80.0,-41.5,8.0,-0.5,16.5
22,MUN,LB,5,5.62,0.0,1.05,0.11,0.0,0.53,0.32,0.0,0.0,1.37,3.42,0.47,0.0,0.0,0.0,1.47,0.21,0.11,2.53,0.26,0.0,6.39,-1.41,0.58,1.0,4.16,87.75,119.75,-70.0,19.0,1.75,43.25
3,AVL,CB,3,5.49,0.05,0.18,0.05,0.15,0.75,0.05,0.0,0.02,0.62,2.3,0.62,0.0,0.05,0.0,1.3,0.2,0.05,0.78,0.1,0.0,5.09,-0.6,0.45,1.0,13.32,167.5,194.0,-108.5,52.0,9.5,84.5
10,BHA,WB,2,4.25,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.75,1.0,1.0,21.0,12.5,12.5,0.0,-4.0,-2.5,-1.5
9,BHA,RB,2,4.19,0.0,0.25,0.0,0.0,2.25,0.25,0.0,0.0,1.0,2.25,0.38,0.0,0.0,0.0,1.75,0.12,0.0,2.0,0.0,0.0,6.84,-1.28,0.62,1.0,12.91,30.0,83.0,-55.0,37.0,26.5,34.5
7,BHA,CB,4,3.92,0.05,0.28,0.0,0.18,0.74,0.26,0.0,0.05,0.85,2.92,1.0,0.0,0.0,0.0,1.92,0.0,0.05,1.36,0.0,0.0,6.26,-0.96,0.59,1.0,7.54,98.5,249.5,-171.0,54.25,-5.5,133.75
