,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
33,EVE,DM,1,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.5
28,CRY,CM,3,5.95,0.0,0.6,0.0,0.2,1.8,0.0,0.0,0.0,2.0,1.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0.6,1.0,14.25
52,MCI,RM,2,5.88,0.0,1.5,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.69
24,CHE,DM,4,5.84,0.0,0.75,0.0,0.44,1.06,0.06,0.0,0.0,1.0,1.06,0.5,0.0,0.0,0.0,0.0,0.38,0.0,1.81,0.0,0.0,0.0,0.0,0.75,1.0,15.95
41,LIV,CM,3,5.7,0.0,0.74,0.09,0.26,1.43,0.22,0.09,0.17,1.26,0.65,0.35,0.0,0.0,0.0,0.0,0.22,0.09,2.65,0.0,0.0,0.0,0.0,0.39,1.0,13.41
54,MUN,CM,2,5.62,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,BHA,CM,3,5.44,0.0,2.0,0.0,0.25,0.75,0.0,0.0,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,19.31
39,FUL,LM,3,5.44,0.12,1.38,0.12,0.38,0.12,0.12,0.0,0.12,0.12,0.5,0.0,0.0,0.0,0.0,0.0,0.38,0.25,1.25,0.0,0.0,0.0,0.0,0.5,1.0,11.03
63,NOT,DM,2,5.12,0.0,0.5,0.0,0.0,2.0,0.5,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,4.75
68,SHU,LM,3,5.1,0.0,0.4,0.0,0.0,2.2,0.0,0.0,0.0,0.8,2.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.8,0.4,0.0,0.0,0.0,0.8,1.0,4.3
