player,team,ftx_position,position,deadball agg,fpts,FKs,CKs,ghost points,negative fpts,gp,passes (dead),touches (att 3rd),prog passes,crosses,crosses (penalty),home
Kieran Trippier,NEW,D,RB,1352.0,606.75,181.0,157.0,412.5,-43.75,41.0,663.0,986.0,280.0,303,32.0,22
Ashley Young,EVE,D,LB,876.0,127.5,80.0,72.0,197.5,-54.0,34.0,468.0,542.0,126.0,174,6.0,22
James Maddison,TOT,M,AM,848.0,658.0,120.0,164.0,425.75,-55.75,39.0,304.0,1280.0,378.0,229,4.0,16
Douglas Luiz,AVL,M,CM,743.0,494.75,143.0,121.0,337.0,-51.25,41.0,276.0,777.0,230.0,125,12.0,19
Alfie Doughty,LUT,M,LM,663.0,259.25,66.0,122.0,256.25,-25.0,29.0,403.0,711.0,107.0,280,18.0,18
Andrew Robertson,LIV,D,LB,648.0,285.0,88.0,96.0,266.0,-25.0,32.0,364.0,572.0,196.0,180,12.0,12
Morgan Gibbs-White,NOT,M,RW,627.0,299.0,110.0,135.0,298.75,-65.75,37.0,281.0,855.0,140.0,221,12.0,14
James Ward-Prowse,WHU,M,DM,626.0,451.0,87.0,161.0,324.75,-33.75,37.0,287.0,559.0,126.0,228,4.0,19
Pascal Gross,BHA,M,DM,599.0,319.25,113.0,116.0,258.75,-36.5,33.0,245.0,855.0,271.0,148,15.0,19
Lucas Digne,AVL,D,WB,597.0,375.25,70.0,70.0,351.5,-56.25,41.0,437.0,1033.0,138.0,309,42.0,19
Mathias Jensen,BRF,M,CM,557.0,448.5,80.0,74.0,308.0,-56.5,41.0,377.0,658.0,167.0,132,6.0,22
Bruno Fernandes,MUN,M,CM,537.0,528.75,54.0,172.0,443.75,-71.0,41.0,305.0,1456.0,384.0,279,16.0,23
Trent Alexander-Arnold,LIV,D,RB,536.0,268.25,92.0,59.0,215.25,-33.0,29.0,380.0,542.0,167.0,129,6.0,15
Oliver Norwood,SHU,M,CM,507.0,226.0,105.0,85.0,252.25,-44.25,33.0,190.0,330.0,125.0,114,2.0,22
Andreas Pereira,FUL,M,LM,476.0,175.5,52.0,134.0,138.5,-41.0,30.0,220.0,552.0,68.0,168,0.0,18
Eberechi Eze,CRY,M,RM,476.0,321.0,76.0,96.0,303.0,-58.0,28.0,212.0,860.0,96.0,156,4.0,12
Julian Alvarez,MCI,F,AM,447.0,586.25,67.0,155.0,327.75,-53.5,45.0,258.0,1254.0,144.0,233,9.0,18
