Player,Team,Position,GW,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,GPR,Overperformance,HeatStreak,Ros Rank,Ros RankByPos,LiveRkOv,LiveRkOvByPos,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN
Conor Gallagher,CHE,M,11,17.5,21.0,-3.5,11.75,15.0,-3.25,-1.25,0.0,-1.25,0.67,27,38.5,119,38,30,11,1,1,0,5,1,0,2,0,0,0,2,0,0,6,5,3,0,0,0,0,1,0,1,1,0,0,90
Joachim Andersen,CRY,D,11,16.25,16.0,0.25,12.25,12.0,0.25,-2.0,-2.0,0.0,0.75,7,25.25,54,9,7,2,1,1,0,0,0,1,2,1,0,0,3,8,1,4,4,5,0,0,0,0,0,1,0,5,0,0,90
Harry Maguire,MUN,D,11,16.0,18.25,-2.25,10.75,12.25,-1.5,-0.75,0.0,-0.75,0.67,-19,26.75,200,27,196,46,1,1,0,0,0,0,0,0,0,0,0,9,2,10,3,6,0,0,0,0,0,1,0,0,1,0,90
Rodri,MCI,M,11,15.75,15.0,0.75,8.0,8.0,0.0,-0.25,0.0,-0.25,0.51,3,41.0,36,13,24,10,1,1,0,2,1,1,0,0,0,0,1,0,1,0,1,8,0,0,0,0,0,1,1,0,0,0,70
Joelinton,NEW,M,11,15.75,18.0,-2.25,10.25,12.5,-2.25,-2.5,-1.5,-1.0,0.65,-27,28.75,79,24,172,51,1,1,0,2,1,1,2,0,0,0,2,2,0,5,10,1,0,0,0,0,0,1,1,2,0,0,90
Oliver Norwood,SHU,M,11,15.75,15.5,0.25,7.25,6.5,0.75,-0.5,0.0,-0.5,0.46,17,30.25,200,47,90,30,1,1,1,1,0,1,1,0,0,1,0,2,0,3,2,3,0,0,0,0,1,0,1,1,0,1,90
Orel Mangala,NOT,M,11,15.75,15.0,0.75,6.75,6.0,0.75,-1.0,-1.0,0.0,0.43,-10,20.25,200,47,188,57,1,1,1,0,0,1,1,0,0,0,1,4,1,2,4,1,0,0,0,0,0,1,1,0,0,0,90
Moussa Niakhate,NOT,D,11,15.75,15.0,0.75,9.75,9.0,0.75,0.0,0.0,0.0,0.62,-43,9.75,200,27,326,70,1,1,0,0,0,0,4,0,0,0,2,8,1,5,0,1,0,0,0,0,0,1,0,0,0,0,90
Issa Kabore,LUT,D,11,15.5,15.25,0.25,9.75,10.25,-0.5,-1.25,-2.0,0.75,0.63,-6,21.0,200,27,142,33,1,1,0,1,1,1,2,0,0,0,0,5,1,7,5,0,0,0,0,0,1,0,1,0,0,0,90
Dejan Kulusevski,TOT,M,11,15.25,16.0,-0.75,7.5,8.0,-0.5,-1.25,-1.0,-0.25,0.49,-4,20.75,25,11,48,15,1,1,1,1,0,1,3,0,0,0,0,0,0,6,5,0,0,0,0,0,1,0,1,1,0,0,60
Frank Onyeka,BRF,M,11,15.25,15.0,0.25,9.25,9.5,-0.25,-1.0,-0.5,-0.5,0.61,-13,0.0,200,47,195,60,1,1,0,2,1,1,1,0,0,0,1,1,0,6,4,2,0,0,0,0,2,0,1,0,2,0,90
Nathan Ake,MCI,D,11,15.0,16.0,-1.0,6.5,8.0,-1.5,-0.5,-2.0,1.5,0.43,-9,19.25,200,27,145,36,1,1,1,2,0,1,0,0,0,0,0,4,0,2,2,2,0,0,0,0,1,0,1,0,0,0,90
Neal Maupay,BRF,F,11,14.75,15.0,-0.25,7.25,7.0,0.25,-1.5,-1.0,-0.5,0.49,-1,32.25,200,30,178,31,1,1,1,1,0,1,2,0,0,0,0,0,0,6,6,1,0,0,0,0,2,0,1,1,0,0,90
Anthony Gordon,NEW,M,11,14.25,13.0,1.25,6.0,6.0,0.0,-1.75,-3.0,1.25,0.42,11,26.75,50,16,15,5,1,1,1,1,0,1,2,1,0,0,0,0,0,4,3,0,0,0,0,0,0,1,1,4,1,0,90
Manuel Akanji,MCI,D,11,14.0,12.0,2.0,5.0,4.0,1.0,0.0,-2.0,2.0,0.36,-1,17.5,200,27,127,28,1,1,1,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,90
Nathan Collins,BRF,D,11,14.0,14.75,-0.75,8.0,9.25,-1.25,-1.0,-4.5,3.5,0.57,13,40.75,145,24,52,11,1,1,1,0,0,1,0,0,0,0,0,13,0,4,4,3,0,0,0,0,2,0,1,0,0,0,90
Diogo Dalot,MUN,D,11,13.75,14.25,-0.5,9.25,10.25,-1.0,-1.5,-2.0,0.5,0.67,-10,31.25,51,8,83,18,1,1,0,2,0,0,2,1,0,2,0,5,1,2,2,4,0,0,0,0,0,1,0,5,0,0,90
Enzo Fernandez,CHE,M,11,13.75,10.5,3.25,7.75,5.0,2.75,-1.0,-0.5,-0.5,0.56,12,28.25,137,41,86,29,1,1,0,1,1,0,0,0,0,0,0,0,1,5,4,5,0,0,1,0,1,0,0,2,1,0,57
Jordan Ayew,CRY,F,11,13.75,12.0,1.75,9.25,9.0,0.25,-2.5,-3.0,0.5,0.67,14,36.0,118,27,37,13,1,1,0,1,1,0,2,1,0,1,0,3,0,11,6,0,0,0,0,0,0,1,1,3,0,0,90
Michail Antonio,WHU,F,11,13.75,14.5,-0.75,7.75,8.5,-0.75,-1.0,0.0,-1.0,0.56,7,20.0,200,30,108,23,1,1,0,2,1,0,1,0,0,1,0,0,0,8,4,1,0,0,0,0,2,0,1,1,0,0,63
Jeffrey Schlupp,CRY,M,11,13.75,14.0,-0.25,5.25,4.5,0.75,-1.5,-0.5,-1.0,0.38,0,17.75,200,47,155,47,1,1,1,0,0,1,2,0,0,0,0,1,0,4,6,0,0,0,0,0,0,1,1,2,0,0,69
Jamaal Lascelles,NEW,D,11,12.25,13.5,-1.25,7.0,7.5,-0.5,-0.75,0.0,-0.75,0.57,-23,25.0,200,27,217,50,1,1,0,0,0,0,1,0,0,0,0,6,3,4,3,0,0,0,0,0,0,1,0,1,0,0,90
Hwang Hee-Chan,WOL,F,11,12.0,16.0,-4.0,5.75,10.0,-4.25,-0.75,0.0,-0.75,0.48,18,38.0,95,26,23,8,1,1,0,4,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,2,0,1,0,0,0,90
Joseph Gomez,LIV,D,11,12.0,12.75,-0.75,6.75,7.25,-0.5,-0.75,-0.5,-0.25,0.56,-11,24.25,200,27,157,38,1,1,0,2,0,0,2,0,0,0,0,1,0,7,3,0,0,0,0,0,0,1,0,1,0,0,66
Bryan Mbeumo,BRF,F,11,11.75,10.5,1.25,6.25,4.5,1.75,-1.5,0.0,-1.5,0.53,2,64.75,15,5,9,3,1,1,0,0,1,1,0,0,0,0,1,0,0,6,6,1,0,0,0,0,2,0,0,1,0,0,90
Aaron Wan-Bissaka,MUN,D,11,11.5,12.0,-0.5,6.5,6.5,0.0,-1.0,-0.5,-0.5,0.57,-25,19.75,122,18,176,43,1,1,0,0,0,0,2,0,0,0,1,2,2,3,4,2,0,0,0,0,0,1,0,0,0,0,90
Mathias Jensen,BRF,M,11,11.5,11.5,0.0,5.75,6.0,-0.25,-1.25,-0.5,-0.75,0.5,8,18.5,44,14,16,6,1,1,0,2,1,0,0,0,0,1,0,0,0,3,5,5,0,0,0,0,2,0,1,3,0,0,77
Jarrod Bowen,WHU,M,11,11.25,14.5,-3.25,4.75,6.5,-1.75,-2.5,-1.0,-1.5,0.42,0,35.5,10,3,11,3,1,1,1,2,0,1,0,0,0,0,0,1,0,1,10,0,0,0,0,0,3,0,1,2,0,0,90
Kaoru Mitoma,BHA,M,11,11.25,12.5,-1.25,5.25,6.5,-1.25,-1.0,0.0,-1.0,0.47,-4,23.25,12,5,22,9,1,1,0,0,1,1,0,0,0,0,0,0,0,6,4,1,0,0,0,0,1,0,0,1,1,0,90
Raheem Sterling,CHE,F,11,11.25,15.5,-4.25,7.0,10.0,-3.0,-2.75,-0.5,-2.25,0.62,-2,18.75,32,8,27,10,1,1,0,2,1,1,0,0,0,0,0,0,0,6,11,0,0,0,0,0,1,0,1,4,1,0,88
Lucas Digne,AVL,D,11,11.25,16.75,-5.5,14.75,21.25,-6.5,-1.5,-4.5,3.0,1.31,10,24.5,113,16,31,6,1,1,0,4,0,0,1,0,0,4,1,1,0,10,6,0,0,0,0,0,2,0,0,1,0,0,90
Kieran Trippier,NEW,D,11,10.5,13.0,-2.5,6.0,7.0,-1.0,-1.5,0.0,-1.5,0.57,0,31.0,6,1,5,1,1,1,0,1,0,0,0,0,0,1,1,4,1,2,6,0,0,0,0,0,0,1,0,3,0,0,90
Gabriel Martinelli,ARS,M,11,10.5,18.0,-7.5,12.5,18.5,-6.0,-2.0,-0.5,-1.5,1.19,-21,25.0,18,7,84,28,1,1,0,5,0,1,1,0,0,2,0,0,0,6,8,0,0,0,0,0,1,0,0,2,1,0,90
Pape Sarr,TOT,M,11,10.5,11.0,-0.5,5.0,7.0,-2.0,-1.5,-2.0,0.5,0.48,13,17.25,115,37,70,24,1,1,0,2,1,0,2,1,0,0,0,0,0,4,2,0,0,0,0,0,1,0,1,4,0,0,60
Cameron Archer,SHU,F,11,10.5,13.5,-3.0,4.0,5.0,-1.0,-2.5,-0.5,-2.0,0.38,-2,20.0,200,30,200,32,1,1,1,1,0,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,1,0,1,0,0,0,90
Jonny Evans,MUN,D,11,10.25,12.25,-2.0,5.25,6.25,-1.0,-1.0,0.0,-1.0,0.51,-25,9.0,200,27,220,52,1,1,0,0,0,0,0,0,0,0,0,5,1,5,4,2,0,0,0,0,0,1,0,2,0,0,90
Johann Gudmundsson,BUR,M,11,10.0,14.5,-4.5,10.5,14.5,-4.0,-0.5,0.0,-0.5,1.05,-17,19.25,200,47,222,64,1,1,0,5,0,0,0,0,0,2,1,0,0,3,2,4,0,0,0,0,1,0,0,1,0,0,88
Joel Ward,CRY,D,11,10.0,10.0,0.0,4.75,4.0,0.75,-0.75,0.0,-0.75,0.48,-21,5.25,200,27,199,48,1,1,0,0,0,0,2,0,0,0,0,4,0,5,3,1,0,0,0,0,0,1,0,0,0,0,69
Andreas Pereira,FUL,M,11,9.75,15.0,-5.25,9.25,14.0,-4.75,-0.5,0.0,-0.5,0.95,-6,22.25,102,31,124,37,1,1,0,6,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,1,0,0,0,0,80
Trent Alexander-Arnold,LIV,D,11,9.75,13.25,-3.5,12.0,15.25,-3.25,-2.25,-2.0,-0.25,1.23,-15,28.75,16,2,80,17,1,1,0,6,0,0,0,0,0,1,2,1,0,0,9,11,0,0,0,0,1,0,0,1,0,0,90
Fabian Schar,NEW,D,11,9.25,9.25,0.0,4.75,5.25,-0.5,-1.5,-2.0,0.5,0.51,1,39.25,58,11,46,10,1,1,0,0,0,0,0,1,0,0,0,5,0,4,2,6,0,0,0,0,0,1,0,3,0,0,90
Tom Lockyer,LUT,D,11,9.25,9.5,-0.25,9.25,11.5,-2.25,0.0,-2.0,2.0,1.0,-10,15.5,200,27,148,37,1,1,0,1,0,0,1,0,0,0,1,10,2,4,0,1,0,0,0,0,1,0,0,0,0,0,90
Darwin Nunez,LIV,F,11,9.0,9.5,-0.5,10.0,10.0,0.0,-1.0,-0.5,-0.5,1.11,-3,42.5,21,6,26,9,1,1,0,1,0,3,1,0,0,0,0,1,0,4,4,1,0,0,0,0,1,0,0,0,0,0,90
George Baldock,SHU,D,11,9.0,6.5,2.5,4.25,4.0,0.25,-2.25,-4.5,2.25,0.47,-39,17.0,200,27,299,66,1,1,0,0,1,0,0,1,0,0,0,0,0,4,5,1,0,0,1,0,1,0,0,6,0,0,90
Calvin Bassey,FUL,D,11,9.0,8.0,1.0,9.75,10.0,-0.25,-0.75,-2.0,1.25,1.08,-41,20.5,200,27,306,68,1,1,0,0,0,1,1,0,0,0,2,4,1,5,3,3,0,0,0,0,1,0,0,1,0,0,90
Joao Palhinha,FUL,M,11,8.75,5.0,3.75,11.75,7.5,4.25,-3.0,-2.5,-0.5,1.34,25,48.25,127,39,42,14,1,1,0,1,0,1,2,1,0,0,0,3,0,13,8,2,0,0,0,0,1,0,0,5,0,0,90
Nicolas Dominguez,NOT,M,11,8.75,7.0,1.75,9.75,6.0,3.75,-2.0,0.0,-2.0,1.11,-3,19.0,149,45,166,48,1,1,0,0,0,1,4,0,0,0,0,1,0,10,8,2,0,0,0,0,0,1,0,3,2,0,86
Ross Barkley,LUT,M,11,8.75,10.0,-1.25,10.5,10.0,0.5,-1.75,0.0,-1.75,1.2,-21,25.75,200,47,242,68,1,1,0,0,0,1,3,0,0,0,1,4,1,7,7,2,0,0,0,0,1,0,0,1,0,0,90
