Player,Team,Position,GW,FPTS,Default FPTS,Delta,Ghost Points,Default Ghosts,Delta Ghosts,Negative Fpts,Default Negative FPTS,Delta Negative FPTS,GPR,Overperformance,HeatStreak,Ros Rank,Ros RankByPos,LiveRkOv,LiveRkOvByPos,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN
Declan Rice,ARS,M,11,5.5,5.5,0.0,6.25,5.5,0.75,-0.75,0.0,-0.75,1.14,6,30.5,66,19,41,13,1,1,0,1,0,0,0,0,0,0,1,5,0,4,3,4,0,0,0,0,1,0,0,1,0,0,90
Jack Robinson,SHU,D,11,5.5,4.0,1.5,6.5,6.0,0.5,-1.0,-2.0,1.0,1.18,-30,6.0,200,27,249,57,1,1,0,0,0,0,1,0,0,0,2,4,1,4,4,0,0,0,0,0,1,0,0,0,0,0,90
Boubacar Kamara,AVL,M,11,5.25,2.5,2.75,7.25,5.0,2.25,-2.0,-2.5,0.5,1.38,12,17.25,200,47,119,35,1,1,0,1,0,0,1,1,0,0,1,3,0,5,4,6,0,0,0,0,2,0,0,4,0,0,77
Harry Wilson,FUL,M,11,5.25,4.0,1.25,6.0,5.0,1.0,-1.75,-2.0,0.25,1.14,-7,11.25,200,47,183,54,1,1,0,1,0,1,1,1,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,4,0,0,88
Scott McTominay,MUN,M,11,5.25,4.0,1.25,5.75,4.0,1.75,-1.5,-1.0,-0.5,1.1,6,28.75,132,40,117,34,1,1,0,0,0,0,0,0,0,0,2,3,1,2,6,4,0,0,0,0,0,1,0,2,0,0,90
Christian Norgaard,BRF,M,11,5.25,4.5,0.75,6.0,4.5,1.5,-0.75,0.0,-0.75,1.14,11,21.75,98,29,55,18,1,1,0,1,0,0,0,0,0,0,1,4,0,5,3,2,0,0,0,0,2,0,0,1,0,0,90
Miguel Almiron,NEW,M,11,5.25,7.5,-2.25,5.25,7.0,-1.75,-1.0,-0.5,-0.5,1.0,-23,7.0,77,22,152,45,1,1,0,1,0,0,2,0,0,0,1,0,0,4,4,1,0,0,0,0,0,1,0,2,0,0,62
Julian Alvarez,MCI,F,11,5.25,9.0,-3.75,5.25,9.0,-3.75,0.0,0.0,0.0,1.0,-1,23.75,9,4,12,5,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,70
Douglas Luiz,AVL,M,11,5.25,4.0,1.25,6.0,4.0,2.0,-0.75,0.0,-0.75,1.14,13,52.0,52,17,14,4,1,1,0,0,0,0,1,0,0,0,1,1,0,6,3,5,0,0,0,0,2,0,0,1,0,0,85
Son Heung-Min,TOT,F,11,5.0,5.0,0.0,5.75,5.0,0.75,-0.75,0.0,-0.75,1.15,-2,42.25,7,2,10,4,1,1,0,0,0,2,0,0,0,0,1,0,0,1,3,1,0,0,0,0,4,0,0,0,1,0,90
John McGinn,AVL,M,11,5.0,6.5,-1.5,6.25,8.0,-1.75,-1.25,-1.5,0.25,1.25,10,31.25,103,32,62,22,1,1,0,2,0,0,0,0,0,1,1,0,0,2,5,5,0,0,0,0,2,0,0,0,0,0,90
Christian Eriksen,MUN,M,11,5.0,5.5,-0.5,4.75,5.0,-0.25,-0.75,-0.5,-0.25,0.95,-2,9.75,200,47,167,49,1,1,0,1,0,0,1,0,0,1,0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,0,78
Mario Lemina,WOL,M,11,5.0,4.0,1.0,6.0,5.0,1.0,-1.0,-1.0,0.0,1.2,9,23.5,200,47,130,38,1,1,0,0,0,1,0,0,0,0,1,2,0,5,4,0,0,0,0,0,2,0,0,1,1,0,90
Ibrahim Sangare,NOT,M,11,5.0,4.0,1.0,4.5,3.0,1.5,-0.5,0.0,-0.5,0.9,-18,16.0,200,47,231,65,1,1,0,1,0,0,1,0,0,0,0,3,0,4,2,1,0,0,0,0,0,1,0,0,0,0,90
Dwight McNeil,EVE,M,11,4.75,4.0,0.75,6.0,4.5,1.5,-1.25,-0.5,-0.75,1.26,-34,29.5,24,10,147,44,1,1,0,1,0,0,1,0,0,0,0,3,0,7,5,1,0,0,0,0,1,0,0,2,0,0,90
Ibrahima Konate,LIV,D,11,4.75,6.5,-1.75,6.75,9.0,-2.25,-2.0,-2.5,0.5,1.42,-29,22.25,124,20,207,49,1,1,0,0,0,0,0,0,0,0,1,4,1,7,8,1,0,0,0,0,1,0,0,3,0,0,90
Ryan Christie,BOU,M,11,4.75,4.0,0.75,5.25,4.0,1.25,-0.5,0.0,-0.5,1.11,7,13.5,200,47,136,40,1,1,0,0,0,0,2,0,0,0,2,0,0,4,2,1,0,0,0,0,6,0,0,1,1,0,90
Luca Koleosho,BUR,F,11,4.5,6.5,-2.0,6.25,7.0,-0.75,-1.75,-0.5,-1.25,1.39,-5,3.25,200,30,245,35,1,1,0,1,0,1,1,0,0,0,0,0,0,5,7,1,0,0,0,0,1,0,0,1,1,0,77
Auston Trusty,SHU,D,11,4.5,3.75,0.75,5.75,5.75,0.0,-1.25,-2.0,0.75,1.28,-44,5.25,200,27,338,71,1,1,0,0,0,0,1,0,0,1,1,3,1,3,5,0,0,0,0,0,1,0,0,1,0,0,90
Luke Thomas,SHU,D,11,4.5,3.5,1.0,5.0,5.5,-0.5,-0.5,-2.0,1.5,1.11,-46,1.75,200,27,381,73,1,1,0,1,0,0,1,0,0,1,1,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,90
Toti,WOL,D,11,4.5,4.75,-0.25,5.25,6.75,-1.5,-0.75,-2.0,1.25,1.17,-29,19.0,200,27,246,56,1,1,0,0,0,0,2,0,0,0,0,3,0,7,3,0,0,0,0,0,1,0,0,2,0,0,80
Jayden Bogle,SHU,D,11,4.5,1.5,3.0,6.0,4.5,1.5,-1.5,-3.0,1.5,1.33,-31,2.25,200,27,250,58,1,1,0,0,0,0,3,0,0,0,0,2,0,7,6,2,0,0,0,0,1,0,0,0,0,0,90
Pedro Porro,TOT,D,11,4.5,4.75,-0.25,13.0,12.75,0.25,-2.5,-8.0,5.5,2.89,-3,21.25,31,4,38,7,1,1,0,1,0,1,4,0,0,2,0,3,1,8,10,1,0,0,0,0,4,0,0,3,0,0,90
Rayan Ait-Nouri,WOL,D,11,4.5,4.5,0.0,8.5,10.0,-1.5,-2.0,-5.5,3.5,1.89,-18,17.0,200,27,194,45,1,1,0,1,0,0,3,0,0,0,2,0,0,8,8,0,0,0,0,0,2,0,0,0,0,0,90
Sean Longstaff,NEW,M,11,4.5,1.5,3.0,4.5,2.5,2.0,-1.0,-2.0,1.0,1.0,20,21.0,200,47,81,27,1,1,0,0,0,0,1,1,0,0,0,2,1,5,0,0,0,0,0,0,0,1,0,3,0,0,90
Mateo Kovacic,MCI,M,11,4.5,6.0,-1.5,6.0,7.0,-1.0,-1.5,-1.0,-0.5,1.33,-23,7.0,200,47,263,70,1,1,0,1,0,1,1,0,0,0,0,1,0,4,6,1,0,0,0,0,1,0,0,4,0,0,90
Antonee Robinson,FUL,D,11,4.5,2.0,2.5,6.5,6.5,0.0,-2.0,-4.5,2.5,1.44,-8,20.75,130,22,133,30,1,1,0,0,0,0,1,1,0,1,1,2,0,5,4,4,0,0,0,0,1,0,0,4,0,0,90
Mohamed Salah,LIV,F,11,4.5,8.0,-3.5,5.0,8.0,-3.0,-0.5,0.0,-0.5,1.11,0,42.5,5,1,3,1,1,1,0,3,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,90
Vladimir Coufal,WHU,D,11,4.25,3.25,1.0,9.5,9.25,0.25,-1.25,-6.0,4.75,2.24,5,8.75,88,14,44,9,1,1,0,1,0,0,1,0,0,0,3,5,1,5,5,1,0,0,0,0,3,0,0,2,0,0,90
Jan-Paul van Hecke,BHA,D,11,4.25,2.5,1.75,5.25,4.5,0.75,-1.0,-2.0,1.0,1.24,-33,14.5,200,27,264,60,1,1,0,0,0,0,0,0,0,0,1,2,1,5,4,1,0,0,0,0,1,0,0,0,0,0,90
Jarrad Branthwaite,EVE,D,11,4.0,1.75,2.25,6.25,5.75,0.5,-2.25,-4.0,1.75,1.56,4,24.5,148,26,101,22,1,1,0,0,0,0,2,1,0,0,1,3,0,5,5,4,0,0,0,0,1,0,0,6,0,0,90
James Ward-Prowse,WHU,M,11,4.0,5.0,-1.0,4.75,5.0,-0.25,-0.75,0.0,-0.75,1.19,-3,14.25,11,4,18,7,1,1,0,1,0,0,2,0,0,0,1,1,0,2,3,2,0,0,0,0,3,0,0,0,0,0,90
Jefferson Lerma,CRY,M,11,3.75,1.0,2.75,4.25,2.0,2.25,-1.5,-2.0,0.5,1.13,-13,8.25,140,43,185,56,1,1,0,0,0,0,0,1,0,0,1,4,0,4,2,1,0,0,0,0,0,1,0,4,0,0,90
Sasa Kalajdzic,WOL,F,11,3.75,2.5,1.25,4.5,3.5,1.0,-0.75,-1.0,0.25,1.2,-3,0.0,200,30,230,33,1,1,0,1,0,0,0,0,0,0,0,2,0,6,3,0,0,0,0,0,0,1,0,0,1,0,60
Jordan Beyer,BUR,D,11,3.75,0.75,3.0,4.25,2.75,1.5,-0.5,-2.0,1.5,1.13,-28,9.5,200,27,244,55,1,1,0,0,0,0,0,0,0,0,1,3,0,3,2,4,0,0,0,0,1,0,0,0,0,0,85
Thiago Silva,CHE,D,11,3.75,0.5,3.25,4.0,2.5,1.5,-0.25,-2.0,1.75,1.07,6,10.25,146,25,87,19,1,1,0,0,0,0,0,0,0,0,1,2,0,2,1,6,0,0,0,0,1,0,0,0,0,0,90
Carlton Morris,LUT,F,11,3.5,5.5,-2.0,6.25,6.0,0.25,-2.75,-0.5,-2.25,1.79,0,3.0,84,22,96,22,1,1,0,1,0,1,0,0,0,0,0,0,0,6,11,1,0,0,0,0,0,1,0,1,0,0,74
Said Benrahma,WHU,M,11,3.5,4.0,-0.5,4.0,4.0,0.0,-0.5,0.0,-0.5,1.14,-19,19.75,200,47,236,66,1,1,0,1,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,63
Anthony Elanga,NOT,F,11,3.5,3.5,0.0,4.75,4.0,0.75,-1.25,-0.5,-0.75,1.36,8,30.0,128,28,93,20,1,1,0,0,0,0,1,0,0,0,2,1,1,2,5,0,0,0,0,0,0,1,0,1,0,0,90
Vinicius de Souza Costa,SHU,M,11,3.5,3.5,0.0,5.75,4.5,1.25,-2.25,-1.0,-1.25,1.64,8,13.75,200,47,131,39,1,1,0,0,0,0,3,0,0,0,0,0,0,8,9,1,0,0,0,0,1,0,0,2,0,0,90
Takehiro Tomiyasu,ARS,D,11,3.25,2.5,0.75,3.5,4.5,-1.0,-0.25,-2.0,1.75,1.08,-36,0.0,200,27,272,63,1,1,0,0,0,0,1,0,0,0,1,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,90
Charlie Taylor,BUR,D,11,3.25,2.25,1.0,6.5,7.25,-0.75,-1.25,-5.0,3.75,2.0,-34,12.5,200,27,266,61,1,1,0,2,0,0,1,0,0,1,0,1,0,3,5,5,0,0,0,0,2,0,0,1,0,0,90
Nayef Aguerd,WHU,D,11,3.25,1.75,1.5,8.0,7.75,0.25,-0.75,-6.0,5.25,2.46,-2,10.75,200,27,129,29,1,1,0,0,0,0,0,0,0,0,0,7,2,4,3,9,0,0,0,0,3,0,0,0,0,0,90
Moises Caicedo,CHE,M,11,3.25,3.0,0.25,4.75,3.5,1.25,-1.5,-0.5,-1.0,1.46,-8,11.5,200,47,184,55,1,1,0,1,0,0,0,0,0,0,1,0,0,3,6,5,0,0,0,0,1,0,0,2,0,0,90
Craig Dawson,WOL,D,11,3.25,2.0,1.25,7.0,8.0,-1.0,-1.75,-6.0,4.25,2.15,4,24.75,200,27,102,23,1,1,0,0,0,0,0,1,0,0,0,8,1,5,3,6,0,0,0,0,2,0,0,5,0,0,90
Rasmus Hojlund,MUN,F,11,3.0,4.5,-1.5,4.25,5.0,-0.75,-1.25,-0.5,-0.75,1.42,-23,9.25,59,13,305,36,1,1,0,1,0,0,0,0,0,1,0,1,0,4,5,0,0,0,0,0,0,1,0,1,0,0,78
Joel Veltman,BHA,D,11,3.0,1.75,1.25,4.75,3.75,1.0,-1.75,-2.0,0.25,1.58,-13,4.0,200,27,169,40,1,1,0,0,0,0,1,0,0,0,0,3,0,6,7,2,0,0,0,0,1,0,0,1,0,0,90
Andros Townsend,LUT,M,11,3.0,3.0,0.0,3.75,3.0,0.75,-1.75,-1.0,-0.75,1.25,-26,0.0,200,47,318,73,1,1,0,0,0,0,2,0,0,0,0,1,0,5,7,0,0,0,0,0,0,1,0,2,0,0,60
Matheus Cunha,WOL,F,11,2.75,3.0,-0.25,4.5,3.5,1.0,-1.75,-0.5,-1.25,1.64,5,36.75,83,21,57,16,1,1,0,0,0,1,0,0,0,0,0,1,0,4,7,1,0,0,0,0,2,0,0,0,0,0,90
William Saliba,ARS,D,11,2.5,1.5,1.0,3.5,3.5,0.0,-1.0,-2.0,1.0,1.4,-1,10.0,123,19,97,20,1,1,0,0,0,0,0,0,0,0,1,2,0,3,4,2,0,0,0,0,1,0,0,0,0,0,90
Dominic Calvert-Lewin,EVE,F,11,2.5,4.0,-1.5,4.25,4.0,0.25,-1.75,0.0,-1.75,1.7,-12,21.5,61,15,156,27,1,1,0,0,0,0,0,0,0,0,0,1,0,8,7,0,0,0,0,0,1,0,0,2,0,0,88
Kai Havertz,ARS,F,11,2.5,2.5,0.0,5.5,5.0,0.5,-3.0,-2.5,-0.5,2.2,-1,19.0,135,29,175,30,1,1,0,0,0,0,3,1,0,0,0,0,0,8,8,0,0,0,0,0,1,0,0,5,0,0,90
Zeki Amdouni,BUR,F,11,2.5,4.0,-1.5,3.75,4.5,-0.75,-1.25,-0.5,-0.75,1.5,1,10.25,200,30,163,29,1,1,0,0,0,0,1,0,0,0,0,0,0,6,5,1,0,0,0,0,1,0,0,0,0,0,77
Emerson,WHU,D,11,2.25,0.75,1.5,8.0,8.75,-0.75,-1.75,-8.0,6.25,3.56,-8,6.75,200,27,144,35,1,1,0,1,0,0,1,1,0,1,3,3,0,3,3,1,0,0,0,0,3,0,0,5,0,0,90
Axel Disasi,CHE,D,11,2.25,-0.5,2.75,3.25,2.5,0.75,-1.0,-3.0,2.0,1.44,0,5.0,200,27,120,27,1,1,0,0,0,0,0,0,0,0,0,2,0,4,4,3,0,0,0,0,1,0,0,1,0,0,90
Timothy Castagne,FUL,D,11,2.25,2.75,-0.5,4.0,4.75,-0.75,-1.75,-2.0,0.25,1.78,-17,8.5,200,27,191,44,1,1,0,0,0,0,1,0,0,0,1,3,0,3,7,1,0,0,0,0,1,0,0,1,0,0,90
Ezri Konsa,AVL,D,11,2.25,1.0,1.25,4.25,5.0,-0.75,0.0,-4.0,4.0,1.89,3,21.0,200,27,103,24,1,1,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,90
Dominik Szoboszlai,LIV,M,11,2.25,2.0,0.25,2.5,2.5,0.0,-1.25,-1.5,0.25,1.11,-2,34.25,14,6,19,8,1,1,0,1,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,1,0,1,0,0,65
Willian,FUL,F,11,2.25,4.5,-2.25,2.75,5.0,-2.25,-0.5,-0.5,0.0,1.22,-6,11.5,72,20,125,26,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,75
Ollie Watkins,AVL,F,11,2.25,2.5,-0.25,3.0,3.0,0.0,-0.75,-0.5,-0.25,1.33,1,32.75,8,3,4,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,1,1,0,90
Philip Billing,BOU,M,11,2.25,1.5,0.75,3.25,3.5,-0.25,-1.0,-2.0,1.0,1.44,15,35.0,106,34,58,19,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,4,0,0,3,0,0,70
Morgan Gibbs-White,NOT,M,11,2.0,1.5,0.5,2.0,1.0,1.0,-1.0,-0.5,-0.5,1.0,-17,14.75,20,8,71,25,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,1,0,0,2,0,90
Yoane Wissa,BRF,F,11,2.0,3.5,-1.5,3.25,3.5,-0.25,-1.25,0.0,-1.25,1.62,1,23.25,48,12,32,11,1,1,0,1,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,2,0,0,1,0,0,88
Alexis Mac Allister,LIV,M,11,2.0,1.5,0.5,4.75,3.5,1.25,-2.75,-2.0,-0.75,2.38,-8,16.5,110,35,146,43,1,1,0,1,0,0,1,1,0,0,0,3,0,3,7,4,0,0,0,0,1,0,0,5,0,0,90
Rodrigo Muniz,FUL,F,11,2.0,4.5,-2.5,4.5,5.0,-0.5,-2.5,-0.5,-2.0,2.25,-8,0.0,200,30,379,38,1,1,0,1,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,1,0,1,1,0,75
Cheick Doucoure,CRY,M,11,1.75,1.0,0.75,2.75,1.5,1.25,-1.0,-0.5,-0.5,1.57,11,17.25,200,47,123,36,1,1,0,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,0,1,0,0,57
Jorginho,ARS,M,11,1.75,2.0,-0.25,2.25,2.0,0.25,-0.5,0.0,-0.5,1.29,-27,8.0,200,47,327,74,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,78
Will Hughes,CRY,M,11,1.75,2.5,-0.75,2.25,2.5,-0.25,-1.5,-1.0,-0.5,1.29,-15,12.0,200,47,211,62,1,1,0,1,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,1,0,1,0,0,90
Dominic Solanke,BOU,F,11,1.75,1.0,0.75,2.0,1.5,0.5,-0.25,-0.5,0.25,1.14,-5,14.75,60,14,85,19,1,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,5,0,0,0,1,0,84
Kyle Walker,MCI,D,11,1.75,0.25,1.5,2.5,2.25,0.25,-0.75,-2.0,1.25,1.43,12,20.75,200,27,69,15,1,1,0,0,0,0,0,0,0,1,0,1,0,1,3,3,0,0,0,0,1,0,0,2,0,0,90
Callum Wilson,NEW,F,11,1.75,1.5,0.25,2.5,2.0,0.5,-0.75,-0.5,-0.25,1.43,-3,38.25,45,11,43,14,1,1,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,61
Evan Ferguson,BHA,F,11,1.5,2.0,-0.5,2.0,2.5,-0.5,-0.5,-0.5,0.0,1.33,0,13.0,65,17,73,17,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,67
Eddie Nketiah,ARS,F,11,1.5,2.0,-0.5,3.75,3.0,0.75,-2.25,-1.0,-1.25,2.5,13,37.0,90,25,36,12,1,1,0,1,0,0,0,0,0,0,0,1,0,5,9,0,0,0,0,0,1,0,0,2,0,0,78
Simon Adingra,BHA,F,11,1.5,2.5,-1.0,3.25,3.5,-0.25,-1.75,-1.0,-0.75,2.17,-5,8.25,69,19,109,24,1,1,0,0,0,0,1,0,0,0,0,1,0,5,7,0,0,0,0,0,1,0,0,0,0,0,88
Tommy Doyle,WOL,M,11,1.5,-1.0,2.5,1.75,0.0,1.75,-1.25,-2.0,0.75,1.17,-28,0.0,200,47,344,75,1,1,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,1,0,4,0,0,69
Jack Harrison,EVE,M,11,1.25,0.0,1.25,2.0,0.0,2.0,-0.75,0.0,-0.75,1.6,-39,35.5,70,20,193,59,1,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,1,0,0,0,0,0,90
Gustavo Hamer,SHU,M,11,1.25,1.0,0.25,3.75,3.0,0.75,-2.5,-2.0,-0.5,3.0,3,9.5,111,36,116,33,1,1,0,1,0,0,0,1,0,0,1,0,0,3,6,1,0,0,0,0,1,0,0,6,0,0,88
Idrissa Gueye,EVE,M,11,1.25,-1.0,2.25,2.75,1.0,1.75,-1.5,-2.0,0.5,2.2,-20,11.5,200,47,237,67,1,1,0,0,0,0,1,1,0,0,0,3,0,3,2,0,0,0,0,0,1,0,0,4,0,0,90
Antony,MUN,F,11,1.25,3.0,-1.75,3.25,3.0,0.25,-2.0,0.0,-2.0,2.6,-11,10.75,85,23,240,34,1,1,0,0,0,0,1,0,0,0,1,1,0,3,8,0,0,0,0,0,0,1,0,1,0,0,62
Odsonne Edouard,CRY,F,11,1.25,2.5,-1.25,4.5,4.5,0.0,-3.25,-2.0,-1.25,3.6,6,8.75,86,24,75,18,1,1,0,1,0,0,1,1,0,0,0,4,0,4,9,0,0,0,0,0,0,1,0,4,0,0,85
Pascal Gross,BHA,M,11,1.0,2.5,-1.5,1.75,2.5,-0.75,-0.75,0.0,-0.75,1.75,-14,16.25,22,9,64,23,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,90
Pau Torres,AVL,D,11,1.0,-1.75,2.75,3.5,2.25,1.25,-0.5,-4.0,3.5,3.5,-12,10.5,200,27,160,39,1,1,0,0,0,0,0,0,0,0,0,5,0,3,2,3,0,0,0,0,2,0,0,0,0,0,90
Vitinho,BUR,D,11,1.0,0.25,0.75,4.25,5.25,-1.0,-1.25,-5.0,3.75,4.25,-47,0.75,200,27,431,74,1,1,0,0,0,0,2,0,0,0,0,1,0,6,5,0,0,0,0,0,2,0,0,1,0,0,90
Billy Gilmour,BHA,M,11,0.75,-2.0,2.75,2.25,0.0,2.25,-1.5,-2.0,0.5,3.0,1,19.75,200,47,154,46,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,5,0,0,0,0,1,0,0,3,0,0,67
Matty Cash,AVL,D,11,0.5,0.0,0.5,3.0,4.0,-1.0,-0.5,-4.0,3.5,6.0,0,15.0,80,12,53,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,58
Abdoulaye Doucoure,EVE,M,11,0.25,1.5,-1.25,3.0,4.0,-1.0,-2.75,-2.5,-0.25,12.0,0,13.0,34,12,35,12,1,1,0,0,0,1,0,1,0,0,0,0,0,2,7,0,0,0,0,0,1,0,0,8,0,0,90
Taiwo Awoniyi,NOT,F,11,0.25,0.0,0.25,1.0,1.0,0.0,-0.75,-1.0,0.25,4.0,-9,5.25,62,16,110,25,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,3,0,81
Max Aarons,BOU,D,11,-0.25,0.0,-0.25,3.5,5.0,-1.5,-0.75,-12.0,11.25,-14.0,-27,7.0,200,27,243,54,1,1,0,2,1,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,6,0,1,0,0,0,90
Kristoffer Ajer,BRF,D,11,-0.25,-1.75,1.5,3.75,4.25,-0.5,-2.0,-6.0,4.0,-15.0,-14,24.75,200,27,173,41,1,1,0,0,0,0,0,1,0,1,0,1,0,4,4,2,0,0,0,0,2,0,0,6,0,0,78
Nelson Semedo,WOL,D,11,-0.25,-1.75,1.5,2.75,3.25,-0.5,-1.0,-5.0,4.0,-11.0,-15,10.5,200,27,174,42,1,1,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,0,0,0,2,0,0,0,0,0,90
Marcus Tavernier,BOU,M,11,-0.25,0.0,-0.25,0.5,0.0,0.5,-0.75,0.0,-0.75,-2.0,-28,15.0,81,25,182,53,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,1,0,0,71
Marvelous Nakamba,LUT,M,11,-0.5,-1.5,1.0,1.5,1.0,0.5,-2.0,-2.5,0.5,-3.0,-5,1.5,200,47,180,52,1,1,0,0,0,0,0,1,0,0,1,1,0,0,4,1,0,0,0,0,1,0,0,4,0,0,90
Tomas Soucek,WHU,M,11,-1.5,-1.0,-0.5,2.0,1.0,1.0,-3.5,-2.0,-1.5,-1.33,-5,11.0,71,21,74,26,1,1,0,0,0,0,0,1,0,0,1,1,0,0,10,3,0,0,0,0,3,0,0,5,0,0,90
Ashley Young,EVE,D,11,-2.75,-4.25,1.5,3.25,2.75,0.5,-6.0,-7.0,1.0,-1.18,-32,9.25,200,27,261,59,1,1,0,0,0,0,1,0,0,1,0,3,0,1,4,2,0,0,0,1,1,0,0,0,0,0,88
Konstantinos Mavropanos,WHU,D,11,-2.75,-4.75,2.0,8.25,8.25,0.0,-7.0,-13.0,6.0,-3.0,-48,0.0,200,27,738,75,1,1,0,0,0,0,0,1,0,0,2,5,1,8,4,0,0,0,0,1,3,0,0,6,0,0,90
Eric Dier,TOT,D,11,-3.25,-5.25,2.0,2.75,2.75,0.0,0.0,-8.0,8.0,-0.85,-49,0.0,200,27,739,76,0,1,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,4,0,0,0,2,0,55
Iyenoma Destiny Udogie,TOT,D,11,-4.75,-5.75,1.0,4.25,3.25,1.0,-9.0,-9.0,0.0,-0.89,-18,6.0,47,7,105,25,1,1,0,0,0,0,2,0,1,0,1,1,0,4,8,0,0,0,0,0,1,0,0,9,0,0,54
Illia Zabarnyi,BOU,D,11,-5.25,-8.5,3.25,5.5,3.5,2.0,-0.75,-12.0,11.25,-1.05,-26,0.5,200,27,227,53,1,1,0,0,0,0,0,0,0,0,1,2,2,0,3,8,0,0,0,0,6,0,0,2,0,0,90
Lloyd Kelly,BOU,D,11,-5.75,-8.75,3.0,5.0,3.25,1.75,-0.75,-12.0,11.25,-0.87,-42,-0.75,200,27,310,69,1,1,0,0,0,0,0,0,0,0,0,1,3,1,3,5,0,0,0,0,6,0,0,1,0,0,90
Milos Kerkez,BOU,D,11,-7.0,-9.25,2.25,3.5,2.75,0.75,-0.5,-12.0,11.5,-0.5,-38,-5.0,200,27,287,65,1,1,0,0,0,0,0,0,0,0,1,7,0,1,2,1,0,0,0,0,6,0,0,0,0,0,90
