,opponent,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
3,vsAVL,FW,10,7.47,0.33,0.33,0.33,0.67,0.67,0.11,0.0,0.0,0.0,0.61,0.28,0.0,0.0,0.0,0.0,0.22,0.56,2.33,0.83,0.0,0.0,0.0,0.67,1.0,10.67
28,vsFUL,LW,5,7.3,0.0,1.0,0.4,0.8,0.2,0.0,0.0,0.4,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.2,0.0,0.0,0.0,0.8,1.0,27.05
23,vsCRY,RW,9,7.18,0.12,1.53,0.24,0.24,0.71,0.12,0.0,0.53,0.24,0.71,0.06,0.0,0.0,0.0,0.0,0.53,0.35,1.71,0.0,0.0,0.0,0.0,0.59,1.0,14.72
37,vsMCI,LW,6,6.91,0.18,0.18,0.18,0.73,0.55,0.73,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.18,3.09,0.0,0.0,0.0,0.0,0.45,1.0,15.84
24,vsEVE,FW,12,6.75,0.17,1.04,0.26,0.52,0.13,0.09,0.0,0.09,0.09,0.96,0.09,0.0,0.09,0.0,0.0,0.43,0.26,1.13,0.7,0.0,0.0,0.0,0.48,2.0,10.58
19,vsCHE,LW,7,6.71,0.29,0.71,0.0,0.86,0.86,0.14,0.0,0.29,0.29,0.57,0.0,0.0,0.0,0.0,0.0,0.29,0.29,1.29,0.57,0.0,0.0,0.0,0.57,1.0,7.46
14,vsBRF,RW,9,6.6,0.0,1.06,0.24,0.71,0.59,0.12,0.0,0.35,0.35,0.41,0.0,0.0,0.12,0.0,0.0,0.12,0.12,1.41,0.35,0.0,0.0,0.0,0.53,1.0,16.79
21,vsCRY,FW,11,6.38,0.24,0.71,0.19,0.62,0.19,0.1,0.0,0.1,0.1,0.19,0.1,0.0,0.19,0.0,0.0,0.38,0.24,1.62,0.43,0.0,0.0,0.0,0.48,1.0,16.49
56,vsWHU,RW,5,6.35,0.2,1.4,0.0,1.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.8,0.2,0.2,0.0,0.0,0.6,1.0,34.75
1,vsARS,LW,9,6.33,0.22,0.78,0.11,0.44,0.44,0.0,0.0,0.0,0.33,0.56,0.11,0.0,0.0,0.0,0.0,0.11,0.22,0.33,0.22,0.0,0.0,0.0,0.44,1.0,14.81
