,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
19,Aston Villa Player Stats,FW,1,320.5,12.0,34.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,6.0,0.0,11.0,3.0,18.0,3.0,0.0,0.0,122.25,-14.75,14.0,14.0,39.25,339.5,147.5,-6.0,-19.0,-25.25,-8.75
123,LIV,RW,1,256.5,17.0,31.0,0.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,8.0,17.0,3.0,6.0,6.0,134.5,-31.0,14.0,14.0,50.5,278.0,151.5,-26.5,-21.5,-17.0,-4.5
170,NEW,LW,1,237.0,7.0,13.0,9.0,16.0,17.0,10.0,0.0,9.0,0.0,3.0,0.0,0.0,6.0,0.0,3.0,13.0,10.0,52.0,1.0,0.0,131.25,-33.25,16.0,16.0,60.0,227.5,129.0,-31.5,9.5,2.25,-1.75
182,Newcastle Utd Player Stats,RB,1,233.25,0.0,52.0,6.0,0.0,12.0,6.0,0.0,25.0,10.0,13.0,1.0,0.0,0.0,0.0,9.0,10.0,6.0,30.0,0.0,0.0,155.25,-18.0,16.0,16.0,26.25,267.25,198.25,-33.0,-34.0,-43.0,15.0
39,BRF,RW,1,221.0,9.0,24.0,4.0,25.0,12.0,3.0,0.0,18.0,4.0,12.0,0.0,0.0,0.0,0.0,26.0,3.0,12.0,37.0,3.0,3.0,148.75,-36.75,16.0,16.0,41.0,240.0,154.5,-19.5,-19.0,-5.75,-17.25
142,MCI,FW,1,219.0,15.0,9.0,3.0,24.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,12.0,0.0,3.0,75.0,-12.0,12.0,12.0,0.0,222.0,73.5,-4.5,-3.0,1.5,-7.5
135,Liverpool Player Stats,RM,1,190.25,3.0,41.0,7.0,8.0,9.0,0.0,0.0,4.0,11.0,12.0,0.0,0.0,3.0,0.0,6.0,8.0,7.0,6.0,3.0,0.0,121.75,-15.5,14.0,14.0,36.25,219.0,150.5,-8.5,-28.75,-28.75,-7.0
212,WHU,AM,1,189.5,3.0,39.0,6.0,12.0,9.0,0.0,0.0,8.0,15.0,22.0,9.0,0.0,0.0,0.0,20.0,3.0,9.0,7.0,0.0,0.0,128.0,-10.5,14.0,14.0,46.0,211.0,149.0,-4.0,-21.5,-21.0,-6.5
156,Manchester City Player Stats,AM,1,183.75,9.0,10.0,6.0,18.0,9.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,4.0,9.0,33.0,0.0,0.0,78.75,-18.0,13.0,13.0,0.0,193.5,87.0,-10.5,-9.75,-8.25,-7.5
10,AVL,DM,2,174.75,7.5,17.5,1.0,9.0,26.0,4.0,0.0,1.5,7.5,10.0,8.0,0.0,0.0,0.0,10.0,4.0,8.5,37.0,0.0,4.5,117.0,-20.75,14.0,14.0,27.25,347.5,213.0,-20.5,2.0,21.0,-21.0
