,team,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
26,Manchester City Player Stats,5,184.0,6.8,17.6,2.8,18.4,11.0,0.6,0.0,0.6,3.6,8.4,2.6,0.6,0.4,0.0,6.6,5.8,9.2,8.8,2.6,0.4,102.35,-10.95,0.0,21.0,8.9,950.75,553.75,-58.0,-30.75,-42.0,3.25
34,TOT,9,131.28,3.56,15.33,2.89,7.22,13.0,2.0,0.0,2.44,11.33,18.89,2.44,0.0,0.0,0.33,12.0,4.33,6.22,17.11,1.78,0.0,89.97,-17.92,0.0,17.0,22.81,1245.25,877.25,-178.0,-63.75,-67.5,16.75
24,MCI,10,119.82,1.1,22.9,1.8,7.6,12.3,2.3,0.0,5.3,8.5,9.6,1.7,0.0,0.0,0.3,9.9,7.0,2.9,17.0,0.0,0.0,94.5,-16.18,0.0,21.0,15.5,1287.5,1092.5,-220.0,-89.25,-147.5,58.25
1,AVL,5,109.5,1.8,20.0,2.4,7.0,12.6,2.0,0.0,4.0,10.0,14.4,4.2,0.0,0.0,0.0,30.2,3.0,4.2,18.6,2.0,0.0,95.5,-16.2,0.0,16.0,18.15,579.0,514.5,-112.5,-31.5,-37.0,31.5
15,Crystal Palace Player Stats,3,107.0,2.0,8.33,0.0,7.0,12.33,2.0,0.0,0.0,12.67,33.67,6.0,0.0,0.0,0.0,16.0,5.0,2.0,18.0,2.0,0.0,95.25,-15.58,0.0,13.0,2.92,322.75,275.25,-52.5,-1.75,10.5,5.75
38,West Ham Player Stats,6,101.58,3.33,10.83,1.67,6.33,14.67,1.67,0.0,1.0,9.0,9.83,1.17,0.0,0.0,0.17,16.0,0.5,4.83,17.17,3.0,0.0,75.04,-14.96,0.0,16.0,18.33,659.25,480.75,-64.5,-49.75,-30.5,-25.25
13,CRY,10,96.0,0.8,12.8,1.3,4.2,12.6,2.3,0.0,3.4,10.9,29.6,5.3,0.0,0.0,0.0,18.0,5.4,1.8,20.1,0.9,0.0,92.92,-17.92,0.0,16.0,14.28,1024.0,1008.5,-290.5,-64.0,-79.25,111.25
30,Newcastle Utd Player Stats,9,95.78,2.44,10.89,2.67,5.78,7.89,3.0,0.0,4.0,6.22,9.67,3.44,0.0,0.0,0.0,12.78,2.67,4.78,21.89,1.0,0.22,67.11,-14.44,0.0,14.0,22.72,875.0,643.0,-194.0,-13.0,-39.0,64.0
6,BRF,9,94.33,1.78,10.0,1.22,4.67,9.11,2.0,0.0,3.44,8.22,26.0,3.33,0.0,0.33,0.0,7.67,4.22,2.67,14.89,1.33,0.33,73.06,-12.83,0.0,14.0,10.75,894.0,722.5,-150.5,-45.0,-65.0,35.0
0,ARS,9,88.86,1.67,9.22,1.67,3.11,5.89,0.33,0.0,3.33,7.78,10.0,3.44,0.0,1.0,0.0,4.56,6.33,2.0,6.89,2.11,0.67,57.33,-8.81,0.0,13.0,21.47,854.5,557.5,-66.0,-54.75,-41.5,-13.25
37,WOL,14,76.05,0.64,10.21,1.36,3.57,9.64,3.29,0.0,4.29,9.21,17.93,3.57,0.0,0.0,0.0,10.57,1.93,1.79,19.93,1.57,0.0,73.07,-13.8,0.0,16.0,15.89,1102.25,1122.25,-278.0,-37.5,-99.25,84.75
3,Aston Villa Player Stats,6,74.5,1.5,9.83,0.5,6.5,9.83,2.5,0.0,3.83,12.0,19.17,2.0,0.0,0.0,0.5,20.83,2.5,2.0,20.83,0.5,0.0,79.42,-15.92,0.0,16.0,20.12,411.25,488.25,-248.0,35.75,-11.75,152.5
