,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
50,BUR,RM,2,59.62,0.0,7.5,2.0,0.0,5.5,2.0,0.0,1.5,9.0,17.5,4.0,0.0,0.0,0.0,15.0,0.0,2.0,10.0,2.0,0.0,57.12,-11.5,0.0,12.0,4.88,106.5,99.5,-17.0,12.75,14.75,-6.0
34,BOU,RW,2,59.25,2.0,6.0,0.0,8.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,22.0,0.0,2.0,13.0,0.0,0.0,56.5,-15.25,0.0,10.0,15.12,152.0,142.0,-26.0,-33.5,-29.0,-4.5
132,NOT,LB,1,59.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,39.0,-4.0,0.0,4.0,0.0,58.0,34.0,0.0,1.0,5.0,-4.0
85,FUL,LW,1,58.25,0.0,15.0,0.0,11.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,4.0,0.0,0.0,72.75,-14.5,0.0,11.0,21.25,61.5,73.5,-12.0,-3.25,-0.75,-2.5
86,FUL,RB,2,57.5,0.0,6.0,0.0,2.0,9.5,4.0,0.0,4.0,15.5,26.0,4.0,0.0,0.0,0.0,17.5,4.0,0.0,32.0,0.0,0.0,69.38,-15.88,0.0,12.0,6.5,95.0,135.0,-88.0,20.0,3.75,56.25
126,NEW,RM,2,57.38,2.0,7.5,2.0,2.0,7.0,5.5,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,32.5,2.0,0.0,42.38,-19.0,0.0,12.0,11.75,94.5,64.0,-33.5,20.25,20.75,-4.5
161,WOL,FW,4,57.0,2.0,10.5,0.0,6.5,4.0,1.0,0.0,0.0,5.0,2.5,1.0,0.0,0.0,0.0,9.0,3.5,2.0,12.0,4.5,0.0,52.0,-14.0,0.0,22.0,11.0,267.0,234.0,-43.0,-39.0,-26.0,-13.0
14,AVL,LW,2,56.0,0.0,16.0,0.0,4.0,4.0,2.0,0.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,26.0,0.0,0.0,71.75,-19.75,0.0,22.0,4.75,151.0,162.0,-19.0,-39.0,-18.5,-20.5
88,FUL,RW,2,55.38,0.0,6.0,2.0,2.0,14.0,2.0,0.0,4.0,0.0,7.5,0.0,0.0,0.0,0.0,27.5,4.0,0.0,16.0,2.0,0.0,52.38,-13.0,0.0,19.0,16.38,97.5,81.5,-12.0,13.25,23.25,-14.0
112,MUN,CB,5,55.1,0.0,3.2,1.6,0.8,5.6,2.4,0.0,0.0,4.0,29.6,6.8,0.0,0.0,0.8,7.2,2.4,1.6,13.6,2.0,0.0,45.4,-12.7,0.0,12.0,7.25,247.0,239.0,-120.0,28.5,-12.0,56.5
