,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
19,BRF,RW,1,14.83,0.62,2.0,0.23,1.46,0.62,0.15,0.0,1.23,0.08,0.62,0.0,0.0,0.0,0.0,1.23,0.31,0.77,1.46,0.15,0.15,9.56,-1.88,0.69,1.0,30.83,425.0,273.0,-28.0,-39.5,-24.5,-21.0
72,WOL,LW,2,14.75,0.5,2.0,0.5,0.5,1.0,0.5,0.0,0.25,1.0,0.25,0.5,0.0,0.0,0.0,1.5,0.0,1.0,2.75,0.25,0.0,8.0,-1.25,0.75,1.0,39.88,272.0,174.0,-22.0,-36.0,-46.0,2.0
30,CRY,RM,3,11.94,0.25,1.75,0.25,0.75,0.75,0.0,0.0,0.5,1.0,0.75,0.25,0.0,0.0,0.0,1.5,0.5,0.25,1.0,0.25,0.0,8.75,-1.31,0.5,1.0,23.69,222.0,162.0,-8.0,-31.0,-22.0,-13.0
22,CRY,CB,3,10.28,0.1,0.57,0.04,0.22,0.87,0.09,0.0,0.24,0.87,5.34,1.05,0.0,0.0,0.0,1.22,0.44,0.13,1.0,0.04,0.0,8.54,-0.71,0.46,1.0,24.06,787.5,688.5,-218.0,55.25,11.75,159.5
40,EVE,RM,2,10.19,0.16,1.56,0.44,0.44,1.4,0.16,0.0,0.32,0.32,0.56,0.16,0.0,0.0,0.0,0.88,0.28,0.6,1.36,0.16,0.0,6.6,-1.21,0.56,1.0,13.81,276.5,181.0,-13.5,-21.75,-16.0,-16.75
60,NOT,LW,3,10.04,0.15,1.85,0.31,0.62,0.54,0.0,0.0,0.77,0.31,0.54,0.08,0.0,0.0,0.0,0.92,0.23,0.46,1.0,0.46,0.0,7.83,-1.33,0.69,1.0,9.92,323.0,244.0,-5.0,-62.0,-40.5,-29.5
18,BRF,RM,3,9.87,0.31,1.23,0.23,0.54,1.31,0.31,0.0,0.15,0.69,0.85,0.15,0.0,0.0,0.0,1.08,0.46,0.54,1.69,0.15,0.0,6.4,-1.38,0.69,1.0,25.25,258.0,165.0,-27.0,-1.5,1.5,-9.0
75,WOL,RW,2,9.81,0.25,1.5,0.75,0.25,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.75,2.25,0.25,0.0,3.88,-1.56,0.75,1.0,28.62,172.0,84.0,-20.0,-15.0,-22.0,-5.0
53,NOT,AM,2,9.69,0.0,1.5,0.5,0.25,0.75,0.25,0.0,0.25,1.0,0.0,0.5,0.0,0.0,0.0,1.5,0.25,0.25,1.0,0.0,0.0,7.69,-1.75,0.25,1.0,29.75,170.0,134.0,-16.0,-15.0,-11.0,-12.0
74,WOL,RM,5,9.57,0.11,2.03,0.24,0.51,0.43,0.22,0.0,1.16,0.54,0.92,0.11,0.0,0.0,0.0,1.35,0.11,0.35,1.51,0.22,0.0,8.24,-1.34,0.41,1.0,21.73,419.0,385.0,-56.0,-64.75,-80.25,6.5
