,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
0,AM,42,9.88,0.2,1.86,0.27,0.71,0.69,0.15,0.0,0.39,0.5,0.57,0.15,0.0,0.03,0.0,1.31,0.24,0.41,1.35,0.18,0.03,7.54,-1.51,0.52,1.0,22.54,4245.0,3255.5,-403.5,-401.25,-321.25,-184.0
4,RM,46,8.54,0.16,1.41,0.24,0.44,0.92,0.2,0.0,0.35,0.57,0.73,0.13,0.0,0.03,0.0,1.11,0.34,0.32,1.45,0.13,0.02,6.45,-1.35,0.52,1.0,18.08,3390.5,2605.5,-423.0,-215.0,-204.5,-80.5
2,DM,49,7.86,0.1,0.98,0.12,0.42,1.35,0.26,0.01,0.1,0.99,1.32,0.42,0.0,0.01,0.0,1.28,0.24,0.19,2.15,0.07,0.01,7.33,-1.45,0.51,1.0,15.76,4822.5,4284.5,-605.0,5.0,214.25,-283.25
3,LM,51,6.63,0.06,1.22,0.12,0.41,1.05,0.15,0.01,0.34,0.62,0.85,0.13,0.0,0.0,0.0,1.24,0.3,0.18,1.5,0.23,0.01,6.46,-1.42,0.51,1.0,12.88,2861.75,2697.75,-429.0,-257.75,-159.5,-129.25
1,CM,60,6.0,0.06,0.79,0.03,0.27,1.3,0.24,0.01,0.13,0.94,0.99,0.29,0.0,0.0,0.0,1.51,0.21,0.09,2.06,0.03,0.01,6.49,-1.46,0.47,1.0,14.11,5014.5,5029.5,-826.0,191.5,604.0,-440.5
