,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
56,TOT,DM,4,7.45,0.05,0.84,0.08,0.58,1.51,0.45,0.0,0.0,1.26,1.12,0.3,0.0,0.0,0.0,0.86,0.36,0.13,2.61,0.0,0.0,7.64,-1.58,0.45,1.0,17.24,556.5,569.5,-112.0,9.5,11.25,-7.75
1,ARS,CM,2,7.28,0.11,0.57,0.08,0.43,1.19,0.11,0.0,0.0,1.16,0.76,0.32,0.0,0.0,0.0,0.7,0.51,0.19,0.92,0.0,0.0,6.35,-1.12,0.51,1.0,14.95,259.0,201.0,-15.0,10.5,34.0,-26.5
58,TOT,LB,1,7.14,0.0,0.74,0.21,0.11,1.47,0.32,0.05,0.0,1.11,2.47,0.21,0.0,0.0,0.0,0.89,0.32,0.21,3.42,0.21,0.0,6.57,-2.16,0.47,1.0,19.45,255.5,249.5,-122.0,16.0,0.0,40.0
17,CHE,RB,4,7.07,0.0,0.69,0.28,0.0,1.24,0.28,0.14,0.0,0.76,1.66,0.07,0.0,0.0,0.0,0.59,0.41,0.28,2.76,0.21,0.0,5.12,-2.19,0.52,1.0,13.26,197.0,153.0,-84.0,8.0,-4.5,20.5
49,MUN,LW,2,6.95,0.12,1.15,0.24,0.55,0.24,0.18,0.0,0.0,0.24,0.67,0.12,0.0,0.12,0.0,1.36,0.18,0.24,1.03,0.06,0.0,5.6,-1.49,0.45,1.0,15.98,275.5,223.5,-34.0,-46.0,-38.75,-15.25
0,ARS,CB,4,6.73,0.0,0.2,0.05,0.0,0.32,0.1,0.0,0.05,1.02,1.89,0.83,0.0,0.0,0.0,0.83,0.46,0.05,0.77,0.0,0.0,4.85,-0.66,0.56,1.0,15.48,485.25,384.75,-155.5,66.25,12.75,101.5
10,CHE,CB,3,6.6,0.04,0.34,0.0,0.13,0.45,0.17,0.0,0.0,0.85,3.4,0.71,0.0,0.0,0.0,1.15,0.26,0.04,1.13,0.21,0.0,6.2,-0.7,0.57,1.0,16.39,562.0,638.0,-260.0,58.25,-55.5,193.75
20,CHE,WB,3,6.54,0.0,1.57,0.14,0.14,0.86,0.14,0.0,1.14,0.43,0.43,0.14,0.0,0.0,0.0,1.14,0.14,0.14,1.29,0.14,0.0,6.43,-1.18,0.71,1.0,11.18,207.0,239.0,-84.0,-24.0,-59.0,51.0
11,CHE,CM,3,6.28,0.0,1.2,0.0,0.3,1.0,0.4,0.0,0.2,0.9,0.6,0.5,0.1,0.0,0.0,1.0,0.3,0.0,2.5,0.0,0.0,7.5,-1.52,0.6,1.0,11.1,234.0,276.0,-54.0,17.0,24.0,-7.0
55,TOT,CM,1,6.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,7.25,-1.0,1.0,1.0,8.25,9.0,10.0,-1.0,3.5,4.5,-1.0
