,ftx_position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
1,F,80,8.39,0.3,1.11,0.2,0.84,0.47,0.12,0.0,0.17,0.26,0.52,0.07,0.0,0.03,0.0,1.25,0.25,0.44,1.34,0.39,0.03,5.98,-1.65,0.52,1.0,17.8,11995.5,8395.5,-1254.0,-1470.5,-900.5,-818.0
2,M,137,7.6,0.12,1.18,0.12,0.45,1.11,0.21,0.01,0.24,0.77,0.9,0.23,0.0,0.01,0.0,1.3,0.27,0.21,1.81,0.13,0.02,6.88,-1.46,0.5,1.0,16.67,17776.0,15367.5,-2142.5,-935.0,-121.0,-1084.0
0,D,142,6.31,0.04,0.54,0.07,0.14,1.0,0.19,0.01,0.23,1.0,2.96,0.61,0.0,0.0,0.01,1.44,0.22,0.1,1.5,0.06,0.0,6.63,-1.15,0.5,1.0,13.52,13493.5,16779.5,-8602.0,1762.75,-745.75,5815.5
